sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,598,1453,2524,3705,248,290,351,461
0.015,701,1530,2521,3841,259,280,345,458
0.025,745,1535,2462,3956,258,293,356,449
0.035,741,1578,2497,3926,247,307,352,451
0.045,734,1598,2530,3940,238,300,355,458
0.055,712,1622,2550,4036,256,287,357,434
0.065,737,1668,2514,4047,229,329,372,449
0.075,729,1672,2518,4023,250,324,362,473
0.085,816,1587,2478,4024,277,335,357,474
0.095,822,1647,2473,3990,244,331,349,482
0.105,773,1708,2545,3883,255,330,358,485
0.115,841,1716,2552,3812,295,360,364,489
0.125,821,1670,2604,3787,260,324,364,469
0.135,839,1706,2641,3876,264,344,384,460
0.145,901,1785,2631,3843,284,320,411,470
0.155,955,1777,2687,3883,266,317,374,461
0.165,917,1852,2721,3936,230,302,391,487
0.175,1001,1754,2777,3970,218,317,398,484
0.185,1045,1808,2837,4103,231,315,424,470
0.195,958,1758,2938,4225,205,292,370,427
0.205,1054,1707,2923,4240,231,301,342,416
0.215,1103,1636,2782,4218,271,286,333,414
0.225,1052,1541,2898,4223,223,324,351,390
0.235,926,1500,2929,4237,265,303,307,400
0.245,808,1471,2867,4228,215,309,318,393
0.255,763,1423,2754,4144,206,314,374,381
0.265,744,1366,2629,4107,196,302,359,375
0.275,734,1316,2612,4115,200,294,294,369
0.285,723,1290,2657,4082,214,286,285,399
0.295,695,1281,2602,3991,219,282,287,415
0.305,687,1264,2536,3932,204,275,283,419
0.315,665,1241,2525,3895,246,290,313,435
0.325,632,1227,2434,3850,193,343,366,452
0.335,611,1219,2377,3955,217,350,389,451
0.345,601,1226,2358,3961,236,335,371,454
0.355,600,1255,2339,4037,272,338,323,464
0.365,602,1299,2340,4090,262,343,315,472
0.375,602,1357,2337,4160,278,316,312,447
0.385,601,1419,2323,4228,294,295,329,413
0.395,604,1466,2309,4123,300,289,333,380
0.405,611,1515,2303,3967,307,276,327,419
0.415,619,1518,2304,3836,248,334,293,403
0.425,622,1511,2303,3794,188,331,287,398
0.435,618,1500,2304,3703,169,366,247,379
0.445,617,1476,2307,3721,151,366,289,358
0.455,603,1439,2294,3773,171,333,287,355
0.465,589,1372,2388,3761,170,295,297,365
0.475,572,1335,2362,3737,173,291,306,358
0.485,551,1283,2365,3752,191,295,312,363
0.495,518,1254,2377,3741,206,293,307,358
0.505,498,1262,2375,3733,236,291,293,366
0.515,492,1245,2341,3698,252,295,286,363
0.525,494,1282,2277,3661,236,321,312,374
0.535,490,1268,2196,3574,213,303,357,400
0.545,478,1304,2177,3423,206,291,384,427
0.555,471,1305,2246,3273,202,287,423,441
0.565,477,1354,2489,3143,166,292,416,446
