sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,600,1544,2508,3659,246,330,349,446
0.015,649,1545,2524,3673,250,352,304,437
0.025,661,1478,2595,3721,269,334,291,445
0.035,705,1576,2594,3648,271,335,317,429
0.045,726,1573,2596,3650,286,344,339,451
0.055,799,1604,2549,3638,291,336,352,447
0.065,821,1682,2494,3626,287,334,367,440
0.075,811,1729,2557,3556,277,319,387,441
0.085,834,1701,2616,3541,285,299,383,413
0.095,819,1656,2633,3635,293,288,354,437
0.105,793,1676,2657,3653,270,328,375,431
0.115,809,1715,2640,3748,276,325,325,445
0.125,856,1808,2632,3704,281,347,358,444
0.135,795,1842,2692,3784,232,322,363,462
0.145,658,1868,2782,4010,227,285,352,506
0.155,481,1841,2817,4214,237,303,318,491
0.165,513,1775,2847,4178,169,319,303,505
0.175,461,1717,2771,4037,172,342,289,469
0.185,480,1654,2640,3928,202,328,309,447
0.195,497,1599,2354,3872,212,325,305,462
0.205,476,1545,2189,3826,192,309,304,454
0.215,454,1531,2217,3894,210,317,337,453
0.225,441,1573,2278,3893,209,309,319,441
0.235,423,1619,2307,3993,213,311,268,420
0.245,421,1744,2330,4147,210,349,249,430
0.255,421,1843,2383,4348,191,375,273,435
0.265,405,1985,2505,4491,186,376,293,438
0.275,440,2047,2576,4589,200,333,320,420
0.285,418,2065,2612,4559,188,317,317,402
0.295,380,2075,2664,4495,211,312,334,419
0.305,368,2056,2712,4461,235,291,355,414
0.315,350,2054,2743,4491,301,289,400,422
0.325,338,2023,2759,4575,313,296,380,456
0.335,331,1956,2764,4481,358,302,393,450
0.345,328,1871,2767,4506,315,320,365,470
0.355,328,1781,2765,4413,328,318,363,449
0.365,329,1693,2748,4396,271,330,341,455
0.375,328,1604,2716,4403,244,338,364,424
0.385,329,1498,2674,4234,272,310,362,478
0.395,331,1278,2625,4180,244,330,357,456
0.405,335,1181,2579,4183,294,305,353,461
0.415,339,1157,2551,4048,333,281,334,433
0.425,347,1149,2525,4018,326,331,322,438
0.435,360,1150,2443,3996,295,291,332,465
0.445,440,1169,2401,3975,251,331,334,449
0.455,471,1196,2396,3991,329,300,342,448
0.465,500,1212,2418,4060,215,312,339,425
0.475,559,1219,2456,4039,192,303,292,400
0.485,677,1235,2563,4080,172,288,343,398
0.495,780,1273,2602,4070,191,276,315,397
0.505,788,1306,2674,4053,213,287,327,393
0.515,781,1324,2751,4087,246,267,313,391
0.525,798,1352,2804,4099,242,278,347,406
0.535,817,1404,2833,4082,211,270,340,403
0.545,816,1398,2867,4090,228,279,341,403
0.555,690,1473,2927,4202,234,280,344,408
0.565,696,1518,2987,4274,233,294,383,398
0.575,696,1573,3016,4374,239,322,391,403
0.585,695,1631,2863,4474,219,298,393,424
0.595,697,1652,2872,4414,199,332,343,421
0.605,703,1686,2860,4462,226,329,384,463
0.615,732,1747,2829,4594,203,305,373,456
0.625,733,1802,2779,4597,219,301,351,438
0.635,732,1837,2713,4554,238,311,349,452
0.645,717,1855,2637,4522,249,341,308,449
0.655,690,1862,2555,4387,300,352,314,438
0.665,669,1863,2462,4317,302,338,308,430
0.675,635,1863,2386,4357,329,341,337,418
0.685,599,1850,2363,4357,278,333,308,433
0.695,584,1822,2342,4376,300,308,334,436
0.705,569,1792,2236,4422,286,278,386,441
0.715,556,1772,1973,4409,264,303,412,422
0.725,548,1755,1909,4303,272,293,360,423
0.735,546,1725,1854,4131,236,299,318,428
0.745,545,1670,1882,4009,154,289,330,456
0.755,538,1606,1900,3956,169,273,346,474
0.765,523,1532,1932,3950,182,292,337,476
0.775,508,1442,1921,3896,176,295,354,462
0.785,502,1431,1918,3891,171,299,340,447
0.795,503,1419,1954,3924,194,314,352,484
0.805,501,1413,1992,3995,174,294,347,445
0.815,490,1436,2194,4021,172,269,353,423
0.825,478,1524,2203,4099,165,289,319,427
0.835,472,1764,2304,4144,164,258,297,401
0.845,473,2067,2378,4260,204,308,274,391
0.855,476,2135,2429,4342,199,322,306,391
0.865,478,2252,2523,4413,199,323,270,395
0.875,475,2347,2697,4497,194,328,292,381
0.885,471,2338,2858,4507,189,317,303,385
0.895,475,2359,2808,4508,184,312,298,386
0.905,477,2336,2941,4508,178,317,287,398
0.915,472,2370,2983,4517,181,306,294,379
0.925,459,2394,2975,4476,175,310,260,372
0.935,455,2408,2974,4503,177,311,287,377
0.945,504,2414,2987,4527,177,304,298,380
0.955,568,2414,2976,4493,176,300,291,387
0.965,607,2405,2958,4493,162,305,301,388
0.975,630,2374,2964,4452,156,297,293,399
0.985,644,2301,2927,4406,157,286,283,408
0.995,656,2195,2911,4390,146,273,331,426
1.005,674,2121,2909,4350,155,274,334,434
1.015,697,2033,2877,4292,166,277,321,432
1.025,714,1873,2850,4289,172,244,359,419
1.035,718,1862,2815,4277,150,268,354,407
1.045,714,1915,2783,4324,161,266,315,402
1.055,707,1942,2761,4384,183,291,297,415
1.065,602,1948,2737,4463,199,309,325,427
1.075,509,1955,2693,4590,226,335,291,455
1.085,476,1983,2633,4564,269,328,321,428
1.095,529,2054,2578,4553,298,334,319,429
1.105,638,2046,2536,4474,329,297,362,414
1.115,712,2024,2507,4407,350,293,363,413
1.125,765,1994,2516,4412,349,274,373,413
1.135,816,1962,2515,4320,305,279,415,420
1.145,850,1931,2515,4300,320,275,426,411
1.155,851,1902,2518,4221,325,275,394,402
1.165,814,1874,2526,4147,303,310,429,416
1.175,772,1847,2542,4153,312,311,409,405
1.185,776,1823,2566,4152,322,355,387,393
1.195,749,1796,2595,4189,316,316,353,396
1.205,715,1760,2622,4387,285,323,342,445
1.215,691,1721,2642,4532,216,309,325,422
1.225,673,1689,2652,4430,181,296,364,362
1.235,655,1671,2661,4383,162,289,405,338
1.245,634,1654,2669,4507,142,266,414,344
1.255,604,1624,2673,4477,169,297,396,347
1.265,567,1589,2672,4487,165,304,385,370
1.275,539,1564,2672,4454,169,320,331,454
1.285,522,1552,2669,4465,203,322,303,465
1.295,507,1552,2658,4311,193,349,357,431
1.305,488,1556,2639,4285,193,311,391,416
1.315,468,1533,2625,4294,230,311,352,389
1.325,450,1497,2622,4319,283,359,340,409
1.335,435,1463,2614,4256,264,355,325,425
1.345,428,1446,2590,4277,312,326,351,402
1.355,429,1447,2559,4302,305,331,357,421
1.365,442,1457,2532,4304,330,334,320,402
1.375,469,1458,2515,4286,303,311,330,415
1.385,508,1441,2512,4255,279,320,314,414
1.395,550,1424,2531,4281,204,337,302,422
1.405,585,1432,2574,4428,226,301,331,454
1.415,565,1490,2625,4502,175,318,319,436
1.425,624,1586,2669,4519,155,290,304,407
