sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,654,1397,2438,3510,255,290,371,432
0.015,773,1454,2466,3480,243,308,351,431
0.025,789,1502,2423,3440,197,300,351,433
0.035,790,1550,2500,3462,226,303,347,436
0.045,748,1609,2462,3529,244,335,347,398
0.055,783,1605,2414,3617,280,347,316,405
0.065,788,1627,2484,3710,284,347,322,419
0.075,767,1673,2570,3768,269,300,338,426
0.085,816,1783,2569,3807,257,298,353,452
0.095,876,1803,2687,3812,215,292,384,468
0.105,899,1823,2768,3884,201,301,371,472
0.115,926,1804,2820,3988,220,288,340,453
0.125,990,1777,2754,4004,249,298,342,431
0.135,959,1853,2643,4073,207,316,339,423
0.145,854,1840,2632,4046,212,314,337,415
0.155,820,1940,2552,4133,181,323,344,458
0.165,767,1976,2535,4178,178,328,355,443
0.175,756,2021,2464,4263,170,330,350,445
0.185,766,2074,2540,4286,175,340,345,421
0.195,717,2132,2598,4403,167,360,338,454
0.205,690,2193,2639,4469,177,353,367,442
0.215,662,2245,2699,4493,186,360,362,431
0.225,652,2275,2764,4557,197,351,354,433
0.235,617,2286,2816,4594,205,342,347,414
0.245,581,2292,2910,4638,208,352,317,416
0.255,542,2371,2868,4609,224,359,270,414
0.265,527,2420,2921,4498,246,371,275,410
0.275,503,2469,2887,4470,230,377,264,412
0.285,482,2512,2929,4457,221,383,254,421
0.295,494,2546,2863,4456,209,392,243,418
0.305,483,2565,2936,4437,213,391,252,419
0.315,497,2566,2949,4465,198,378,230,431
0.325,484,2548,2956,4496,189,399,224,440
0.335,476,2514,2965,4556,165,398,232,432
0.345,462,2469,2929,4558,162,365,250,406
0.355,464,2424,2915,4582,171,356,256,410
0.365,466,2386,2849,4537,162,342,272,391
0.375,469,2353,2806,4577,178,315,297,395
0.385,489,2318,2858,4600,176,314,291,375
0.395,493,2271,2842,4598,180,304,310,386
0.405,511,2215,2881,4592,181,302,301,370
0.415,515,2161,2890,4580,169,311,277,389
0.425,540,2120,2897,4493,171,316,275,386
0.435,571,2091,2835,4438,164,316,275,411
0.445,583,2063,2759,4324,156,347,253,428
0.455,601,2022,2717,4264,148,338,272,423
0.465,597,1959,2631,4208,138,309,286,442
0.475,569,1891,2523,4144,143,315,333,462
0.485,544,1837,2355,4016,140,306,353,456
0.495,488,1799,2203,3947,165,275,352,486
0.505,465,1757,2121,3892,190,298,351,459
0.515,463,1717,2114,3891,216,333,337,454
0.525,442,1704,2187,3915,203,325,318,459
0.535,427,1725,2253,3902,216,325,344,481
0.545,433,1770,2290,3902,208,322,354,476
0.555,454,1828,2321,3941,223,315,331,458
0.565,470,1892,2422,4054,236,345,267,460
0.575,463,1966,2612,4225,232,387,268,444
0.585,456,2091,2731,4419,263,417,259,424
0.595,457,2233,2842,4578,263,406,263,409
0.605,454,2312,2822,4640,254,406,234,376
0.615,459,2349,2822,4622,236,384,259,366
0.625,465,2348,2746,4639,218,368,256,389
0.635,472,2281,2703,4631,201,336,288,379
0.645,472,2119,2694,4634,184,344,278,401
0.655,473,1637,2699,4619,191,335,253,395
0.665,484,1572,2671,4673,192,333,272,387
0.675,502,1419,2669,4657,181,327,258,383
0.685,512,1291,2683,4582,178,291,296,383
0.695,533,1237,2664,4560,164,322,286,382
0.705,576,1233,2631,4536,168,283,276,382
0.715,620,1242,2630,4541,165,308,292,387
0.725,627,1230,2589,4542,164,274,274,394
0.735,642,1312,2551,4533,166,299,288,407
0.745,637,1303,2538,4510,173,262,280,422
0.755,619,1458,2546,4454,170,306,292,435
0.765,610,1453,2521,4324,151,307,300,417
0.775,591,1631,2536,4251,143,320,296,430
0.785,559,1764,2532,4200,148,313,291,423
0.795,556,1853,2544,4242,187,318,287,419
0.805,582,1896,2598,4302,180,325,292,419
0.815,587,2019,2596,4345,197,321,290,418
0.825,561,1980,2610,4481,217,294,322,453
0.835,528,1913,2617,4386,236,294,338,455
0.845,508,1848,2607,4327,287,323,351,472
0.855,508,1866,2593,4367,295,296,392,466
0.865,514,1841,2590,4388,294,293,386,444
0.875,514,1837,2595,4342,316,295,380,437
0.885,507,1814,2658,4288,302,276,385,442
0.895,497,1811,2698,4249,299,315,349,418
0.905,486,1837,2649,4215,274,312,351,414
0.915,477,1804,2713,4196,251,325,324,428
0.925,466,1767,2761,4220,251,320,329,433
0.935,456,1852,2712,4205,232,323,374,430
0.945,445,1817,2783,4200,254,310,375,420
0.955,441,1868,2795,4199,234,326,400,410
0.965,450,1823,2773,4249,220,315,370,413
0.975,476,1799,2784,4292,239,280,339,403
0.985,497,1756,2756,4234,203,274,307,407
0.995,495,1637,2611,4149,169,294,291,413
1.005,591,1525,2594,4058,160,310,302,426
1.015,672,1536,2585,3941,165,296,291,422
1.025,704,1513,2647,3878,178,309,297,410
1.035,794,1432,2675,3850,199,289,287,414
1.045,779,1391,2714,3821,236,301,317,432
1.055,816,1361,2781,3711,241,301,313,428
1.065,869,1339,2807,3640,229,307,351,405
1.075,883,1351,2835,3644,192,299,361,394
1.085,885,1395,2861,3606,185,307,390,380
1.095,833,1412,2842,3631,208,296,380,400
1.105,787,1468,2828,3673,227,312,418,397
1.115,807,1540,2850,3678,217,314,425,384
1.125,714,1636,2823,3796,199,309,381,415
1.135,718,1662,2835,3882,194,316,383,407
1.145,590,1658,2728,4051,187,329,390,420
1.155,484,1608,2566,4285,221,336,370,459
1.165,446,1589,2481,4463,209,354,323,438
1.175,433,1533,2428,4513,222,362,291,423
1.185,410,1482,2391,4513,244,381,309,403
1.195,429,1488,2414,4438,216,371,300,374
1.205,444,1552,2447,4484,198,345,314,393
1.215,456,1576,2423,4409,206,341,318,396
1.225,591,1572,2434,4327,190,331,348,378
1.235,643,1619,2520,4219,166,300,373,407
1.245,681,1529,2627,4179,160,285,375,414
1.255,669,1443,2702,4146,167,330,382,404
1.265,712,1310,2776,4134,179,315,385,417
1.275,681,1277,2828,4110,169,289,366,412
1.285,674,1248,2800,4100,177,276,355,401
1.295,669,1217,2775,4070,166,275,342,404
1.305,664,1231,2698,4021,160,275,314,413
1.315,688,1248,2666,4070,166,280,289,428
1.325,665,1284,2637,4006,180,283,268,413
1.335,668,1304,2557,3983,182,280,302,411
1.345,650,1469,2452,3992,176,288,302,426
1.355,623,1511,2341,4006,156,283,334,407
1.365,582,1591,2255,4014,150,293,317,403
1.375,593,1673,2217,3979,163,318,313,414
1.385,603,1718,2214,3948,160,312,308,446
1.395,600,1738,2251,3918,155,329,306,438
1.405,577,1789,2344,3891,152,329,318,420
1.415,539,1857,2400,4005,144,327,305,428
1.425,514,1889,2505,4106,134,302,318,424
1.435,502,1836,2517,4180,141,301,308,432
1.445,509,1733,2629,4231,175,330,324,425
1.455,468,1763,2647,4330,196,335,337,424
1.465,498,1697,2691,4337,242,336,359,420
1.475,534,1592,2565,4411,315,354,321,400
1.485,612,1538,2460,4450,283,351,327,438
1.495,650,1534,2467,4454,275,355,340,444
1.505,674,1560,2491,4301,281,341,356,451
1.515,663,1607,2573,4285,225,335,326,445
1.525,634,1562,2611,4165,265,307,336,447
1.535,650,1616,2478,4123,261,333,347,455
1.545,671,1670,2440,4097,285,319,354,449
1.555,659,1647,2510,4075,267,310,342,450
1.565,734,1627,2445,4098,297,326,340,474
1.575,780,1545,2457,4068,285,324,327,461
1.585,793,1594,2441,4050,237,337,311,459
1.595,778,1640,2524,4088,265,317,334,443
1.605,719,1613,2489,4122,249,294,329,433
1.615,794,1586,2459,4249,277,313,319,434
1.625,816,1432,2535,4386,268,278,357,430
1.635,862,1277,2682,4518,249,303,386,420
1.645,789,1204,2820,4536,236,343,379,412
1.655,665,1216,2889,4487,239,329,352,445
1.665,575,1164,2996,4569,262,312,369,440
1.675,509,1097,3025,4606,180,304,312,415
1.685,511,1101,3033,4572,207,264,326,403
1.695,537,1195,2972,4630,189,294,312,405
1.705,549,1316,2987,4583,167,330,311,404
1.715,578,1548,3041,4593,136,349,313,392
1.725,562,1728,2963,4542,153,335,309,382
1.735,552,1861,2950,4498,167,290,312,411
1.745,518,1966,2982,4459,152,273,323,435
1.755,516,1982,2926,4518,142,282,361,423
1.765,505,2007,2827,4506,156,296,358,421
1.775,499,2083,2872,4460,159,291,363,407
1.785,538,2131,2921,4440,187,282,364,424
1.795,535,2173,2899,4365,186,328,301,412
1.805,521,2226,2900,4409,183,329,282,424
1.815,535,2283,2910,4447,181,328,268,427
1.825,520,2301,2927,4429,179,345,250,427
1.835,489,2289,2914,4401,176,356,251,431
1.845,457,2304,2942,4421,169,374,246,440
1.855,419,2324,2900,4374,157,376,226,414
1.865,399,2277,2918,4387,174,328,276,403
1.875,395,2099,2972,4311,190,321,286,407
1.885,421,2044,2929,4217,240,336,318,420
1.895,500,2065,2830,4133,255,333,359,439
1.905,500,2055,2828,4139,292,330,395,473
1.915,612,1995,2779,4083,309,315,409,447
1.925,701,1953,2805,4067,330,318,402,484
1.935,788,1852,2798,4041,363,328,360,488
1.945,922,1859,2824,4049,312,341,366,503
1.955,1017,1917,2854,4096,274,329,376,454
1.965,926,1845,2893,4142,249,291,371,442
1.975,839,1826,2974,4106,227,312,354,434
1.985,939,1891,3091,4207,230,308,364,449
