sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,674,1461,2437,3591,253,321,334,425
0.015,790,1452,2433,3619,248,328,338,458
0.025,853,1498,2290,3602,214,359,318,465
0.035,821,1559,2321,3647,227,343,336,474
0.045,815,1625,2343,3691,221,333,355,485
0.055,833,1586,2355,3720,229,300,354,438
0.065,807,1601,2450,3801,251,267,386,439
0.075,832,1483,2449,3782,233,284,357,439
0.085,908,1454,2402,3793,232,326,337,451
0.095,847,1496,2428,3911,234,307,337,454
0.105,802,1500,2430,3958,205,367,321,488
0.115,877,1529,2392,3922,239,332,316,491
0.125,840,1573,2424,3925,218,360,292,475
0.135,808,1586,2491,3913,230,347,308,444
0.145,850,1548,2482,3976,236,346,347,473
0.155,687,1531,2465,3969,238,292,371,467
0.165,524,1378,2316,3981,228,326,357,453
0.175,546,1324,2123,4246,179,267,338,509
0.185,541,1319,2287,4490,171,303,341,470
0.195,556,1472,2116,4671,165,294,322,438
0.205,564,1611,2202,4738,177,277,305,401
0.215,581,1737,2370,4721,185,301,318,374
0.225,579,1845,2465,4674,197,291,325,357
0.235,563,1940,2525,4653,214,266,318,362
0.245,567,2055,2614,4624,213,283,304,383
0.255,555,2190,2716,4653,207,314,277,371
0.265,540,2286,2835,4675,188,363,231,377
0.275,545,2345,2859,4687,165,347,255,363
0.285,531,2384,2908,4724,156,340,260,364
0.295,553,2410,2981,4728,169,336,269,343
0.305,543,2427,2986,4723,175,327,267,321
0.315,567,2424,2972,4789,200,322,305,343
0.325,576,2458,2985,4790,198,318,319,370
0.335,573,2497,3032,4842,285,357,316,403
0.345,560,2534,3095,4779,206,376,286,367
0.355,556,2565,3151,4827,213,414,289,325
0.365,557,2588,3189,4794,215,413,247,329
0.375,556,2610,3211,4753,207,413,228,347
0.385,573,2631,3221,4781,220,407,251,393
0.395,572,2639,3224,4698,218,412,237,391
0.405,563,2636,3220,4690,227,419,235,401
0.415,535,2634,3214,4670,236,425,254,380
0.425,495,2635,3205,4608,239,424,242,398
0.435,418,2634,3192,4521,231,430,233,395
0.445,338,2626,3174,4398,217,423,196,358
0.455,279,2617,3150,4327,188,438,278,330
0.465,267,2616,3029,4466,200,448,319,315
0.475,284,2617,3017,4359,196,430,322,282
0.485,298,2618,3003,4316,199,393,318,279
0.495,286,2617,2994,4288,200,342,312,302
0.505,306,2616,2989,4257,190,316,317,295
0.515,319,2617,2979,4212,218,349,287,339
0.525,332,2620,2961,4139,210,388,239,382
0.535,351,2620,2941,4173,191,403,220,401
0.545,384,2610,2928,4187,205,377,296,437
0.555,434,2589,2928,4198,269,348,371,445
0.565,470,2561,2945,4225,286,330,345,434
0.575,491,2531,2964,4242,299,310,360,430
0.585,523,2506,3027,4271,274,339,318,420
0.595,560,2488,3072,4393,225,394,312,455
0.605,582,2475,3123,4519,185,422,280,437
0.615,602,2464,3164,4557,201,451,264,423
0.625,629,2453,3179,4445,181,448,300,398
0.635,655,2431,3166,4312,204,441,323,412
0.645,633,2383,3133,4289,178,433,331,386
0.655,614,2315,3091,4227,198,429,334,387
0.665,552,2282,3051,4207,216,419,332,356
0.675,503,2201,3031,4395,193,391,317,363
0.685,523,2068,2988,4348,183,391,342,345
0.695,590,1988,2930,4255,206,371,356,338
0.705,635,1912,2871,4192,221,340,350,372
0.715,670,1845,2833,4197,232,341,309,369
0.725,713,1794,2831,4224,232,330,293,376
0.735,782,1750,2826,4309,234,327,315,384
0.745,797,1684,2815,4372,249,339,306,416
0.755,814,1601,2812,4403,229,351,329,394
0.765,829,1541,2811,4376,295,379,301,402
