sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,642,1476,2566,3723,247,268,390,467
0.015,743,1610,2509,3781,303,279,366,462
0.025,815,1732,2590,3813,269,297,394,514
0.035,872,1752,2743,3863,248,302,418,505
0.045,900,1790,2814,3890,249,321,425,502
0.055,924,1860,2809,4006,243,336,385,478
0.065,968,1854,2794,3981,238,344,352,449
0.075,1009,1885,2840,4062,274,308,378,430
0.085,982,1847,2802,4084,262,343,309,457
0.095,925,1917,2764,4163,270,327,318,463
0.105,898,1832,2769,4181,259,316,300,459
0.115,872,1760,2758,4081,230,346,300,481
0.125,900,1810,2818,4119,271,345,357,500
0.135,780,1872,2882,4130,271,313,422,471
0.145,615,1862,2965,4176,221,293,384,437
0.155,526,1797,2991,4285,218,267,362,411
0.165,555,1706,2985,4226,204,289,303,386
0.175,550,1741,2996,4294,159,282,335,355
0.185,490,1675,2951,4286,158,291,323,363
0.195,526,1683,2987,4353,174,333,306,410
0.205,520,1713,3007,4305,204,300,312,421
0.215,482,1752,3035,4239,255,320,350,447
0.225,426,1777,3076,4266,292,343,374,442
0.235,379,1755,3113,4300,313,362,390,467
0.245,360,1681,3127,4325,278,361,360,462
0.255,355,1609,3127,4314,283,349,375,482
0.265,357,1554,3127,4223,249,325,374,481
0.275,362,1507,3136,4129,275,308,359,491
0.285,368,1455,3141,4159,263,289,388,474
0.295,369,1402,3130,4111,255,317,382,452
0.305,367,1354,3103,4029,243,306,387,432
0.315,369,1315,3073,3992,214,312,386,459
0.325,380,1302,3036,4001,198,328,347,463
0.335,394,1334,2915,4023,255,327,340,467
0.345,410,1403,2775,3931,328,226,309,449
0.355,434,1490,2702,3867,300,217,359,474
0.365,473,1575,2600,4003,255,246,397,487
0.375,519,1633,2509,4150,250,275,382,470
0.385,561,1635,2472,4241,202,264,397,424
0.395,605,1722,2441,4304,165,266,358,416
0.405,657,1691,2423,4384,164,290,323,422
0.415,685,1634,2450,4489,162,296,330,452
0.425,697,1580,2508,4616,171,277,333,417
0.435,723,1507,2570,4686,176,261,345,391
0.445,730,1446,2647,4669,175,279,359,394
0.455,723,1398,2776,4607,189,277,357,426
0.465,736,1358,2918,4603,181,287,382,421
0.475,736,1318,3054,4621,195,295,390,420
0.485,737,1291,3215,4527,198,301,387,420
0.495,735,1291,3270,4320,227,319,403,452
0.505,726,1290,3277,4334,177,361,416,470
0.515,709,1293,3279,4253,226,352,407,469
0.525,684,1314,3254,4190,254,332,339,466
0.535,659,1351,3207,4215,245,331,346,462
0.545,635,1399,3155,4165,235,325,356,456
0.555,611,1466,3105,4126,290,292,331,468
0.565,600,1534,3042,4169,350,337,325,467
0.575,600,1584,2988,4070,327,294,357,438
