sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,453,1493,2495,3739,238,301,338,430
0.015,408,1471,2418,3669,248,339,344,433
0.025,467,1534,2459,3616,237,306,350,435
0.035,561,1489,2459,3576,244,302,307,443
0.045,635,1437,2510,3663,303,318,302,431
0.055,693,1452,2447,3640,292,292,339,420
0.065,746,1507,2495,3668,260,328,318,443
0.075,720,1581,2541,3644,276,308,320,449
0.085,774,1612,2575,3641,255,329,314,459
0.095,753,1704,2611,3705,236,330,339,454
0.105,850,1785,2583,3685,294,331,389,455
0.115,874,1829,2554,3770,271,332,362,435
0.125,852,1801,2679,3833,275,302,352,445
0.135,904,1826,2683,3869,250,327,384,447
0.145,794,1849,2734,3901,229,323,403,477
0.155,614,1846,2813,4055,232,311,375,458
0.165,568,1781,2902,4265,202,307,340,404
0.175,536,1725,2952,4388,175,297,311,402
0.185,514,1672,2944,4390,175,306,302,369
0.195,500,1623,2920,4297,197,322,319,421
0.205,489,1585,2874,4255,290,339,338,428
0.215,479,1564,2983,4379,324,356,373,436
0.225,468,1551,2981,4429,266,377,392,423
0.235,458,1526,2979,4488,271,337,372,435
0.245,450,1488,3007,4537,268,321,390,460
0.255,444,1450,2939,4473,260,339,363,427
0.265,442,1426,2938,4433,255,351,376,459
0.275,444,1423,2899,4432,260,317,371,480
0.285,449,1432,2916,4461,252,311,353,485
0.295,457,1448,2817,4421,233,343,334,463
0.305,470,1468,2875,4463,238,334,340,480
0.315,485,1467,2865,4522,224,339,343,477
0.325,502,1502,2897,4525,241,328,323,426
0.335,520,1520,2933,4430,235,351,339,432
0.345,540,1627,2796,4339,234,287,296,431
0.355,561,1636,2739,4190,202,276,299,399
0.365,582,1666,2644,4001,197,258,310,428
0.375,604,1704,2540,3872,207,264,328,423
0.385,626,1736,2452,3770,201,250,343,409
0.395,647,1750,2401,3795,203,249,361,381
0.405,668,1747,2373,3842,205,262,362,392
0.415,687,1745,2350,3772,210,254,367,391
0.425,703,1750,2324,3694,207,255,364,387
0.435,716,1755,2294,3673,198,260,370,400
0.445,727,1747,2266,3696,199,274,341,396
0.455,736,1714,2247,3664,204,286,322,366
0.465,742,1643,2246,3640,209,279,329,393
0.475,738,1593,2267,3634,216,325,310,398
0.485,717,1555,2173,3681,181,321,339,383
0.495,677,1496,2158,3675,169,335,327,383
0.505,634,1479,2185,3693,171,336,322,377
0.515,609,1493,2214,3703,170,347,313,360
0.525,604,1541,2271,3710,178,353,306,352
0.535,614,1603,2407,3752,189,344,309,355
0.545,630,1665,2550,3817,181,342,332,380
0.555,645,1727,2682,3922,177,350,340,410
0.565,657,1834,2806,3963,185,335,350,413
0.575,669,1887,2908,4141,152,305,374,419
0.585,681,1944,3015,4260,176,278,387,396
0.595,689,1985,3063,4351,199,317,327,370
0.605,681,1993,3082,4479,222,365,273,383
0.615,663,1975,3098,4491,238,370,266,356
0.625,652,1948,3108,4390,244,376,267,373
0.635,652,1929,3111,4280,236,342,326,386
0.645,656,1941,3107,4186,244,346,344,343
0.655,657,1992,3096,4133,223,321,366,369
0.665,655,2010,3084,4057,211,307,348,373
0.675,654,1963,3077,4030,203,297,336,372
0.685,660,1922,3069,4003,199,293,328,373
0.695,671,1856,3051,3942,204,300,326,389
0.705,683,1727,3022,3893,214,328,325,396
0.715,691,1647,2998,3841,225,365,322,392
0.725,693,1601,2973,3776,242,326,302,393
0.735,691,1544,2937,3776,204,323,321,384
0.745,687,1458,2910,3780,241,341,371,441
0.755,681,1373,2907,3831,322,270,348,479
0.765,673,1324,2912,3943,338,286,308,507
0.775,660,1297,2907,3941,245,326,306,487
0.785,643,1282,2894,4029,225,352,314,476
0.795,621,1314,2881,4073,217,365,317,461
0.805,599,1431,2874,4068,272,309,343,452
0.815,578,1584,2875,4108,312,324,337,448
0.825,562,1701,2886,4131,287,300,373,461
0.835,549,1765,2906,4167,230,320,378,426
0.845,538,1776,2929,4216,207,313,364,409
0.855,529,1759,2949,4297,187,295,368,404
0.865,520,1752,2968,4373,206,342,348,409
0.875,515,1755,2989,4362,225,351,365,421
0.885,514,1758,3015,4346,323,378,413,452
0.895,516,1764,3045,4373,341,388,403,460
0.905,517,1785,3080,4316,349,378,408,456
0.915,512,1826,3115,4222,327,370,407,456
0.925,500,1871,3136,4203,289,353,374,449
0.935,489,1901,3140,4164,273,335,355,432
0.945,485,1915,3135,4149,266,342,354,433
0.955,496,1910,3126,4150,265,325,369,421
0.965,525,1890,3110,4105,255,348,388,425
0.975,565,1857,3080,4088,241,356,380,429
0.985,601,1815,3043,4152,243,336,384,440
0.995,627,1763,3005,4225,243,327,365,456
1.005,646,1697,2973,4148,216,306,396,455
1.015,662,1625,2942,4157,173,340,344,420
1.025,681,1566,2913,4110,182,337,314,418
1.035,704,1543,2888,4004,197,319,301,417
1.045,726,1576,2871,3907,188,316,298,414
1.055,744,1582,2861,3859,181,321,292,407
1.065,756,1607,2878,3883,166,336,285,415
1.075,765,1655,2895,3868,167,330,284,411
1.085,772,1674,2911,3858,172,325,295,407
1.095,779,1692,2929,3861,168,324,296,407
1.105,788,1731,2947,3866,167,315,295,403
1.115,800,1764,2961,3890,161,316,289,401
1.125,812,1787,2969,3923,169,320,287,397
1.135,822,1772,2976,3882,179,313,301,377
1.145,829,1796,2988,3949,176,309,289,389
1.155,831,1819,3001,3993,171,313,291,392
1.165,827,1843,3011,4014,178,310,310,401
1.175,816,1906,3015,4030,182,322,318,404
1.185,799,1925,3014,4077,184,315,351,423
1.195,775,1925,3007,4167,181,323,356,429
1.205,747,1920,3030,4259,182,343,342,419
1.215,718,1898,3017,4364,211,364,342,431
1.225,690,1932,3021,4441,230,364,367,443
1.235,667,1950,3036,4457,295,355,367,449
1.245,647,2023,3051,4434,263,337,371,451
1.255,629,2038,3060,4482,303,331,372,458
1.265,612,2047,3068,4341,321,361,372,454
1.275,595,2047,3079,4267,347,297,399,478
1.285,576,2039,3088,4197,323,315,409,474
1.295,556,2023,3085,4152,302,337,339,479
1.305,536,2005,3073,4148,255,359,343,434
1.315,515,1987,3065,4192,223,334,373,459
1.325,494,1969,3060,4156,213,361,361,462
1.335,475,1948,3054,4036,248,356,336,450
1.345,460,1924,3042,4052,239,331,343,433
1.355,451,1903,3025,4206,257,321,332,452
1.365,447,1893,3008,4314,231,353,332,425
1.375,448,1901,2988,4301,211,341,315,381
1.385,450,1915,2955,4269,206,318,289,354
1.395,452,1897,2914,4326,224,345,266,341
1.405,450,1843,2892,4349,211,337,275,337
1.415,442,1797,2886,4319,249,395,248,360
1.425,426,1792,2884,4403,248,417,253,391
1.435,394,1806,2879,4418,226,408,262,417
1.445,382,1834,2881,4415,224,416,269,405
1.455,365,1886,2904,4390,211,392,290,409
1.465,362,1959,2937,4337,200,380,283,384
1.475,380,2043,2961,4357,190,377,287,374
1.485,404,2149,2975,4335,199,420,291,383
1.495,398,2270,2999,4256,226,426,275,352
1.505,377,2367,3051,4195,242,426,220,332
1.515,390,2470,3134,4130,233,447,227,336
1.525,392,2591,3187,4144,217,430,211,331
1.535,409,2657,3194,4160,208,416,193,327
1.545,410,2670,3206,4168,200,406,198,324
1.555,419,2653,3204,4184,189,394,209,325
1.565,423,2621,3176,4189,187,388,211,322
1.575,421,2586,3153,4144,183,382,235,309
1.585,427,2543,3159,4099,181,341,256,299
