sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,582,1401,2450,3628,244,300,370,452
0.015,627,1407,2451,3633,268,296,337,437
0.025,602,1497,2474,3618,271,317,327,460
0.035,554,1526,2465,3635,270,323,332,468
0.045,582,1409,2458,3694,308,313,323,449
0.055,582,1488,2401,3697,257,319,307,437
0.065,637,1521,2491,3716,265,326,314,445
0.075,681,1453,2551,3707,287,308,322,461
0.085,667,1495,2493,3661,283,303,333,423
0.095,700,1530,2505,3609,289,321,317,426
0.105,679,1552,2574,3553,256,295,342,428
0.115,681,1570,2501,3592,268,308,331,406
0.125,666,1611,2499,3629,306,302,303,409
0.135,667,1726,2506,3656,307,299,326,431
0.145,598,1815,2476,3638,276,327,274,392
0.155,388,1870,2663,3691,260,366,281,390
0.165,333,1990,2821,3787,232,406,297,396
0.175,320,2116,2870,3860,175,398,262,392
0.185,333,2211,2934,3940,163,377,256,394
0.195,325,2245,3017,3969,171,337,303,404
0.205,340,2232,2950,3973,171,375,274,383
0.215,318,2149,3154,4078,186,342,275,398
0.225,325,2096,2999,4128,211,354,286,396
0.235,326,1997,2972,4040,224,333,351,428
0.245,324,1889,2881,4011,244,327,337,428
0.255,330,1803,2808,4036,315,345,345,451
0.265,352,1717,2710,3954,312,355,331,441
0.275,396,1719,2719,3942,328,369,347,454
0.285,436,1698,2775,3940,346,384,328,450
0.295,461,1763,2826,3907,260,423,366,451
0.305,479,1873,2807,3855,250,417,386,434
0.315,497,1970,2724,3935,284,425,308,416
0.325,521,2060,2640,3899,255,410,302,451
0.335,553,2095,2630,3905,211,377,308,466
0.345,593,2109,2618,3926,201,349,313,450
0.355,626,2089,2553,4053,179,316,326,476
0.365,639,2053,2558,4159,165,307,306,493
0.375,643,2019,2546,4150,156,288,311,448
0.385,649,1996,2603,4102,156,266,306,406
0.395,660,1960,2642,4116,160,261,317,405
0.405,660,1921,2653,4129,163,272,308,393
0.415,642,1905,2642,4140,166,265,313,390
0.425,636,1862,2612,4123,164,277,313,389
0.435,625,1785,2569,4119,165,290,306,386
0.445,605,1706,2514,4110,167,295,315,390
0.455,588,1638,2439,4054,164,301,323,398
0.465,574,1586,2333,4008,169,300,319,396
0.475,561,1515,2218,3949,158,316,321,393
0.485,548,1482,2164,3896,175,300,330,405
0.495,534,1391,2193,3809,183,312,316,418
0.505,523,1330,2268,3758,214,307,341,442
0.515,521,1299,2349,3714,243,324,353,440
0.525,522,1239,2394,3672,286,328,352,434
0.535,522,1185,2362,3699,298,302,340,450
0.545,521,1153,2432,3721,301,309,330,462
0.555,522,1114,2473,3745,288,334,351,437
0.565,522,1066,2511,3761,275,346,366,424
0.575,521,1034,2534,3846,279,337,345,414
0.585,516,1020,2555,3918,241,319,379,412
0.595,503,1016,2585,3974,236,347,387,421
0.605,484,1013,2623,4084,177,315,425,417
0.615,470,1012,2660,4220,179,276,420,421
0.625,462,1022,2689,4373,182,281,399,422
0.635,456,1042,2707,4412,194,285,368,429
0.645,445,1062,2720,4514,202,281,339,463
