sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,567,1493,2538,3628,258,298,353,435
0.015,620,1561,2493,3610,278,325,355,467
0.025,654,1597,2430,3628,278,342,319,460
0.035,707,1466,2404,3611,272,352,311,435
0.045,711,1459,2478,3734,287,331,304,420
0.055,724,1461,2481,3795,310,316,320,419
0.065,716,1467,2477,3840,306,320,336,439
0.075,816,1474,2540,3845,294,356,331,473
0.085,888,1476,2558,3863,260,356,336,447
0.095,950,1470,2600,3976,242,341,367,461
0.105,994,1452,2628,4023,255,321,375,472
0.115,940,1417,2589,4082,228,336,391,470
0.125,844,1369,2639,4153,252,363,348,467
0.135,687,1318,2556,4278,261,362,329,469
0.145,622,1282,2408,4475,208,352,310,433
0.155,531,1288,2452,4513,212,308,316,387
0.165,513,1370,2482,4417,202,298,327,372
0.175,447,1586,2510,4429,179,316,311,369
0.185,440,2064,2546,4386,188,338,278,372
0.195,431,2152,2601,4368,186,349,279,355
0.205,422,2111,2683,4411,183,352,268,333
0.215,411,2139,2750,4310,171,369,262,326
0.225,401,2205,2776,4214,177,368,272,295
0.235,392,2271,2819,4262,166,357,292,341
0.245,384,2307,2895,4251,181,339,361,375
0.255,377,2302,2951,4287,183,351,373,417
0.265,373,2273,2963,4356,240,352,383,398
0.275,370,2237,2929,4414,257,391,348,410
0.285,370,2209,2853,4429,263,408,308,430
0.295,372,2205,2754,4402,215,393,284,388
0.305,376,2242,2674,4361,189,398,269,363
0.315,382,2303,2628,4388,165,382,270,368
0.325,390,2236,2607,4402,166,375,293,362
0.335,400,2108,2603,4390,158,341,292,348
0.345,412,2033,2607,4267,149,357,265,353
0.355,425,1991,2614,4216,152,374,284,354
0.365,442,1965,2622,4183,163,360,305,388
0.375,466,1936,2633,4216,176,357,314,439
0.385,497,1895,2651,4345,168,405,307,459
0.395,535,1843,2676,4480,160,407,302,483
0.405,574,1809,2707,4610,158,388,325,469
0.415,616,1800,2744,4591,165,360,322,412
0.425,728,1788,2785,4491,185,329,352,421
0.435,742,1773,2824,4423,210,333,369,427
0.445,760,1757,2858,4363,218,309,378,419
0.455,780,1742,2960,4340,205,292,386,440
0.465,803,1729,2963,4219,228,278,396,468
0.475,826,1720,2973,4053,220,283,390,475
0.485,848,1715,2985,3926,214,302,378,420
0.495,869,1716,2995,3877,215,274,367,414
0.505,887,1720,3000,3857,211,286,361,414
0.515,901,1724,2997,3927,206,298,331,421
0.525,906,1728,2982,3959,199,300,326,436
0.535,901,1731,2950,3983,195,277,324,432
0.545,881,1733,2903,4091,196,298,327,418
0.555,845,1734,2846,4246,198,271,328,426
0.565,803,1735,2787,4289,204,276,306,397
0.575,764,1735,2734,4254,197,282,305,390
0.585,737,1736,2693,4220,206,285,309,386
0.595,719,1738,2668,4173,197,289,315,398
0.605,709,1740,2642,4113,201,297,334,419
0.615,703,1743,2586,4024,202,299,373,431
0.625,696,1768,2472,3947,195,293,410,436
0.635,687,1744,2297,3864,175,313,390,425
0.645,672,1720,2135,3893,169,291,369,405
0.655,654,1696,2041,3926,169,289,339,390
0.665,635,1613,2012,3972,174,304,319,388
0.675,619,1556,2037,3997,182,313,329,394
0.685,609,1477,2107,4000,176,307,329,405
0.695,608,1466,2198,4053,156,296,331,400
0.705,619,1501,2279,4026,156,288,334,415
0.715,640,1542,2346,4015,160,294,342,421
0.725,672,1582,2406,4011,172,296,330,424
0.735,713,1616,2463,4004,185,304,328,414
0.745,764,1643,2524,3947,199,279,323,433
0.755,824,1660,2594,3905,220,291,339,437
0.765,890,1670,2663,3897,228,308,362,437
0.775,945,1678,2720,3912,201,306,371,441
0.785,959,1686,2753,3940,198,321,377,442
0.795,933,1688,2767,3978,195,307,367,441
0.805,921,1683,2769,4023,192,309,367,440
0.815,933,1677,2765,4043,204,304,369,439
0.825,921,1683,2764,4066,214,308,363,433
0.835,858,1710,2771,4110,182,297,362,422
0.845,798,1728,2786,4156,171,311,373,426
0.855,759,1760,2803,4166,167,308,360,406
0.865,731,1804,2822,4206,160,297,338,407
0.875,707,1844,2837,4227,163,282,347,408
0.885,675,1862,2847,4208,163,311,337,405
0.895,627,1851,2850,4165,164,306,339,402
0.905,542,1811,2849,4204,200,297,341,417
0.915,518,1754,2846,4105,233,320,315,394
0.925,499,1735,2843,4100,221,311,321,449
0.935,484,1735,2842,4143,204,330,310,438
0.945,471,1734,2845,4200,201,336,350,435
0.955,460,1743,2853,4317,202,334,371,435
0.965,452,1766,2868,4377,193,297,367,421
0.975,446,1802,2891,4377,171,261,383,400
0.985,441,1837,2917,4478,176,276,377,392
0.995,437,1874,2929,4536,163,270,352,398
1.005,433,1917,2911,4582,177,266,320,390
1.015,429,1953,2859,4666,186,287,302,399
1.025,424,1962,2786,4623,172,280,316,433
1.035,418,1923,2710,4613,169,312,329,425
1.045,410,1896,2644,4558,221,309,383,465
1.055,402,1875,2594,4575,259,364,385,408
1.065,395,1844,2558,4575,359,396,423,454
1.075,391,1813,2535,4568,344,391,400,439
1.085,391,1763,2522,4513,318,404,324,461
1.095,395,1715,2517,4511,290,400,337,487
1.105,403,1734,2519,4475,277,336,348,471
1.115,413,1681,2526,4476,258,337,367,460
1.125,427,1686,2537,4484,264,331,365,444
1.135,443,1682,2550,4452,301,320,328,420
1.145,461,1662,2566,4353,289,331,322,447
1.155,479,1726,2586,4340,281,336,343,455
1.165,498,1741,2608,4398,256,356,333,447
1.175,516,1810,2635,4390,274,330,361,460
1.185,532,1777,2665,4230,299,290,385,481
1.195,546,1827,2700,4092,243,308,384,459
1.205,556,1889,2739,4130,186,287,352,400
1.215,561,1977,2782,4188,168,291,321,377
1.225,563,2022,2831,4269,156,289,323,374
1.235,562,2045,2883,4312,147,294,328,378
1.245,561,2061,2933,4313,148,292,329,379
1.255,561,2077,2971,4310,143,320,324,384
1.265,559,2095,2991,4345,137,329,323,389
1.275,549,2136,2999,4367,157,344,340,399
1.285,528,2153,2999,4397,169,342,314,408
1.295,502,2182,2996,4418,178,329,325,409
1.305,473,2192,2990,4293,193,346,335,411
1.315,448,2196,2982,4174,224,343,361,392
1.325,430,2146,2973,4217,225,391,321,373
1.335,418,2197,2963,4123,242,404,382,362
1.345,411,2203,2952,4190,269,339,389,396
1.355,408,2188,2941,4245,287,362,354,350
1.365,408,2154,2932,4315,273,331,392,349
1.375,410,2027,2925,4332,289,327,354,346
1.385,414,1918,2921,4291,291,356,352,381
1.395,419,1904,2920,4324,296,355,359,371
1.405,424,1790,2924,4372,284,307,377,401
1.415,430,1733,2932,4230,213,292,333,409
1.425,435,1674,2941,4222,204,304,319,402
1.435,439,1571,2951,4214,204,287,307,398
1.445,444,1381,2959,4248,185,286,314,399
1.455,448,1274,2965,4271,201,313,353,397
1.465,453,1247,2968,4241,206,285,314,389
1.475,459,1264,2968,4222,207,285,307,391
1.485,467,1312,2966,4241,179,291,284,417
1.495,476,1391,2963,4371,189,322,319,416
1.505,488,1506,2958,4329,143,273,306,417
1.515,501,1650,2953,4294,175,289,318,404
1.525,514,1814,2947,4333,189,303,326,406
1.535,528,1987,2940,4307,191,322,329,417
1.545,540,2123,2934,4371,179,337,369,411
1.555,551,2208,2929,4380,186,334,343,418
1.565,559,2249,2925,4290,176,311,354,414
1.575,563,2246,2922,4182,172,309,349,424
1.585,563,2195,2921,4057,157,297,357,401
1.595,557,2026,2922,3960,151,340,371,431
1.605,548,1712,2925,4065,176,355,351,433
1.615,541,1579,2927,4146,177,339,313,432
1.625,538,1545,2928,4193,175,322,286,429
1.635,538,1525,2928,4198,172,301,275,424
1.645,540,1561,2923,4213,177,303,264,428
1.655,542,1563,2914,4148,181,313,302,419
1.665,541,1613,2902,4166,173,311,337,414
1.675,538,1731,2887,4288,183,323,353,409
1.685,533,1867,2872,4379,164,310,350,410
1.695,525,1974,2859,4366,173,321,346,405
1.705,516,2030,2848,4449,167,343,344,414
1.715,504,2057,2841,4571,159,338,344,406
1.725,492,2084,2840,4542,176,343,367,384
1.735,477,2116,2844,4545,170,339,399,418
1.745,461,2146,2855,4506,197,329,400,449
1.755,444,2168,2870,4414,212,334,347,450
1.765,428,2181,2886,4301,266,327,363,457
1.775,414,2188,2902,4186,294,356,356,416
1.785,404,2193,2915,4182,333,371,335,397
1.795,397,2199,2921,4099,319,378,332,389
1.805,394,2207,2920,4104,307,359,340,386
1.815,392,2212,2914,4102,247,354,369,385
1.825,391,2209,2904,4137,215,346,326,399
1.835,391,2193,2894,4239,222,326,347,422
1.845,391,2170,2886,4346,215,314,330,407
1.855,391,2148,2882,4446,213,316,333,410
1.865,392,2131,2884,4556,210,312,339,401
1.875,392,2112,2892,4565,193,324,342,386
1.885,392,2079,2904,4669,193,334,315,402
1.895,392,2033,2918,4700,191,344,308,392
1.905,392,1977,2932,4644,180,338,313,407
1.915,392,1914,2946,4622,183,323,333,425
1.925,391,1855,2957,4672,183,295,363,446
1.935,391,1801,2965,4662,189,319,366,423
1.945,391,1751,2968,4653,206,306,385,473
1.955,391,1703,2969,4609,241,311,387,461
1.965,394,1654,2967,4500,230,364,365,444
1.975,420,1603,2965,4397,244,356,360,451
1.985,442,1553,2962,4414,276,319,346,492
1.995,461,1510,2960,4442,262,337,373,434
2.005,481,1478,2961,4353,211,342,370,443
2.015,501,1453,2963,4283,247,350,335,437
2.025,524,1433,2964,4242,271,349,313,448
2.035,549,1419,2964,4153,284,348,304,454
2.045,573,1414,2960,4054,282,321,316,450
2.055,595,1420,2950,3991,281,320,316,444
2.065,614,1441,2939,4001,236,311,340,430
2.075,631,1478,2928,3982,163,284,355,418
2.085,646,1523,2922,4039,143,312,377,424
2.095,658,1559,2922,4081,145,303,365,425
2.105,668,1593,2929,4115,148,303,381,428
2.115,676,1640,2939,4183,149,282,392,431
2.125,682,1659,2951,4272,150,302,376,428
2.135,674,1727,2960,4245,155,294,369,411
2.145,702,1758,2965,4239,165,313,377,400
2.155,676,1791,2966,4214,180,296,364,407
2.165,617,1853,2965,4124,174,298,355,410
2.175,650,1905,2962,3987,150,275,357,409
2.185,616,1952,2958,3979,168,287,352,435
2.195,588,1989,2954,4025,170,353,303,433
2.205,565,2008,2952,4039,176,353,288,434
2.215,549,2008,2951,4040,170,340,294,440
2.225,538,2003,2955,4073,164,341,292,433
2.235,532,2011,2962,4080,167,348,295,440
2.245,530,2040,2973,4084,173,354,290,440
2.255,532,2076,2986,4019,159,398,270,428
2.265,536,2105,2996,4058,187,390,273,435
2.275,544,2146,3000,4001,217,407,243,426
2.285,553,2238,2995,3999,210,440,270,417
2.295,565,2396,2984,4014,199,461,264,414
2.305,578,2522,2972,4036,192,456,250,418
2.315,587,2571,2962,4080,202,458,247,424
2.325,591,2581,2960,4115,201,463,243,421
2.335,590,2585,2962,4149,197,469,269,424
2.345,590,2585,2964,4218,199,463,277,408
2.355,594,2572,2960,4254,211,456,293,396
2.365,607,2537,2947,4320,198,452,293,400
2.375,627,2463,2925,4355,197,437,320,392
2.385,645,2313,2899,4352,159,381,323,398
2.395,654,2182,2873,4392,164,390,316,428
2.405,656,2079,2851,4472,155,387,303,464
2.415,655,2045,2837,4479,156,386,296,466
2.425,654,2014,2831,4382,153,354,288,466
2.435,652,1985,2832,4316,148,336,278,464
2.445,649,1959,2838,4352,190,333,288,469
2.455,644,1937,2848,4304,222,316,279,502
2.465,636,1917,2861,4280,262,340,320,509
2.475,625,1900,2873,4339,258,318,316,511
2.485,612,1886,2884,4363,266,362,338,493
2.495,596,1876,2892,4359,274,343,332,466
2.505,581,1867,2897,4415,228,339,364,433
2.515,569,1859,2899,4419,210,325,391,418
2.525,560,1851,2899,4339,192,301,388,413
2.535,545,1843,2896,4297,182,283,372,411
2.545,516,1835,2891,4307,202,308,340,402
2.555,477,1830,2883,4296,203,296,320,391
2.565,444,1827,2873,4313,198,317,314,383
2.575,430,1828,2862,4308,207,307,362,418
2.585,430,1833,2851,4298,238,359,363,431
2.595,437,1842,2842,4239,241,364,340,436
2.605,443,1856,2836,4246,226,340,338,418
2.615,449,1871,2834,4212,232,335,333,409
2.625,456,1886,2838,4258,259,320,368,445
2.635,464,1901,2850,4307,334,359,343,440
2.645,470,1919,2868,4312,260,337,339,442
2.655,474,1940,2891,4404,215,321,356,411
2.665,476,1958,2917,4399,195,288,371,404
2.675,477,1959,2942,4397,204,307,345,397
2.685,477,1967,2965,4360,202,281,347,401
2.695,476,1986,2984,4233,272,363,348,451
2.705,476,1998,2997,4158,328,357,357,450
2.715,476,2005,3001,4083,357,357,423,445
2.725,477,2009,2996,3987,336,373,371,452
2.735,479,2009,2985,3864,305,330,362,477
2.745,483,2009,2969,3870,251,358,325,478
2.755,489,2008,2950,3805,290,312,346,463
2.765,498,2008,2930,3813,274,341,326,436
2.775,509,2009,2911,3798,202,370,321,431
2.785,523,2012,2895,3811,189,380,326,469
2.795,537,2013,2883,3762,197,387,340,455
2.805,551,2010,2880,3839,207,391,357,452
2.815,564,1999,2886,4004,197,329,365,458
2.825,576,1982,2904,4170,202,302,424,484
2.835,587,1961,2937,4329,173,290,422,468
2.845,597,1940,2982,4424,173,293,411,474
2.855,608,1922,3029,4392,185,281,410,448
2.865,618,1903,3070,4365,178,273,384,435
2.875,627,1872,3097,4382,181,281,353,434
2.885,632,1866,3110,4352,169,280,336,420
2.895,634,1875,3115,4321,179,274,342,431
2.905,635,1893,3116,4363,167,274,353,438
2.915,636,1912,3119,4426,173,298,366,457
2.925,637,1923,3122,4435,180,282,364,432
2.935,639,1935,3116,4447,175,271,363,440
2.945,641,1959,3096,4506,180,274,382,453
2.955,643,2002,3066,4665,186,285,368,472
2.965,645,2057,3033,4835,222,319,322,420
2.975,647,2108,3004,4923,218,336,332,432
2.985,648,2230,2986,4899,234,343,331,414
2.995,648,2299,2978,4785,224,313,364,444
3.005,648,2323,2979,4638,227,353,333,457
3.015,647,2328,2984,4454,299,299,364,478
3.025,644,2332,2991,4389,312,313,344,471
3.035,640,2336,2998,4398,303,327,313,484
3.045,632,2336,3002,4403,303,336,314,495
3.055,620,2330,3001,4337,264,343,345,460
3.065,604,2321,2998,4355,203,391,306,460
3.075,584,2308,2992,4437,253,349,319,450
3.085,564,2198,2984,4449,258,315,340,413
3.095,544,1952,2974,4473,189,320,391,400
3.105,527,1792,2964,4470,171,297,367,407
3.115,514,1758,2954,4444,165,313,337,420
3.125,508,1778,2943,4450,175,278,347,446
3.135,505,1825,2934,4415,197,349,349,431
3.145,502,1882,2926,4268,253,343,349,420
3.155,503,1952,2921,4288,309,364,322,409
3.165,512,2032,2917,4304,295,385,343,391
3.175,529,2098,2916,4180,298,412,331,414
3.185,553,2135,2916,4125,262,369,325,425
3.195,583,2150,2918,4004,259,336,321,442
3.205,616,2152,2919,3977,256,331,310,437
3.215,649,2148,2921,3984,233,351,321,466
3.225,680,2142,2921,4066,259,324,338,460
3.235,705,2138,2921,4178,227,327,377,453
3.245,722,2134,2921,4293,208,360,348,434
3.255,733,2124,2921,4433,216,350,368,447
3.265,740,2103,2921,4502,235,355,357,433
3.275,747,2063,2923,4508,219,326,396,419
3.285,755,1988,2925,4419,236,310,376,417
3.295,764,1977,2927,4374,244,302,375,434
3.305,775,1789,2928,4325,233,312,325,443
3.315,784,1671,2928,4274,183,317,334,465
3.325,792,1624,2926,4246,182,290,347,463
3.335,796,1679,2922,4237,178,299,357,442
3.345,791,1667,2915,4258,187,274,336,431
3.355,775,1646,2905,4281,174,291,331,442
3.365,750,1612,2893,4275,168,304,327,443
3.375,720,1608,2879,4265,158,284,316,417
3.385,691,1695,2864,4269,149,310,328,401
3.395,663,1730,2847,4311,139,266,315,408
3.405,640,1751,2829,4393,166,292,329,414
3.415,620,1781,2810,4487,150,286,324,423
3.425,602,1772,2792,4483,175,302,310,374
3.435,587,1804,2774,4488,182,295,322,395
3.445,573,1840,2756,4421,256,349,349,394
3.455,564,1800,2739,4474,339,378,374,363
3.465,557,1815,2724,4322,297,391,336,383
3.475,554,1830,2711,4207,270,388,385,376
3.485,550,1805,2700,4143,299,375,312,382
3.495,546,1757,2692,4054,301,365,329,390
3.505,542,1702,2686,3911,317,343,352,381
3.515,543,1653,2685,3783,307,375,360,419
3.525,546,1610,2686,3733,245,361,355,417
3.535,550,1568,2687,3665,246,329,352,401
3.545,551,1521,2687,3638,290,301,334,423
3.555,550,1461,2684,3575,276,314,336,428
3.565,548,1404,2680,3556,296,307,316,419
3.575,549,1370,2678,3650,292,319,304,430
3.585,557,1359,2684,3734,260,317,281,430
3.595,570,1366,2701,3820,270,296,303,449
3.605,589,1385,2727,3847,215,341,314,456
3.615,610,1407,2758,3772,191,313,357,451
3.625,633,1435,2790,3734,173,318,362,428
3.635,657,1484,2819,3729,172,300,365,421
3.645,682,1551,2843,3790,161,332,368,390
3.655,705,1611,2862,3842,168,304,368,389
3.665,737,1636,2875,3882,171,297,368,360
3.675,733,1673,2884,3849,165,277,367,377
3.685,735,1730,2887,3951,155,302,350,400
3.695,755,1814,2887,3954,160,292,349,419
3.705,758,1842,2885,4002,165,290,335,438
3.715,739,1902,2883,4067,172,294,328,445
3.725,692,1860,2881,4078,182,329,329,443
3.735,659,1934,2881,4106,159,346,324,445
3.745,671,1948,2882,4174,172,338,345,434
3.755,629,1936,2882,4258,166,337,357,416
3.765,594,1963,2881,4357,162,324,347,423
3.775,565,2010,2879,4321,178,329,336,420
3.785,513,2060,2874,4373,208,321,338,412
3.795,479,2094,2866,4357,215,313,345,439
