sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,614,1502,2378,3647,273,326,330,444
0.015,744,1556,2476,3688,227,352,302,485
0.025,827,1651,2566,3686,211,363,297,455
0.035,926,1744,2549,3654,230,378,295,474
0.045,858,1763,2636,3710,231,342,307,462
0.055,933,1747,2559,3695,248,353,317,434
0.065,911,1730,2717,3726,232,322,348,477
0.075,950,1797,2743,3712,251,359,361,467
0.085,1013,1810,2788,3780,245,373,352,470
0.095,944,1753,2855,3882,224,350,359,456
0.105,868,1739,2850,3859,202,366,309,472
0.115,869,1749,2921,3771,216,392,318,493
0.125,919,1774,2939,3742,208,432,281,471
0.135,786,1850,2945,3761,235,440,310,485
0.145,721,1936,3000,3803,212,395,343,438
0.155,716,2076,3057,3861,216,366,377,448
0.165,734,2046,3134,3980,208,289,376,446
0.175,752,1982,3144,4151,206,304,352,505
0.185,775,1875,3168,4351,169,328,322,485
0.195,792,1735,3241,4494,153,360,325,446
0.205,795,1593,3272,4532,160,392,331,411
0.215,786,1505,3277,4484,154,409,345,401
0.225,776,1432,3302,4440,182,411,342,401
0.235,759,1408,3399,4407,178,357,321,414
0.245,729,1404,3373,4335,177,350,315,431
0.255,697,1418,3254,4331,190,297,321,408
0.265,694,1478,3245,4275,171,345,327,410
0.275,687,1530,3305,4206,170,356,325,427
0.285,706,1584,3317,4115,204,351,358,459
0.295,755,1681,3241,4109,175,392,376,458
0.305,760,1851,3150,4009,172,420,395,450
0.315,787,2076,3092,3902,188,396,386,483
0.325,801,2199,2995,3777,197,363,402,459
0.335,778,2174,2950,3895,235,346,370,452
0.345,892,2136,2897,3903,246,350,374,458
0.355,940,2044,2856,3868,267,322,384,461
0.365,924,1929,2929,4001,282,314,387,481
0.375,947,1780,2913,4109,284,274,383,479
0.385,1044,1634,2937,4197,225,298,383,470
0.395,1083,1511,2981,4203,255,266,360,455
0.405,1009,1491,3021,4219,269,299,366,440
0.415,939,1512,3002,4220,274,294,343,456
0.425,880,1723,2755,4091,234,279,398,463
0.435,769,1866,2663,4013,260,235,433,448
0.445,653,1967,2614,4003,219,276,388,475
0.455,628,1980,2553,3987,255,284,355,441
0.465,629,1903,2590,3957,213,301,361,460
0.475,624,1792,2710,4030,192,315,343,457
0.485,618,1654,2766,4145,212,318,335,432
0.495,616,1575,2723,4195,222,294,310,404
0.505,626,1492,2655,4247,250,281,310,404
0.515,618,1450,2639,4222,239,269,302,408
0.525,588,1390,2607,4191,234,264,297,408
0.535,568,1388,2570,4108,246,277,287,393
0.545,576,1348,2546,4070,251,305,325,387
0.555,582,1348,2533,4080,234,306,345,394
0.565,596,1334,2513,4148,227,307,382,419
0.575,618,1311,2516,4207,223,323,418,427
0.585,620,1307,2530,4268,215,330,453,434
0.595,614,1301,2549,4290,216,342,450,374
0.605,624,1297,2572,4254,201,392,431,374
0.615,647,1298,2556,4261,192,356,378,403
0.625,674,1300,2511,4225,229,357,324,450
0.635,713,1290,2435,4266,307,315,321,437
0.645,716,1257,2471,4320,297,318,325,437
0.655,694,1207,2536,4266,323,327,365,443
0.665,664,1178,2516,4253,267,328,357,441
0.675,637,1161,2455,4260,287,348,364,415
0.685,614,1127,2480,4254,226,351,341,385
0.695,593,1131,2470,4447,208,348,395,431
0.705,574,1122,2473,4577,214,294,438,422
0.715,548,1173,2529,4631,173,308,454,436
0.725,540,1239,2569,4645,188,329,433,467
0.735,504,1328,2564,4679,177,360,416,441
0.745,463,1445,2498,4487,265,391,323,446
0.755,488,1491,2415,4428,319,319,299,465
0.765,497,1518,2401,4348,268,347,301,459
0.775,527,1517,2376,4302,252,313,341,430
0.785,510,1511,2470,4240,261,315,347,415
0.795,497,1521,2484,4246,269,308,333,445
0.805,522,1563,2483,4216,250,319,340,425
0.815,532,1606,2631,4159,271,300,307,427
0.825,568,1658,2700,4217,263,340,328,446
0.835,620,1697,2715,4332,306,335,327,443
0.845,679,1727,2702,4418,219,368,351,375
0.855,749,1773,2687,4381,239,355,357,372
0.865,820,1792,2695,4468,222,346,358,373
0.875,883,1791,2753,4452,213,318,354,398
0.885,959,1791,2885,4480,176,325,356,367
0.895,973,1791,3061,4409,196,322,366,398
0.905,973,1791,3164,4499,181,314,398,389
0.915,972,1790,3194,4569,189,312,410,367
0.925,959,1794,3195,4615,182,306,412,384
0.935,945,1766,3191,4681,174,307,395,405
0.945,932,1762,3191,4713,182,287,383,420
0.955,920,1761,3201,4772,181,303,379,414
0.965,934,1775,3218,4696,203,331,356,380
0.975,971,1762,3233,4526,304,331,343,458
0.985,971,1791,3233,4431,336,304,331,454
0.995,984,1789,3221,4311,282,324,324,423
1.005,1011,1753,3203,4221,288,310,343,455
1.015,1012,1649,3188,4172,294,298,342,443
1.025,1005,1512,3177,4148,301,293,342,437
1.035,935,1411,3170,4143,248,297,395,422
1.045,821,1344,3165,4165,145,357,430,442
1.055,748,1244,3158,4193,100,380,468,411
1.065,730,1131,3150,4238,87,347,453,390
1.075,699,1113,3141,4145,147,270,407,364
1.085,658,1099,3133,4092,147,281,387,371
1.095,658,1100,3130,4149,142,298,373,348
1.105,651,1091,3133,4119,132,292,372,344
1.115,646,1087,3147,4126,155,310,369,347
1.125,646,1094,3172,4148,146,288,364,348
1.135,654,1112,3203,4185,149,295,355,371
1.145,670,1147,3228,4174,175,273,361,387
1.155,693,1179,3235,4207,221,261,364,418
1.165,714,1190,3221,4236,228,271,380,416
1.175,729,1203,3197,4276,228,273,393,418
1.185,744,1206,3172,4282,226,286,397,397
1.195,771,1225,3156,4300,209,294,392,396
1.205,798,1239,3158,4286,229,311,400,386
1.215,809,1250,3176,4282,209,319,414,404
1.225,838,1281,3206,4273,217,322,401,403
1.235,874,1357,3244,4257,200,316,386,401
1.245,875,1451,3286,4251,188,316,359,410
1.255,820,1503,3330,4200,169,328,349,408
1.265,783,1579,3373,4188,167,314,372,439
1.275,761,1672,3412,4151,168,274,387,433
1.285,704,1684,3449,4283,204,333,352,472
1.295,628,1705,3483,4350,246,337,351,429
1.305,571,1701,3507,4391,240,352,357,424
1.315,531,1678,3509,4492,253,385,354,418
1.325,496,1677,3480,4531,306,403,321,371
1.335,467,1754,3422,4440,278,375,332,409
1.345,459,1898,3344,4341,249,355,308,408
1.355,461,2001,3248,4374,200,336,318,431
1.365,461,2004,3133,4452,212,337,323,446
1.375,451,2017,3018,4601,184,340,318,458
1.385,451,1996,2942,4733,176,329,348,451
1.395,484,1945,2905,4665,211,307,349,447
1.405,509,1940,2893,4544,284,344,368,446
1.415,509,1809,2890,4472,313,335,349,450
1.425,521,1762,2882,4419,309,342,344,461
1.435,540,1676,2857,4353,287,344,341,476
1.445,548,1574,2818,4351,287,326,340,472
1.455,549,1511,2774,4323,251,271,381,504
1.465,549,1444,2731,4294,286,268,421,498
1.475,549,1357,2697,4358,259,245,416,545
1.485,549,1302,2679,4477,172,287,418,481
1.495,546,1240,2678,4587,163,285,421,488
1.505,560,1226,2688,4690,164,310,413,444
1.515,568,1221,2706,4731,160,271,397,405
1.525,571,1189,2726,4692,160,291,404,407
1.535,573,1190,2743,4724,166,272,408,428
1.545,567,1193,2758,4735,173,261,415,429
1.555,555,1218,2772,4685,181,260,420,398
1.565,574,1247,2784,4727,182,265,420,429
1.575,563,1261,2797,4744,163,296,429,438
1.585,557,1359,2811,4749,164,323,444,440
1.595,552,1460,2825,4745,165,334,439,455
1.605,545,1515,2836,4758,167,357,416,461
1.615,566,1590,2842,4715,163,331,413,451
1.625,569,1698,2841,4664,158,289,428,488
