sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,570,1428,2522,3534,266,295,355,413
0.015,590,1475,2530,3528,297,270,339,436
0.025,665,1506,2469,3524,297,293,354,436
0.035,739,1568,2505,3552,292,300,330,424
0.045,790,1555,2572,3623,290,318,340,413
0.055,862,1533,2558,3677,294,310,319,447
0.065,869,1641,2579,3606,283,319,358,446
0.075,923,1625,2674,3698,259,330,354,435
0.085,954,1698,2718,3738,262,326,367,448
0.095,963,1733,2757,3772,267,311,364,416
0.105,934,1813,2768,3680,248,317,412,398
0.115,961,1811,2721,3762,261,320,379,381
0.125,959,1868,2728,3868,265,303,402,398
0.135,1004,1851,2642,3900,219,352,411,418
0.145,958,1854,2670,3950,233,357,362,431
0.155,1012,1792,2659,3902,243,368,350,457
0.165,975,1788,2698,3899,223,370,362,470
0.175,1023,1809,2740,3926,244,351,362,467
0.185,965,1794,2815,4000,229,341,346,465
0.195,948,1823,2798,4011,228,335,347,471
0.205,992,1815,2741,3967,228,356,352,444
0.215,867,1864,2704,4026,204,357,360,441
0.225,789,1811,2717,4028,257,318,359,433
0.235,714,1875,2663,3984,247,288,382,449
0.245,709,1867,2621,3994,301,276,381,456
0.255,744,1900,2581,3986,268,295,372,438
0.265,764,1861,2589,3986,320,299,350,418
0.275,786,1950,2598,4052,271,298,374,407
0.285,782,1905,2639,4098,300,260,414,415
0.295,843,1905,2667,4028,309,265,397,413
0.305,863,2044,2692,4051,315,275,378,415
0.315,873,1911,2802,4088,306,266,391,420
0.325,941,2044,2868,4102,286,273,403,409
0.335,937,2039,2951,4124,267,269,377,394
0.345,1005,1975,3027,4124,274,281,357,398
0.355,968,1976,3088,4177,272,275,353,400
0.365,956,1977,3100,4232,275,264,348,388
0.375,1001,1866,3161,4265,299,245,331,364
0.385,976,1832,3154,4169,276,263,335,362
0.395,912,1869,3103,4149,286,285,334,390
0.405,926,1895,3082,4198,295,259,331,361
0.415,928,1886,2955,4163,292,299,323,343
0.425,997,1999,3007,4175,279,288,343,371
0.435,1004,2028,3122,4112,253,274,357,393
0.445,995,2010,3124,4123,234,280,334,374
0.455,1003,2028,3036,4115,225,281,325,385
0.465,895,1950,3015,4117,223,296,320,417
0.475,903,1932,2965,4163,215,305,342,433
0.485,992,1882,2974,4196,237,323,339,435
0.495,967,1885,2921,4139,242,325,337,442
0.505,935,1884,2905,4156,243,324,343,444
0.515,842,1955,2926,4186,228,296,341,413
0.525,837,2052,2962,4273,260,296,350,408
0.535,718,1958,2980,4385,276,295,360,430
0.545,586,1968,2984,4463,202,303,321,428
0.555,557,1988,3007,4500,184,349,335,435
0.565,507,2070,2984,4439,208,323,329,418
0.575,485,2055,3015,4524,209,300,311,398
0.585,476,2079,3045,4577,188,306,298,363
0.595,471,2071,3009,4555,208,303,301,348
0.605,463,2028,2979,4541,215,297,306,364
0.615,453,1949,2948,4543,211,309,311,388
0.625,444,1884,2862,4544,229,303,318,402
0.635,440,1832,2783,4570,239,294,364,418
0.645,437,1732,2756,4465,220,291,380,441
0.655,433,1671,2700,4521,290,360,328,427
0.665,438,1531,2644,4454,306,382,338,432
0.675,471,1531,2619,4405,271,380,305,441
0.685,507,1519,2601,4412,276,357,334,458
0.695,521,1505,2565,4441,316,356,319,444
0.705,520,1504,2517,4442,265,375,320,448
0.715,523,1517,2513,4349,275,334,326,482
0.725,552,1543,2517,4346,247,340,346,467
0.735,594,1579,2549,4372,249,335,356,432
0.745,599,1608,2593,4486,242,353,349,415
0.755,587,1704,2665,4597,223,348,345,446
0.765,579,1784,2712,4575,232,324,344,402
0.775,580,1879,2746,4504,192,331,342,371
0.785,576,1931,2774,4421,196,286,328,346
0.795,554,1921,2787,4367,201,288,312,314
0.805,540,1890,2792,4295,188,292,286,329
0.815,540,1848,2782,4204,204,280,280,341
0.825,529,1814,2749,4111,223,307,316,374
0.835,522,1751,2683,4092,272,370,335,441
0.845,521,1473,2603,4151,288,385,275,462
0.855,524,1333,2549,4178,295,326,259,450
0.865,510,1300,2493,4202,298,314,273,439
0.875,482,1187,2430,4177,224,361,312,444
0.885,467,1129,2378,4146,214,370,307,445
0.895,461,1075,2339,4133,194,321,323,440
0.905,453,1031,2352,4138,182,345,339,425
0.915,449,1039,2482,4179,204,347,342,413
0.925,452,1037,2612,4163,184,321,358,398
0.935,466,1031,2682,4188,208,299,332,393
0.945,480,1044,2739,4232,219,302,308,393
0.955,497,1068,2812,4232,209,285,292,394
0.965,528,1087,2887,4222,214,301,287,388
0.975,535,1127,2922,4271,225,297,284,385
0.985,530,1172,2935,4258,212,299,284,372
0.995,531,1252,2949,4283,212,315,283,372
1.005,531,1328,2969,4306,213,301,273,372
1.015,531,1384,2974,4301,203,299,257,369
1.025,531,1434,2979,4292,185,305,247,379
1.035,531,1486,2984,4284,165,270,255,396
1.045,531,1546,2965,4335,178,279,258,412
1.055,531,1657,2985,4364,187,285,268,438
1.065,533,1735,2984,4410,174,284,286,460
1.075,520,1769,2947,4428,189,284,306,469
1.085,501,1812,2979,4417,262,356,329,446
1.095,502,1843,2933,4367,281,363,331,452
1.105,502,1873,2950,4428,344,355,340,461
1.115,506,1908,2948,4404,300,346,345,472
1.125,516,1945,2951,4465,327,378,387,471
1.135,536,1981,2954,4425,347,339,370,458
1.145,566,2003,2951,4479,307,356,385,462
1.155,610,2005,2936,4499,248,381,391,429
1.165,662,1999,2908,4396,214,408,360,390
1.175,710,1995,2863,4335,230,380,329,401
1.185,742,1993,2798,4278,232,348,335,398
1.195,772,1991,2724,4249,232,356,297,396
1.205,780,1983,2605,4050,190,326,308,448
1.215,784,1954,2501,4005,203,325,303,406
1.225,771,1941,2429,4048,201,301,292,403
1.235,737,1860,2392,4023,194,302,311,398
1.245,717,1800,2312,3959,173,273,310,408
1.255,711,1762,2234,3970,186,284,315,392
1.265,692,1744,2198,3950,193,297,307,393
1.275,653,1748,2196,3890,201,307,306,402
1.285,646,1617,2206,3909,207,298,305,399
1.295,636,1617,2230,3933,206,297,306,389
1.305,626,1617,2284,3945,209,290,311,390
1.315,624,1617,2361,3983,209,279,323,376
1.325,627,1617,2452,3973,214,267,333,375
1.335,627,1617,2555,3945,211,263,323,378
1.345,627,1617,2624,3946,211,269,333,385
1.355,631,1616,2675,3926,208,273,344,389
1.365,638,1617,2685,3928,206,282,349,405
1.375,644,1621,2703,3901,215,286,385,447
1.385,647,1628,2713,3846,225,277,429,507
1.395,646,1640,2723,3818,213,273,442,546
1.405,647,1652,2740,3761,215,337,416,516
