sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,493,1453,2539,3629,236,296,386,424
0.015,527,1454,2482,3681,245,323,351,415
0.025,565,1455,2447,3819,267,352,320,453
0.035,582,1424,2459,3918,295,313,317,475
0.045,574,1428,2391,3962,289,312,300,484
0.055,606,1413,2395,4002,281,323,303,477
0.065,583,1492,2376,4027,281,338,301,450
0.075,628,1466,2384,4018,298,320,299,471
0.085,641,1463,2376,3893,292,331,288,474
0.095,660,1490,2385,3822,299,323,302,489
0.105,714,1448,2435,3815,305,330,330,478
0.115,779,1486,2521,3815,305,288,315,457
0.125,787,1541,2560,3727,291,322,329,450
0.135,778,1570,2615,3754,288,316,345,443
0.145,852,1538,2657,3764,273,329,336,441
0.155,860,1591,2642,3733,290,311,346,436
0.165,841,1667,2715,3784,277,302,361,457
0.175,838,1658,2688,3836,244,340,317,438
0.185,870,1693,2704,3863,272,348,347,454
0.195,868,1687,2649,3933,259,317,345,443
0.205,828,1714,2576,3964,241,343,344,465
0.215,739,1660,2586,4049,324,331,355,466
0.225,544,1562,2519,4049,349,340,367,469
0.235,319,1401,2513,4008,306,288,336,445
0.245,401,1477,2498,4068,271,337,345,452
0.255,428,1548,2596,4192,227,308,304,435
0.265,463,1586,2671,4166,182,305,304,390
0.275,487,1632,2642,4179,170,292,295,388
0.285,502,1712,2599,4165,174,293,298,409
0.295,510,1780,2586,4186,186,294,298,448
0.305,507,1811,2597,4090,178,293,309,445
0.315,503,1880,2590,4004,186,303,318,446
0.325,510,1913,2566,3885,189,282,320,472
0.335,515,1894,2544,3769,180,300,340,464
0.345,538,1864,2523,3776,164,277,298,408
0.355,531,1813,2504,3763,167,318,291,408
0.365,551,1743,2478,3804,186,310,286,424
0.375,563,1662,2466,3682,182,302,289,430
0.385,598,1579,2403,3522,190,336,308,437
0.395,638,1497,2389,3402,210,303,307,420
0.405,640,1375,2354,3437,208,331,301,392
0.415,637,1251,2333,3464,222,309,304,361
0.425,641,1212,2356,3426,224,296,314,374
0.435,653,1125,2383,3376,222,300,326,389
0.445,662,1062,2386,3355,219,298,344,386
0.455,662,1021,2378,3368,211,302,341,398
0.465,655,978,2372,3368,197,301,333,372
0.475,645,950,2368,3354,199,300,327,365
0.485,631,941,2365,3323,208,301,335,330
0.495,609,950,2361,3311,199,315,310,352
0.505,580,981,2358,3394,221,316,332,362
0.515,548,1034,2375,3426,209,291,343,355
0.525,519,1070,2389,3376,222,276,341,400
0.535,494,1148,2386,3394,234,287,320,383
0.545,470,1161,2407,3412,238,288,307,398
0.555,444,1226,2470,3443,243,283,317,391
0.565,421,1276,2504,3536,250,322,326,397
0.575,408,1318,2550,3686,250,309,331,397
0.585,399,1353,2580,3856,241,307,323,381
0.595,377,1388,2615,3935,235,300,317,391
0.605,349,1447,2624,3969,213,331,304,440
0.615,337,1490,2596,3962,204,328,301,455
0.625,339,1535,2582,3893,201,333,302,478
0.635,332,1553,2510,3812,203,332,304,477
0.645,330,1536,2384,3707,205,330,317,499
0.655,337,1518,2369,3593,232,307,325,406
0.665,341,1520,2274,3393,218,329,314,416
0.675,335,1474,2195,3311,243,304,311,399
0.685,328,1382,2179,3290,233,300,314,369
0.695,327,1357,2134,3295,221,294,320,373
0.705,330,1359,2133,3296,225,291,302,371
0.715,333,1416,2136,3339,246,297,288,360
0.725,339,1512,2150,3356,232,311,296,372
0.735,355,1608,2159,3389,258,329,301,369
0.745,375,1671,2172,3392,253,290,290,380
0.755,396,1743,2227,3493,242,285,303,375
0.765,420,1814,2324,3612,229,295,303,380
0.775,445,1863,2425,3772,205,297,300,402
0.785,450,1910,2481,3810,219,285,293,429
0.795,461,1943,2527,3917,210,293,289,411
0.805,435,1951,2540,4059,195,302,303,402
0.815,428,1946,2496,4028,206,292,298,399
0.825,404,1934,2464,4012,221,344,273,406
0.835,396,1908,2460,4033,225,313,259,413
0.845,407,1865,2476,4067,221,283,274,435
0.855,383,1809,2478,4034,204,315,264,450
0.865,380,1762,2515,4014,183,282,271,437
0.875,380,1747,2574,4018,188,290,303,396
0.885,405,1728,2567,4048,181,293,324,385
0.895,422,1706,2560,4072,174,291,305,377
0.905,418,1665,2552,4112,183,300,310,373
0.915,428,1638,2597,4105,192,290,304,363
0.925,416,1623,2607,4154,215,304,342,384
0.935,417,1629,2647,4141,207,281,332,421
0.945,424,1628,2671,4150,233,299,365,420
0.955,434,1634,2680,4175,237,314,329,430
0.965,440,1655,2680,4250,251,337,322,429
0.975,440,1694,2684,4351,270,351,323,439
0.985,440,1734,2680,4427,298,361,320,440
0.995,441,1762,2649,4399,249,346,333,435
1.005,436,1788,2623,4308,249,356,314,426
1.015,410,1831,2618,4192,240,351,282,408
1.025,371,1872,2591,4204,272,347,316,399
1.035,348,1928,2548,4162,245,354,291,380
1.045,337,2033,2534,4092,215,350,255,382
1.055,332,2074,2533,4039,210,319,284,385
1.065,329,2096,2523,4032,208,341,295,403
1.075,328,2113,2515,4017,183,340,280,413
1.085,329,2100,2515,3959,201,338,307,423
1.095,332,2065,2528,3914,192,338,292,428
1.105,337,2020,2546,3923,192,332,301,431
1.115,344,2018,2561,3961,187,297,303,427
1.125,354,1987,2572,3998,174,297,306,433
1.135,372,1944,2580,4011,166,300,315,418
1.145,394,1909,2580,3931,152,286,331,420
1.155,412,1896,2582,3961,145,258,293,411
1.165,426,1885,2580,4067,152,256,299,414
1.175,436,1830,2566,4098,138,247,284,408
1.185,456,1738,2558,4183,142,255,292,417
1.195,500,1668,2562,4192,147,265,298,396
1.205,535,1636,2571,4280,210,287,310,384
1.215,562,1622,2570,4303,245,315,348,372
1.225,593,1614,2585,4267,276,287,336,407
1.235,605,1605,2601,4319,303,320,339,401
1.245,604,1592,2600,4422,327,339,362,381
1.255,603,1571,2594,4479,336,332,354,366
1.265,605,1545,2610,4425,309,333,365,382
1.275,609,1520,2635,4460,325,301,370,394
1.285,605,1503,2635,4438,327,323,371,369
1.295,585,1496,2645,4448,318,331,360,378
1.305,552,1497,2656,4427,313,309,312,415
1.315,516,1504,2655,4332,229,268,326,450
1.325,484,1514,2651,4204,181,282,308,412
1.335,473,1540,2656,4078,159,284,300,407
1.345,467,1610,2665,4011,152,276,307,394
1.355,473,1722,2585,3952,156,267,311,425
1.365,454,1817,2594,3922,173,294,335,414
1.375,457,1868,2558,3941,180,295,320,410
1.385,426,1898,2540,3932,182,275,327,413
1.395,444,1927,2500,3935,200,261,328,417
1.405,446,1958,2471,3938,202,263,301,423
1.415,448,1988,2458,3934,200,265,290,419
1.425,461,2011,2468,3931,205,270,281,419
1.435,465,2019,2462,3961,210,273,280,417
1.445,481,2009,2470,4046,205,276,286,410
1.455,487,1983,2487,4132,200,279,297,412
1.465,459,1945,2503,4211,165,276,308,402
1.475,422,1898,2538,4147,179,309,306,426
1.485,423,1848,2620,4128,184,272,321,360
1.495,413,1803,2649,4128,181,308,295,352
1.505,415,1768,2628,4197,189,306,294,378
1.515,424,1748,2625,4192,213,318,292,359
1.525,442,1742,2585,4131,259,377,311,361
1.535,407,1744,2624,4081,295,372,332,391
