sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,564,1513,2512,3577,240,301,359,419
0.015,648,1447,2505,3544,276,312,346,405
0.025,743,1394,2441,3574,288,321,296,404
0.035,763,1461,2431,3603,280,305,321,388
0.045,702,1553,2477,3644,247,311,332,390
0.055,722,1611,2505,3675,254,332,312,421
0.065,746,1591,2510,3673,256,341,303,440
0.075,748,1603,2514,3663,261,340,313,442
0.085,740,1608,2529,3676,283,315,314,416
0.095,800,1551,2561,3648,273,329,321,425
0.105,820,1609,2612,3651,248,314,341,424
0.115,831,1605,2659,3650,241,311,344,417
0.125,842,1676,2632,3624,237,312,374,421
0.135,816,1676,2702,3563,241,348,394,438
0.145,666,1840,2641,3531,226,392,417,432
0.155,594,2013,2629,3740,288,400,380,375
0.165,588,2108,2571,3757,291,348,381,386
0.175,428,2126,2593,3766,273,308,407,387
0.185,400,2095,2751,3796,244,315,369,367
0.195,395,2137,2802,3777,230,309,355,368
0.205,370,2156,2800,3823,209,316,326,374
0.215,393,2119,2877,3851,211,309,320,378
0.225,414,2001,2736,3813,218,277,328,370
0.235,419,1878,2645,3852,211,297,321,364
0.245,416,1797,2581,3908,224,328,311,387
0.255,425,1725,2526,3901,248,331,315,411
0.265,461,1624,2467,3846,217,297,346,451
0.275,487,1586,2422,3806,217,295,318,439
0.285,500,1681,2414,3795,220,311,320,395
0.295,533,1732,2450,3757,218,314,328,385
0.305,534,1773,2499,3791,202,291,343,376
0.315,508,1767,2528,3893,191,284,345,384
0.325,419,1740,2514,4023,236,358,282,425
0.335,398,1694,2467,4148,230,383,262,453
0.345,403,1605,2409,4229,229,380,274,451
0.355,451,1482,2362,4170,235,367,289,442
0.365,618,1340,2339,4004,238,308,310,423
0.375,723,1322,2330,3823,211,324,361,419
0.385,808,1336,2328,3647,237,306,352,403
0.395,797,1295,2330,3668,188,306,351,405
0.405,891,1288,2332,3653,223,328,351,401
0.415,895,1285,2334,3573,213,310,321,397
0.425,877,1340,2340,3539,210,308,313,413
0.435,877,1373,2364,3516,187,303,300,396
0.445,842,1418,2416,3559,183,329,298,415
0.455,803,1493,2501,3618,201,301,320,391
0.465,810,1564,2593,3661,222,305,348,391
0.475,728,1606,2666,3707,194,276,351,389
0.485,692,1683,2710,3774,184,292,352,384
0.495,626,1722,2756,3856,172,283,335,366
0.505,617,1753,2825,3846,179,296,334,360
0.515,605,1767,2884,3847,185,273,341,353
0.525,570,1757,2876,3826,171,254,319,355
0.535,541,1780,2778,3823,159,244,297,352
0.545,550,1786,2653,3787,170,244,321,354
0.555,514,1807,2552,3832,183,268,306,357
0.565,501,1859,2482,3865,219,293,299,379
0.575,522,1845,2442,3832,247,292,300,441
0.585,612,1749,2432,3837,282,311,315,456
0.595,704,1709,2453,3854,279,308,343,471
0.605,793,1646,2453,3838,288,299,326,480
0.615,842,1676,2469,3796,265,328,313,467
0.625,806,1681,2514,3739,237,335,309,458
0.635,803,1679,2674,3751,213,357,290,452
0.645,769,1659,2664,3829,210,359,281,438
0.655,709,1760,2710,3851,219,372,288,431
0.665,665,1802,2749,3880,244,375,289,434
0.675,636,1808,2732,3866,275,347,306,452
0.685,573,1811,2653,3852,211,353,278,445
0.695,571,1895,2670,3892,196,348,293,434
0.705,545,1958,2694,3803,176,342,288,396
0.715,546,1939,2689,3804,157,320,295,375
0.725,533,1953,2682,3823,157,322,300,363
0.735,537,1956,2663,3833,159,322,306,362
0.745,517,1966,2668,3813,164,331,274,359
0.755,504,1931,2703,3842,172,336,283,367
0.765,497,1931,2711,3833,187,329,294,370
0.775,476,1939,2767,3891,196,326,300,405
0.785,464,1938,2748,3899,199,328,326,394
0.795,432,2011,2880,3920,225,353,321,417
0.805,394,1980,2962,3963,265,340,279,429
0.815,412,1900,3003,3966,285,332,243,431
0.825,420,1939,2944,3977,329,342,266,413
0.835,438,1900,2830,3881,354,327,258,403
0.845,458,1933,2824,3819,346,342,293,428
0.855,476,1925,2807,3821,343,351,303,408
0.865,463,2052,2927,3793,353,336,302,430
0.875,477,2065,2910,3839,327,332,241,456
0.885,531,2149,2888,3846,330,356,282,441
0.895,573,2184,2804,3831,274,344,320,436
0.905,452,2150,2812,3982,270,345,312,450
0.915,419,2092,2819,4121,234,345,310,470
0.925,394,2027,2817,4176,268,370,327,472
0.935,444,2026,2761,4181,291,393,364,434
0.945,546,1931,2591,4209,283,418,331,429
0.955,624,1798,2513,4290,279,420,299,441
0.965,686,1623,2541,4297,241,421,278,444
0.975,689,1436,2490,4302,208,430,293,454
0.985,608,1317,2512,4304,198,373,271,431
0.995,600,1490,2587,4308,227,357,273,435
1.005,647,1435,2603,4248,224,342,312,418
1.015,601,1295,2716,4203,200,304,357,411
1.025,545,1212,2798,4155,165,280,329,416
1.035,500,1329,2820,4106,165,288,318,421
1.045,450,1684,2887,3983,189,299,311,418
1.055,394,1753,2879,3866,196,331,299,430
1.065,307,1838,2847,3880,216,339,297,449
1.075,268,1844,2803,3934,202,337,319,452
1.085,277,1792,2758,3905,210,324,351,462
1.095,372,1737,2715,3883,249,368,337,491
1.105,493,1719,2673,3852,279,409,310,466
1.115,549,1735,2634,3750,252,387,270,418
1.125,536,1777,2602,3684,218,364,300,395
1.135,585,1826,2586,3725,199,340,329,379
1.145,596,1862,2596,3707,190,336,330,407
1.155,617,1868,2641,3777,180,311,320,399
1.165,600,1862,2710,3917,178,285,321,376
1.175,590,1851,2777,4102,189,300,331,390
1.185,588,1803,2825,4253,188,284,352,408
1.195,659,1712,2843,4353,216,371,380,440
1.205,672,1637,2827,4384,262,356,385,453
1.215,740,1603,2788,4369,311,343,354,454
1.225,791,1592,2739,4290,299,305,345,481
1.235,752,1584,2694,4237,265,272,353,502
1.245,822,1568,2655,4252,300,312,325,489
1.255,843,1550,2625,4160,270,310,300,436
1.265,887,1531,2601,4096,271,332,324,439
1.275,868,1513,2584,4003,260,309,341,424
1.285,841,1497,2573,4021,233,309,361,460
1.295,779,1485,2568,4070,232,300,370,452
1.305,733,1476,2570,4040,296,304,347,439
1.315,570,1471,2574,3970,239,277,353,440
1.325,503,1471,2578,3819,212,296,326,400
1.335,383,1472,2577,3704,236,287,320,400
1.345,333,1470,2567,3665,221,340,318,368
1.355,316,1457,2547,3728,225,298,312,415
1.365,309,1432,2518,3720,230,316,300,402
1.375,296,1395,2484,3672,230,304,296,438
1.385,338,1345,2448,3553,237,326,306,430
1.395,365,1281,2414,3468,235,297,312,414
1.405,417,1211,2386,3410,222,324,289,413
1.415,639,1150,2367,3388,245,302,267,380
1.425,592,1115,2358,3423,264,272,289,377
1.435,669,1123,2357,3514,228,295,293,381
1.445,734,1179,2363,3612,221,293,298,381
1.455,776,1270,2373,3722,212,311,319,384
1.465,786,1363,2387,3820,221,314,310,396
1.475,753,1420,2410,3830,262,280,302,450
1.485,677,1451,2450,3858,294,296,284,491
1.495,576,1472,2509,3903,285,299,291,521
1.505,476,1503,2577,3998,250,306,296,512
1.515,404,1556,2639,4078,242,300,264,498
1.525,390,1620,2689,4089,207,316,304,476
1.535,461,1677,2728,4084,209,356,342,445
1.545,385,1705,2757,4171,217,349,362,464
1.555,499,1692,2778,4198,199,319,366,409
1.565,537,1665,2793,4108,177,270,312,371
1.575,509,1670,2805,4027,156,243,310,377
1.585,528,1719,2812,3900,163,263,313,404
1.595,543,1745,2809,3795,175,257,317,421
1.605,547,1710,2786,3761,204,295,300,411
1.615,524,1661,2739,3780,200,290,320,370
1.625,521,1625,2669,3825,237,327,312,401
1.635,461,1564,2579,3858,226,341,315,445
1.645,361,1471,2489,3834,195,316,340,468
1.655,300,1412,2419,3855,205,297,350,470
1.665,314,1393,2386,3815,216,345,328,464
1.675,295,1359,2389,3759,212,310,342,493
1.685,360,1303,2422,3817,225,309,317,458
1.695,474,1240,2478,3886,231,346,319,429
1.705,448,1182,2548,3792,207,312,358,424
1.715,493,1135,2625,3829,230,292,364,369
1.725,441,1096,2698,3942,240,305,344,359
1.735,412,1061,2759,3952,241,270,327,351
1.745,459,1045,2797,3895,247,280,345,383
1.755,491,1082,2811,3900,237,295,313,346
1.765,477,1186,2801,3872,241,293,320,349
1.775,452,1304,2769,3867,230,304,319,351
1.785,438,1380,2725,3928,226,293,317,376
1.795,453,1423,2680,3975,243,299,339,370
1.805,451,1459,2632,4044,243,299,324,374
1.815,434,1492,2576,4076,235,300,321,370
1.825,433,1515,2523,4090,235,311,325,366
1.835,451,1523,2492,4075,258,322,321,377
1.845,452,1519,2499,4028,247,320,325,390
1.855,439,1505,2534,3980,240,321,330,392
1.865,413,1483,2569,3941,259,309,312,397
1.875,419,1455,2586,3930,263,302,316,391
1.885,444,1425,2594,3868,269,300,322,392
1.895,424,1497,2607,3791,244,298,314,392
1.905,407,1504,2637,3811,235,301,297,372
1.915,406,1481,2678,3894,212,299,296,381
1.925,403,1414,2723,4078,241,333,338,383
1.935,425,1399,2768,4164,266,319,357,426
1.945,487,1401,2816,4339,295,331,352,435
1.955,531,1393,2866,4407,261,332,395,449
1.965,560,1444,2921,4386,249,330,390,427
1.975,620,1416,2981,4316,248,356,379,407
1.985,676,1419,2997,4301,257,360,352,398
1.995,732,1463,2915,4138,259,357,384,400
2.005,726,1541,2845,4098,291,324,351,399
2.015,705,1557,2811,4110,278,296,371,401
2.025,702,1499,2783,4103,308,273,392,433
2.035,728,1547,2728,4057,256,289,380,427
2.045,723,1510,2613,3974,248,324,366,420
2.055,748,1491,2534,3944,225,333,336,412
2.065,704,1545,2408,3896,256,332,358,437
2.075,596,1531,2413,3813,234,303,327,426
2.085,647,1461,2373,3766,269,271,349,439
2.095,653,1441,2367,3680,293,264,362,439
2.105,681,1411,2415,3629,252,309,328,428
2.115,663,1479,2441,3566,263,304,310,416
2.125,736,1467,2501,3458,266,331,316,386
2.135,684,1392,2461,3536,240,276,365,369
2.145,695,1324,2416,3564,278,300,329,414
2.155,762,1295,2450,3579,278,321,340,405
2.165,721,1398,2517,3599,270,303,365,409
2.175,720,1380,2553,3692,225,307,366,426
2.185,768,1425,2489,3674,267,294,370,431
2.195,775,1459,2407,3648,296,273,375,423
2.205,758,1432,2408,3661,238,288,365,444
2.215,817,1348,2371,3721,262,306,330,465
2.225,834,1404,2482,3719,252,294,361,449
2.235,742,1455,2451,3676,255,292,380,450
2.245,710,1449,2480,3672,260,292,361,436
