sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,575,1467,2532,3539,267,269,375,427
0.015,647,1534,2558,3493,291,264,389,423
0.025,696,1519,2569,3482,295,293,376,405
0.035,773,1539,2582,3426,324,278,394,401
0.045,813,1546,2565,3457,299,289,373,403
0.055,804,1608,2529,3582,280,303,368,413
0.065,729,1668,2539,3568,261,310,372,425
0.075,729,1671,2529,3584,273,319,360,408
0.085,773,1702,2484,3563,273,330,356,403
0.095,769,1757,2586,3584,233,345,326,406
0.105,827,1743,2642,3662,277,325,325,417
0.115,870,1759,2689,3776,260,330,354,449
0.125,908,1791,2674,3934,255,374,345,469
0.135,843,1771,2679,3985,237,366,342,446
0.145,867,1739,2680,3971,236,359,320,467
0.155,882,1771,2694,3999,240,346,344,472
0.165,912,1718,2702,3998,257,330,306,450
0.175,859,1739,2626,3936,246,319,338,440
0.185,881,1654,2655,3887,235,309,343,464
0.195,881,1688,2631,3792,197,355,342,487
0.205,898,1705,2555,3763,230,372,383,477
0.215,879,1403,2448,3661,210,374,374,497
0.225,806,1319,2363,3560,185,367,337,532
0.235,493,1257,2347,3430,185,359,304,539
0.245,487,1223,2436,3458,239,328,340,491
0.255,465,1199,2478,3488,254,306,336,464
0.265,447,1177,2505,3553,249,326,317,444
0.275,442,1157,2481,3563,269,328,302,431
0.285,445,1138,2444,3566,266,302,326,430
0.295,450,1115,2539,3596,280,294,326,432
0.305,454,1085,2608,3666,285,304,330,434
0.315,457,1059,2761,3832,238,308,348,421
0.325,463,1046,2788,3927,270,326,368,428
0.335,478,1041,2736,3878,228,360,398,462
0.345,501,1040,2673,3837,274,310,371,452
0.355,525,1040,2577,3746,279,310,363,460
0.365,542,1040,2439,3706,239,334,392,456
0.375,558,1043,2256,3643,171,343,360,435
0.385,581,1054,2217,3686,191,331,306,437
0.395,600,1080,2258,3764,211,309,296,410
0.405,606,1145,2275,3847,226,284,280,406
0.415,623,1182,2295,3901,238,296,272,409
0.425,652,1236,2321,3917,238,308,288,406
0.435,679,1276,2351,3913,225,324,278,416
0.445,706,1311,2395,3907,213,324,279,416
0.455,735,1353,2443,3890,213,320,280,409
0.465,762,1406,2466,3863,206,318,270,381
0.475,783,1447,2455,3858,205,296,282,386
0.485,794,1475,2458,3828,212,310,278,393
0.495,797,1509,2447,3807,208,294,266,386
0.505,802,1541,2438,3751,199,306,268,392
0.515,807,1551,2426,3725,208,269,261,398
0.525,803,1542,2427,3617,176,310,268,385
0.535,785,1535,2386,3575,175,276,262,376
0.545,767,1522,2357,3555,213,336,295,386
0.555,759,1492,2324,3575,211,321,346,406
0.565,752,1463,2254,3582,284,283,334,432
0.575,738,1438,2197,3579,312,291,339,435
0.585,713,1416,2169,3703,315,320,328,407
0.595,687,1387,2161,3729,301,310,364,430
0.605,667,1349,2163,3801,275,305,359,422
0.615,651,1305,2168,3824,247,329,330,437
0.625,627,1261,2187,3802,230,310,366,453
0.635,604,1214,2233,3900,230,316,372,448
0.645,600,1163,2275,3915,234,298,388,455
0.655,603,1110,2302,3945,220,349,366,462
0.665,598,1058,2328,3919,216,351,368,463
0.675,591,1009,2348,3939,144,395,385,485
0.685,588,966,2352,4086,128,387,389,504
0.695,587,934,2346,4217,122,335,361,474
0.705,588,918,2332,4367,137,324,350,472
0.715,590,915,2307,4400,150,321,333,487
0.725,594,916,2266,4376,122,319,345,479
0.735,603,912,2213,4355,135,310,332,495
0.745,615,910,2157,4370,89,312,320,488
0.755,619,920,2101,4291,129,341,319,484
0.765,617,947,2041,4338,95,363,303,494
0.775,622,981,1983,4374,94,359,310,503
0.785,643,1018,1943,4332,117,358,315,486
0.795,656,1060,1916,4310,97,323,307,502
0.805,652,1101,1891,4308,104,290,303,507
0.815,649,1109,1876,4321,97,285,310,517
0.825,650,1072,1876,4310,131,317,333,495
0.835,648,1017,1863,4314,118,305,331,480
0.845,640,981,1848,4337,185,292,354,453
0.855,633,970,1848,4392,173,290,357,454
0.865,629,969,1860,4452,167,306,355,455
0.875,617,970,1884,4529,181,298,368,475
0.885,598,982,1919,4699,187,304,395,493
0.895,577,1061,1965,4774,190,306,358,455
0.905,560,1176,2004,4833,215,301,385,443
0.915,547,1279,2035,4666,274,301,364,434
0.925,537,1378,2072,4451,275,267,380,448
0.935,526,1471,2139,4293,291,295,351,405
0.945,514,1550,2188,4167,313,322,346,398
0.955,500,1610,2216,4081,329,332,367,392
0.965,488,1648,2250,4186,309,302,379,403
0.975,479,1663,2290,4246,310,275,394,393
0.985,474,1665,2334,4301,320,288,399,443
0.995,471,1665,2365,4397,323,273,375,438
1.005,470,1667,2399,4371,310,282,380,463
1.015,470,1652,2449,4331,283,361,384,452
1.025,471,1616,2495,4254,274,325,392,460
1.035,476,1576,2515,4081,310,286,368,451
1.045,484,1546,2519,3974,307,322,363,431
1.055,496,1528,2539,3907,262,336,346,455
1.065,510,1508,2521,3918,242,312,348,457
1.075,532,1478,2488,4016,227,323,334,453
1.085,565,1456,2469,4041,230,322,352,449
1.095,600,1423,2410,3946,223,335,315,430
1.105,631,1365,2332,3902,230,335,299,438
1.115,653,1314,2282,3865,243,311,290,426
1.125,652,1281,2263,3847,240,296,275,420
1.135,640,1209,2272,3837,238,297,281,417
1.145,624,1126,2231,3808,239,289,267,415
1.155,603,1086,2242,3759,233,325,257,406
1.165,578,1035,2221,3697,206,303,257,390
1.175,549,987,2244,3709,216,323,257,381
1.185,522,953,2219,3695,215,315,270,390
1.195,507,924,2255,3671,207,312,273,382
1.205,507,900,2252,3638,221,300,283,373
1.215,510,890,2278,3559,216,316,264,376
1.225,510,911,2230,3446,237,295,285,423
1.235,509,968,2206,3315,214,289,312,470
1.245,509,1037,2083,3174,229,300,380,464
1.255,509,1084,1981,3088,233,310,424,436
1.265,508,1076,1880,3163,237,279,421,386
1.275,511,1034,1750,3253,250,263,382,381
1.285,516,991,1591,3310,245,282,364,383
1.295,517,968,1492,3391,243,284,352,389
1.305,517,961,1450,3458,234,289,310,372
1.315,526,965,1451,3421,216,292,297,374
1.325,547,985,1483,3431,173,296,313,370
1.335,571,1019,1536,3407,199,304,290,375
1.345,584,1061,1600,3369,206,309,295,402
1.355,594,1096,1660,3308,219,315,267,393
1.365,631,1122,1728,3305,229,320,277,400
1.375,675,1149,1832,3321,242,324,295,393
1.385,682,1160,1943,3344,238,319,321,386
1.395,697,1180,2030,3354,234,315,305,387
1.405,716,1207,2103,3364,227,311,297,390
1.415,725,1214,2163,3370,209,298,312,388
1.425,723,1210,2208,3408,208,294,349,365
1.435,709,1201,2241,3427,221,294,353,389
1.445,689,1176,2263,3407,224,296,339,384
1.455,665,1143,2260,3354,222,296,338,381
1.465,642,1124,2214,3309,224,303,348,413
1.475,627,1107,2183,3306,226,316,343,406
1.485,623,1072,2171,3325,233,331,329,416
1.495,613,1012,2165,3340,242,324,325,421
1.505,595,982,2172,3287,261,317,334,408
1.515,589,1011,2166,3255,270,314,336,403
1.525,587,1065,2146,3275,285,303,342,391
1.535,574,1127,2121,3316,281,296,329,385
