sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,528,1477,2542,3658,250,316,348,415
0.015,582,1505,2518,3723,265,340,343,463
0.025,522,1557,2492,3714,295,301,326,466
0.035,490,1558,2509,3752,305,285,317,457
0.045,501,1601,2420,3712,304,303,335,474
0.055,525,1552,2401,3693,334,327,336,470
0.065,562,1537,2417,3709,291,356,333,480
0.075,611,1582,2521,3758,285,306,327,453
0.085,661,1587,2518,3794,288,319,343,457
0.095,684,1634,2492,3759,274,322,334,453
0.105,775,1617,2522,3757,298,329,291,450
0.115,707,1620,2641,3792,269,299,311,434
0.125,767,1656,2519,3768,290,367,329,429
0.135,539,1848,2714,3713,255,365,302,412
0.145,555,1873,2744,3723,236,351,332,409
0.155,556,1895,2763,3763,178,297,339,379
0.165,544,1918,2771,3785,176,290,343,345
0.175,517,1945,2770,3729,187,292,324,356
0.185,492,1979,2760,3785,191,292,326,332
0.195,455,2024,2741,3899,178,298,309,321
0.205,416,2072,2714,3956,191,299,318,301
0.215,407,2113,2680,4058,206,299,322,328
0.225,398,2146,2640,4124,205,313,327,369
0.235,406,2173,2596,4266,205,277,283,419
0.245,383,2188,2548,4346,225,260,298,400
0.255,356,2178,2496,4308,241,316,301,399
0.265,361,2130,2446,4245,248,324,321,403
0.275,387,2067,2411,4245,275,276,338,393
0.285,419,2014,2393,4255,266,324,303,399
0.295,447,1977,2378,4349,296,325,311,422
0.305,458,1943,2347,4347,301,344,298,446
0.315,461,1876,2288,4308,252,313,302,480
0.325,467,1805,2220,4233,274,327,314,486
0.335,473,1770,2164,4205,259,322,298,488
0.345,477,1746,2123,4106,236,314,333,498
0.355,477,1704,2090,3984,200,313,311,472
0.365,476,1651,2062,3887,218,319,280,435
0.375,475,1608,2041,3751,196,316,291,430
0.385,475,1590,2031,3746,205,309,303,397
0.395,477,1601,2033,3749,227,320,291,439
0.405,479,1621,2049,3783,239,352,253,445
0.415,478,1634,2077,3876,282,392,291,470
0.425,470,1639,2112,3972,282,390,275,477
0.435,459,1639,2149,4013,252,356,304,462
0.445,450,1639,2177,4014,250,349,301,456
0.455,445,1639,2188,3955,270,350,313,461
0.465,443,1638,2172,3962,297,361,305,466
0.475,443,1635,2128,4033,297,376,295,484
0.485,444,1630,2078,4071,316,319,314,453
0.495,445,1624,2038,4114,265,272,345,437
0.505,445,1614,2004,4312,252,287,370,475
0.515,444,1598,1975,4348,280,286,388,462
0.525,443,1577,1945,4288,259,305,382,472
0.535,447,1549,1909,4185,267,280,391,465
0.545,456,1513,1866,4114,286,258,403,464
0.555,467,1531,1818,3989,318,240,400,465
0.565,476,1435,1773,3865,280,226,396,471
0.575,485,1408,1736,3838,256,252,408,493
0.585,493,1403,1707,3788,240,242,437,450
0.595,499,1353,1691,3766,262,222,461,413
0.605,506,1254,1686,3746,226,196,454,390
0.615,512,1232,1687,3721,237,188,424,385
0.625,518,1180,1687,3779,256,224,401,410
0.635,523,1132,1687,3681,249,258,346,444
0.645,529,1113,1688,3544,217,274,317,416
0.655,536,1118,1691,3515,224,291,304,396
0.665,546,1138,1696,3493,204,306,326,381
0.675,562,1163,1703,3466,202,310,318,378
0.685,579,1191,1714,3425,198,325,322,390
0.695,590,1218,1728,3385,205,320,318,410
0.705,588,1247,1745,3375,209,320,318,445
0.715,577,1283,1765,3393,182,335,296,490
0.725,561,1326,1788,3482,187,316,307,516
0.735,544,1378,1815,3662,195,326,321,496
0.745,528,1431,1846,3801,218,341,328,469
0.755,514,1471,1876,3774,204,333,290,451
0.765,502,1494,1904,3685,238,330,261,451
0.775,494,1518,1930,3687,223,356,260,464
0.785,492,1554,1976,3553,235,349,266,454
0.795,501,1601,2053,3423,227,332,288,451
0.805,515,1655,2120,3448,170,297,328,434
0.815,529,1695,2145,3442,191,289,345,418
0.825,539,1710,2195,3478,160,325,325,437
0.835,545,1711,2334,3480,173,298,317,432
0.845,553,1708,2423,3518,161,282,326,413
0.855,566,1714,2446,3538,190,297,303,406
0.865,580,1709,2454,3588,171,305,325,418
0.875,586,1690,2464,3585,187,294,302,417
0.885,588,1651,2458,3597,173,320,284,407
0.895,588,1615,2422,3652,169,293,300,417
0.905,591,1546,2376,3639,174,305,304,435
0.915,591,1516,2332,3620,162,280,294,437
0.925,579,1505,2270,3595,187,311,301,443
0.935,557,1480,2217,3655,175,285,294,395
0.945,527,1462,2210,3750,215,326,293,390
0.955,494,1449,2245,3645,269,296,281,417
0.965,464,1436,2295,3733,306,320,270,425
0.975,440,1419,2342,3689,347,329,312,431
0.985,421,1400,2370,3636,331,325,318,404
