sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,511,1533,2443,3584,241,302,379,429
0.015,526,1531,2457,3676,277,315,305,419
0.025,625,1512,2441,3628,299,329,310,426
0.035,672,1580,2456,3620,288,331,308,441
0.045,727,1636,2562,3669,230,352,333,457
0.055,764,1658,2546,3621,256,320,336,443
0.065,848,1666,2466,3571,292,293,316,443
0.075,862,1700,2519,3547,287,304,332,443
0.085,882,1688,2552,3658,270,304,316,443
0.095,984,1727,2500,3607,292,290,321,422
0.105,1024,1735,2518,3632,261,295,316,422
0.115,968,1719,2571,3729,215,369,312,453
0.125,882,1744,2629,3810,220,339,334,455
0.135,928,1717,2721,3868,226,351,365,453
0.145,1005,1718,2688,3959,231,350,374,458
0.155,1077,1669,2615,3993,231,348,356,450
0.165,913,1738,2564,3967,192,338,373,460
0.175,892,1753,2459,3937,180,351,342,433
0.185,847,1762,2469,3946,189,349,324,439
0.195,812,1778,2497,3928,201,345,307,429
0.205,756,1796,2587,3909,220,339,323,418
0.215,870,1841,2602,3914,275,329,345,417
0.225,986,1978,2598,3977,250,329,372,426
0.235,950,2030,2627,3958,247,317,383,426
0.245,908,2045,2751,4007,263,284,415,446
0.255,872,2081,2816,3961,261,283,408,429
0.265,855,2112,2903,3965,233,276,397,426
0.275,902,2171,2917,3985,248,279,371,430
0.285,951,2199,3025,4029,255,300,347,421
0.295,891,2212,3047,4060,243,332,323,443
0.305,893,2235,3030,4047,225,337,309,454
0.315,845,2240,3110,3949,242,334,313,470
0.325,828,2185,3205,3899,233,337,329,433
0.335,897,2350,3205,3855,250,332,343,435
0.345,851,2382,3253,3941,240,343,315,440
0.355,880,2398,3300,3918,246,383,314,441
0.365,826,2477,3300,3989,234,324,340,460
0.375,802,2493,3300,3942,261,341,328,424
0.385,769,2493,3284,3899,242,340,340,454
0.395,791,2461,3237,3928,229,314,322,461
0.405,843,2477,3174,3959,246,361,294,459
0.415,885,2493,3158,3969,288,354,286,451
0.425,896,2477,3079,3911,239,375,300,424
0.435,904,2477,3063,3929,240,309,338,450
0.445,894,2461,3015,3952,233,334,320,442
