sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,658,1585,2561,3673,241,290,354,452
0.015,757,1673,2621,3780,250,300,331,460
0.025,793,1697,2650,3815,266,310,352,468
0.035,765,1793,2680,3886,218,314,368,458
0.045,804,1711,2738,3907,277,303,339,454
0.055,853,1748,2682,3903,215,313,344,457
0.065,848,1790,2711,3913,218,321,358,489
0.075,933,1730,2762,3843,242,321,359,473
0.085,935,1732,2711,3777,233,341,346,474
0.095,949,1791,2683,3848,256,325,340,448
0.105,976,1871,2648,3860,256,323,341,468
0.115,848,1826,2684,3917,250,301,343,443
0.125,958,1792,2609,4014,237,345,323,446
0.135,951,1690,2690,4205,222,325,315,452
0.145,978,1621,2727,4354,241,281,312,436
0.155,987,1627,2664,4370,230,304,325,427
0.165,944,1575,2681,4428,207,303,312,409
0.175,977,1550,2677,4476,213,306,289,418
0.185,887,1583,2653,4557,213,314,277,424
0.195,787,1555,2620,4665,205,306,331,399
0.205,799,1573,2588,4660,218,289,321,372
0.215,775,1625,2556,4648,192,267,322,356
0.225,696,1624,2540,4683,180,264,302,358
0.235,621,1653,2588,4705,172,283,300,405
0.245,540,1667,2588,4621,209,312,299,441
0.255,399,1686,2635,4470,255,327,296,448
0.265,417,1606,2635,4351,283,368,301,475
0.275,484,1654,2635,4225,222,320,327,461
0.285,532,1670,2635,4133,174,319,298,444
0.295,530,1796,2651,4014,162,326,300,431
0.305,513,1796,2682,3881,147,323,290,424
0.315,549,1875,2704,3890,170,302,311,405
0.325,519,1875,2593,3995,158,290,310,401
0.335,539,1853,2449,4121,172,275,301,410
0.345,533,1704,2349,4281,179,273,285,407
0.355,548,1569,2285,4443,194,309,278,407
0.365,558,1447,2235,4485,201,327,281,382
0.375,517,1339,2185,4540,183,315,288,363
0.385,506,1241,2141,4523,187,301,283,369
0.395,494,1156,2116,4555,198,315,308,361
0.405,502,1084,2113,4534,217,287,312,361
0.415,507,1063,2132,4517,219,304,301,386
0.425,506,1169,2171,4514,189,313,286,412
0.435,503,1387,2228,4503,192,325,293,430
0.445,478,1576,2302,4465,213,329,282,449
0.455,466,1700,2386,4385,222,327,293,455
0.465,484,1813,2470,4249,205,320,296,429
0.475,483,1940,2543,4211,206,318,302,421
0.485,460,2079,2595,4186,204,321,304,400
0.495,416,2194,2621,4188,201,329,294,394
0.505,337,2206,2622,4220,193,314,317,422
0.515,253,2136,2597,4220,190,323,362,451
0.525,266,2070,2555,4166,206,312,367,468
0.535,278,2024,2520,4193,208,343,359,440
0.545,277,1995,2516,4311,222,357,327,440
0.555,277,1981,2565,4392,251,329,312,436
0.565,292,1978,2650,4322,267,377,264,420
0.575,340,1984,2719,4311,203,346,281,430
0.585,467,1987,2724,4242,180,309,297,387
0.595,463,1968,2635,4215,179,289,306,379
0.605,489,1921,2504,4186,209,308,333,417
0.615,451,1853,2407,4294,264,296,362,421
0.625,372,1860,2423,4275,316,274,359,432
0.635,277,1720,2412,4198,358,303,287,431
0.645,435,1674,2414,4113,346,301,271,417
0.655,625,1681,2414,4065,316,333,279,449
0.665,514,1716,2412,4112,302,327,339,455
0.675,451,1717,2414,4103,276,318,309,440
0.685,451,1713,2426,4082,256,287,335,423
0.695,451,1735,2449,4106,267,313,368,413
0.705,435,1573,2483,4160,236,334,328,413
0.715,530,1435,2523,4279,195,302,331,433
0.725,688,1390,2556,4351,196,289,311,406
0.735,672,1559,2577,4357,207,292,302,392
0.745,672,1543,2598,4360,217,305,283,393
0.755,688,1511,2619,4373,226,286,289,386
0.765,672,1464,2631,4382,230,293,305,386
0.775,717,1511,2715,4356,222,291,304,387
0.785,711,1496,2730,4342,225,296,306,389
0.795,729,1480,2762,4353,237,297,317,393
0.805,736,1464,2762,4354,223,285,297,394
0.815,746,1464,2822,4321,228,293,311,399
0.825,730,1550,2715,4321,212,293,295,393
0.835,722,1496,2715,4361,214,303,322,390
0.845,686,1591,2756,4312,211,294,343,408
0.855,642,1622,2715,4316,179,291,332,420
0.865,612,1622,2762,4278,171,292,326,416
0.875,599,1717,2762,4299,169,295,324,409
0.885,551,1749,2762,4338,173,321,297,400
0.895,529,1812,2762,4526,231,368,289,428
0.905,480,1812,2715,4655,228,334,270,427
0.915,478,1796,2699,4564,218,331,294,393
0.925,550,1812,2699,4433,198,352,319,382
0.935,600,1812,2699,4565,196,332,313,356
0.945,610,1891,2715,4572,188,339,309,362
0.955,613,1939,2747,4572,178,332,311,367
0.965,606,1923,2711,4477,172,323,297,430
0.975,589,1923,2695,4516,163,330,299,445
0.985,576,1875,2691,4544,152,321,290,424
0.995,577,1809,2753,4624,146,318,288,387
1.005,578,1841,2715,4615,180,310,287,353
1.015,572,1874,2762,4546,177,302,280,364
1.025,575,1856,2746,4455,264,325,308,402
1.035,573,1781,2762,4411,273,353,311,431
1.045,609,1680,2651,4408,321,340,309,457
1.055,729,1665,2633,4429,307,337,326,458
1.065,797,1669,2587,4369,270,330,303,493
1.075,763,1781,2636,4345,277,310,346,469
1.085,831,1754,2688,4389,246,317,337,478
1.095,851,1734,2726,4349,236,308,278,482
1.105,861,1762,2774,4314,233,300,278,467
1.115,798,1793,2784,4309,254,280,291,497
1.125,809,1782,2772,4358,267,331,288,468
1.135,796,1698,2745,4329,275,288,296,442
