sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,562,1424,2438,3630,277,332,362,442
0.015,527,1470,2467,3651,287,299,323,456
0.025,585,1442,2444,3696,264,358,320,444
0.035,557,1483,2529,3713,302,286,365,462
0.045,475,1558,2413,3739,296,317,369,466
0.055,537,1553,2387,3707,295,327,306,456
0.065,536,1583,2469,3751,262,327,315,446
0.075,542,1626,2416,3760,285,347,352,498
0.085,615,1549,2398,3704,297,346,322,468
0.095,682,1511,2440,3709,315,315,293,438
0.105,671,1598,2502,3683,250,333,306,440
0.115,671,1608,2527,3642,285,337,324,462
0.125,680,1565,2547,3584,310,334,327,450
0.135,771,1587,2546,3654,301,329,317,404
0.145,826,1610,2569,3837,288,345,318,404
0.155,822,1645,2499,3960,270,337,318,380
0.165,833,1728,2513,4032,301,315,334,398
0.175,782,1869,2397,4066,294,337,304,410
0.185,623,1881,2371,4017,283,338,299,390
0.195,501,1819,2363,4067,332,350,317,397
0.205,554,1811,2466,4039,339,382,282,433
0.215,487,1739,2516,4002,326,339,291,481
0.225,422,1617,2518,3923,332,350,293,439
0.235,493,1646,2494,3902,326,383,265,466
0.245,522,1765,2509,3944,351,367,252,409
0.255,555,1875,2725,3971,353,340,314,421
0.265,566,1909,2912,3982,335,360,281,423
0.275,547,1931,3017,3988,367,360,270,436
0.285,519,1972,3007,4018,299,373,263,420
0.295,490,2027,2941,3962,263,364,307,445
0.305,414,2115,2912,3830,268,330,343,451
0.315,376,2105,2884,3715,252,294,325,441
0.325,357,2124,2865,3664,215,300,288,430
0.335,348,2134,2760,3587,216,272,303,426
0.345,329,2115,2637,3575,214,279,305,413
0.355,338,2124,2637,3547,221,291,302,417
0.365,338,2115,2618,3477,214,275,279,402
0.375,338,2115,2599,3454,211,275,284,399
0.385,338,2058,2599,3392,238,305,309,409
0.395,338,2010,2599,3424,266,321,311,397
0.405,348,1724,2590,3544,257,317,294,419
0.415,384,1593,2571,3533,279,307,325,427
0.425,386,1485,2615,3646,249,321,320,439
0.435,420,1424,2526,3645,296,340,347,452
0.445,414,1451,2541,3626,261,335,341,451
0.455,508,1415,2571,3626,258,312,343,435
0.465,443,1404,2563,3598,292,275,340,449
0.475,481,1415,2523,3608,264,287,321,462
0.485,490,1304,2495,3494,285,263,317,425
0.495,509,1323,2485,3360,242,307,330,390
0.505,509,1284,2521,3320,248,328,298,391
0.515,509,1244,2457,3306,236,325,308,372
0.525,509,1229,2400,3257,221,305,299,415
0.535,528,1245,2352,3278,225,330,296,403
0.545,509,1259,2362,3313,249,305,298,411
0.555,575,1307,2418,3409,273,294,265,443
0.565,234,1310,2352,3482,270,311,270,462
0.575,234,1283,2390,3534,275,294,270,463
0.585,224,1239,2362,3572,294,316,250,469
0.595,215,1238,2356,3557,280,297,304,489
0.605,224,1222,2362,3589,265,315,287,489
0.615,282,1251,2384,3539,237,304,301,491
0.625,243,1308,2381,3474,230,289,302,471
0.635,348,1363,2431,3516,267,353,302,417
0.645,376,1427,2390,3614,320,298,325,384
0.655,405,1442,2400,3681,323,304,361,384
0.665,433,1491,2400,3769,350,272,384,412
0.675,443,1524,2462,3905,335,305,330,379
0.685,452,1568,2431,4030,329,279,347,400
0.695,490,1622,2466,4189,357,304,344,419
0.705,500,1575,2425,4394,357,284,348,430
0.715,547,1601,2495,4411,374,299,353,436
0.725,547,1589,2513,4463,354,296,363,433
0.735,576,1708,2731,4394,291,326,376,408
0.745,557,1822,2917,4382,253,320,367,410
0.755,538,1938,2939,4344,226,329,379,429
0.765,519,2067,2938,4227,276,288,376,443
0.775,500,2139,2923,4167,248,268,408,432
0.785,462,2142,2796,4057,279,278,366,408
0.795,443,2213,2741,4075,274,313,336,435
0.805,405,2195,2703,4062,268,340,353,461
0.815,386,2144,2647,4003,281,261,349,487
0.825,414,2125,2656,3990,247,247,333,493
0.835,433,1906,2751,3906,220,239,319,480
0.845,443,1868,2741,3867,195,263,280,461
0.855,443,1820,2656,3785,182,269,301,450
0.865,481,1811,2705,3824,190,272,278,419
0.875,500,1792,2732,3820,184,283,287,439
0.885,509,1754,2590,3767,181,290,277,429
0.895,528,1735,2533,3775,186,303,281,405
0.905,576,1697,2514,3820,201,300,267,436
0.915,585,1668,2466,3770,202,295,252,424
0.925,585,1678,2466,3742,207,295,235,415
0.935,585,1640,2438,3741,214,287,230,425
0.945,595,1611,2371,3778,210,290,238,437
0.955,566,1583,2324,3849,225,330,238,481
0.965,576,1583,2286,3830,237,322,216,481
0.975,566,1554,2276,3845,273,306,252,490
0.985,569,1526,2219,3921,256,306,259,499
0.995,566,1526,2134,3967,265,277,295,512
1.005,500,1535,2124,4040,265,260,308,519
