sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,433,1487,2447,3685,245,306,334,448
0.015,488,1462,2400,3656,259,337,316,463
0.025,436,1528,2434,3611,255,303,334,449
0.035,490,1527,2428,3601,246,313,307,437
0.045,526,1468,2411,3651,273,324,324,461
0.055,594,1471,2434,3741,273,314,337,444
0.065,732,1416,2376,3734,236,330,335,442
0.075,742,1305,2315,3750,206,321,333,451
0.085,699,1237,2279,3864,184,318,344,464
0.095,687,1327,2283,3896,202,332,366,452
0.105,678,1308,2370,3865,198,343,347,425
0.115,609,1269,2329,3794,188,360,304,444
0.125,547,1123,2246,3745,219,365,295,435
0.135,573,1010,2256,3662,185,357,281,430
0.145,619,1079,2299,3593,219,342,273,449
0.155,498,1052,2225,3523,192,351,312,474
0.165,530,1052,2173,3384,211,337,293,441
0.175,514,1131,2132,3277,210,327,286,419
0.185,588,1226,2103,3238,223,301,289,442
0.195,531,1369,2088,3264,234,287,265,494
0.205,577,1464,2089,3352,273,317,276,513
0.215,349,1543,2109,3399,284,336,249,508
0.225,317,1577,2148,3459,268,338,233,522
0.235,314,1543,2207,3571,274,361,210,526
0.245,348,1475,2286,3665,264,386,216,517
0.255,330,1448,2372,3762,280,395,228,517
0.265,311,1448,2436,3885,261,376,258,476
0.275,308,1401,2465,3820,242,311,283,459
0.285,302,1416,2467,3837,230,297,310,466
0.295,430,1416,2451,3829,243,332,312,463
0.305,492,1450,2425,3871,259,305,355,495
0.315,546,1448,2396,3952,289,327,377,485
0.325,617,1508,2367,3957,322,291,367,466
0.335,576,1682,2344,3906,312,315,332,473
0.345,572,1844,2333,3939,302,328,327,501
0.355,593,1900,2336,3962,272,317,315,511
0.365,470,1906,2350,3967,247,313,325,504
0.375,436,1976,2372,3904,199,308,314,495
0.385,451,1966,2397,3798,219,288,300,484
0.395,372,1937,2421,3679,198,274,282,458
0.405,387,1905,2440,3688,227,284,305,484
0.415,372,1840,2450,3751,217,289,289,472
0.425,403,1791,2447,3806,228,309,245,496
0.435,403,1622,2435,3744,251,359,236,463
0.445,435,1496,2420,3671,286,395,265,454
0.455,435,1432,2411,3596,230,402,277,435
0.465,482,1385,2415,3516,200,397,300,431
0.475,435,1274,2432,3443,194,354,303,423
0.485,419,1179,2455,3413,235,331,306,422
0.495,403,1131,2478,3419,215,308,301,431
0.505,435,1131,2492,3426,202,309,279,406
0.515,419,1068,2495,3471,233,286,271,405
0.525,467,1068,2489,3458,218,289,273,374
0.535,498,1084,2477,3410,209,307,269,385
0.545,546,1131,2462,3413,200,315,330,379
0.555,609,1242,2447,3339,188,348,323,398
0.565,625,1337,2433,3306,198,321,307,403
0.575,672,1464,2413,3361,223,310,270,396
0.585,680,1527,2382,3443,238,337,270,389
0.595,688,1907,2350,3505,254,332,302,427
0.605,506,1986,2329,3565,258,353,277,467
0.615,467,2018,2326,3660,266,329,273,473
0.625,464,2002,2337,3753,253,292,312,463
0.635,539,2040,2358,3729,213,253,303,474
0.645,514,1891,2383,3676,181,279,314,471
0.655,624,1919,2406,3576,202,293,317,449
0.665,676,1765,2419,3514,193,313,297,404
0.675,641,1795,2414,3567,210,317,280,436
0.685,656,1717,2382,3727,228,321,258,436
0.695,641,1622,2317,3818,212,318,224,477
0.705,688,1448,2226,3903,204,342,199,486
0.715,672,1416,2124,4015,230,354,232,494
0.725,854,1369,2014,4104,244,346,246,480
0.735,843,1353,1868,4142,255,349,243,480
0.745,745,1369,1698,4117,204,307,262,466
0.755,793,1353,1600,4145,195,344,255,493
0.765,815,1306,1656,4284,153,381,274,471
0.775,641,1211,1910,4326,136,414,300,425
0.785,641,1084,2118,4313,155,430,285,427
0.795,625,1084,2178,4302,135,433,270,416
0.805,625,1052,2200,4199,143,439,256,432
0.815,625,1005,2213,4141,139,431,279,439
0.825,609,989,2221,4025,130,423,286,446
0.835,577,957,2218,4020,117,416,247,468
0.845,546,957,2192,4002,98,414,256,484
0.855,562,941,2153,3923,117,386,304,500
0.865,577,1005,2123,3875,152,350,328,519
0.875,593,1021,2108,3810,150,346,360,502
0.885,609,1052,2101,3797,155,345,367,492
0.895,641,1116,2097,3746,169,317,373,480
0.905,625,1163,2093,3623,204,312,356,450
0.915,625,1179,2096,3617,231,291,354,410
0.925,641,1226,2117,3611,221,284,362,410
0.935,672,1274,2165,3582,217,280,358,406
0.945,656,1290,2247,3511,219,296,356,444
0.955,694,1425,2346,3416,239,269,338,438
0.965,656,1514,2434,3352,235,255,346,468
0.975,672,1621,2488,3282,214,230,367,502
0.985,672,1729,2516,3176,222,219,360,516
0.995,656,1819,2542,3052,245,256,332,514
1.005,360,1874,2576,2894,239,271,271,497
1.015,335,1887,2613,2833,224,294,287,450
1.025,333,1868,2647,2840,223,292,274,412
1.035,331,1830,2670,2931,222,260,278,392
1.045,333,1784,2683,3115,217,297,297,412
1.055,433,1738,2685,3348,256,332,297,419
1.065,465,1692,2675,3451,298,348,310,394
1.075,510,1651,2656,3442,340,322,283,395
1.085,524,1615,2629,3424,298,338,259,397
1.095,534,1584,2595,3397,287,368,269,373
1.105,542,1559,2557,3371,273,340,291,402
1.115,533,1537,2515,3313,254,323,265,389
1.125,507,1521,2473,3316,234,312,336,410
1.135,491,1511,2430,3329,242,313,313,410
1.145,470,1509,2390,3435,237,319,305,409
1.155,457,1513,2354,3466,232,301,297,409
1.165,450,1512,2325,3450,227,301,269,439
1.175,432,1489,2303,3391,208,298,220,489
1.185,369,1454,2292,3419,238,324,170,508
1.195,318,1429,2291,3454,266,295,189,509
1.205,340,1429,2299,3486,269,338,202,487
1.215,399,1446,2314,3435,233,283,209,499
1.225,463,1471,2333,3379,208,324,210,465
1.235,489,1493,2356,3370,220,313,232,481
1.245,480,1511,2379,3448,236,301,277,465
1.255,456,1521,2402,3617,245,316,247,452
1.265,419,1517,2423,3780,258,326,289,412
1.275,384,1491,2439,3883,230,306,299,403
1.285,413,1434,2450,3989,245,357,309,399
1.295,439,1342,2452,4199,261,338,315,442
1.305,472,1270,2445,4376,235,326,319,458
1.315,523,1324,2431,4392,294,324,290,465
1.325,515,1429,2411,4411,285,315,282,498
1.335,516,1469,2385,4406,308,294,309,443
1.345,521,1469,2355,4361,338,291,327,467
1.355,548,1453,2321,4326,349,335,275,461
1.365,624,1430,2283,4330,335,343,272,428
1.375,672,1402,2243,4428,261,339,282,376
1.385,656,1372,2199,4533,221,335,291,401
1.395,641,1340,2152,4604,206,325,325,379
1.405,641,1297,2101,4644,225,300,344,384
1.415,658,1243,2047,4635,182,307,341,416
1.425,625,1190,1991,4507,170,357,332,473
1.435,562,1146,1939,4457,162,324,330,468
1.445,546,1120,1897,4390,166,332,339,473
1.455,562,1117,1868,4315,188,333,322,502
1.465,546,1139,1851,4281,185,310,328,515
1.475,562,1177,1839,4132,181,311,328,523
1.485,562,1218,1831,3971,181,298,331,500
1.495,562,1249,1822,3814,196,334,330,474
1.505,562,1266,1808,3786,198,299,324,451
1.515,595,1273,1791,3765,200,318,325,464
1.525,576,1274,1771,3806,198,288,328,503
1.535,569,1272,1751,3711,199,304,321,480
1.545,562,1270,1731,3575,201,308,317,478
1.555,579,1274,1712,3550,208,301,322,457
1.565,530,1274,1696,3518,232,313,314,456
1.575,493,1306,1690,3610,248,280,323,482
1.585,514,1353,1703,3698,239,285,323,482
1.595,514,1353,1742,3877,242,285,355,494
1.605,451,1446,1801,3975,190,308,388,472
