sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,595,1540,2502,3641,224,299,377,433
0.015,639,1641,2522,3723,213,278,389,426
0.025,616,1652,2515,3832,244,297,362,430
0.035,656,1649,2516,3882,285,360,332,451
0.045,689,1714,2529,4002,246,334,339,463
0.055,726,1684,2486,4028,288,320,344,471
0.065,723,1620,2455,3969,241,286,380,471
0.075,688,1614,2344,3853,243,260,381,489
0.085,662,1662,2283,3737,232,241,342,484
0.095,557,1582,2309,3709,203,249,330,433
0.105,615,1553,2422,3785,182,269,347,449
0.115,607,1462,2451,3797,275,307,309,417
0.125,612,1529,2359,3762,293,304,329,421
0.135,635,1524,2384,3810,213,324,317,432
0.145,570,1573,2457,3821,162,301,345,423
0.155,599,1576,2407,3746,156,282,347,418
0.165,672,1607,2479,3835,151,272,337,411
0.175,635,1670,2414,3811,172,286,330,381
0.185,672,1624,2491,3853,175,296,315,397
0.195,688,1701,2477,3844,185,305,316,393
0.205,688,1616,2467,3902,175,323,327,381
0.215,656,1638,2493,3902,180,318,316,395
0.225,575,1591,2556,3956,180,313,311,414
0.235,498,1575,2556,3972,186,300,339,397
0.245,387,1525,2556,3994,190,296,309,428
0.255,468,1575,2509,4123,190,291,356,453
0.265,419,1559,2532,4035,257,281,361,442
0.275,468,1575,2474,4004,290,325,356,417
0.285,512,1606,2446,4027,272,348,323,411
0.295,419,1591,2387,4049,290,339,327,409
0.305,467,1591,2378,4100,295,336,337,438
0.315,467,1543,2378,4078,299,334,317,414
0.325,467,1559,2373,4045,290,342,301,396
0.335,467,1559,2443,4076,286,341,310,394
0.345,467,1575,2457,4104,310,321,323,426
0.355,467,1543,2453,4129,275,327,329,437
0.365,451,1464,2481,4185,300,307,316,447
0.375,467,1384,2569,4088,292,327,310,442
0.385,451,1416,2602,3876,230,312,325,414
0.395,467,1337,2558,3776,216,322,311,406
0.405,514,1321,2590,3778,226,325,311,407
0.415,514,1353,2599,3807,220,304,308,411
0.425,530,1417,2575,3815,205,306,314,402
0.435,546,1369,2556,3816,204,309,320,393
