sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,543,1506,2556,3644,233,272,367,417
0.015,595,1498,2489,3713,255,333,342,423
0.025,589,1544,2542,3673,264,303,364,427
0.035,600,1574,2533,3689,268,326,339,436
0.045,674,1567,2570,3709,287,326,319,449
0.055,723,1585,2570,3705,280,311,328,441
0.065,787,1583,2526,3748,259,312,343,426
0.075,881,1612,2413,3695,250,325,367,438
0.085,828,1728,2399,3674,260,309,344,425
0.095,787,1771,2477,3724,265,320,343,428
0.105,815,1759,2482,3701,271,315,347,422
0.115,822,1772,2520,3740,265,313,343,438
0.125,816,1690,2560,3782,255,311,342,440
0.135,822,1641,2534,3799,286,295,368,434
0.145,742,1608,2577,3819,247,313,336,430
0.155,568,1538,2586,3792,240,271,335,416
0.165,496,1701,2493,3787,208,301,292,377
0.175,451,1686,2477,3751,185,294,309,364
0.185,460,1577,2556,3710,204,321,272,368
0.195,508,1622,2556,3750,213,319,301,350
0.205,451,1617,2627,3752,211,316,288,347
0.215,482,1606,2620,3731,251,318,296,346
0.225,467,1559,2651,3899,226,329,303,353
0.235,412,1527,2651,3902,202,314,285,356
0.245,451,1543,2683,3903,217,315,271,354
0.255,413,1527,2715,3865,210,303,265,351
0.265,416,1527,2699,3889,213,308,285,351
0.275,413,1527,2699,3838,211,307,271,344
0.285,435,1543,2715,3827,212,306,280,345
0.295,455,1543,2604,3719,222,290,297,356
0.305,480,1575,2588,3807,226,306,315,316
0.315,387,1638,2540,3794,217,311,316,320
0.325,488,1701,2493,3752,210,280,321,342
0.335,435,1701,2445,3723,209,310,322,348
0.345,472,1701,2414,3726,207,286,338,330
0.355,465,1701,2414,3759,202,312,340,304
0.365,458,1654,2423,3813,194,280,349,287
0.375,451,1701,2424,3796,195,283,356,277
0.385,467,1622,2414,3794,207,304,352,280
0.395,433,1666,2389,3801,206,322,336,275
0.405,421,1591,2414,3853,200,313,330,267
0.415,406,1575,2394,3885,209,310,342,298
0.425,392,1639,2430,3865,219,315,343,339
0.435,391,1579,2434,3854,232,283,357,374
0.445,366,1575,2414,3756,232,270,410,388
0.455,331,1530,2455,3804,229,296,372,331
0.465,383,1527,2438,3847,251,315,388,379
0.475,324,1573,2382,3808,298,302,361,398
0.485,387,1569,2348,3948,295,312,346,389
0.495,372,1591,2333,4073,308,334,337,399
0.505,387,1627,2382,4048,312,281,351,415
0.515,403,1638,2435,4065,308,364,303,410
0.525,387,1651,2382,3984,239,346,319,400
0.535,419,1622,2404,3875,216,332,343,381
0.545,387,1654,2350,3825,203,318,360,377
0.555,403,1686,2397,3768,191,298,349,389
0.565,467,1701,2398,3737,208,309,361,386
0.575,552,1686,2414,3704,185,290,340,367
0.585,498,1717,2411,3658,198,282,355,365
0.595,482,1749,2395,3589,197,279,346,369
0.605,482,1781,2409,3632,180,276,344,368
0.615,435,1765,2477,3656,204,275,333,362
0.625,468,1796,2525,3645,207,282,340,358
0.635,372,1812,2540,3669,205,307,344,354
0.645,340,1860,2540,3664,200,290,341,344
0.655,356,1875,2556,3645,212,306,335,335
0.665,324,1875,2572,3560,213,290,334,363
0.675,277,1868,2588,3546,225,288,349,390
0.685,261,1891,2564,3601,260,290,329,393
0.695,308,1925,2651,3514,293,309,366,448
0.705,229,1923,2794,3548,318,325,311,443
0.715,166,1939,2825,3673,291,342,278,460
0.725,166,1907,2825,3719,265,315,288,441
0.735,182,1939,2794,3836,262,327,296,418
0.745,182,1923,2746,3842,232,324,337,407
0.755,399,1844,2683,3835,220,315,329,416
0.765,425,1765,2588,3824,226,339,358,372
0.775,403,1733,2572,3801,246,315,359,390
0.785,419,1559,2540,3766,264,314,363,389
0.795,292,1559,2493,3782,266,305,361,363
0.805,261,1527,2414,3759,259,332,371,374
0.815,292,1543,2398,3806,244,311,401,362
0.825,245,1579,2455,3821,210,332,328,407
0.835,229,1596,2430,3890,227,298,345,396
0.845,229,1536,2397,3920,274,334,329,408
0.855,261,1526,2461,3922,295,317,353,394
0.865,245,1489,2524,3954,313,334,365,396
0.875,245,1475,2556,4013,333,336,372,406
0.885,261,1494,2557,4117,341,337,385,393
0.895,324,1587,2493,4109,343,351,365,404
0.905,372,1545,2451,4035,316,356,341,391
0.915,403,1717,2477,4030,308,381,325,412
0.925,403,1733,2477,4011,318,343,298,431
0.935,403,1668,2423,3934,289,292,297,450
0.945,403,1733,2493,3815,235,324,320,399
0.955,387,1622,2461,3766,212,336,309,363
0.965,373,1701,2581,3793,222,343,307,382
0.975,324,1796,2493,3761,229,308,322,388
