sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,486,1553,2553,3692,236,320,365,460
0.015,589,1536,2476,3767,285,356,350,446
0.025,656,1581,2546,3838,279,323,304,448
0.035,682,1556,2604,3808,321,306,351,464
0.045,743,1589,2563,3747,283,301,370,488
0.055,804,1629,2578,3735,264,310,356,451
0.065,844,1662,2602,3757,258,315,376,442
0.075,858,1634,2491,3772,246,341,349,449
0.085,830,1603,2429,3684,249,340,325,453
0.095,770,1551,2364,3635,269,336,323,462
0.105,614,1465,2375,3657,306,297,309,442
0.115,427,1419,2440,3602,265,253,333,439
0.125,333,1441,2334,3739,225,304,300,438
0.135,369,1467,2322,3792,214,336,317,446
0.145,398,1522,2398,3812,198,303,341,448
0.155,382,1499,2469,3833,210,310,330,452
0.165,435,1483,2550,3818,219,313,310,466
0.175,473,1482,2466,3831,250,331,292,444
0.185,513,1459,2422,3786,289,318,294,460
0.195,499,1570,2443,3743,306,281,343,475
0.205,540,1528,2416,3702,317,313,312,472
0.215,526,1525,2427,3733,290,301,338,445
0.225,520,1469,2425,3776,317,308,319,461
0.235,571,1472,2410,3750,302,325,332,490
0.245,546,1459,2374,3772,264,330,315,505
0.255,546,1462,2341,3823,255,355,321,504
0.265,634,1495,2406,3841,227,309,336,491
0.275,566,1550,2426,3821,199,313,311,437
0.285,568,1622,2425,3760,194,322,302,433
0.295,482,1622,2415,3680,184,295,315,425
0.305,482,1622,2335,3674,146,265,341,412
0.315,537,1749,2445,3643,186,297,339,419
0.325,482,1781,2414,3563,169,284,331,416
0.335,520,1796,2464,3502,189,300,320,385
0.345,451,1860,2445,3477,189,297,310,385
0.355,508,1989,2395,3506,188,275,307,361
0.365,504,1907,2445,3415,192,272,308,382
0.375,451,1923,2461,3374,183,277,326,371
0.385,487,1875,2430,3324,183,316,337,387
0.395,451,1765,2287,3314,215,322,331,389
0.405,435,1670,2208,3285,231,355,316,423
0.415,508,1448,2113,3214,197,364,317,416
0.425,502,1353,2113,3181,193,372,325,393
0.435,481,1337,2172,3271,214,340,304,400
0.445,435,1321,2145,3342,198,330,321,407
0.455,435,1369,2431,3379,291,354,291,379
0.465,467,1543,2482,3455,311,395,279,377
0.475,546,1749,2488,3520,275,392,311,355
0.485,577,1796,2588,3522,271,389,295,349
0.495,593,1828,2622,3494,281,358,313,339
0.505,688,1828,2540,3536,249,385,355,353
0.515,720,1844,2509,3543,254,402,308,333
0.525,767,1812,2477,3616,261,400,295,310
0.535,736,1790,2461,3616,271,401,308,350
0.545,704,1781,2430,3708,220,407,321,383
0.555,704,1827,2350,3727,240,340,329,416
0.565,688,1702,2350,3657,232,329,358,457
0.575,656,1638,2335,3574,213,324,367,469
0.585,609,1559,2313,3449,190,330,350,450
0.595,577,1448,2303,3444,161,342,365,413
0.605,546,1369,2308,3440,144,338,345,382
0.615,562,1258,2303,3395,159,340,332,391
0.625,577,1179,2201,3402,185,322,308,382
0.635,546,1131,2124,3432,196,303,322,379
0.645,546,1084,2089,3467,207,309,317,381
0.655,546,1084,2085,3481,213,296,316,367
0.665,514,1084,2102,3494,222,303,301,371
0.675,604,1117,2130,3545,234,303,304,421
0.685,514,1131,2158,3501,225,300,305,403
0.695,559,1244,2177,3442,241,302,329,394
0.705,482,1163,2178,3368,218,282,333,398
0.715,546,1195,2161,3309,221,301,368,398
0.725,467,1226,2128,3276,218,277,370,400
0.735,435,1274,2078,3270,201,277,394,397
0.745,485,1337,2015,3291,179,269,415,408
0.755,452,1443,1943,3372,172,243,426,382
0.765,451,1416,1869,3518,185,232,402,390
0.775,382,1464,1809,3664,193,256,349,377
0.785,411,1480,1781,3715,186,307,347,368
0.795,393,1496,1796,3620,218,303,339,400
0.805,321,1543,1839,3584,252,256,377,426
0.815,439,1543,1894,3573,253,268,344,427
0.825,490,1497,1949,3581,259,283,351,449
0.835,582,1543,1994,3629,279,277,326,422
0.845,514,1591,2026,3715,315,267,349,403
0.855,631,1642,2045,3773,233,265,373,429
0.865,530,1606,2055,3819,263,287,356,420
0.875,522,1531,2059,3784,315,270,343,438
0.885,453,1575,2059,3703,297,284,341,452
