sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,592,1493,2463,3559,254,324,355,416
0.015,594,1502,2506,3600,277,303,341,417
0.025,602,1501,2425,3546,307,297,326,436
0.035,637,1521,2475,3563,264,332,311,418
0.045,625,1522,2568,3652,274,295,306,445
0.055,631,1549,2585,3724,259,303,306,468
0.065,664,1597,2554,3687,269,301,354,431
0.075,737,1638,2512,3751,292,326,353,426
0.085,817,1648,2456,3767,302,333,351,374
0.095,832,1700,2504,3760,276,329,330,386
0.105,913,1648,2525,3773,274,325,333,410
0.115,948,1709,2437,3770,268,352,326,441
0.125,874,1650,2480,3794,290,291,340,417
0.135,760,1580,2547,3841,256,306,354,441
0.145,784,1462,2538,3806,238,344,366,455
0.155,771,1367,2411,3837,208,352,343,415
0.165,807,1247,2332,3881,206,322,299,390
0.175,770,1242,2303,3905,210,322,310,382
0.185,758,1258,2353,3924,203,314,320,385
0.195,736,1290,2303,3933,206,317,325,401
0.205,678,1385,2303,3986,196,317,329,405
0.215,642,1448,2303,4084,191,286,305,406
0.225,561,1511,2335,4173,201,274,342,422
0.235,533,1622,2350,4280,203,282,374,408
0.245,528,1686,2430,4329,218,288,332,373
0.255,505,1796,2430,4259,246,315,298,367
0.265,475,1875,2509,4256,216,322,298,374
0.275,398,1955,2588,4218,216,299,316,367
0.285,396,2050,2620,4200,214,262,317,339
0.295,348,2129,2635,4134,213,298,308,344
0.305,345,2129,2699,4060,209,273,326,345
0.315,349,2145,2746,3860,213,282,343,403
0.325,359,2192,2746,3708,216,291,346,389
0.335,355,2208,2746,3687,213,294,334,403
0.345,333,2192,2762,3707,210,267,332,398
0.355,324,2192,2762,3673,212,284,349,399
0.365,331,2192,2746,3731,215,280,341,415
0.375,308,2176,2746,3765,223,248,340,428
0.385,277,2160,2762,3779,235,270,301,425
0.395,277,2145,2778,3855,242,261,314,428
0.405,277,2097,2825,3892,229,257,326,409
0.415,395,2129,2901,3902,212,276,344,409
0.425,367,2022,2825,4068,207,290,330,431
0.435,308,2065,2762,4085,216,323,320,420
0.445,329,2065,2762,4048,211,305,302,405
0.455,354,2113,2762,4036,201,278,309,395
0.465,511,2176,2839,4104,206,304,282,392
0.475,577,2208,2762,4010,176,308,259,389
0.485,625,2240,2677,3917,176,321,274,429
0.495,593,2287,2699,3914,180,343,287,434
0.505,593,2336,2699,3967,192,329,309,453
0.515,593,2239,2683,4069,206,351,328,460
0.525,593,2237,2604,4096,234,317,301,451
0.535,625,2226,2604,4109,205,311,325,460
0.545,625,2194,2588,4051,233,310,311,438
0.555,609,2228,2604,3924,231,315,316,440
0.565,625,2278,2588,3776,227,318,323,468
0.575,593,2275,2594,3600,220,310,341,459
0.585,593,2235,2604,3638,229,302,359,406
0.595,593,2254,2667,3730,221,298,350,423
0.605,609,2287,2746,3650,218,294,323,391
0.615,593,2213,2762,3533,212,267,316,425
0.625,609,2127,2778,3488,215,243,328,402
0.635,593,2018,2715,3533,214,250,355,380
0.645,625,1907,2588,3504,224,260,393,375
0.655,577,1796,2525,3548,240,282,397,363
0.665,562,1701,2414,3540,271,314,397,344
0.675,562,1606,2319,3487,276,310,391,351
0.685,562,1527,2319,3511,274,340,345,349
0.695,451,1480,2271,3442,282,377,305,334
0.705,451,1353,2271,3496,233,408,312,346
0.715,419,1195,2271,3517,198,389,322,335
0.725,419,1147,2237,3470,208,317,324,333
0.735,387,1084,2271,3477,252,256,301,323
0.745,419,1001,2157,3447,243,286,276,347
0.755,387,973,2127,3511,245,281,279,366
0.765,419,1026,2043,3565,233,296,295,365
0.775,387,1036,1996,3575,249,268,294,366
0.785,419,1068,1969,3550,219,283,302,379
0.795,387,1116,1940,3536,217,292,307,385
0.805,380,1179,1897,3582,213,271,312,379
0.815,389,1242,1848,3624,238,262,314,375
0.825,397,1274,1805,3646,208,257,307,344
0.835,409,1337,1783,3672,233,251,327,341
0.845,393,1353,1788,3698,226,251,316,339
0.855,391,1369,1807,3651,204,274,317,353
0.865,403,1353,1823,3696,226,287,318,361
0.875,387,1401,1821,3692,212,310,323,370
0.885,382,1464,1812,3678,221,329,340,380
0.895,389,1464,1814,3716,190,319,343,391
0.905,389,1474,1842,3779,203,281,392,413
0.915,392,1557,1900,3818,230,248,396,441
0.925,356,1521,1978,3848,276,265,350,479
0.935,387,1546,2068,3765,311,326,312,476
0.945,356,1559,2157,3652,360,316,307,442
0.955,387,1576,2231,3519,352,338,339,411
0.965,468,1626,2278,3593,317,306,328,429
0.975,419,1682,2303,3553,293,302,385,414
0.985,482,1640,2325,3532,302,361,347,417
0.995,572,1543,2363,3599,322,341,302,433
1.005,530,1582,2417,3581,304,333,330,445
1.015,562,1594,2482,3542,299,329,341,433
1.025,546,1606,2553,3590,281,331,327,425
1.035,562,1726,2626,3655,307,333,314,382
1.045,562,1835,2696,3816,296,326,345,381
1.055,530,1920,2760,3864,282,322,358,418
1.065,546,2014,2815,3840,221,303,379,438
1.075,546,2030,2860,3896,227,312,365,408
1.085,514,2025,2893,4034,251,311,335,388
1.095,498,2029,2919,4042,254,305,349,430
1.105,451,1936,2941,4081,260,329,323,443
1.115,467,1866,2968,4057,259,314,311,427
1.125,419,2098,2995,3852,271,365,307,377
1.135,403,2113,3000,3906,314,321,303,384
1.145,324,2113,2963,3947,315,297,280,393
1.155,277,2113,2896,3891,257,298,273,386
1.165,275,2113,2814,3798,226,247,308,399
1.175,277,2145,2734,3772,228,218,330,404
1.185,261,2113,2672,3698,232,209,363,413
1.195,292,2034,2646,3532,225,239,386,404
1.205,237,1875,2588,3493,220,291,390,400
1.215,308,1796,2592,3441,208,324,402,415
1.225,297,1638,2525,3357,208,377,392,398
1.235,308,1385,2445,3550,213,390,296,425
1.245,277,1131,2350,3555,242,380,277,406
1.255,261,1036,2303,3542,230,338,262,417
1.265,229,1021,2303,3627,248,326,247,425
1.275,261,1036,2319,3708,257,301,257,410
1.285,277,1116,2210,3703,265,290,260,431
1.295,427,1179,2240,3540,222,306,319,443
1.305,451,1353,2170,3471,210,342,344,422
1.315,498,1432,2214,3465,163,311,367,404
1.325,574,1527,2240,3604,176,306,388,415
1.335,530,1591,2319,3702,192,298,373,403
1.345,514,1622,2319,3733,214,303,351,391
1.355,565,1670,2398,3713,227,305,337,381
1.365,482,1733,2477,3723,215,303,350,395
1.375,467,1781,2461,3705,203,282,349,391
1.385,387,1828,2493,3691,219,284,358,378
1.395,340,1844,2493,3695,220,289,358,378
1.405,324,1844,2514,3718,228,290,352,364
1.415,324,1862,2493,3720,225,310,339,348
1.425,277,1749,2476,3679,256,334,312,383
1.435,324,1670,2509,3634,278,366,290,395
1.445,324,1511,2414,3572,296,389,291,401
1.455,372,1195,2375,3595,245,340,278,393
1.465,356,1052,2398,3651,243,307,307,381
1.475,372,910,2350,3715,250,288,286,388
1.485,372,967,2319,3823,249,301,290,371
1.495,372,926,2366,3873,241,294,295,335
1.505,372,973,2366,3833,222,294,300,344
1.515,387,1052,2414,3843,224,298,279,350
1.525,419,1131,2477,3865,231,324,303,357
1.535,451,1321,2493,3808,222,323,331,376
1.545,448,1407,2525,3626,240,296,298,387
1.555,443,1480,2509,3598,238,303,316,383
1.565,445,1432,2493,3530,256,308,351,398
1.575,503,1432,2485,3559,242,302,352,421
1.585,519,1416,2414,3582,221,340,327,413
1.595,605,1416,2511,3616,215,316,303,419
1.605,562,1321,2534,3503,274,321,320,451
1.615,546,1274,2471,3492,304,310,313,398
1.625,530,1179,2420,3453,271,299,345,372
1.635,514,1147,2439,3453,278,321,355,405
1.645,419,1116,2368,3512,257,305,358,357
1.655,403,1068,2361,3630,253,315,372,395
1.665,356,1036,2397,3706,171,347,342,381
1.675,340,1005,2181,3707,145,403,349,385
1.685,340,973,2145,3729,145,386,304,380
1.695,372,957,2136,3652,160,335,287,412
1.705,419,989,2160,3651,185,268,311,395
1.715,467,1052,2113,3665,192,289,349,417
1.725,451,1036,2129,3755,184,267,329,388
1.735,467,1036,2117,3959,176,311,353,428
1.745,467,1068,2240,3996,159,296,363,441
1.755,451,1021,2287,4035,163,333,363,470
1.765,498,989,2287,4068,173,283,336,483
1.775,482,973,2335,4119,183,289,360,465
1.785,482,989,2382,4241,230,284,337,473
1.795,482,989,2445,4300,239,288,320,432
1.805,482,1021,2493,4376,216,313,323,414
1.815,467,1052,2430,4360,234,315,311,379
1.825,451,1052,2386,4366,221,328,318,389
1.835,435,989,2419,4396,182,349,320,387
1.845,387,894,2366,4359,200,347,282,368
1.855,372,862,2350,4349,226,337,263,367
1.865,372,846,2303,4315,187,306,318,389
1.875,356,815,2340,4184,185,315,354,430
1.885,340,799,2160,3989,222,288,355,430
1.895,292,846,2169,3937,214,315,349,482
1.905,277,1021,2018,3921,199,286,370,442
1.915,292,1211,1923,3910,181,243,402,422
1.925,292,1321,1844,3847,189,225,409,388
1.935,292,1317,1836,3885,209,237,337,396
1.945,324,1321,1781,3871,208,268,329,403
1.955,324,1321,1849,3858,221,286,358,426
1.965,340,1337,1781,3870,235,316,357,454
1.975,429,1420,1834,3862,262,258,352,411
1.985,488,1337,1891,3858,273,259,341,424
1.995,520,1494,1875,3876,269,257,382,431
2.005,617,1385,1970,3936,254,293,383,439
2.015,651,1385,2018,4005,287,297,358,479
2.025,680,1384,2050,4041,275,324,314,505
2.035,733,1369,2113,4001,296,285,333,479
2.045,802,1377,2192,4000,259,342,328,474
2.055,759,1436,2341,4000,262,310,305,493
2.065,705,1482,2287,3944,231,319,316,484
2.075,606,1487,2287,3876,263,298,310,475
2.085,584,1504,2352,3825,275,289,311,467
