sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,562,1520,2470,3645,249,319,371,442
0.015,565,1383,2504,3619,317,298,309,447
0.025,627,1356,2453,3645,283,337,296,439
0.035,661,1461,2414,3690,276,309,291,431
0.045,752,1426,2458,3676,317,299,299,419
0.055,783,1454,2411,3678,291,297,316,421
0.065,807,1567,2389,3613,259,332,311,433
0.075,876,1574,2479,3645,263,328,340,427
0.085,921,1623,2458,3812,283,336,325,427
0.095,1010,1553,2499,3926,265,338,321,453
0.105,860,1665,2473,4019,201,334,329,449
0.115,815,1772,2554,4059,229,307,339,431
0.125,771,1849,2600,4086,252,270,348,414
0.135,760,1836,2666,4246,223,293,374,429
0.145,791,1814,2755,4218,220,295,371,400
0.155,677,1806,2793,4230,227,315,353,401
0.165,696,1747,2867,4201,201,308,343,412
0.175,734,1783,2879,4211,173,298,346,415
0.185,711,1770,2867,4132,211,309,337,408
0.195,688,1740,2879,4056,184,290,310,400
0.205,666,1697,2833,3976,181,293,313,410
0.215,654,1685,2742,3927,164,296,325,417
0.225,631,1648,2650,3909,171,278,345,420
0.235,631,1544,2548,3878,190,296,360,428
0.245,609,1462,2320,3876,197,314,337,431
0.255,631,1304,2297,3861,187,336,276,446
0.265,620,1225,2246,3818,189,325,318,477
0.275,620,1167,2263,3826,196,369,318,491
0.285,540,1121,2262,3822,307,293,315,471
0.295,551,1134,2250,3720,326,348,344,496
0.305,506,1159,2234,3670,340,287,314,470
0.315,506,1185,2222,3716,338,292,312,447
0.325,483,1185,2222,3679,292,315,371,425
0.335,460,1197,2241,3700,264,311,355,459
0.345,460,1194,2286,3713,267,321,374,443
0.355,483,1202,2342,3832,255,321,347,419
0.365,437,1259,2380,3839,220,318,315,406
0.375,471,1409,2387,3806,189,363,318,345
0.385,426,1672,2378,3725,206,394,284,318
0.395,380,1883,2367,3710,222,384,271,315
0.405,392,1957,2363,3656,235,392,268,323
0.415,392,1960,2370,3665,215,393,286,406
0.425,456,1964,2389,3683,223,395,303,426
0.435,392,2041,2419,3726,230,413,289,443
0.445,450,2057,2459,3810,197,359,293,472
0.455,392,1977,2505,3807,204,323,291,479
0.465,392,1932,2555,3714,216,331,309,470
0.475,392,1863,2607,3659,203,314,346,442
0.485,415,1749,2657,3683,195,293,336,399
0.495,449,1647,2705,3772,191,295,323,396
0.505,563,1612,2776,3816,190,296,315,385
0.515,654,1567,2810,3775,213,305,361,387
0.525,745,1533,2822,3743,210,301,369,386
0.535,745,1521,2844,3772,233,317,364,366
0.545,748,1498,2852,3789,240,304,371,373
0.555,745,1464,2879,3834,231,310,369,379
0.565,723,1464,2867,3897,228,311,385,388
0.575,700,1487,2947,3972,220,297,386,405
0.585,666,1498,2913,4094,233,305,387,422
0.595,597,1510,2913,4249,233,278,370,435
0.605,563,1509,2913,4408,200,264,327,425
0.615,506,1567,2913,4374,232,289,340,446
0.625,472,1579,2913,4345,273,323,380,465
0.635,496,1550,2913,4376,244,300,407,485
0.645,478,1569,2879,4321,240,322,369,468
0.655,498,1593,2890,4270,214,274,346,468
0.665,540,1617,2890,4295,209,287,327,481
0.675,551,1638,2854,4354,186,309,337,483
0.685,563,1719,2856,4402,153,273,322,455
0.695,574,1704,2879,4393,172,269,316,437
0.705,604,1732,2911,4444,138,249,314,450
0.715,631,1726,2844,4425,158,274,326,482
0.725,654,1692,2822,4175,156,263,332,446
0.735,654,1715,2776,4038,190,275,342,417
0.745,791,1734,2719,3952,176,269,355,392
0.755,802,1694,2708,3934,169,253,363,415
0.765,825,1713,2673,3893,185,270,355,478
0.775,837,1739,2650,3881,177,274,350,492
0.785,825,1726,2605,3877,184,289,342,501
0.795,791,1738,2593,3882,191,304,341,513
0.805,745,1749,2559,3954,193,321,326,495
0.815,663,1772,2514,4112,193,335,327,496
0.825,677,1795,2514,4259,200,334,301,484
0.835,643,1818,2468,4418,222,310,326,440
0.845,563,1869,2438,4280,273,325,339,440
0.855,540,1907,2536,4166,304,337,329,440
0.865,451,1945,2628,4002,326,326,332,445
0.875,462,1983,2708,3901,327,311,324,463
0.885,458,1983,2776,3837,375,363,287,452
0.895,480,1977,2776,3918,334,392,256,410
0.905,476,1932,2765,3905,351,368,248,424
0.915,479,1875,2776,3897,329,370,282,420
0.925,467,1818,2730,3904,345,376,267,423
0.935,466,1806,2730,3937,357,370,254,449
0.945,482,1806,2742,3934,385,406,267,470
0.955,512,1749,2765,3829,388,379,369,443
0.965,538,1498,2776,3875,333,416,377,414
0.975,465,1396,2742,3830,308,427,380,401
0.985,504,1167,2719,3904,269,474,332,403
0.995,546,1110,2685,3804,261,471,309,372
1.005,449,1083,2666,3822,247,375,337,378
1.015,426,1096,2666,3819,227,320,304,351
1.025,392,1223,2666,3811,231,353,310,340
1.035,346,1501,2666,3834,239,354,316,369
1.045,392,1717,2666,3830,240,370,313,373
1.055,358,2109,2692,3811,227,335,322,378
1.065,392,2206,2730,3729,208,314,324,369
1.075,369,2194,2768,3763,200,312,314,366
1.085,369,2194,2768,3871,182,310,302,366
1.095,392,2023,2806,3864,205,297,327,378
1.105,358,1932,2787,3914,205,296,339,396
1.115,323,1829,2776,3995,207,302,336,408
1.125,301,1795,2765,3901,203,284,357,432
1.135,363,1772,2776,3879,204,302,371,434
1.145,301,1738,2776,3901,220,366,351,422
1.155,301,1704,2776,3954,215,304,350,403
1.165,346,1772,2765,3928,192,279,306,408
1.175,335,1772,2685,3851,207,291,314,406
1.185,335,1761,2616,3740,197,293,306,389
1.195,335,1635,2559,3686,213,305,309,389
1.205,335,1578,2494,3730,220,288,292,407
1.215,346,1578,2479,3768,219,297,309,435
1.225,346,1533,2479,3774,232,293,321,438
1.235,369,1498,2434,3792,234,319,311,437
1.245,403,1510,2473,3784,230,305,310,429
1.255,449,1510,2434,3730,211,340,290,411
1.265,472,1501,2468,3768,211,284,288,398
1.275,498,1510,2479,3740,213,304,299,374
1.285,425,1581,2525,3752,200,297,301,369
1.295,392,1573,2536,3799,183,290,321,369
1.305,463,1622,2548,3823,171,273,320,361
1.315,526,1624,2650,3862,170,293,302,360
1.325,563,1606,2708,3900,198,304,331,379
1.335,609,1480,2787,3930,189,309,343,411
1.345,631,1385,2808,3976,181,296,324,397
1.355,663,1247,2822,3980,169,311,317,390
1.365,631,1213,2867,4002,166,295,302,380
1.375,631,1147,2844,3984,162,343,310,360
1.385,586,1100,2817,3969,165,319,305,369
1.395,586,1084,2799,3988,171,322,320,360
1.405,609,1052,2799,4015,194,300,317,356
1.415,563,1036,2799,3993,192,285,312,343
1.425,506,1005,2822,3974,200,302,300,343
1.435,437,1005,2844,3887,205,301,322,381
1.445,426,995,2833,3896,223,305,298,418
1.455,426,1005,2844,3872,233,293,300,466
1.465,403,1030,2844,3868,229,326,341,469
1.475,392,1110,2813,3852,292,320,347,472
1.485,403,1110,2844,3810,287,313,358,468
1.495,392,1133,2787,3790,322,317,347,463
1.505,358,1202,2821,3839,300,329,341,455
1.515,358,1259,2821,3876,357,308,331,442
1.525,358,1270,2821,3915,332,303,320,443
