sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,620,1533,2549,3687,208,280,388,461
0.015,691,1648,2566,3764,208,320,402,473
0.025,750,1618,2575,3762,261,299,393,467
0.035,786,1681,2558,3754,263,336,405,458
0.045,863,1699,2591,3706,246,345,391,442
0.055,946,1643,2629,3696,258,329,359,406
0.065,1027,1635,2689,3775,256,314,370,426
0.075,952,1710,2713,3901,238,325,355,443
0.085,895,1768,2723,3938,254,306,350,462
0.095,941,1751,2754,3941,261,308,355,468
0.105,1022,1774,2724,4007,247,346,338,476
0.115,915,1756,2683,4054,205,332,324,467
0.125,764,1677,2663,4079,201,312,345,453
0.135,788,1470,2557,4028,209,321,343,436
0.145,688,1321,2553,4068,183,313,314,425
0.155,672,1416,2514,4186,200,310,352,464
0.165,688,1401,2490,4100,235,298,350,409
0.175,672,1401,2456,4011,224,316,380,397
0.185,672,1416,2439,3915,232,312,400,412
0.195,688,1416,2428,3967,246,295,400,402
0.205,706,1432,2505,4083,224,313,377,423
0.215,718,1448,2465,4027,228,309,363,414
0.225,740,1496,2510,3984,228,313,374,413
0.235,740,1480,2565,3938,239,309,355,419
0.245,740,1496,2632,3932,216,307,349,422
0.255,714,1511,2666,3916,223,316,330,411
0.265,684,1606,2766,3921,202,302,325,420
0.275,660,1654,2821,3885,174,293,325,422
0.285,617,1686,2855,3900,195,321,339,415
0.295,606,1749,2866,3942,174,282,333,406
0.305,584,1844,2910,3997,189,289,343,424
0.315,539,1955,2933,4063,175,254,355,442
0.325,506,2034,2933,4138,179,249,358,462
0.335,484,2043,2877,4194,176,258,351,443
0.345,479,2097,2777,4236,178,274,330,437
0.355,461,2065,2699,4202,177,292,315,423
0.365,467,1970,2610,4248,173,271,317,435
0.375,428,1891,2578,4231,190,308,355,456
0.385,461,1844,2502,4266,206,295,361,470
0.395,495,1796,2469,4261,179,283,390,490
0.405,573,1686,2456,4153,156,358,353,456
0.415,593,1464,2448,4142,169,342,349,427
0.425,640,1401,2412,4177,181,332,337,420
0.435,686,1326,2398,4091,205,284,340,383
0.445,720,1353,2398,3934,172,296,364,393
0.455,685,1401,2376,3851,177,297,361,414
0.465,671,1480,2454,3962,164,291,358,396
0.475,633,1575,2487,3864,153,289,350,391
0.485,644,1622,2532,3810,171,288,357,405
0.495,621,1654,2610,3819,163,288,331,391
0.505,624,1701,2654,3862,168,300,347,398
0.515,599,1796,2699,3890,194,332,351,410
0.525,549,1891,2766,3920,190,295,355,397
0.535,506,1970,2833,4000,202,279,350,405
0.545,530,1971,2844,4035,205,284,326,417
0.555,499,1986,2810,4008,213,296,300,419
0.565,403,1923,2688,3953,223,322,330,412
0.575,372,1844,2543,3935,202,303,327,422
0.585,372,1805,2521,3922,214,301,350,419
0.595,387,1796,2532,3869,223,315,371,450
0.605,339,1749,2510,3777,238,337,418,478
0.615,339,1701,2421,3714,223,404,399,471
0.625,339,1527,2343,3668,226,401,312,458
0.635,339,1401,2298,3608,221,350,282,443
0.645,328,1251,2287,3509,232,324,265,446
0.655,328,1290,2253,3469,244,316,283,432
0.665,350,1100,2254,3440,233,320,294,410
0.675,339,1005,2243,3450,211,322,296,434
0.685,339,985,2188,3412,213,307,323,384
0.695,372,1040,2220,3476,226,287,315,380
0.705,372,1074,2198,3530,240,289,341,385
0.715,467,1096,2220,3589,233,295,349,357
0.725,498,1096,2254,3625,222,292,344,366
0.735,577,1141,2309,3650,233,289,363,365
0.745,625,1196,2343,3630,217,291,371,378
0.755,656,1274,2365,3595,233,304,366,398
0.765,656,1306,2454,3594,226,309,362,406
0.775,641,1353,2456,3611,239,299,374,414
0.785,656,1452,2599,3643,227,299,383,429
0.795,654,1564,2643,3712,201,275,386,419
0.805,610,1641,2688,3801,175,281,381,405
0.815,544,1697,2699,3918,153,300,371,404
0.825,507,1733,2699,3998,153,306,345,402
0.835,497,1812,2655,4097,164,293,322,422
0.845,456,1891,2710,4209,196,304,325,434
0.855,426,1907,2656,4315,202,303,354,444
0.865,357,1860,2660,4288,235,309,347,447
0.875,308,1828,2677,4302,234,329,333,460
0.885,292,1796,2639,4335,246,320,317,469
0.895,308,1749,2638,4413,279,345,345,415
0.905,261,1638,2672,4379,204,323,346,434
0.915,292,1622,2666,4262,209,286,311,425
0.925,356,1543,2682,4205,215,288,298,459
0.935,435,1496,2643,4099,287,271,324,467
0.945,484,1464,2643,3925,302,275,321,469
0.955,451,1385,2584,3840,304,313,335,500
0.965,514,1369,2588,3850,256,300,362,480
0.975,530,1306,2565,3802,206,292,373,436
0.985,562,1306,2554,3854,197,284,368,389
0.995,577,1258,2432,3822,211,277,348,412
1.005,593,1226,2398,3861,174,301,326,373
1.015,609,1211,2365,3880,198,298,306,352
1.025,593,1195,2398,3880,211,334,295,362
1.035,609,1195,2443,3938,216,315,313,384
1.045,609,1179,2465,3943,218,308,312,403
1.055,609,1131,2476,3979,223,304,296,385
1.065,609,1084,2521,3989,222,309,299,395
