sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,478,1422,2446,3614,244,306,349,421
0.015,550,1394,2320,3632,268,297,318,470
0.025,562,1433,2348,3676,282,324,300,449
0.035,550,1489,2469,3699,308,270,324,435
0.045,642,1639,2423,3709,264,304,325,439
0.055,687,1581,2429,3678,303,331,324,451
0.065,832,1504,2492,3721,263,360,314,448
0.075,850,1538,2431,3770,247,375,325,449
0.085,860,1538,2394,3845,219,392,324,435
0.095,882,1506,2446,3842,226,366,315,431
0.105,818,1525,2522,3810,205,336,322,456
0.115,821,1502,2528,3786,218,341,302,427
0.125,662,1531,2512,3752,227,312,339,431
0.135,656,1441,2497,3877,209,343,313,457
0.145,504,1458,2416,3970,279,303,324,457
0.155,454,1355,2543,4101,277,323,328,438
0.165,416,1414,2632,4146,228,301,354,390
0.175,390,1429,2657,4178,246,300,363,388
0.185,416,1340,2721,4194,217,345,356,422
0.195,441,1251,2771,4160,194,320,374,456
0.205,454,1213,2695,4089,212,303,360,457
0.215,454,1150,2632,4035,223,318,348,461
0.225,454,1112,2543,3974,231,314,366,501
0.235,454,998,2417,3774,199,327,372,513
0.245,492,960,2290,3554,205,363,348,482
0.255,492,960,2204,3409,218,342,305,399
0.265,492,1061,2189,3435,243,303,291,374
0.275,539,1175,2181,3446,212,317,283,396
0.285,530,1365,2183,3459,211,335,305,389
0.295,531,1479,2266,3530,214,333,316,406
0.305,555,1543,2308,3652,210,318,326,377
0.315,521,1707,2352,3820,226,317,323,370
0.325,518,1682,2409,4000,219,315,317,378
0.335,555,1695,2367,4052,215,323,277,410
0.345,580,1644,2426,4051,243,352,260,395
0.355,593,1517,2433,4039,201,341,274,395
0.365,606,1479,2513,4095,220,331,276,390
0.375,593,1479,2536,4114,212,308,296,398
0.385,593,1479,2505,4211,209,351,293,401
0.395,624,1517,2505,4200,189,368,314,425
0.405,662,1517,2505,4276,249,324,312,438
0.415,656,1538,2543,4340,289,331,320,423
0.425,612,1568,2600,4221,308,324,333,422
0.435,618,1564,2569,4183,296,341,339,428
0.445,618,1619,2569,4168,300,324,317,431
0.455,656,1660,2607,4178,268,338,345,428
0.465,656,1672,2594,4202,278,306,344,407
0.475,656,1657,2619,4213,264,308,313,402
0.485,644,1657,2632,4175,264,347,330,411
0.495,606,1657,2657,4120,250,318,339,437
0.505,580,1657,2708,4104,233,327,331,449
0.515,568,1635,2733,4095,259,342,291,447
0.525,542,1644,2759,4068,247,324,282,450
0.535,492,1644,2784,4095,277,292,307,433
0.545,454,1684,2809,4052,255,313,329,423
0.555,403,1657,2809,4070,256,300,353,425
0.565,378,1657,2746,4114,295,308,342,433
0.575,352,1624,2670,4076,277,302,303,423
0.585,327,1682,2632,3950,254,333,311,406
0.595,340,1720,2569,3867,253,358,337,378
0.605,328,1771,2543,3839,226,305,326,388
0.615,327,1809,2531,3786,217,283,364,396
0.625,380,1847,2493,3744,221,293,391,388
0.635,373,1859,2569,3670,238,276,387,376
0.645,340,1885,2548,3576,220,274,384,389
0.655,316,1872,2581,3656,212,282,370,368
0.665,340,1923,2607,3597,212,282,376,360
0.675,350,1923,2607,3512,214,280,387,363
0.685,347,1910,2594,3490,212,300,362,356
0.695,352,1935,2543,3487,210,295,363,339
0.705,340,1961,2518,3524,211,299,344,374
0.715,292,1961,2505,3515,210,303,326,369
0.725,327,1986,2480,3504,208,306,319,384
0.735,327,1923,2505,3591,188,315,340,397
0.745,327,1847,2467,3581,166,318,346,403
0.755,321,1834,2493,3624,155,338,319,392
0.765,345,1809,2480,3703,162,343,330,416
0.775,314,1809,2429,3708,171,350,339,449
0.785,314,1809,2480,3693,173,349,333,446
0.795,314,1796,2442,3621,267,310,337,431
0.805,314,1809,2442,3570,209,339,331,428
0.815,318,1809,2311,3599,203,345,315,389
0.825,334,1855,2391,3579,223,354,317,425
0.835,403,1872,2353,3588,252,362,303,422
