sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,439,1390,2469,3552,262,299,332,417
0.015,457,1381,2490,3562,264,320,311,401
0.025,569,1489,2408,3560,242,314,319,412
0.035,622,1502,2426,3544,274,320,315,411
0.045,622,1583,2482,3527,299,305,324,429
0.055,673,1580,2510,3425,359,279,335,396
0.065,813,1498,2556,3470,272,329,342,426
0.075,829,1425,2653,3549,229,309,343,431
0.085,813,1448,2661,3621,228,294,336,455
0.095,845,1433,2636,3579,214,325,365,438
0.105,798,1372,2636,3539,195,321,324,461
0.115,796,1311,2675,3664,205,303,287,466
0.125,783,1326,2692,3748,226,325,305,476
0.135,734,1354,2611,3751,263,325,319,466
0.145,735,1319,2599,3737,191,346,312,462
0.155,727,1245,2551,3725,216,341,302,440
0.165,655,1307,2551,3722,197,331,292,454
0.175,619,1307,2551,3638,185,325,286,451
0.185,570,1247,2551,3536,198,344,272,493
0.195,546,1223,2478,3451,196,346,276,508
0.205,498,1198,2406,3380,198,334,281,507
0.215,498,1174,2346,3282,177,316,267,493
0.225,462,1138,2261,3194,161,328,306,473
0.235,426,1126,2104,3181,163,317,352,449
0.245,426,1090,2056,3176,152,321,389,449
0.255,450,1066,1911,3347,153,296,375,437
0.265,438,1066,1754,3405,187,302,378,435
0.275,450,1053,1706,3452,199,294,366,449
0.285,450,1041,1657,3397,213,336,366,492
0.295,438,1017,1657,3305,219,311,344,504
0.305,438,1017,1657,3202,218,316,333,481
0.315,438,1017,1669,3075,230,331,331,455
0.325,426,1017,1718,3039,229,308,305,403
0.335,426,1029,1790,3046,225,306,294,416
0.345,462,1029,1959,3043,246,303,338,381
0.355,462,1041,2092,3131,226,301,368,393
0.365,462,1029,2237,3174,214,299,379,375
0.375,438,993,2358,3283,225,297,362,365
0.385,462,981,2454,3354,222,293,366,363
0.395,462,945,2599,3443,223,317,319,365
0.405,438,945,2708,3546,234,324,257,373
0.415,389,909,2756,3647,213,317,251,372
0.425,377,909,2672,3701,200,314,267,368
0.435,341,897,2660,3702,201,303,278,358
0.445,329,884,2660,3734,210,289,292,346
0.455,341,872,2708,3750,197,295,304,329
0.465,365,872,2744,3818,229,291,330,335
0.475,413,933,2756,3764,236,328,301,329
0.485,438,993,2744,3746,216,296,300,334
0.495,426,1029,2744,3635,245,314,319,346
0.505,438,1029,2732,3523,226,285,331,344
0.515,438,1017,2647,3415,247,308,339,351
0.525,401,921,2581,3484,233,288,341,385
0.535,401,909,2530,3528,240,302,328,405
0.545,389,884,2496,3573,227,304,338,407
0.555,401,884,2442,3598,190,326,368,401
0.565,401,872,2430,3638,193,354,353,418
0.575,377,848,2442,3661,190,361,369,438
0.585,377,812,2442,3626,184,340,387,443
0.595,389,836,2442,3492,186,307,378,432
0.605,389,788,2418,3438,201,317,324,421
0.615,377,776,2430,3396,213,293,313,388
0.625,389,764,2406,3379,215,306,300,339
0.635,413,776,2394,3416,218,313,311,288
0.645,426,788,2442,3395,210,313,315,288
0.655,426,836,2466,3385,214,315,313,306
0.665,462,848,2478,3463,218,287,298,287
0.675,462,872,2515,3455,196,282,313,316
0.685,486,969,2527,3474,217,296,310,312
0.695,534,993,2539,3419,215,310,320,323
0.705,534,1017,2544,3469,229,293,326,343
0.715,558,1078,2515,3461,242,305,333,337
0.725,595,1102,2515,3485,238,282,308,318
0.735,595,1162,2515,3491,234,305,314,321
0.745,595,1223,2466,3479,242,282,310,319
0.755,595,1235,2418,3484,245,306,308,323
0.765,607,1259,2406,3489,243,283,306,319
0.775,607,1283,2358,3448,241,313,301,321
0.785,607,1295,2285,3410,231,319,305,349
0.795,607,1367,2261,3341,200,331,314,366
0.805,607,1416,2225,3294,186,333,327,376
0.815,607,1440,2213,3260,180,314,332,397
0.825,570,1488,2177,3172,186,326,337,393
0.835,587,1512,2116,3080,189,306,343,401
0.845,558,1525,2070,3025,200,308,346,383
0.855,568,1512,2044,3049,187,305,353,404
0.865,546,1488,2007,3043,206,329,353,389
0.875,546,1488,1983,3100,193,311,332,412
0.885,546,1452,1923,3076,185,335,327,395
0.895,534,1467,1923,3055,181,315,315,405
0.905,546,1440,1875,3050,189,313,279,403
0.915,534,1464,1863,3031,183,302,297,406
0.925,522,1440,1838,3010,173,317,337,398
0.935,510,1416,1851,3057,169,311,313,443
0.945,522,1392,1863,2963,189,306,284,411
0.955,510,1392,1863,2937,194,331,303,413
0.965,522,1404,1863,2883,199,316,278,416
0.975,498,1416,1863,2844,200,305,297,436
0.985,522,1416,1875,2801,209,304,303,424
0.995,522,1416,1947,2813,209,317,316,415
1.005,510,1428,2020,2808,220,276,308,438
1.015,498,1452,2056,2822,260,251,335,426
1.025,450,1452,2104,2910,223,258,334,428
1.035,450,1428,2164,3063,219,267,341,448
1.045,426,1404,2261,3206,226,267,334,431
1.055,450,1307,2334,3388,210,300,282,447
1.065,450,1235,2454,3471,210,314,260,445
1.075,450,1186,2563,3529,191,343,257,433
1.085,438,1090,2623,3626,216,312,280,419
1.095,426,1045,2648,3700,239,301,283,403
1.105,426,1005,2623,3803,250,301,295,413
1.115,426,1017,2623,3894,242,296,284,436
1.125,426,1009,2664,3940,236,299,257,414
1.135,438,1066,2623,3968,228,284,252,403
1.145,474,1102,2587,3914,242,286,265,406
1.155,474,1174,2587,3909,238,303,276,408
1.165,486,1235,2563,3854,221,307,271,417
1.175,510,1283,2539,3781,215,315,289,425
1.185,498,1380,2563,3643,203,330,315,403
1.195,498,1440,2527,3565,212,331,314,368
1.205,524,1488,2515,3541,195,331,319,350
1.215,508,1597,2515,3545,211,311,332,362
1.225,498,1621,2515,3553,191,315,349,373
1.235,474,1730,2515,3557,213,298,343,359
1.245,426,1790,2515,3561,198,295,343,376
1.255,401,1826,2503,3582,225,287,342,387
1.265,426,1838,2503,3589,209,306,344,380
1.275,426,1851,2503,3580,222,313,319,384
1.285,493,1870,2515,3540,215,308,288,387
1.295,459,1826,2515,3545,248,366,279,389
1.305,483,1778,2394,3634,283,412,268,396
1.315,509,1778,2346,3629,259,410,263,395
1.325,532,1718,2394,3597,268,407,240,407
1.335,535,1693,2406,3541,228,405,264,407
1.345,538,1718,2370,3473,217,363,273,405
1.355,591,1742,2358,3416,220,366,258,419
1.365,604,1766,2309,3393,210,358,299,418
1.375,571,1814,2297,3310,196,300,302,428
1.385,584,1875,2321,3241,193,284,309,407
1.395,589,1850,2261,3213,187,286,323,398
1.405,579,1778,2237,3158,195,310,332,379
1.415,592,1742,2152,3198,198,308,329,395
1.425,616,1681,2080,3138,204,324,290,391
1.435,633,1597,2007,3100,217,306,299,399
1.445,620,1561,1995,3043,222,320,285,391
1.455,631,1512,2020,3018,222,310,308,397
1.465,631,1500,2032,3000,218,308,309,389
1.475,655,1500,2092,3100,203,288,342,426
1.485,631,1500,2176,3262,186,310,373,427
1.495,582,1500,2346,3557,150,295,389,455
1.505,534,1464,2490,3851,213,321,324,460
1.515,498,1452,2611,3951,229,296,311,412
1.525,389,1404,2587,3975,210,288,310,408
1.535,365,1355,2575,3974,208,284,296,398
1.545,353,1355,2551,3851,185,298,305,418
1.555,353,1331,2551,3786,197,311,324,403
1.565,329,1331,2551,3719,199,320,329,399
1.575,377,1302,2551,3640,200,308,314,410
1.585,425,1331,2587,3546,193,329,315,435
1.595,486,1283,2478,3454,201,322,298,431
1.605,438,1162,2418,3363,214,311,313,413
1.615,389,1102,2442,3358,222,297,299,387
1.625,377,993,2418,3348,211,313,323,380
1.635,365,909,2418,3315,225,292,316,384
1.645,365,872,2442,3355,205,324,303,373
1.655,329,848,2454,3314,213,308,305,385
1.665,341,848,2454,3316,209,314,298,387
1.675,341,836,2454,3329,207,313,313,381
1.685,353,848,2442,3368,211,306,303,390
1.695,353,848,2454,3375,199,319,328,379
1.705,353,848,2430,3417,206,301,331,365
1.715,353,872,2454,3430,224,287,312,364
1.725,365,896,2442,3447,216,326,300,355
1.735,365,921,2466,3446,218,315,304,340
1.745,365,921,2430,3472,197,301,274,332
1.755,389,921,2370,3468,224,312,327,338
1.765,401,945,2394,3448,212,299,315,335
1.775,413,993,2430,3468,207,307,307,350
1.785,413,1017,2490,3507,203,305,307,344
1.795,450,1029,2541,3496,199,321,304,365
1.805,486,1029,2599,3551,213,309,337,390
1.815,498,1053,2611,3556,225,306,327,375
1.825,498,1053,2623,3549,220,320,354,374
1.835,486,1053,2647,3570,210,300,344,381
1.845,510,1078,2672,3602,201,320,328,378
1.855,510,1053,2647,3614,220,305,327,381
1.865,510,1053,2635,3625,225,292,334,380
1.875,534,1053,2635,3639,232,299,328,378
1.885,546,1053,2611,3646,236,302,323,406
1.895,607,1053,2587,3594,233,286,322,388
1.905,643,1053,2623,3664,223,285,327,390
1.915,667,1053,2623,3725,206,298,343,399
1.925,679,1053,2618,3714,212,289,381,407
1.935,715,1053,2575,3657,213,280,385,399
1.945,764,1066,2575,3673,200,275,382,430
1.955,752,1053,2483,3703,189,282,373,414
1.965,752,1053,2490,3736,171,287,369,419
1.975,733,1053,2474,3752,183,273,390,423
1.985,739,1053,2460,3801,179,307,395,435
1.995,717,1041,2441,3801,188,302,373,404
2.005,737,1041,2416,3847,210,305,359,403
2.015,726,1041,2403,3881,221,313,321,405
2.025,773,1041,2424,3937,220,304,330,430
2.035,726,1070,2414,3823,205,294,314,422
2.045,767,1053,2437,3788,233,292,304,403
2.055,712,1066,2501,3875,226,310,325,419
2.065,720,1078,2544,4015,211,341,322,451
2.075,693,1078,2573,4080,197,355,342,450
2.085,698,1152,2574,4155,199,354,367,448
