sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,698,1439,2606,3661,220,263,375,457
0.015,820,1452,2609,3722,230,318,385,418
0.025,840,1536,2702,3828,190,301,366,466
0.035,846,1625,2752,3914,197,335,376,452
0.045,892,1648,2765,3954,210,337,381,480
0.055,867,1707,2790,3982,205,320,372,463
0.065,887,1799,2750,4083,169,353,353,465
0.075,944,1942,2747,4155,185,362,357,473
0.085,996,1852,2785,4191,246,327,342,448
0.095,957,1860,2790,4137,267,327,324,425
0.105,860,1791,2847,4138,262,315,330,447
0.115,907,1705,2845,4110,278,316,350,480
0.125,862,1591,2766,3987,254,329,341,446
0.135,825,1430,2800,3831,202,336,359,473
0.145,742,1273,2851,3772,151,335,345,453
0.155,656,1290,2809,3888,170,375,363,441
0.165,656,1306,2822,3853,202,334,364,448
0.175,656,1290,2996,3875,219,293,359,457
0.185,656,1290,3160,3710,193,303,316,458
0.195,672,1306,3160,3652,192,336,286,446
0.205,688,1274,3063,3651,199,298,289,423
0.215,656,1274,2968,3641,209,312,251,439
0.225,672,1306,3006,3681,217,307,270,459
0.235,720,1274,2905,3819,202,311,279,455
0.245,736,1274,2905,3824,209,298,270,463
0.255,720,1258,2889,3819,190,295,263,468
0.265,767,1216,2841,3803,192,300,273,444
0.275,720,1274,2841,3796,204,302,276,428
0.285,720,1274,2841,3800,194,304,260,423
0.295,736,1306,2825,3775,196,309,284,419
0.305,783,1385,2810,3746,198,318,285,400
0.315,783,1496,2762,3810,188,298,284,373
0.325,714,1527,2730,3818,221,272,288,349
0.335,701,1591,2699,3830,218,282,297,343
0.345,645,1654,2667,3856,203,267,290,341
0.355,605,1686,2667,3861,164,261,280,334
0.365,615,1765,2667,3837,173,272,292,355
0.375,561,1781,2667,3845,193,299,297,356
0.385,573,1796,2683,3879,186,282,297,345
0.395,514,1875,2699,3885,176,269,293,327
0.405,498,1923,2699,3905,176,270,303,345
0.415,498,1970,2699,3903,191,291,302,342
