sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,619,1564,2455,3574,210,303,403,449
0.015,633,1566,2529,3621,218,302,367,442
0.025,694,1580,2539,3644,226,297,381,427
0.035,715,1600,2523,3636,221,318,387,431
0.045,726,1570,2553,3674,235,311,360,425
0.055,758,1602,2589,3650,244,310,386,442
0.065,702,1633,2675,3675,251,314,378,441
0.075,753,1617,2644,3741,294,326,356,442
0.085,742,1662,2685,3755,310,277,355,403
0.095,791,1646,2680,3737,306,306,330,407
0.105,815,1680,2642,3697,288,308,334,396
0.115,779,1651,2651,3742,283,308,331,406
0.125,722,1589,2715,3782,265,341,328,420
0.135,736,1643,2691,3820,303,327,353,422
0.145,761,1563,2710,3900,305,328,309,435
0.155,757,1599,2681,3843,292,322,351,439
0.165,648,1546,2661,3861,303,330,318,441
0.175,430,1514,2571,3829,311,348,339,469
0.185,305,1525,2550,3774,192,362,306,479
0.195,199,1516,2534,3708,174,335,311,457
0.205,292,1523,2600,3674,169,327,298,464
0.215,339,1579,2542,3668,188,313,288,448
0.225,350,1590,2507,3719,190,315,325,422
0.235,362,1612,2507,3782,157,258,367,385
0.245,385,1560,2516,3835,159,241,361,371
0.255,642,1668,2530,3790,136,252,352,368
0.265,618,1609,2577,3699,125,257,328,347
0.275,607,1481,2612,3662,153,283,330,359
0.285,572,1458,2600,3641,161,318,322,396
0.295,548,1353,2542,3691,171,307,328,384
0.305,537,1260,2519,3761,178,303,353,364
0.315,525,1143,2519,3724,165,308,366,363
0.325,513,1096,2542,3687,152,296,360,341
0.335,502,1073,2530,3624,146,338,388,314
0.345,478,956,2519,3615,151,291,388,298
0.355,478,910,2519,3560,174,322,382,345
0.365,467,840,2519,3549,181,311,376,369
0.375,490,828,2530,3565,183,309,388,356
0.385,478,840,2507,3607,180,309,393,334
0.395,478,803,2507,3612,173,335,389,346
0.405,455,898,2484,3649,169,328,352,366
0.415,478,956,2495,3715,176,297,303,385
0.425,525,1015,2495,3763,194,304,296,368
0.435,572,1108,2495,3794,185,275,310,349
0.445,618,1120,2495,3735,192,255,348,333
0.455,653,1166,2519,3730,174,234,374,331
0.465,677,1225,2484,3719,174,229,411,334
0.475,661,1260,2425,3643,184,229,425,352
0.485,677,1283,2390,3614,196,256,392,463
0.495,677,1283,2309,3645,253,300,341,465
0.505,677,1236,2262,3741,254,292,301,467
0.515,618,1260,2192,3841,253,328,281,484
0.525,583,1225,2169,3995,231,311,310,470
0.535,548,1162,2157,4027,171,324,311,440
0.545,502,1143,2111,3930,144,347,318,415
0.555,478,1108,2146,3782,122,345,315,396
0.565,455,1003,2122,3664,133,300,363,362
0.575,455,956,2239,3652,141,269,384,324
0.585,443,968,2344,3723,142,309,386,325
0.595,432,991,2519,3719,166,283,373,355
0.605,455,1015,2600,3738,180,325,348,357
