sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,634,1341,2535,3545,235,235,358,439
0.015,700,1353,2432,3559,262,305,378,416
0.025,713,1464,2481,3652,265,301,350,419
0.035,775,1467,2445,3673,285,299,335,433
0.045,815,1445,2380,3623,232,345,336,436
0.055,792,1428,2421,3591,233,357,318,436
0.065,700,1504,2495,3550,237,330,347,430
0.075,691,1467,2542,3515,265,310,319,426
0.085,658,1547,2529,3552,282,305,320,416
0.095,679,1576,2464,3489,226,308,378,417
0.105,769,1520,2304,3404,230,268,426,439
0.115,781,1475,2107,3376,203,277,397,420
0.125,872,1426,1945,3450,213,291,349,413
0.135,872,1368,1910,3486,240,301,340,432
0.145,838,1333,1876,3518,215,329,326,430
0.155,734,1258,1841,3467,216,320,297,421
0.165,699,1184,1783,3416,206,305,297,414
0.175,630,1149,1772,3409,189,297,306,401
0.185,595,1172,1737,3434,200,294,302,389
0.195,595,1230,1726,3398,193,296,318,369
0.205,595,1230,1714,3364,190,298,310,370
0.215,595,1230,1703,3367,189,301,304,373
0.225,595,1264,1749,3424,181,313,300,376
0.235,642,1299,1806,3443,202,319,307,391
0.245,745,1345,1864,3416,200,339,281,400
0.255,768,1357,1899,3440,238,317,309,397
0.265,826,1345,1933,3530,263,298,280,406
0.275,884,1368,1991,3551,206,355,302,426
0.285,872,1391,2049,3659,176,324,312,425
0.295,872,1391,2118,3665,164,319,305,414
0.305,808,1460,2222,3606,179,322,307,383
0.315,711,1483,2302,3583,191,328,293,374
0.325,688,1357,2302,3548,188,328,305,381
0.335,688,1310,2314,3543,182,327,302,384
0.345,688,1299,2302,3547,186,321,301,381
0.355,688,1264,2302,3594,187,293,300,380
0.365,688,1218,2325,3616,194,284,286,375
0.375,688,1172,2325,3657,199,308,289,372
0.385,688,1161,2337,3663,203,286,286,363
0.395,642,1091,2337,3691,204,298,299,355
0.405,642,1011,2371,3718,210,285,314,364
0.415,642,988,2418,3732,195,308,308,364
0.425,629,1011,2429,3758,173,291,304,345
0.435,618,976,2429,3780,178,302,306,366
0.445,607,1022,2441,3845,182,285,305,353
0.455,575,1103,2475,3871,178,264,315,344
0.465,550,1218,2544,3861,161,264,308,332
0.475,503,1276,2579,3880,153,292,320,341
0.485,469,1345,2625,3900,195,296,324,355
0.495,469,1414,2683,3837,205,300,309,380
0.505,434,1495,2671,3812,201,312,330,392
0.515,319,1564,2683,3832,206,326,359,423
0.525,319,1565,2671,3889,194,341,340,443
0.535,319,1610,2741,3953,221,353,368,468
0.545,365,1610,2671,4060,225,341,371,461
0.555,411,1656,2671,4038,206,342,325,460
0.565,492,1691,2683,3909,174,330,309,429
0.575,503,1783,2706,3887,156,283,296,425
0.585,526,1876,2729,3796,158,281,308,428
0.595,526,1876,2729,3750,166,248,330,402
0.605,515,1956,2717,3757,169,265,312,389
0.615,529,1956,2717,3773,180,273,300,399
0.625,530,2002,2694,3802,184,274,293,406
0.635,529,2049,2694,3787,195,305,284,418
0.645,504,2072,2717,3838,191,310,278,430
0.655,485,2106,2706,3828,194,300,296,436
0.665,475,2152,2717,3838,195,298,296,438
0.675,455,2207,2706,3823,201,300,293,453
0.685,445,2164,2671,3739,212,300,307,456
0.695,399,2198,2648,3758,210,303,320,414
0.705,376,2198,2614,3754,200,312,318,407
0.715,399,2210,2579,3744,210,308,330,386
0.725,399,2187,2579,3710,206,324,318,381
0.735,445,2129,2614,3728,201,313,310,354
0.745,469,2141,2602,3649,194,327,317,375
0.755,445,2118,2614,3662,204,313,341,379
0.765,457,2118,2614,3699,197,336,347,365
0.775,457,2095,2614,3616,192,330,339,373
0.785,476,2095,2579,3539,183,344,346,372
0.795,473,2095,2579,3519,186,342,336,348
0.805,445,2072,2544,3431,201,315,325,372
0.815,422,1979,2521,3462,198,300,338,392
0.825,376,1922,2498,3480,204,359,353,409
0.835,365,1760,2464,3510,222,311,342,430
0.845,365,1622,2441,3461,239,273,344,443
0.855,365,1587,2395,3552,262,320,348,420
0.865,365,1506,2291,3519,279,302,313,434
0.875,365,1487,2210,3560,267,297,350,439
0.885,365,1482,2049,3636,267,313,325,422
0.895,365,1368,2002,3683,303,279,306,434
0.905,353,1322,1933,3676,343,250,348,410
0.915,365,1276,1899,3728,313,276,349,412
0.925,365,1310,1876,3745,287,253,391,441
0.935,365,1333,1841,3886,252,232,407,461
0.945,492,1414,1899,3970,232,227,408,472
0.955,538,1449,1899,4006,207,225,378,451
