sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,537,1498,2466,3538,257,315,370,440
0.015,595,1497,2465,3474,285,294,314,411
0.025,616,1565,2570,3592,265,294,335,423
0.035,661,1517,2566,3609,302,299,366,429
0.045,644,1590,2575,3607,284,296,369,440
0.055,713,1560,2522,3642,315,290,363,443
0.065,733,1658,2544,3685,289,267,358,433
0.075,752,1655,2524,3736,278,266,369,419
0.085,872,1682,2504,3736,292,296,366,421
0.095,937,1734,2544,3755,287,290,378,442
0.105,875,1781,2542,3678,280,263,397,425
0.115,923,1812,2599,3724,289,264,364,417
0.125,899,1894,2703,3678,259,281,391,400
0.135,953,1876,2742,3721,271,276,390,407
0.145,950,1898,2770,3819,255,261,400,409
0.155,976,1811,2887,3822,281,242,403,388
0.165,1035,1899,2943,3920,258,265,389,409
0.175,998,1847,2900,4047,286,262,337,406
0.185,939,1808,2917,3988,266,295,340,436
0.195,936,1925,3019,3945,244,286,357,447
0.205,941,1861,3056,3973,283,279,339,430
0.215,948,1884,3052,3933,287,270,344,415
0.225,922,1926,3004,3919,289,260,363,418
0.235,914,1872,2941,3916,294,265,365,427
0.245,941,1878,2897,3883,299,262,361,409
0.255,928,1855,2933,3890,298,256,355,424
0.265,941,1895,2986,3791,243,280,378,427
0.275,915,1797,2991,3808,268,286,340,417
0.285,903,1801,2991,3791,278,292,350,390
0.295,865,1863,3030,3820,233,294,337,392
0.305,906,1867,2955,3861,219,313,313,420
0.315,840,1831,2893,3911,235,301,326,423
0.325,802,1911,2877,3950,227,303,340,428
0.335,802,1838,2849,3926,227,301,328,426
0.345,825,1836,2841,3886,212,316,351,436
0.355,789,1795,2849,3893,253,324,361,444
0.365,776,1836,2836,3842,218,316,342,439
0.375,751,1853,2840,3858,233,324,341,427
0.385,713,1893,2839,3823,257,335,366,440
0.395,700,1893,2746,3888,241,327,376,398
0.405,675,1698,2761,3936,265,280,353,412
0.415,662,1693,2863,3910,308,221,353,409
0.425,548,1594,2919,4026,292,267,304,393
0.435,536,1675,2905,4043,266,316,274,368
0.445,479,1675,2891,4029,214,302,250,386
0.455,498,1675,2891,4031,226,305,260,360
0.465,443,1662,2929,3970,235,310,262,401
0.475,498,1675,2916,4010,221,307,260,400
0.485,462,1675,2941,4011,269,371,327,376
0.495,498,1662,2916,3972,314,359,325,386
0.505,524,1675,2941,3974,322,359,318,400
0.515,485,1675,2929,3962,296,336,311,400
0.525,510,1688,2941,3937,282,339,308,393
0.535,510,1700,2941,3971,324,327,316,370
0.545,510,1700,2929,4046,306,331,327,376
0.555,548,1700,2941,4059,308,308,335,397
0.565,548,1700,2941,3988,279,328,357,394
0.575,548,1688,2929,3991,298,305,349,392
0.585,574,1675,2938,3936,301,337,353,401
0.595,586,1688,2916,3845,326,320,386,408
0.605,612,1700,2941,3874,304,327,385,376
0.615,586,1688,2929,4017,273,321,361,391
0.625,599,1700,2954,4108,244,327,332,388
0.635,585,1738,2929,4049,206,321,297,409
0.645,574,1821,2967,3948,200,356,302,431
0.655,510,1802,2970,3909,219,385,281,431
0.665,472,1903,2912,3866,232,359,261,453
0.675,485,1966,2847,3645,256,384,277,432
0.685,472,2068,2752,3532,274,397,295,412
0.695,472,2106,2689,3433,243,381,298,409
0.705,434,2068,2574,3498,235,351,325,416
0.715,434,1475,2549,3669,185,338,313,464
0.725,434,1333,2561,3904,217,347,300,492
0.735,384,1253,2574,4095,242,304,324,475
0.745,346,1283,2574,4180,216,329,319,436
0.755,320,1219,2536,4114,181,353,314,417
0.765,320,1219,2536,4030,197,361,305,429
0.775,358,1181,2536,3911,213,323,354,411
0.785,371,1169,2523,3785,218,350,337,387
0.795,358,1156,2523,3849,237,342,331,367
0.805,371,1156,2535,3812,224,343,328,398
0.815,371,1131,2523,3788,240,325,342,430
0.825,358,1131,2511,3772,215,344,317,387
0.835,371,1143,2511,3803,222,339,317,438
0.845,396,1105,2498,3788,245,301,313,431
0.855,384,1105,2498,3708,254,265,329,417
0.865,396,1118,2511,3755,255,260,362,426
0.875,396,1105,2485,3850,282,253,351,430
0.885,384,1093,2430,3924,258,279,302,447
0.895,422,1080,2414,3918,247,322,301,466
0.905,409,1080,2411,3895,266,310,307,490
0.915,409,1080,2472,3866,297,304,326,459
0.925,434,1080,2437,3869,281,327,333,457
0.935,422,1093,2377,3774,264,318,353,481
0.945,422,1080,2364,3860,222,261,374,467
0.955,422,1080,2371,3880,232,285,386,499
0.965,434,1156,2308,3925,278,281,372,491
0.975,472,1181,2220,3860,278,282,377,455
0.985,460,1207,2156,3901,276,300,338,440
0.995,447,1257,2080,3857,245,305,367,453
1.005,460,1245,2017,3839,247,292,356,451
1.015,434,1283,1966,3724,267,263,394,439
1.025,447,1257,1865,3602,258,252,443,391
1.035,447,1357,1789,3643,265,253,454,398
1.045,447,1245,1738,3617,241,280,407,381
1.055,447,1207,1700,3505,223,302,358,395
1.065,447,1219,1675,3534,216,318,342,357
1.075,447,1219,1650,3575,220,314,304,372
1.085,434,1219,1650,3536,209,317,305,395
1.095,434,1219,1650,3512,199,317,300,408
1.105,434,1219,1637,3501,203,332,298,375
1.115,434,1219,1637,3496,209,320,305,368
1.125,447,1219,1621,3477,209,324,305,392
1.135,447,1207,1637,3569,216,315,305,380
1.145,468,1219,1637,3642,242,294,348,392
1.155,447,1207,1726,3688,261,299,371,438
1.165,434,1207,1764,3686,265,308,320,432
1.175,434,1245,1840,3660,324,283,302,425
1.185,434,1232,1954,3721,321,309,316,435
1.195,409,1245,2042,3814,292,323,304,449
1.205,371,1194,2093,3954,234,341,289,446
1.215,371,1118,2169,4077,190,348,286,461
1.225,346,1042,2245,4084,200,315,291,447
1.235,333,1017,2359,4003,200,289,283,440
1.245,308,1004,2357,3833,221,312,290,383
1.255,295,979,2443,3750,204,304,303,379
1.265,320,979,2521,3695,205,314,309,375
1.275,346,1004,2588,3597,202,299,332,407
1.285,358,979,2644,3455,190,309,357,396
1.295,422,1004,2687,3369,203,271,338,404
1.305,447,991,2716,3404,194,293,362,368
1.315,498,1029,2731,3391,197,292,328,386
1.325,536,1029,2732,3418,208,297,322,374
1.335,574,1067,2723,3370,217,298,314,404
1.345,612,1105,2706,3320,217,300,313,399
1.355,599,1090,2685,3341,211,315,297,397
1.365,599,1168,2662,3296,222,303,275,407
1.375,612,1169,2642,3322,221,301,256,419
1.385,599,1263,2625,3310,214,302,238,423
1.395,612,1245,2611,3353,217,287,246,407
1.405,599,1295,2599,3342,220,294,252,379
1.415,612,1359,2588,3396,216,286,217,392
1.425,586,1409,2579,3418,216,289,224,384
1.435,586,1435,2568,3357,205,313,236,376
1.445,599,1460,2558,3352,183,284,267,404
1.455,574,1498,2552,3391,185,290,290,394
1.465,586,1536,2555,3475,199,278,306,364
1.475,586,1561,2573,3538,195,278,299,378
1.485,586,1599,2607,3531,199,290,297,403
1.495,586,1662,2648,3476,188,303,294,430
1.505,574,1706,2688,3452,169,310,269,469
1.515,571,1688,2716,3448,183,301,247,480
1.525,546,1735,2725,3587,200,320,294,503
1.535,523,1727,2701,3826,214,341,292,496
1.545,434,1686,2627,3970,212,344,351,478
1.555,333,1629,2486,4157,205,344,382,457
1.565,346,1589,2271,4285,207,335,403,432
1.575,358,1398,2025,4351,259,340,391,372
1.585,371,1156,1793,4387,232,328,422,383
1.595,371,1055,1604,4355,206,315,414,396
1.605,396,1004,1482,4283,169,319,384,425
1.615,422,1004,1427,4262,156,301,370,419
1.625,472,1004,1421,4302,163,306,380,429
1.635,485,1004,1445,4260,178,279,379,443
1.645,522,1029,1488,4136,150,267,391,464
1.655,472,1055,1544,4017,131,317,408,461
1.665,460,1093,1608,3872,113,284,418,467
1.675,472,1143,1673,3828,135,297,404,432
1.685,488,1169,1735,3856,144,288,368,400
1.695,472,1207,1786,3862,159,320,348,386
1.705,472,1219,1821,3874,181,318,333,394
1.715,472,1205,1835,3833,208,327,330,456
1.725,472,1194,1834,3890,224,316,337,446
1.735,421,1259,1825,3905,228,319,335,464
1.745,409,1245,1817,3939,235,347,320,458
1.755,396,1257,1812,4007,274,304,283,474
