sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,674,1520,2459,3527,213,276,392,440
0.015,750,1464,2482,3655,259,285,332,454
0.025,769,1449,2459,3693,215,310,345,447
0.035,822,1450,2416,3745,236,289,354,424
0.045,816,1531,2480,3832,225,306,370,420
0.055,814,1561,2522,3898,211,335,378,450
0.065,823,1607,2542,3923,201,350,364,477
0.075,803,1603,2586,3940,238,326,366,463
0.085,851,1566,2609,4006,278,311,362,471
0.095,768,1578,2611,3997,224,312,381,476
0.105,765,1528,2552,3900,229,310,366,459
0.115,728,1517,2436,3851,228,333,346,456
0.125,731,1401,2363,3792,285,306,315,462
0.135,602,1348,2314,3713,198,338,319,457
0.145,639,1284,2253,3650,189,319,318,417
0.155,653,1337,2255,3626,235,312,305,403
0.165,634,1314,2267,3576,210,325,294,415
0.175,586,1302,2267,3559,216,324,287,399
0.185,548,1163,2198,3541,223,319,303,416
0.195,500,1222,2152,3554,228,324,381,409
0.205,481,1199,2140,3582,212,330,346,440
0.215,481,1187,2106,3673,241,302,343,430
0.225,481,1187,2106,3699,275,293,355,449
0.235,461,1199,2106,3663,293,335,315,452
0.245,472,1187,2094,3692,292,325,297,451
0.255,472,1187,2083,3753,277,315,311,457
0.265,448,1187,2083,3791,291,294,331,454
0.275,462,1210,2003,3751,279,311,333,446
0.285,462,1210,2094,3702,284,292,340,459
0.295,414,1210,2129,3685,321,310,342,456
0.305,424,1210,2106,3688,302,275,346,457
0.315,424,1199,2083,3631,267,317,325,417
0.325,481,1164,2014,3695,293,257,353,426
0.335,472,1176,1980,3723,276,267,374,438
0.345,491,1130,1888,3761,242,314,365,455
0.355,481,1072,1807,3882,237,249,414,410
0.365,462,1061,1715,3802,224,254,435,371
0.375,395,1049,1658,3816,211,253,430,340
0.385,443,1084,1693,3769,212,278,384,345
0.395,443,1118,1761,3761,214,288,314,330
0.405,443,1141,1842,3776,205,289,271,316
0.415,443,1164,1934,3693,212,297,282,329
0.425,443,1153,1980,3667,215,292,277,322
0.435,424,1187,2014,3575,215,296,281,320
0.445,405,1222,2049,3535,240,298,283,308
0.455,366,1245,2083,3423,237,309,305,320
0.465,309,1302,2083,3346,203,314,307,399
0.475,294,1337,2083,3330,196,280,362,419
0.485,299,1405,2083,3366,227,266,395,427
0.495,347,1499,2175,3391,280,311,324,381
0.505,405,1512,2382,3386,304,323,321,387
0.515,414,1497,2485,3396,282,334,308,393
0.525,433,1589,2600,3495,294,336,282,372
0.535,414,1671,2669,3603,264,374,228,397
0.545,424,1750,2600,3676,307,392,278,387
0.555,424,1750,2519,3724,337,379,294,412
0.565,405,1727,2439,3818,322,365,296,432
0.575,405,1693,2404,3798,293,341,324,423
0.585,405,1612,2370,3767,266,271,388,421
0.595,385,1566,2313,3748,290,255,370,436
0.605,405,1520,2175,3713,277,273,372,427
0.615,405,1405,2140,3649,291,287,356,417
0.625,405,1417,1911,3689,290,309,395,388
0.635,338,1430,1830,3761,273,240,441,341
0.645,299,1337,1784,3716,215,230,395,302
0.655,318,1279,1715,3771,211,232,348,298
0.665,386,1233,1624,3708,222,263,344,335
0.675,357,1199,1624,3718,227,269,327,353
0.685,405,1187,1578,3658,238,277,303,357
0.695,424,1187,1566,3617,266,274,316,364
0.705,433,1210,1601,3589,248,271,289,362
0.715,472,1199,1589,3525,236,279,307,373
0.725,472,1222,1670,3515,229,308,295,369
0.735,491,1256,1715,3491,215,316,311,376
0.745,519,1302,1784,3442,214,307,320,380
0.755,519,1359,1842,3479,216,307,299,342
0.765,510,1405,1899,3548,204,305,308,351
0.775,519,1451,1991,3657,205,294,349,353
0.785,519,1486,2083,3722,192,301,344,343
0.795,519,1532,2221,3800,195,297,328,349
0.805,519,1520,2324,3755,241,296,326,480
0.815,519,1509,2221,3712,286,291,274,517
0.825,510,1520,2106,3661,279,291,281,530
0.835,519,1474,2071,3583,274,254,315,542
0.845,481,1463,2003,3449,277,231,378,540
0.855,433,1394,1957,3324,259,227,421,465
0.865,433,1359,1911,3328,244,212,463,430
0.875,433,1337,1842,3372,216,187,475,380
0.885,424,1302,1830,3396,201,199,445,355
0.895,405,1291,1784,3429,218,208,415,349
