sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,615,1602,2494,3692,231,332,353,429
0.015,674,1695,2579,3704,249,328,336,440
0.025,732,1769,2609,3750,249,340,360,458
0.035,791,1791,2675,3837,255,326,364,460
0.045,859,1794,2637,3833,271,329,341,454
0.055,858,1831,2737,3912,242,330,367,457
0.065,873,1844,2748,3927,255,334,337,456
0.075,848,1857,2784,3898,227,340,323,461
0.085,806,1914,2805,3934,238,333,303,451
0.095,763,1906,2869,4069,239,343,319,450
0.105,763,1878,2942,4128,217,309,362,465
0.115,763,1848,2836,4027,198,344,313,442
0.125,763,1859,2772,3915,249,316,347,457
0.135,806,1862,2826,3842,279,324,363,485
0.145,828,1859,2841,3833,231,322,386,454
0.155,838,1891,2825,3859,241,318,379,434
0.165,902,1965,2752,3908,245,336,337,418
0.175,892,1891,2816,3997,246,347,320,452
0.185,903,1873,2902,4030,251,357,322,481
0.195,892,1848,2896,4010,245,360,370,471
0.205,913,1901,2783,3961,204,361,358,458
0.215,913,1923,2685,3950,193,393,322,456
0.225,881,1934,2724,3934,209,377,327,464
0.235,913,1934,2742,3884,223,349,346,451
0.245,881,1934,2758,3836,217,336,318,465
0.255,903,1934,2784,3787,232,347,343,453
0.265,860,1941,2885,3764,249,341,301,435
0.275,849,1941,2931,3774,287,345,260,451
0.285,860,1934,2885,3750,284,339,223,441
0.295,849,2041,2814,3747,255,372,246,458
0.305,860,2028,2771,3692,270,322,278,441
0.315,860,1977,2718,3721,306,289,229,437
0.325,828,1977,2685,3778,330,316,199,439
0.335,774,1912,2685,3844,336,306,247,424
0.345,709,1826,2632,3829,339,300,276,436
0.355,634,1880,2600,3739,340,319,306,415
0.365,516,1944,2578,3728,306,296,322,417
0.375,452,2016,2567,3758,302,269,340,402
0.385,409,1966,2546,3801,267,253,351,408
0.395,387,1912,2524,3754,228,236,336,398
0.405,430,1942,2524,3654,203,270,331,352
0.415,430,1880,2524,3654,203,286,326,338
0.425,462,1762,2535,3676,208,318,320,352
0.435,484,1719,2535,3743,223,295,318,393
0.445,505,1612,2524,3794,214,337,322,415
0.455,505,1579,2514,3758,202,322,354,406
0.465,505,1504,2514,3731,231,340,326,447
0.475,505,1440,2503,3714,236,331,348,458
0.485,505,1450,2514,3622,278,309,362,446
0.495,591,1472,2524,3578,270,326,352,419
0.505,742,1579,2674,3601,226,359,314,400
0.515,795,1708,2675,3608,193,384,314,410
0.525,828,1697,2707,3662,217,378,316,395
0.535,806,1708,2739,3690,225,407,327,405
0.545,774,1708,2750,3754,226,403,340,360
0.555,602,1751,2750,3829,242,362,298,343
0.565,538,1783,2771,3873,227,388,325,337
0.575,505,1799,2750,3952,228,404,304,383
0.585,484,1901,2750,3903,228,409,299,400
0.595,473,1977,2750,3953,233,395,278,406
0.605,452,2020,2761,3984,242,390,293,401
0.615,473,2041,2750,3904,262,369,321,363
0.625,473,2030,2750,3844,271,365,315,357
0.635,495,2020,2739,3899,242,368,351,328
0.645,484,2020,2739,3856,243,335,360,380
0.655,516,2020,2739,3780,236,348,388,382
0.665,527,2009,2739,3804,227,366,346,392
0.675,581,1998,2728,3893,198,389,325,413
0.685,602,1998,2675,3939,202,385,314,449
0.695,613,1998,2642,3873,204,376,345,460
0.705,624,1977,2642,3826,205,370,356,469
0.715,666,1977,2621,3776,218,346,352,501
0.725,656,1977,2600,3748,225,315,367,489
0.735,720,1923,2567,3809,217,316,319,478
0.745,709,1859,2524,3865,262,313,314,414
0.755,720,1740,2471,3943,243,311,307,441
0.765,602,1536,2449,3878,228,320,334,437
0.775,581,1440,2460,4018,145,347,362,432
0.785,495,1225,2481,4148,152,385,361,465
0.795,409,1150,2492,4202,143,423,310,466
0.805,376,1064,2514,4100,159,445,280,443
0.815,366,1010,2524,3930,148,464,286,436
0.825,344,935,2578,3807,193,470,281,444
0.835,355,913,2578,3725,204,470,262,412
0.845,355,903,2578,3697,153,464,281,426
0.855,366,935,2567,3642,173,463,296,436
0.865,376,999,2557,3568,149,447,329,430
0.875,441,1032,2557,3512,146,422,341,438
0.885,452,1107,2524,3463,147,384,378,436
0.895,473,1150,2520,3479,207,322,346,443
0.905,484,1203,2503,3527,223,312,363,423
0.915,462,1289,2430,3633,212,314,340,409
0.925,473,1461,2417,3825,220,319,318,416
0.935,462,1654,2365,3690,213,319,314,354
0.945,397,1730,2320,3736,217,305,297,305
0.955,387,1794,2299,3768,216,307,276,273
0.965,355,1891,2320,3807,208,297,291,307
0.975,334,1955,2320,3936,188,336,303,373
0.985,237,1955,2320,3918,194,348,321,418
0.995,226,1955,2342,3939,185,365,310,428
1.005,237,1955,2353,3987,205,361,345,463
1.015,301,1944,2353,4052,235,352,380,471
1.025,366,1955,2353,4137,274,335,382,471
1.035,376,1923,2363,3946,262,316,366,416
1.045,409,1912,2353,3827,249,300,360,403
1.055,398,1891,2393,3750,266,342,353,403
1.065,376,1708,2363,3732,237,307,359,395
1.075,376,1590,2374,3626,251,345,338,358
1.085,387,1493,2395,3618,260,359,312,343
1.095,430,1429,2385,3626,242,362,304,374
1.105,484,1311,2385,3607,206,342,313,388
1.115,484,1257,2417,3585,223,323,323,393
1.125,484,1225,2438,3690,247,302,314,383
1.135,484,1160,2449,3694,232,281,336,392
1.145,452,1128,2449,3650,254,292,318,386
1.155,398,1118,2449,3662,262,264,314,364
1.165,334,1096,2449,3690,279,296,322,325
1.175,323,1064,2445,3692,278,297,321,316
1.185,323,1090,2438,3649,234,285,323,385
1.195,323,1064,2449,3645,171,339,341,421
1.205,366,1096,2471,3590,225,322,327,417
1.215,387,1096,2487,3722,236,316,333,437
1.225,452,1107,2481,3740,277,327,318,460
1.235,452,1128,2481,3673,248,316,323,451
1.245,484,1128,2528,3616,291,279,339,405
1.255,495,1139,2481,3613,252,314,372,431
1.265,505,1203,2471,3659,272,274,386,415
1.275,516,1300,2499,3642,236,311,405,434
1.285,548,1268,2406,3594,265,293,385,426
1.295,538,1268,2374,3510,251,291,352,436
1.305,538,1236,2277,3526,220,293,381,458
1.315,548,1236,2127,3510,189,305,378,459
1.325,548,1225,1998,3557,170,297,395,450
1.335,548,1225,1944,3612,196,302,357,426
1.345,548,1246,1891,3684,217,301,298,413
1.355,548,1289,1891,3694,219,300,291,403
1.365,548,1311,1912,3707,229,301,304,402
1.375,548,1322,1923,3725,244,302,297,423
1.385,538,1375,1934,3759,237,302,309,454
1.395,527,1407,1989,3815,274,293,289,472
1.405,495,1450,2020,3871,253,295,357,436
1.415,495,1483,2041,4033,213,270,426,470
1.425,452,1504,2041,4059,186,309,372,436
1.435,452,1547,2084,4033,259,297,333,431
1.445,452,1547,2224,4130,277,333,317,455
1.455,441,1622,2224,4305,236,380,269,459
1.465,398,1654,2288,4366,218,408,266,408
1.475,387,1654,2342,4455,241,384,247,396
1.485,387,1687,2385,4394,235,403,276,389
1.495,387,1644,2460,4278,239,391,217,416
1.505,398,1654,2503,4237,256,375,203,410
1.515,430,1654,2535,4147,243,364,204,420
1.525,441,1682,2567,3919,207,370,287,402
1.535,516,1654,2556,3819,256,351,308,397
1.545,516,1654,2481,3794,249,316,298,381
1.555,473,1622,2449,3852,274,288,319,430
1.565,505,1579,2342,3961,254,302,332,444
1.575,484,1461,2202,4022,259,285,352,456
1.585,452,1397,2159,4095,263,319,369,462
1.595,473,1311,1987,4129,237,309,395,454
1.605,516,1193,1891,4132,202,327,399,433
1.615,527,1107,1815,4179,196,370,382,437
1.625,505,1107,1773,4071,196,345,401,416
1.635,484,1107,1762,3988,190,319,446,416
1.645,409,1107,1815,4089,168,331,448,437
1.655,387,1107,1837,4214,142,361,453,459
1.665,344,1107,1880,4276,128,369,474,456
1.675,355,1042,1912,4342,161,394,430,444
1.685,333,903,1998,4278,149,414,385,421
1.695,333,827,2041,4285,163,381,367,413
1.705,312,795,2127,4241,184,386,324,402
1.715,312,752,2170,4128,174,396,311,408
1.725,290,731,2202,4114,143,395,314,458
1.735,312,699,2224,4058,133,372,325,464
1.745,312,699,2224,4065,132,395,312,473
1.755,323,731,2159,4113,143,391,316,476
1.765,312,731,2105,4180,151,389,335,460
1.775,333,774,2084,4271,168,396,332,429
1.785,312,817,1955,4275,156,368,335,397
1.795,333,913,1858,4254,154,363,358,409
1.805,333,924,1805,4288,170,343,369,409
1.815,366,999,1751,4233,185,313,383,387
1.825,376,1064,1762,4292,206,317,344,379
1.835,409,1160,1762,4303,229,317,316,377
1.845,441,1203,1751,4262,245,299,337,389
1.855,484,1246,1751,4241,234,303,314,409
1.865,505,1257,1751,4184,221,305,315,435
1.875,484,1354,1730,4122,259,247,320,438
1.885,493,1461,1858,3930,274,259,351,405
1.895,514,1504,1891,3845,313,256,354,417
1.905,557,1526,1944,3723,348,286,339,452
1.915,605,1547,1977,3584,335,292,276,439
1.925,570,1579,2052,3522,317,281,295,425
1.935,579,1608,2148,3565,291,315,312,414
1.945,650,1622,2256,3550,267,359,347,427
1.955,705,1622,2363,3646,256,331,314,430
1.965,738,1633,2449,3649,276,336,310,424
1.975,846,1633,2492,3699,273,347,300,418
1.985,871,1633,2546,3638,235,317,309,416
1.995,972,1633,2578,3656,270,324,276,438
2.005,945,1633,2599,3738,314,278,281,421
2.015,994,1633,2599,3811,343,277,242,423
2.025,1053,1622,2567,3835,321,303,257,412
2.035,1057,1579,2535,3840,300,282,261,433
2.045,1019,1579,2460,3935,257,279,243,462
2.055,968,1579,2428,3995,254,303,277,472
2.065,897,1590,2471,3980,265,302,279,475
2.075,890,1536,2514,4084,218,305,270,459
2.085,882,1526,2578,4107,222,301,271,453
2.095,906,1515,2642,4194,226,307,256,466
2.105,871,1472,2707,4256,219,308,284,444
2.115,852,1483,2739,4308,194,313,289,478
2.125,843,1525,2718,4249,239,312,263,414
2.135,868,1528,2700,4263,204,335,344,419
2.145,817,1558,2632,4299,189,312,335,441
2.155,773,1569,2601,4329,193,325,321,435
2.165,834,1576,2572,4335,194,322,327,432
