sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,600,1677,2502,3480,236,359,341,443
0.015,746,1734,2486,3398,283,383,291,402
0.025,798,1883,2529,3452,217,408,293,393
0.035,751,1990,2612,3494,198,353,338,412
0.045,762,1982,2711,3533,237,339,313,429
0.055,757,2030,2720,3638,231,333,320,428
0.065,847,1924,2744,3767,297,307,357,416
0.075,891,1944,2752,3847,280,311,342,439
0.085,902,1906,2817,3933,276,296,358,452
0.095,869,1903,2814,3833,275,322,397,457
0.105,915,1892,2857,3830,264,313,367,470
0.115,840,1933,2850,3742,272,287,363,452
0.125,868,2076,2750,3693,296,303,351,429
0.135,696,2144,2779,3678,302,283,339,416
0.145,501,2214,2898,3700,249,291,309,415
0.155,450,2195,2870,3809,217,302,301,399
0.165,419,2138,2813,3772,221,256,331,368
0.175,419,2062,2746,3831,192,299,283,362
0.185,410,1958,2718,3723,195,311,287,359
0.195,362,1939,2680,3794,196,281,300,348
0.205,362,1910,2661,3870,222,272,286,390
0.215,353,1844,2661,3909,216,286,294,354
0.225,353,1830,2661,3894,218,319,291,348
0.235,353,1825,2651,3857,203,310,311,351
0.245,353,1806,2670,3834,207,311,304,382
0.255,397,1825,2689,3836,201,287,322,355
0.265,362,1815,2689,3869,195,279,297,354
0.275,400,1815,2680,3870,194,303,301,366
0.285,391,1815,2717,3825,219,341,315,392
0.295,419,1777,2689,3729,241,328,344,371
0.305,448,1787,2670,3710,251,330,382,383
0.315,448,1768,2651,3692,238,324,373,403
0.325,429,1692,2613,3671,242,378,359,428
0.335,457,1682,2613,3623,203,358,346,445
0.345,486,1644,2556,3599,272,318,336,445
0.355,486,1635,2490,3585,287,336,326,443
0.365,486,1625,2452,3544,295,352,326,433
0.375,486,1625,2448,3549,276,339,309,399
0.385,486,1648,2445,3535,278,309,333,403
0.395,486,1644,2397,3546,301,325,300,404
0.405,476,1834,2404,3495,302,332,314,383
0.415,495,1882,2442,3621,226,336,326,400
0.425,486,1939,2556,3709,235,347,328,421
0.435,438,1996,2613,3705,216,394,290,418
0.445,391,2005,2708,3722,217,352,305,406
0.455,391,2024,2604,3711,189,330,317,385
0.465,488,2072,2604,3678,186,294,320,383
0.475,410,2062,2642,3690,191,295,326,424
0.485,429,2072,2670,3694,192,287,316,395
0.495,438,2072,2718,3659,194,290,298,373
