sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,581,1406,2447,3646,277,317,321,424
0.015,586,1407,2506,3586,308,290,306,417
0.025,621,1415,2468,3575,286,309,321,432
0.035,718,1434,2449,3587,293,276,325,451
0.045,723,1481,2498,3675,252,323,327,431
0.055,717,1541,2520,3688,272,314,321,429
0.065,693,1550,2579,3782,265,311,314,435
0.075,730,1549,2601,3819,282,301,313,454
0.085,785,1590,2589,3800,272,338,346,472
0.095,766,1682,2616,3888,294,304,357,481
0.105,757,1696,2649,3803,299,297,369,483
0.115,832,1713,2579,3749,290,321,382,490
0.125,886,1644,2537,3785,278,338,354,452
0.135,883,1476,2493,3686,245,379,346,443
0.145,741,1268,2441,3696,152,376,327,422
0.155,776,1160,2485,3638,170,325,323,402
0.165,674,1182,2473,3554,179,322,358,377
0.175,686,1181,2450,3555,202,318,328,385
0.185,663,1228,2340,3460,212,310,326,375
0.195,628,1251,2289,3358,209,316,353,408
0.205,559,1251,2162,3284,203,303,395,445
0.215,547,1245,1920,3157,204,251,456,446
0.225,492,1182,1793,3105,175,292,430,436
0.235,455,1135,1654,3194,187,283,400,414
0.245,420,1020,1551,3203,193,274,402,420
0.255,397,1009,1493,3222,187,287,392,422
0.265,397,986,1458,3279,175,298,388,434
0.275,397,986,1389,3292,175,300,392,417
0.285,374,986,1412,3248,187,265,391,413
0.295,374,986,1424,3269,172,274,384,421
0.305,397,1020,1551,3315,172,304,347,414
0.315,397,1032,1666,3317,152,362,324,400
0.325,420,1089,1781,3304,159,365,319,397
0.335,420,997,2000,3380,162,329,371,352
0.345,432,939,2104,3488,171,297,340,303
0.355,443,928,2243,3504,194,325,294,289
0.365,432,905,2369,3583,218,309,312,281
0.375,432,882,2462,3527,222,321,299,294
0.385,443,840,2496,3583,216,318,308,298
0.395,432,847,2531,3633,224,324,313,298
0.405,432,813,2577,3691,230,313,302,279
0.415,455,789,2577,3678,215,317,312,297
0.425,432,838,2566,3679,216,322,338,313
0.435,432,789,2589,3721,226,323,313,323
0.445,409,862,2600,3757,225,324,316,335
0.455,409,824,2612,3733,225,323,314,344
0.465,386,847,2612,3734,225,320,302,365
0.475,386,870,2612,3733,233,327,286,351
0.485,397,893,2612,3768,228,323,282,364
0.495,386,874,2623,3723,237,313,297,365
0.505,386,928,2646,3724,235,302,272,373
0.515,386,939,2658,3741,235,315,283,368
0.525,374,993,2646,3798,245,285,305,369
0.535,374,1009,2658,3870,264,281,312,393
0.545,397,1043,2658,3863,232,285,320,375
0.555,397,1055,2612,3885,221,289,283,383
0.565,374,1032,2566,3844,206,299,281,380
0.575,374,986,2531,3802,220,311,313,381
0.585,374,939,2508,3789,218,308,325,390
0.595,386,905,2508,3660,211,294,311,372
0.605,420,847,2496,3605,235,309,324,376
0.615,432,801,2485,3580,204,321,331,375
0.625,420,813,2496,3557,188,335,321,378
0.635,386,789,2496,3598,228,335,319,380
0.645,374,778,2496,3591,204,322,321,398
0.655,363,766,2473,3569,216,338,338,407
0.665,317,755,2496,3616,203,353,325,404
0.675,305,766,2542,3619,240,339,317,363
0.685,294,743,2542,3588,245,309,312,353
0.695,305,732,2542,3570,233,311,315,344
0.705,294,732,2554,3600,222,308,281,359
0.715,294,732,2542,3684,210,317,258,383
0.725,328,732,2531,3702,215,315,245,387
0.735,386,743,2542,3726,246,314,257,404
0.745,420,778,2531,3766,249,298,239,411
0.755,443,778,2531,3720,232,293,263,389
0.765,467,859,2485,3659,195,299,251,417
0.775,501,882,2462,3617,186,306,260,409
0.785,524,916,2450,3556,193,301,255,405
0.795,559,974,2450,3498,176,309,281,381
0.805,570,1009,2427,3486,160,315,307,370
0.815,616,1078,2439,3492,161,295,326,353
0.825,640,1101,2427,3499,141,308,340,336
