sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,481,1562,2507,3640,256,315,344,442
0.015,531,1561,2483,3624,273,318,325,436
0.025,559,1581,2526,3632,267,325,319,441
0.035,561,1501,2514,3697,319,320,303,457
0.045,565,1521,2460,3733,289,325,289,475
0.055,611,1478,2512,3689,306,315,301,458
0.065,616,1455,2520,3667,298,306,318,457
0.075,672,1434,2441,3670,270,308,307,437
0.085,727,1506,2438,3663,264,306,318,461
0.095,762,1467,2485,3638,211,362,310,474
0.105,771,1487,2446,3638,173,371,289,485
0.115,786,1578,2555,3685,225,320,310,460
0.125,821,1612,2590,3774,262,315,340,407
0.135,877,1662,2567,3825,259,353,352,426
0.145,840,1655,2611,3903,255,353,332,430
0.155,847,1579,2588,3924,262,357,322,430
0.165,841,1607,2509,3971,233,360,292,420
0.175,884,1618,2531,3968,251,352,332,455
0.185,896,1727,2509,3990,258,345,347,493
0.195,900,1740,2528,3984,252,334,356,500
0.205,879,1715,2503,3952,256,351,335,449
0.215,764,1625,2523,4007,255,336,313,443
0.225,580,1583,2445,3919,286,335,316,457
0.235,361,1584,2395,3844,278,363,320,453
0.245,218,1629,2500,3808,204,333,333,466
0.255,193,1682,2556,3767,197,342,324,452
0.265,193,1722,2539,3770,301,364,330,403
0.275,217,1826,2515,3928,290,376,349,420
0.285,229,1883,2515,4053,318,368,376,436
0.295,241,1931,2588,4042,284,385,279,429
0.305,241,2004,2661,3940,238,341,298,434
0.315,241,2029,2710,3882,191,351,304,418
0.325,241,2065,2673,3798,212,286,328,417
0.335,241,2150,2588,3748,223,272,359,414
0.345,241,2175,2527,3737,224,258,349,445
0.355,253,2175,2491,3644,223,245,342,433
0.365,241,2175,2478,3541,225,261,348,410
0.375,278,2175,2466,3471,222,263,345,383
0.385,278,2102,2406,3452,214,272,347,384
0.395,302,1956,2393,3445,217,295,344,372
0.405,314,1846,2393,3443,213,297,341,359
0.415,302,1712,2345,3421,213,298,329,358
0.425,290,1664,2320,3429,213,304,324,338
0.435,302,1554,2272,3439,211,291,333,345
0.445,304,1627,2333,3463,212,295,355,343
0.455,302,1688,2345,3455,212,302,336,351
0.465,302,1846,2393,3459,213,304,336,350
0.475,302,1883,2418,3515,216,293,334,356
0.485,302,1956,2442,3581,218,315,312,349
0.495,302,2029,2454,3643,225,299,325,377
0.505,302,2089,2442,3601,224,288,331,385
0.515,326,2053,2442,3586,217,309,353,414
0.525,338,2023,2418,3532,238,292,348,445
0.535,338,1980,2357,3500,219,320,337,427
0.545,338,1931,2296,3449,204,303,308,407
0.555,338,1761,2235,3387,207,301,317,392
0.565,351,1712,2199,3332,207,305,325,395
0.575,399,1676,2211,3334,195,290,325,362
0.585,399,1676,2308,3368,202,293,339,356
0.595,399,1676,2430,3436,194,306,308,404
