sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,671,1581,2524,3657,200,269,391,414
0.015,724,1577,2476,3741,234,271,383,426
0.025,771,1625,2398,3762,236,280,360,402
0.035,815,1570,2410,3740,228,325,339,401
0.045,878,1561,2340,3785,224,319,329,419
0.055,776,1565,2406,3856,228,263,372,430
0.065,806,1533,2410,3893,232,289,349,444
0.075,772,1513,2434,3867,235,293,350,450
0.085,806,1472,2396,3880,208,322,317,478
0.095,748,1467,2440,3965,202,306,361,483
0.105,743,1461,2494,4033,231,304,350,463
0.115,720,1540,2521,4045,242,323,376,463
0.125,716,1602,2463,4029,232,322,360,467
0.135,739,1619,2476,4026,268,335,348,490
0.145,702,1616,2569,4008,266,316,350,464
0.155,676,1595,2578,4010,263,321,321,443
0.165,648,1554,2561,4075,226,351,324,467
0.175,625,1428,2528,4151,218,340,293,465
0.185,516,1335,2474,4026,274,311,290,438
0.195,458,1309,2395,3939,256,334,332,454
0.205,399,1315,1973,3876,186,341,391,477
0.215,441,1342,1930,3853,184,323,356,502
0.225,419,1354,1897,3883,184,307,355,504
0.235,457,1332,1864,3937,198,292,386,483
0.245,398,1267,1821,3996,196,273,416,492
0.255,387,1180,1669,4082,195,275,443,512
0.265,387,1210,1560,4103,201,286,444,503
0.275,365,1126,1528,4116,187,285,419,497
0.285,365,1050,1506,4161,206,286,406,473
0.295,365,1050,1495,4261,173,274,402,450
0.305,376,1093,1484,4295,179,242,419,415
0.315,365,1104,1517,4290,196,224,415,439
0.325,365,1158,1539,4276,195,226,362,425
0.335,365,1213,1593,4248,167,237,340,449
0.345,398,1267,1701,4263,198,256,333,445
0.355,441,1343,1832,4319,196,302,334,430
0.365,485,1386,2017,4313,199,323,318,403
0.375,496,1419,2071,4220,198,326,319,390
0.385,506,1495,2136,4138,202,321,319,419
0.395,517,1539,2201,3993,209,314,314,441
0.405,517,1582,2288,3877,195,312,333,475
0.415,517,1691,2353,3777,165,313,348,498
0.425,517,1723,2408,3691,164,318,323,480
0.435,514,1767,2397,3776,206,304,315,413
0.445,517,1788,2375,3872,251,328,309,395
0.455,506,1821,2332,3976,304,333,320,403
0.465,452,1854,2266,4097,341,321,324,416
0.475,430,1854,2223,4224,319,328,326,437
0.485,398,1886,2201,4277,337,313,328,408
0.495,387,1875,2158,4322,297,316,364,392
0.505,387,1843,2125,4373,285,315,361,381
0.515,376,1767,2114,4354,315,303,362,350
0.525,387,1625,2049,4259,289,301,393,383
0.535,376,1517,2006,4131,269,295,397,397
0.545,387,1452,1962,3826,205,227,428,373
0.555,442,1452,1951,3809,173,248,396,352
0.565,419,1473,1951,3761,181,240,355,335
0.575,398,1452,1951,3753,214,281,313,363
