sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,436,1558,2474,3591,253,301,311,413
0.015,454,1568,2452,3596,246,303,314,449
0.025,454,1513,2513,3603,270,319,334,463
0.035,525,1480,2493,3654,266,303,336,432
0.045,521,1499,2445,3675,283,338,303,432
0.055,579,1566,2453,3668,274,342,311,459
0.065,647,1589,2481,3628,302,335,327,476
0.075,715,1522,2520,3561,295,307,325,452
0.085,740,1508,2546,3573,286,328,325,478
0.095,757,1562,2519,3617,292,322,327,437
0.105,813,1550,2621,3674,294,307,330,437
0.115,821,1614,2554,3655,269,328,353,436
0.125,810,1582,2484,3641,279,322,362,462
0.135,768,1406,2333,3485,219,240,430,452
0.145,744,1376,2142,3397,233,235,430,435
0.155,730,1334,1892,3456,269,236,368,410
0.165,696,1223,1804,3533,190,285,339,401
0.175,720,1223,1850,3534,198,310,308,400
0.185,689,1265,1861,3565,182,335,299,433
0.195,679,1316,1861,3574,217,310,303,420
0.205,607,1408,1844,3542,204,293,290,394
0.215,565,1511,1933,3516,186,307,293,416
0.225,451,1604,2180,3490,183,327,317,403
0.235,422,1779,2307,3474,182,319,348,403
0.245,380,1861,2467,3514,192,322,350,425
0.255,339,1933,2630,3522,204,336,368,421
0.265,329,1974,2764,3617,226,336,396,401
0.275,329,1974,2839,3696,230,322,353,426
0.285,360,2015,2825,3751,229,313,343,398
0.295,350,1994,2692,3744,212,304,337,386
0.305,339,1922,2498,3721,215,304,338,409
0.315,357,1820,2467,3691,222,327,332,402
0.325,339,1737,2344,3708,209,381,320,447
0.335,350,1645,2169,3744,197,429,315,466
0.345,360,1593,2149,3720,198,372,355,485
0.355,298,1593,2138,3694,235,324,334,475
0.365,278,1593,2097,3631,257,292,314,468
0.375,298,1593,2087,3630,250,305,327,456
0.385,319,1593,2107,3623,277,287,317,424
0.395,350,1593,2128,3637,307,285,316,430
0.405,380,1593,2231,3690,297,280,321,441
0.415,391,1532,2313,3651,308,287,325,435
0.425,432,1326,2416,3536,293,310,355,402
0.435,504,1193,2364,3515,244,329,373,398
0.445,555,1110,2221,3557,220,318,370,399
0.455,576,1059,2190,3632,145,311,311,397
0.465,596,1059,2179,3638,163,303,296,363
0.475,627,1090,2159,3711,190,283,324,399
0.485,658,1162,2190,3813,208,295,325,393
0.495,679,1182,2221,3871,215,308,310,382
0.505,679,1213,2251,3890,222,338,305,400
0.515,668,1223,2251,3979,208,323,304,426
0.525,648,1199,2200,4052,215,311,305,450
0.535,586,1234,2200,4102,248,310,302,448
0.545,524,1244,2210,4078,245,300,288,423
0.555,512,1295,2282,4045,243,297,287,404
0.565,432,1357,2467,4000,244,298,316,421
0.575,401,1378,2508,3988,239,295,332,442
0.585,401,1367,2549,4062,270,374,371,486
0.595,370,1367,2735,3998,311,318,322,473
0.605,339,1357,2724,3972,336,282,324,485
0.615,329,1367,2724,3886,339,324,331,509
0.625,288,1367,2693,3834,308,312,334,483
0.635,237,1367,2673,3725,318,295,338,487
0.645,226,1388,2652,3681,265,312,336,463
0.655,278,1408,2652,3720,251,297,370,430
0.665,278,1480,2642,3876,250,298,333,427
0.675,339,1522,2591,3730,251,303,319,404
0.685,360,1522,2560,3601,242,342,319,395
0.695,267,1520,2518,3608,212,304,328,404
0.705,247,1511,2519,3582,215,287,329,389
0.715,247,1522,2545,3603,224,310,358,389
0.725,267,1583,2519,3732,225,320,336,358
0.735,329,1583,2508,3731,243,317,345,412
0.745,360,1593,2488,3771,241,304,352,407
0.755,360,1645,2447,3854,250,267,378,442
0.765,380,1624,2385,3948,258,248,402,465
0.775,370,1614,2313,4058,249,270,407,451
0.785,350,1573,2241,4212,230,303,390,429
0.795,341,1552,2169,4183,245,268,398,415
0.805,257,1552,2107,4174,231,261,405,419
0.815,226,1563,2077,4162,225,264,378,415
0.825,237,1604,2046,4168,213,295,337,409
0.835,216,1779,2066,4207,213,289,313,406
0.845,237,1809,2128,4215,216,307,293,383
