sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,549,1455,2397,3560,284,301,338,409
0.015,640,1520,2378,3515,278,285,333,411
0.025,666,1519,2323,3543,281,299,307,405
0.035,670,1484,2345,3514,271,282,332,419
0.045,705,1444,2386,3510,256,311,336,412
0.055,574,1451,2433,3572,219,313,325,415
0.065,508,1462,2489,3630,249,298,325,443
0.075,521,1426,2448,3640,273,307,319,449
0.085,594,1415,2411,3648,283,300,314,455
0.095,605,1529,2412,3671,265,303,334,441
0.105,605,1519,2421,3673,295,295,301,407
0.115,581,1498,2504,3694,298,313,297,404
0.125,630,1487,2450,3738,286,334,298,437
0.135,634,1569,2372,3813,281,352,303,449
0.145,634,1569,2338,3839,267,321,325,460
0.155,685,1664,2338,3987,298,321,277,467
0.165,659,1740,2367,4169,266,364,261,445
0.175,672,1788,2367,4302,273,342,317,413
0.185,647,1854,2414,4303,306,307,335,380
0.195,571,1873,2452,4445,291,314,323,380
0.205,533,1920,2452,4450,271,311,324,352
0.215,482,1930,2443,4345,257,331,295,370
0.225,457,1920,2462,4280,269,324,307,377
0.235,444,1939,2452,4275,253,309,326,360
0.245,457,1939,2424,4202,270,334,346,385
0.255,469,1939,2395,4168,300,283,373,401
0.265,429,1930,2348,3935,306,249,401,491
0.275,410,1788,2319,3641,281,232,388,473
0.285,325,1512,2129,3477,258,237,322,453
0.295,334,1427,1958,3412,250,231,323,442
0.305,334,1370,1882,3385,226,262,343,457
0.315,353,1284,1835,3412,225,238,346,452
0.325,353,1246,1712,3414,236,236,355,446
0.335,391,1227,1664,3455,252,215,361,450
0.345,401,1208,1645,3471,242,187,362,457
0.355,410,1208,1626,3502,238,189,363,466
0.365,439,1199,1645,3523,221,199,346,475
0.375,482,1189,1655,3547,208,223,352,460
0.385,467,1208,1683,3546,201,256,365,453
0.395,495,1265,1769,3497,184,283,357,460
0.405,458,1322,1835,3444,199,310,355,436
0.415,467,1351,1844,3372,213,326,352,413
0.425,507,1427,1996,3431,210,295,350,410
0.435,467,1503,2034,3486,193,279,351,382
0.445,495,1674,2158,3550,204,304,347,378
0.455,467,1778,2262,3596,182,288,350,366
0.465,469,1882,2414,3584,205,269,350,344
0.475,429,1930,2509,3535,212,260,346,327
0.485,382,1920,2576,3566,219,250,342,333
0.495,368,1958,2614,3596,232,248,333,357
0.505,344,1958,2677,3647,211,257,327,403
0.515,334,1951,2642,3703,238,270,369,451
0.525,334,1901,2623,3849,252,270,381,467
0.535,368,1854,2585,4050,287,267,411,455
0.545,334,1806,2547,4126,278,266,407,451
0.555,287,1788,2519,4102,295,283,368,426
0.565,277,1750,2509,4193,288,285,407,478
0.575,249,1674,2395,4231,282,304,408,438
0.585,239,1628,2310,4295,273,356,403,411
0.595,249,1645,2291,4421,291,340,361,417
0.605,258,1600,2291,4458,301,331,392,427
0.615,230,1541,2291,4369,307,342,375,411
0.625,211,1484,2291,4247,325,317,370,406
0.635,230,1360,2272,4191,303,330,345,416
0.645,249,1359,2281,4138,272,336,310,474
0.655,258,1256,2272,4115,269,336,286,498
0.665,277,1256,2280,4081,231,331,269,495
0.675,315,1256,2272,4014,229,331,266,469
0.685,315,1256,2272,3954,242,328,262,441
0.695,315,1265,2270,3914,238,310,284,488
0.705,325,1256,2272,3814,203,308,271,494
0.715,315,1256,2262,3737,207,329,316,454
0.725,315,1265,2319,3756,227,336,318,419
0.735,315,1256,2399,3784,289,322,303,442
0.745,325,1265,2433,3753,285,314,286,446
0.755,325,1265,2453,3727,336,309,302,461
0.765,325,1265,2433,3703,325,294,312,451
0.775,334,1256,2433,3724,314,313,330,451
0.785,334,1237,2424,3803,272,349,309,436
0.795,363,1218,2386,3797,268,357,338,423
0.805,353,1218,2386,3857,276,339,361,448
0.815,325,1218,2386,3863,243,300,379,446
0.825,306,1189,2329,3869,257,304,363,440
0.835,306,1180,2338,3860,232,324,348,451
0.845,296,1161,2243,3871,253,275,365,451
0.855,325,1123,2243,3854,222,310,372,441
0.865,363,1113,1778,3891,238,288,361,435
0.875,363,1094,1664,3957,199,314,361,450
0.885,363,1094,1626,3949,190,303,377,466
0.895,372,1113,1607,3887,198,328,346,456
0.905,363,1113,1598,3806,235,311,335,450
0.915,382,1123,1588,3688,184,293,416,463
0.925,382,1180,1617,3571,235,295,454,445
0.935,382,1180,1636,3557,284,273,430,457
0.945,372,1199,1674,3552,300,259,377,441
0.955,372,1199,1702,3519,284,249,352,457
0.965,363,1208,1759,3481,279,264,360,449
0.975,372,1208,1778,3371,254,271,355,460
0.985,372,1227,1816,3269,260,292,371,476
0.995,391,1246,1825,3206,239,301,375,480
1.005,363,1275,1863,3174,239,287,372,473
1.015,344,1275,1882,3225,225,278,365,478
1.025,363,1284,1882,3328,214,260,371,462
1.035,363,1294,1892,3403,235,284,396,463
1.045,353,1284,1939,3495,229,323,367,437
1.055,325,1303,1968,3574,240,330,338,417
1.065,296,1313,2006,3726,258,327,327,430
1.075,296,1294,2053,3820,280,321,315,462
1.085,306,1303,2129,3824,232,324,312,488
1.095,315,1294,2196,3820,281,314,317,480
1.105,325,1284,2234,3828,303,315,309,476
1.115,363,1275,2262,3843,296,309,307,439
1.125,391,1265,2300,3821,272,299,327,439
1.135,410,1256,2300,3840,232,335,322,445
1.145,429,1227,2291,3827,222,327,311,500
1.155,429,1218,2262,3791,236,313,312,521
1.165,458,1208,2234,3770,213,303,321,521
1.175,467,1208,2224,3695,242,335,323,495
1.185,477,1199,2224,3608,296,308,304,476
1.195,486,1199,2215,3565,308,298,315,452
1.205,458,1208,2224,3557,298,263,362,450
1.215,420,1218,2291,3634,261,295,339,435
1.225,420,1199,2319,3782,244,337,318,442
1.235,410,1199,2395,3767,238,310,344,448
1.245,382,1142,2462,3871,226,306,343,448
1.255,344,1113,2509,3890,210,315,332,452
1.265,363,999,2566,3935,193,334,343,496
1.275,334,942,2614,3824,171,359,382,477
1.285,306,904,2652,3750,142,390,348,462
1.295,325,838,2585,3660,143,361,392,440
1.305,325,809,2433,3658,187,360,356,462
1.315,372,790,2357,3691,168,364,311,494
1.325,391,819,2319,3725,148,336,318,521
1.335,429,838,2224,3797,149,336,305,541
1.345,429,857,2053,3908,153,312,333,548
1.355,439,885,2015,4056,167,301,361,506
1.365,439,961,1949,4153,170,295,396,504
1.375,448,1018,1873,4244,152,272,397,492
1.385,458,1047,1788,4298,160,323,381,500
1.395,458,1066,1750,4358,170,279,395,493
1.405,458,1113,1683,4252,202,313,403,503
1.415,458,1170,1617,4197,252,315,360,479
1.425,448,1180,1607,4122,257,323,344,468
1.435,458,1189,1607,4056,278,313,350,460
1.445,353,1189,1607,3971,303,309,326,451
1.455,306,1189,1607,3973,301,312,305,456
1.465,325,1170,1607,3966,302,305,322,470
1.475,372,1170,1626,3915,306,290,329,490
1.485,363,1151,1607,3987,318,278,341,471
1.495,372,1151,1607,4039,323,260,388,470
1.505,372,1142,1645,4058,230,271,419,511
1.515,410,1151,1645,4074,266,287,441,509
1.525,420,1161,1636,4050,280,290,423,478
1.535,429,1170,1645,4076,306,279,384,483
1.545,429,1189,1617,4007,291,268,345,460
1.555,420,1199,1731,3918,258,317,309,448
1.565,429,1208,1788,3893,302,306,301,469
1.575,410,1218,1835,3850,313,322,310,467
1.585,391,1322,1873,3793,287,299,334,439
1.595,391,1446,1901,3769,264,305,346,444
1.605,401,1455,1920,3670,298,310,333,438
1.615,420,1493,1977,3641,289,297,323,442
1.625,429,1512,1977,3608,316,270,346,453
1.635,477,1579,2034,3478,319,227,390,501
1.645,496,1588,2025,3366,276,267,375,529
1.655,534,1579,2054,3283,264,289,359,484
1.665,534,1562,2082,3181,261,286,324,454
1.675,553,1560,2063,3090,224,314,308,421
1.685,486,1541,2072,3062,226,310,300,385
1.695,467,1531,2044,3079,203,286,288,404
1.705,448,1531,2044,3079,203,296,314,381
1.715,448,1531,2034,3082,208,309,299,385
1.725,458,1522,2015,3070,216,300,290,405
1.735,477,1503,2006,3059,213,312,297,406
1.745,515,1493,2006,3063,220,299,295,391
1.755,534,1493,1968,3078,202,304,301,406
1.765,553,1503,1968,3145,201,296,309,404
1.775,543,1503,1939,3168,194,300,290,400
1.785,534,1493,1949,3188,187,295,308,400
1.795,496,1503,1958,3198,207,311,304,407
1.805,486,1541,1968,3168,222,298,310,415
1.815,467,1550,1987,3117,213,299,308,423
1.825,486,1607,1996,3093,193,310,300,394
1.835,467,1617,2034,3020,186,307,301,375
1.845,467,1636,2015,2975,192,296,308,391
1.855,477,1668,2053,2993,192,291,332,381
1.865,448,1702,2101,3162,171,278,330,442
1.875,458,1732,2139,3354,192,326,316,450
1.885,420,1798,2196,3464,211,352,264,456
1.895,391,1825,2310,3522,206,348,274,441
1.905,372,1827,2362,3618,203,342,282,463
1.915,391,1820,2348,3714,208,334,261,463
1.925,363,1819,2338,3820,218,351,279,478
1.935,363,1837,2348,3878,219,340,277,469
1.945,344,1869,2348,3882,223,321,294,492
1.955,344,1896,2364,3831,217,305,293,476
1.965,353,1900,2348,3823,209,282,299,491
1.975,344,1873,2348,3898,210,305,313,458
1.985,410,1836,2376,4093,231,321,370,437
1.995,439,1810,2376,4166,284,328,387,450
2.005,382,1800,2414,4259,297,290,349,390
2.015,334,1803,2443,4300,283,302,353,407
2.025,306,1812,2462,4361,280,289,353,384
2.035,287,1822,2483,4379,274,318,364,384
2.045,268,1828,2462,4387,271,300,376,378
2.055,277,1830,2462,4307,293,289,375,360
2.065,268,1829,2433,4177,301,298,374,396
2.075,296,1826,2405,4230,319,322,383,431
2.085,325,1824,2395,4157,300,322,370,335
2.095,353,1823,2327,4121,271,294,356,372
2.105,363,1825,2446,4180,267,318,342,388
2.115,372,1831,2498,4134,315,335,294,403
2.125,372,1843,2525,4177,313,335,307,410
2.135,344,1862,2554,4140,337,332,337,426
2.145,334,1890,2686,4069,322,385,297,413
2.155,296,1928,2686,4040,291,380,298,409
2.165,296,1958,2672,4065,267,392,307,412
2.175,268,2025,2647,4156,298,409,293,442
2.185,268,2044,2615,4148,290,403,323,449
2.195,277,2025,2580,4001,272,325,302,468
2.205,325,2025,2545,3836,249,222,332,485
2.215,334,1968,2512,3706,258,215,330,489
2.225,315,1951,2479,3577,227,212,347,496
2.235,334,1863,2434,3537,195,202,365,476
2.245,344,1683,2367,3420,224,230,378,483
2.255,353,1569,2272,3345,222,284,393,485
2.265,382,1474,2159,3300,258,344,404,475
2.275,391,1255,2045,3244,249,380,442,449
2.285,391,1236,1940,3127,216,362,461,411
2.295,391,1179,1851,3102,180,332,466,387
2.305,382,1103,1784,3084,195,294,435,405
2.315,391,1107,1741,3157,216,306,372,403
2.325,391,1110,1718,3081,215,281,357,429
2.335,401,1094,1706,3105,220,288,320,400
2.345,401,1075,1696,3201,235,298,305,427
2.355,401,1113,1688,3172,218,332,294,454
2.365,401,1151,1681,3130,229,289,309,447
2.375,401,1208,1675,3132,244,302,286,411
2.385,401,1236,1671,3255,241,303,279,444
2.395,420,1255,1667,3377,233,297,284,479
2.405,401,1265,1665,3449,223,312,289,449
2.415,410,1312,1669,3547,202,319,311,430
2.425,411,1369,1686,3611,202,317,299,423
2.435,391,1388,1726,3597,210,335,331,445
2.445,402,1388,1797,3647,210,294,359,457
