sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,658,1601,2526,3538,238,314,379,440
0.015,745,1721,2586,3603,228,318,351,447
0.025,790,1740,2655,3639,232,295,379,451
0.035,767,1759,2747,3720,228,305,386,469
0.045,873,1814,2777,3849,258,329,367,447
0.055,931,1756,2763,3986,259,292,367,452
0.065,861,1740,2773,4052,222,308,372,464
0.075,898,1759,2891,4081,254,278,345,483
0.085,912,1714,2861,4063,250,285,320,455
0.095,889,1780,2904,4080,209,329,330,487
0.105,823,1764,2965,4128,202,293,323,470
0.115,863,1724,2959,4070,243,287,324,454
0.125,893,1787,2995,4039,225,291,344,475
0.135,861,1836,2951,4034,212,304,335,469
0.145,827,1858,2831,4025,221,313,300,490
0.155,846,1824,2930,3989,220,299,347,482
0.165,905,1831,2946,3906,223,317,383,427
0.175,879,1802,2933,3895,242,312,372,448
0.185,917,1710,2878,3943,219,311,385,454
0.195,871,1708,2821,3970,190,323,358,468
0.205,845,1795,2843,3987,188,345,372,445
0.215,928,1798,2862,3858,206,337,384,432
0.225,907,1808,2857,3830,255,334,385,427
0.235,1012,1805,2873,3877,275,356,363,448
0.245,998,1768,2832,3838,203,336,372,458
0.255,967,1751,2804,3870,204,355,350,471
0.265,917,1719,2788,3925,204,378,352,487
0.275,900,1746,2772,3974,245,347,345,474
0.285,891,1679,2753,3973,239,307,367,451
0.295,862,1606,2677,3975,229,306,370,446
0.305,805,1632,2601,4023,187,347,339,477
0.315,809,1565,2591,3849,207,273,365,465
0.325,777,1508,2610,3670,247,309,384,443
0.335,824,1480,2620,3625,221,296,365,389
0.345,824,1366,2629,3637,198,310,370,338
0.355,786,1318,2658,3610,181,299,360,375
0.365,729,1280,2715,3550,189,284,340,408
0.375,663,1138,2715,3569,210,311,300,417
0.385,521,1109,2306,3608,230,297,294,429
0.395,302,1081,2259,3632,246,308,280,445
0.405,312,1071,2230,3633,227,314,301,445
0.415,302,1076,2240,3681,228,319,284,442
0.425,302,1000,2221,3666,254,338,294,399
0.435,321,945,2249,3532,248,327,286,375
0.445,321,946,2297,3591,259,287,324,373
0.455,340,1028,2430,3749,197,283,303,377
0.465,378,1141,2487,3714,177,299,310,352
0.475,597,1255,2468,3820,169,286,351,387
0.485,597,1384,2534,3894,210,274,339,389
0.495,597,1508,2563,3919,275,283,375,388
0.505,530,1598,2667,4002,306,342,343,370
0.515,511,1624,2762,4022,317,345,359,381
0.525,502,1557,2772,3967,296,369,329,402
0.535,511,1575,2743,3988,290,367,381,402
0.545,511,1584,2696,4027,299,403,407,404
0.555,540,1584,2658,3998,292,368,351,419
0.565,597,1594,2610,3992,312,327,357,443
0.575,568,1603,2582,3887,268,310,334,444
0.585,610,1603,2591,3799,226,295,337,468
0.595,578,1584,2582,3683,233,315,336,462
0.605,568,1508,2601,3706,241,312,320,396
0.615,549,1432,2458,3745,230,315,327,359
0.625,530,1261,2563,3758,235,310,327,352
0.635,521,1214,2601,3746,237,288,324,356
0.645,464,1157,2667,3833,201,304,325,365
0.655,435,1062,2686,3835,207,288,351,374
0.665,407,1052,2658,3884,217,295,347,388
0.675,340,1043,2629,3868,207,298,371,405
0.685,388,1033,2629,3814,165,289,396,441
0.695,435,1043,2591,3758,167,292,399,450
0.705,464,1119,2610,3807,188,288,370,419
0.715,559,1195,2629,3879,185,271,370,431
0.725,644,1290,2582,3885,209,270,384,434
0.735,729,1290,2515,3904,238,263,403,452
0.745,758,1413,2534,3923,226,255,383,457
0.755,815,1451,2515,3957,242,287,396,475
0.765,815,1518,2544,3875,224,300,392,463
0.775,805,1575,2544,3786,215,283,398,454
0.785,786,1556,2582,3687,253,287,391,438
0.795,805,1518,2582,3617,223,299,394,412
0.805,796,1461,2601,3616,221,292,375,379
0.815,791,1394,2629,3547,217,297,384,388
0.825,800,1356,2686,3505,211,286,399,382
0.835,765,1318,2743,3485,209,276,387,380
0.845,755,1290,2772,3476,220,293,384,372
0.855,752,1261,2819,3472,200,285,384,375
0.865,737,1233,2819,3525,209,292,380,377
0.875,713,1233,2800,3518,238,285,367,391
0.885,707,1204,2762,3504,255,280,380,398
0.895,672,1214,2677,3587,236,299,375,366
0.905,654,1242,2610,3721,263,297,378,394
0.915,654,1366,2572,3881,264,300,365,347
0.925,644,1375,2534,3901,283,323,301,330
0.935,625,1527,2487,3917,215,291,306,359
0.945,264,1613,2458,4002,233,328,356,463
0.955,255,1537,2439,4108,283,313,354,496
0.965,283,1565,2439,4141,254,313,333,463
0.975,321,1546,2430,4235,249,308,326,451
0.985,407,1565,2477,4307,259,301,324,433
0.995,454,1565,2496,4393,280,327,307,432
1.005,473,1545,2525,4470,304,293,337,452
1.015,521,1565,2527,4571,332,327,348,448
1.025,444,1547,2572,4577,337,337,365,420
1.035,416,1592,2555,4541,338,313,358,407
1.045,330,1672,2620,4512,336,340,345,391
1.055,330,1663,2647,4449,346,346,317,368
1.065,311,1690,2620,4470,326,343,366,349
1.075,283,1801,2667,4353,305,361,351,362
1.085,283,1861,2696,4300,288,370,301,359
1.095,283,1898,2696,4162,298,363,296,412
1.105,283,1955,2658,4110,323,340,314,472
1.115,292,2040,2639,3975,278,287,330,452
1.125,283,2078,2620,3779,202,279,327,409
1.135,273,2088,2601,3703,213,298,324,372
1.145,273,2107,2620,3665,216,313,354,388
1.155,247,2202,2639,3744,216,297,340,399
1.165,262,2202,2658,3742,222,319,333,377
1.175,264,2179,2639,3789,213,339,288,373
1.185,285,2126,2601,3732,212,311,324,404
1.195,293,2059,2544,3715,214,275,331,394
1.205,286,1936,2487,3622,218,297,347,414
1.215,288,1860,2411,3554,217,310,318,385
1.225,273,1755,2382,3534,215,335,334,401
1.235,273,1698,2354,3584,218,342,331,380
1.245,264,1679,2363,3628,219,343,322,391
1.255,245,1736,2363,3659,212,320,341,402
1.265,216,1746,2363,3635,205,344,334,433
1.275,197,1746,2382,3654,213,349,339,443
1.285,197,1755,2401,3623,211,379,315,441
1.295,197,1822,2411,3601,215,391,290,447
1.305,178,1850,2411,3640,240,384,289,469
1.315,226,1907,2439,3657,250,389,264,455
1.325,207,1926,2446,3536,244,403,304,399
1.335,235,2002,2496,3629,273,419,262,354
1.345,226,2135,2620,3561,249,422,267,372
1.355,273,2202,2667,3610,222,389,301,368
1.365,283,2135,2696,3729,213,320,359,373
1.375,340,2071,2667,3793,194,339,347,364
1.385,378,2088,2667,3824,195,287,336,355
1.395,397,2040,2667,3775,193,299,353,343
1.405,444,2021,2658,3811,186,294,341,365
1.415,473,1955,2677,3847,170,291,325,355
1.425,492,1945,2658,3824,166,302,334,381
1.435,511,1898,2648,3877,180,288,339,364
1.445,539,1822,2648,3880,206,299,328,368
1.455,549,1790,2639,3884,223,343,313,375
1.465,530,1774,2579,3783,192,317,303,405
1.475,539,1717,2582,3816,217,320,302,387
1.485,511,1651,2582,3966,192,289,322,391
1.495,463,1622,2582,4023,242,320,328,442
1.505,406,1613,2572,4017,246,289,341,460
1.515,378,1632,2582,4053,242,306,378,470
1.525,397,1660,2572,4046,248,306,356,469
1.535,416,1698,2553,4024,224,374,366,467
1.545,444,1736,2572,3921,209,315,343,413
1.555,473,1765,2595,3901,212,310,349,421
1.565,492,1784,2534,3868,191,279,307,424
1.575,435,1765,2538,3760,202,272,312,431
1.585,397,1765,2534,3749,199,292,340,447
1.595,416,1727,2488,3713,170,277,357,421
1.605,454,1746,2560,3768,181,298,354,380
1.615,444,1698,2585,3799,182,302,351,376
1.625,454,1717,2540,3808,210,304,353,412
1.635,463,1679,2569,3795,212,302,366,417
1.645,482,1576,2605,3715,240,273,370,427
1.655,482,1563,2620,3702,253,271,389,427
1.665,482,1555,2574,3760,265,282,381,416
1.675,501,1501,2492,3740,251,363,354,426
1.685,660,1567,2573,3805,213,326,357,451
1.695,674,1579,2554,3792,259,320,388,462
1.705,697,1558,2594,3820,268,321,414,491
