sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,530,1487,2513,3551,251,283,345,414
0.015,542,1532,2465,3589,271,307,331,405
0.025,567,1523,2559,3579,286,304,326,424
0.035,620,1492,2503,3617,249,323,319,436
0.045,610,1431,2559,3612,277,294,304,441
0.055,655,1426,2493,3600,258,323,326,438
0.065,622,1478,2430,3602,236,326,331,419
0.075,627,1507,2436,3666,242,342,311,401
0.085,657,1548,2470,3698,257,340,318,443
0.095,686,1605,2481,3694,254,344,324,442
0.105,693,1584,2573,3729,266,329,320,419
0.115,610,1589,2642,3700,244,326,332,431
0.125,589,1644,2582,3622,243,353,343,421
0.135,592,1655,2657,3567,273,366,370,399
0.145,654,1614,2701,3698,226,325,345,430
0.155,671,1551,2714,3747,250,326,325,434
0.165,689,1638,2661,3760,226,355,339,431
0.175,718,1584,2752,3667,256,332,341,434
0.185,741,1480,2799,3651,243,347,323,431
0.195,646,1530,2857,3663,213,373,297,443
0.205,517,1593,2927,3642,253,359,318,447
0.215,388,1712,2939,3621,208,405,327,452
0.225,330,1773,2951,3597,258,389,340,438
0.235,307,1836,2939,3528,306,382,328,430
0.245,271,2001,2951,3448,312,390,327,379
0.255,268,2106,2951,3440,224,355,354,349
0.265,252,2272,2951,3406,203,321,335,364
0.275,236,2165,2845,3404,204,300,325,356
0.285,246,2179,2740,3333,201,310,318,376
0.295,269,1959,2611,3353,206,300,314,381
0.305,262,1851,2518,3328,204,301,306,388
0.315,248,1734,2296,3278,203,317,312,396
0.325,252,1675,2260,3184,210,337,295,408
0.335,262,1558,2214,3082,208,325,294,408
0.345,248,1395,2179,3075,213,290,293,396
0.355,278,1239,2155,3175,211,306,288,405
0.365,271,1278,2112,3204,211,294,302,432
0.375,271,1219,2143,3129,209,303,317,447
0.385,316,1254,2117,3075,211,269,336,452
0.395,271,1313,2132,3104,209,268,332,452
0.405,295,1465,2143,3161,212,293,320,447
0.415,295,1629,2167,3189,217,300,309,415
0.425,295,1722,2214,3299,211,291,300,399
0.435,330,1781,2307,3365,212,304,288,384
0.445,283,1945,2342,3441,203,301,302,375
0.455,307,1968,2436,3439,201,299,315,357
0.465,330,2038,2494,3491,206,308,339,377
0.475,342,2097,2576,3522,217,299,325,383
0.485,353,2132,2658,3549,244,284,329,398
0.495,376,2191,2693,3625,239,308,319,421
0.505,353,2190,2693,3671,228,324,325,414
0.515,318,2202,2775,3782,206,326,343,422
0.525,318,2202,2799,3868,243,325,341,423
0.535,271,2190,2881,3847,279,331,300,423
0.545,260,2190,2939,3861,329,350,321,431
0.555,271,2182,2986,3933,323,366,284,453
0.565,260,2232,3030,3878,334,359,298,451
0.575,271,2179,2986,3937,341,358,295,449
0.585,260,2143,2986,3907,325,326,299,450
0.595,283,2026,2951,3928,317,353,294,413
0.605,283,2003,2951,3897,323,335,280,447
0.615,295,2015,2927,3938,359,382,235,421
0.625,295,2015,2892,3947,322,380,249,448
0.635,283,1971,2857,3904,355,374,284,447
0.645,307,1968,2822,3837,337,398,310,460
0.655,307,1968,2860,3824,349,374,328,444
0.665,318,1945,2787,3780,330,368,330,444
0.675,342,1909,2753,3873,283,326,330,440
0.685,365,1909,2615,3771,225,281,324,442
0.695,388,1874,2611,3696,183,272,327,458
0.705,459,1839,2588,3614,169,275,343,455
0.715,482,1839,2530,3553,177,276,339,441
0.725,552,1804,2530,3498,163,274,352,429
0.735,599,1769,2506,3484,173,279,358,410
0.745,599,1757,2436,3479,164,288,334,395
0.755,668,1722,2448,3528,174,308,318,391
0.765,675,1675,2401,3567,160,284,308,390
0.775,693,1652,2389,3571,160,302,312,394
0.785,688,1664,2331,3644,168,288,313,382
0.795,699,1605,2319,3620,163,303,315,410
0.805,728,1594,2331,3662,178,305,306,398
0.815,763,1605,2284,3666,181,305,322,387
0.825,719,1570,2249,3636,175,313,323,389
0.835,751,1523,2214,3637,175,311,312,387
0.845,734,1523,2214,3642,175,313,326,390
0.855,730,1512,2155,3653,172,321,324,395
0.865,687,1523,2143,3681,171,316,329,378
0.875,681,1512,2155,3673,156,316,344,376
0.885,636,1512,2167,3697,160,297,309,394
0.895,606,1476,2204,3703,187,309,290,416
0.905,564,1535,2202,3796,178,305,289,417
0.915,521,1547,2237,3873,182,280,304,441
0.925,494,1570,2284,3883,197,271,327,474
0.935,498,1605,2366,3996,205,268,361,489
0.945,447,1605,2413,4081,219,296,378,480
0.955,412,1594,2436,4008,257,353,374,461
0.965,400,1617,2448,3982,295,349,341,466
0.975,365,1617,2448,3886,174,310,367,481
0.985,353,1640,2471,3916,188,317,386,473
0.995,295,1652,2459,3927,204,293,366,486
1.005,260,1664,2448,3954,274,302,336,503
1.015,225,1664,2448,4019,226,298,346,499
1.025,213,1716,2459,4098,188,273,328,438
1.035,260,1652,2471,4087,212,250,338,490
1.045,248,1687,2448,4144,209,314,312,451
1.055,260,1681,2459,4175,213,296,306,444
1.065,271,1664,2448,4157,228,347,262,430
1.075,307,1687,2459,4185,231,339,263,451
1.085,330,1687,2459,4227,232,348,260,459
1.095,353,1687,2448,4230,240,352,270,478
1.105,365,1741,2459,4177,218,360,266,472
1.115,400,1687,2421,4127,228,330,293,437
1.125,412,1687,2459,4060,243,336,310,456
1.135,388,1687,2413,4046,287,326,325,460
1.145,400,1643,2459,4084,338,303,334,474
1.155,412,1664,2413,4107,307,337,326,462
1.165,412,1591,2401,4060,279,348,320,461
1.175,424,1664,2401,3994,282,326,328,453
1.185,424,1635,2424,3980,270,309,329,447
1.195,447,1647,2366,3876,244,284,361,463
1.205,435,1629,2398,3843,215,294,339,461
1.215,447,1617,2359,3843,180,305,331,503
1.225,517,1629,2366,3735,176,281,306,473
1.235,541,1558,2308,3739,223,321,313,496
