sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,514,1550,2555,3702,243,301,366,451
0.015,576,1558,2483,3635,275,308,343,436
0.025,622,1512,2537,3615,280,330,312,450
0.035,669,1489,2587,3641,288,323,321,448
0.045,701,1558,2564,3670,294,301,332,444
0.055,688,1597,2612,3642,296,295,359,430
0.065,705,1624,2648,3667,290,308,367,449
0.075,735,1653,2600,3625,287,298,376,431
0.085,735,1632,2550,3713,257,310,354,414
0.095,733,1655,2628,3758,228,309,362,454
0.105,787,1654,2617,3766,223,295,386,443
0.115,798,1698,2574,3787,210,290,392,455
0.125,815,1677,2518,3728,214,275,419,476
0.135,786,1587,2377,3752,243,267,452,477
0.145,739,1568,2002,3767,248,225,462,504
0.155,736,1499,1878,3713,252,236,431,528
0.165,691,1458,1878,3641,263,293,381,534
0.175,644,1423,1802,3580,236,317,299,515
0.185,596,1375,1764,3525,217,297,327,502
0.195,587,1356,1802,3385,222,342,315,484
0.205,501,1309,1755,3304,208,314,302,461
0.215,482,1261,1745,3276,207,290,307,472
0.225,473,1242,1764,3165,201,306,304,452
0.235,504,1242,1755,3119,206,312,292,418
0.245,496,1242,1736,3102,199,289,289,388
0.255,473,1261,1736,3131,206,285,282,373
0.265,488,1233,1726,3246,208,297,301,383
0.275,463,1195,1688,3384,227,301,328,397
0.285,406,1093,1679,3529,236,319,345,441
0.295,273,986,1631,3596,231,295,347,432
0.305,245,995,1641,3629,253,285,363,454
0.315,245,1005,1669,3713,232,283,395,432
0.325,245,1052,1688,3777,217,287,391,420
0.335,245,1109,1726,3835,205,299,385,439
0.345,235,1157,1774,3928,203,288,376,467
0.355,245,1157,1840,3939,200,314,367,462
0.365,245,1223,1964,3929,219,327,337,461
0.375,254,1442,2135,3845,234,295,338,476
0.385,292,1565,2201,3838,238,369,371,475
0.395,330,1679,2325,3909,275,380,367,419
0.405,349,1660,2382,3955,261,390,351,413
0.415,378,1698,2372,4009,285,371,343,433
0.425,406,1736,2391,4128,296,339,354,426
0.435,454,1755,2391,4146,281,329,374,399
0.445,473,1774,2372,4061,246,332,365,384
0.455,435,1774,2391,4040,220,349,365,424
0.465,435,1831,2401,3983,254,380,331,435
0.475,435,1802,2391,3879,223,313,353,459
0.485,425,1783,2401,3876,285,343,360,460
0.495,435,1736,2413,3874,279,346,346,482
0.505,406,1575,2410,3891,295,334,331,492
0.515,387,1451,2382,3861,304,296,332,485
0.525,359,1394,2334,3922,276,309,339,522
0.535,359,1356,2097,3952,279,300,366,509
0.545,368,1328,1850,4016,237,346,353,472
0.555,397,1252,1745,4002,266,280,375,475
0.565,416,1223,1688,4006,292,280,416,495
0.575,406,1185,1707,3955,285,304,416,498
0.585,406,1214,1707,3870,274,308,395,490
0.595,397,1242,1736,3716,248,322,316,488
0.605,406,1271,1802,3559,215,306,318,492
0.615,406,1290,1869,3476,203,312,294,476
0.625,406,1347,1916,3485,186,308,296,469
0.635,397,1394,1973,3513,196,299,318,493
0.645,406,1413,2040,3593,196,290,336,502
0.655,397,1461,2059,3732,175,309,349,481
0.665,406,1508,2087,3871,187,311,379,462
0.675,401,1518,2201,4007,203,317,373,447
0.685,402,1518,2230,4020,218,319,354,432
0.695,397,1390,2249,4047,269,308,329,456
0.705,359,1432,2344,4004,275,308,337,471
0.715,311,1423,2353,4050,281,314,331,449
0.725,273,1404,2363,4078,283,343,310,473
0.735,245,1423,2391,4041,301,292,349,490
0.745,254,1413,2391,3988,318,323,349,460
0.755,254,1423,2401,4005,283,309,345,458
0.765,283,1432,2420,3996,297,333,307,446
0.775,302,1413,2429,4026,270,325,312,448
0.785,311,1423,2439,4023,232,345,324,479
0.795,292,1470,2429,4022,260,343,355,482
0.805,321,1489,2458,4031,257,332,364,456
0.815,330,1527,2477,4061,248,310,350,478
0.825,349,1537,2467,4037,225,313,350,487
0.835,378,1546,2477,4003,240,269,308,456
0.845,425,1575,2467,3951,217,312,325,478
0.855,482,1575,2458,3862,192,292,337,476
0.865,482,1622,2467,3752,198,288,345,489
0.875,501,1622,2458,3672,182,283,340,456
0.885,482,1679,2467,3632,183,278,337,428
0.895,473,1717,2492,3615,200,286,334,430
0.905,482,1736,2484,3608,179,278,342,430
0.915,473,1774,2486,3631,190,262,341,415
0.925,463,1774,2473,3645,189,264,332,410
0.935,463,1793,2515,3628,196,254,342,406
0.945,463,1812,2473,3612,178,279,335,400
0.955,454,1812,2524,3598,186,247,336,394
0.965,454,1840,2515,3578,186,242,331,388
