sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,532,1549,2453,3530,253,333,388,450
0.015,510,1582,2503,3547,277,312,338,426
0.025,519,1565,2561,3544,304,298,320,424
0.035,510,1612,2549,3550,277,309,337,418
0.045,516,1593,2518,3654,280,347,315,419
0.055,560,1529,2506,3671,304,347,295,449
0.065,614,1544,2516,3711,293,339,297,464
0.075,632,1545,2534,3672,276,324,326,462
0.085,697,1540,2501,3646,289,325,312,446
0.095,758,1580,2522,3722,293,339,319,461
0.105,813,1559,2606,3785,288,316,345,450
0.115,832,1557,2579,3818,260,302,342,439
0.125,780,1606,2566,3895,233,332,374,454
0.135,797,1558,2524,3970,239,310,360,477
0.145,663,1586,2508,3927,240,291,386,471
0.155,667,1519,2573,3740,231,308,314,457
0.165,656,1486,2615,3623,241,301,318,436
0.175,556,1395,2649,3660,248,305,315,396
0.185,503,1398,2593,3716,250,302,327,428
0.195,512,1375,2533,3738,266,327,344,441
0.205,456,1353,2465,3741,258,319,393,434
0.215,440,1349,2402,3781,228,340,373,450
0.225,357,1375,2294,3777,224,349,316,458
0.235,323,1409,2250,3681,220,329,338,479
0.245,323,1575,2261,3529,205,337,324,425
0.255,346,1674,2272,3446,223,327,308,389
0.265,334,1719,2317,3451,237,305,318,357
0.275,346,1796,2394,3539,214,289,333,331
0.285,334,1885,2516,3546,209,295,317,333
0.295,323,1918,2571,3503,203,315,308,326
0.305,334,1973,2560,3500,207,300,313,342
0.315,346,1984,2527,3563,206,289,320,333
0.325,346,1984,2538,3573,221,259,330,307
0.335,364,2007,2505,3604,228,248,342,301
0.345,346,1962,2483,3586,223,228,348,316
0.355,334,1940,2472,3634,203,270,316,319
0.365,346,1896,2450,3627,208,254,327,336
0.375,323,1829,2438,3709,206,270,332,325
0.385,290,1785,2450,3807,214,287,355,346
0.395,301,1752,2461,4023,214,311,362,404
0.405,301,1685,2472,4170,214,323,409,412
0.415,290,1674,2461,4371,223,352,425,444
0.425,301,1641,2494,4471,231,383,408,438
0.435,257,1641,2571,4490,237,402,390,450
0.445,235,1630,2605,4615,298,391,386,412
0.455,235,1652,2627,4617,318,367,402,403
0.465,213,1630,2627,4648,328,364,414,399
0.475,235,1674,2660,4698,324,383,424,398
0.485,224,1641,2638,4597,340,387,410,374
0.495,235,1652,2593,4513,317,386,361,424
0.505,235,1663,2560,4442,332,343,327,419
0.515,224,1685,2494,4329,276,280,370,474
0.525,257,1697,2505,4062,252,266,304,544
0.535,357,1785,2494,3739,225,238,339,516
0.545,334,1807,2527,3483,226,232,341,428
0.555,323,1829,2527,3483,242,234,374,364
0.565,334,1852,2549,3569,237,232,375,350
0.575,334,1874,2571,3576,235,273,352,388
0.585,312,1907,2571,3459,218,246,355,363
0.595,334,1929,2549,3494,221,241,355,339
0.605,346,1940,2560,3528,213,247,339,331
0.615,346,1929,2560,3496,209,242,356,311
0.625,368,1940,2571,3471,214,260,369,303
0.635,412,1907,2571,3449,208,263,365,319
0.645,412,1896,2538,3456,199,253,367,314
0.655,456,1850,2527,3429,219,302,349,317
0.665,456,1818,2527,3431,206,307,346,323
0.675,467,1774,2538,3394,230,330,338,338
0.685,456,1663,2527,3330,252,343,353,359
0.695,456,1508,2538,3355,245,337,359,367
0.705,456,1375,2549,3433,224,321,344,388
0.715,456,1176,2549,3496,240,322,287,382
0.725,456,1065,2515,3514,239,322,293,409
0.735,456,1054,2616,3588,217,321,333,409
0.745,423,1043,2649,3623,203,342,337,412
0.755,412,1021,2746,3649,168,346,383,444
0.765,412,1021,2771,3745,194,333,395,447
0.775,423,1064,2771,3806,247,334,382,464
0.785,490,1021,2771,3701,250,304,379,471
0.795,545,1021,2782,3657,221,294,390,419
0.805,633,1021,2771,3731,206,313,376,375
0.815,689,1043,2782,3766,231,301,386,389
0.825,733,1054,2782,3752,229,301,401,394
0.835,733,1053,2793,3804,246,289,418,420
0.845,733,1099,2782,3797,223,295,435,405
0.855,733,1154,2793,3852,225,307,411,427
0.865,722,1154,2837,4001,227,299,390,442
0.875,733,1154,2837,4070,207,295,352,449
0.885,733,1165,2826,4254,194,307,328,495
0.895,733,1165,2804,4084,207,309,319,434
0.905,711,1231,2771,3923,216,298,330,433
0.915,768,1276,2682,3828,209,303,325,417
0.925,711,1331,2692,3755,205,327,311,415
0.935,689,1364,2616,3674,185,329,315,403
0.945,633,1420,2538,3588,197,324,320,413
0.955,600,1464,2494,3532,200,317,330,422
0.965,589,1519,2450,3453,204,304,347,429
0.975,567,1564,2350,3402,194,293,371,430
0.985,578,1608,2317,3491,167,252,352,410
0.995,534,1663,2250,3498,167,267,354,400
1.005,523,1641,2228,3542,172,271,346,381
1.015,499,1641,2184,3578,185,275,306,370
1.025,490,1619,2084,3634,201,296,302,375
1.035,478,1597,2040,3664,210,298,315,374
1.045,467,1586,2018,3670,221,301,314,372
1.055,456,1575,1984,3568,215,294,333,380
1.065,445,1541,1962,3614,209,290,304,363
1.075,456,1508,1874,3580,224,302,328,370
1.085,445,1442,1911,3515,238,315,329,366
1.095,472,1398,1818,3550,223,317,314,366
1.105,434,1398,1796,3551,209,291,302,377
1.115,438,1453,1816,3698,204,277,321,359
1.125,423,1497,1848,3729,218,338,362,346
1.135,412,1486,1863,3763,217,354,357,358
1.145,370,1530,1851,3905,178,306,363,357
1.155,390,1575,1847,4034,197,304,387,352
1.165,368,1558,1889,4147,221,327,356,400
1.175,368,1575,1977,4197,267,369,361,381
1.185,323,1575,2065,4029,321,378,330,411
1.195,323,1575,2118,3916,293,356,300,470
1.205,301,1575,2139,3928,263,313,327,483
1.215,312,1547,2140,4000,234,299,352,504
1.225,290,1597,2132,4041,223,313,350,488
1.235,312,1641,2126,4038,196,350,335,421
1.245,334,1619,2133,4034,191,315,345,405
1.255,379,1597,2139,4055,204,298,363,420
1.265,379,1619,2139,4039,232,345,347,466
1.275,368,1641,2128,4002,240,346,335,454
1.285,357,1674,2151,3907,197,309,373,461
1.295,368,1752,2194,3777,219,301,370,463
1.305,368,1785,2168,3650,218,288,334,466
1.315,363,1874,2250,3545,238,289,313,428
1.325,368,1936,2317,3544,231,294,325,398
1.335,357,1918,2368,3480,225,284,322,386
1.345,334,1896,2339,3419,235,269,324,399
1.355,328,1885,2383,3509,230,280,344,402
1.365,334,1818,2383,3710,218,295,337,396
1.375,334,1774,2415,3993,217,304,310,425
1.385,339,1730,2383,4156,220,291,373,422
1.395,334,1719,2383,4298,230,337,367,419
1.405,356,1697,2416,4477,225,376,330,360
1.415,346,1630,2461,4525,248,380,330,310
