sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,620,1491,2492,3656,250,334,361,430
0.015,643,1530,2578,3676,262,314,335,438
0.025,652,1563,2504,3661,264,309,312,436
0.035,679,1598,2481,3619,310,299,327,462
0.045,700,1594,2371,3587,308,299,326,430
0.055,702,1630,2385,3490,265,308,339,431
0.065,764,1669,2500,3559,229,346,346,424
0.075,834,1683,2600,3598,259,328,344,434
0.085,844,1739,2595,3702,242,344,345,430
0.095,914,1737,2563,3769,289,337,344,439
0.105,965,1801,2559,3818,291,350,353,460
0.115,1041,1779,2753,3888,291,310,381,461
0.125,1105,1812,2896,3981,236,329,392,462
0.135,913,1831,2929,4046,209,344,360,458
0.145,792,1790,2980,4146,227,344,328,450
0.155,733,1777,3005,4274,272,324,326,444
0.165,594,1625,2891,4116,256,301,299,419
0.175,436,1600,2803,3984,239,320,299,388
0.185,398,1536,2676,4037,230,347,300,415
0.195,353,1498,2638,4017,252,362,311,454
0.205,356,1435,2575,3987,223,342,314,448
0.215,333,1435,2575,3987,246,352,298,483
0.225,298,1410,2524,4020,236,355,307,476
0.235,275,1422,2448,4033,221,367,292,480
0.245,284,1448,2461,3951,211,369,296,487
0.255,248,1473,2512,3921,213,330,283,479
0.265,278,1612,2499,3829,215,308,285,441
0.275,337,1916,2550,3734,218,359,283,406
0.285,387,2170,2562,3702,227,399,263,359
0.295,389,2119,2547,3655,241,421,314,354
0.305,370,2195,2752,3625,269,422,298,365
0.315,354,2144,2765,3684,268,388,301,366
0.325,364,2170,2765,3774,259,333,350,373
0.335,405,2119,2765,3805,242,269,340,372
0.345,426,2030,2765,3784,222,287,380,359
0.355,431,1980,2752,3876,210,309,365,349
0.365,408,1942,2701,3927,199,323,344,340
0.375,405,1929,2714,4020,200,295,338,320
0.385,399,1815,2727,4191,212,295,360,337
0.395,393,1726,2777,4376,222,299,370,378
0.405,359,1701,2765,4470,229,306,362,393
0.415,343,1688,2777,4488,252,351,373,405
0.425,308,1650,2777,4556,257,316,369,401
0.435,282,1638,2757,4626,244,314,373,439
0.445,282,1612,2777,4695,252,311,363,445
0.455,282,1638,2777,4625,275,321,349,456
0.465,270,1612,2777,4490,236,324,341,431
0.475,308,1625,2790,4326,208,300,311,427
0.485,384,1625,2825,4059,190,288,298,412
0.495,409,1676,2777,3894,194,294,275,358
0.505,422,1726,2739,3853,193,310,279,343
0.515,409,1904,2739,3815,220,318,304,349
0.525,396,1992,2777,3778,208,289,312,337
0.535,396,2056,2828,3825,208,292,332,342
0.545,410,2132,2879,3843,196,294,341,345
0.555,358,2208,2891,3849,196,291,341,353
0.565,346,2195,2866,3846,211,279,333,352
0.575,371,2215,2841,3825,204,288,325,348
0.585,422,2195,2803,3839,194,296,312,347
0.595,434,2068,2818,3835,184,298,303,346
0.605,472,1980,2765,3735,193,316,315,352
0.615,498,1916,2752,3716,202,330,318,333
0.625,510,1840,2739,3639,203,330,330,314
0.635,523,1663,2714,3595,234,350,338,329
0.645,548,1587,2651,3566,234,349,324,384
0.655,485,1106,2588,3687,265,306,300,388
0.665,434,1068,2561,3795,282,300,294,393
0.675,371,1068,2626,3787,277,282,298,403
0.685,345,1044,2649,3760,306,262,276,400
0.695,358,1055,2644,3748,303,253,279,419
0.705,344,1053,2641,3797,272,256,310,401
0.715,346,1050,2639,3847,275,255,310,394
0.725,320,1055,2640,3885,288,261,302,401
0.735,346,1053,2641,3937,250,301,345,429
0.745,360,1034,2643,4026,252,273,312,480
0.755,422,1055,2645,4108,256,293,284,481
0.765,492,1042,2647,4023,262,267,309,440
0.775,498,1118,2649,3945,299,277,318,439
0.785,548,1182,2649,3864,329,225,327,403
0.795,624,1194,2647,3833,318,250,313,374
0.805,637,1245,2643,3792,268,256,316,373
0.815,675,1245,2632,3772,230,273,344,386
0.825,692,1296,2610,3765,190,305,351,388
0.835,675,1308,2571,3761,181,295,334,401
0.845,700,1296,2513,3804,184,288,355,362
0.855,738,1308,2442,3795,173,297,347,336
0.865,726,1384,2365,3746,177,286,359,300
0.875,726,1435,2294,3713,175,292,342,300
0.885,713,1460,2233,3692,182,314,350,328
0.895,688,1473,2182,3724,185,289,349,342
0.905,670,1511,2137,3705,190,273,321,350
0.915,624,1549,2095,3786,183,253,340,338
0.925,586,1549,2052,3775,172,264,337,329
0.935,574,1549,2014,3828,162,296,322,323
0.945,561,1549,1983,3810,162,300,308,285
0.955,498,1536,1964,3828,190,298,306,283
0.965,471,1549,1954,3795,190,285,296,274
0.975,485,1549,1950,3752,195,297,300,296
0.985,490,1549,1948,3757,204,287,309,300
0.995,472,1524,1944,3635,210,307,331,289
1.005,474,1549,1936,3602,213,314,340,284
1.015,409,1536,1924,3497,211,326,324,290
1.025,425,1562,1919,3495,203,343,349,306
1.035,358,1549,1929,3537,197,334,387,340
1.045,346,1574,1963,3643,205,310,406,411
1.055,346,1600,2017,3788,228,298,395,423
1.065,346,1574,2079,3974,230,368,403,453
1.075,308,1549,2139,4235,265,317,400,494
1.085,295,1524,2191,4424,253,321,383,442
1.095,333,1524,2235,4473,251,326,359,448
1.105,333,1549,2271,4447,253,325,352,421
1.115,320,1524,2300,4435,263,327,326,439
1.125,375,1549,2323,4488,297,372,374,450
1.135,308,1638,2343,4553,242,342,382,439
1.145,336,1701,2362,4543,229,345,386,460
1.155,270,1790,2382,4483,205,343,404,469
1.165,288,1917,2404,4483,188,340,399,450
1.175,232,2027,2424,4532,183,324,370,468
1.185,257,2106,2441,4555,198,312,348,456
1.195,270,2094,2452,4506,175,327,334,425
1.205,257,2132,2458,4488,150,347,333,455
1.215,295,2132,2461,4490,177,363,330,480
1.225,320,2170,2466,4478,192,340,319,480
1.235,320,2132,2477,4426,209,322,331,476
1.245,346,2157,2499,4378,227,310,353,472
1.255,346,2144,2535,4304,210,306,364,468
1.265,320,2094,2586,4232,219,280,349,431
1.275,346,2005,2646,4174,223,313,324,411
1.285,346,1904,2706,4135,201,304,343,389
1.295,333,1840,2764,4211,185,297,344,385
1.305,333,1802,2817,4232,196,301,337,363
1.315,346,1752,2863,4229,210,326,420,375
1.325,346,1680,2901,4313,244,349,430,393
1.335,371,1650,2927,4485,294,349,399,411
1.345,320,1600,2940,4623,314,348,350,399
1.355,308,1600,2939,4638,279,358,342,406
1.365,320,1549,2920,4643,255,352,336,405
1.375,308,1486,2866,4537,243,371,354,424
1.385,308,1524,2828,4501,242,328,291,462
1.395,320,1511,2803,4344,211,320,289,453
1.405,333,1549,2830,4156,179,271,278,432
