sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,493,1533,2467,3620,255,315,322,438
0.015,457,1561,2451,3569,277,300,296,467
0.025,541,1519,2449,3550,284,316,312,449
0.035,606,1543,2387,3550,274,323,324,458
0.045,571,1565,2453,3552,269,309,369,467
0.055,598,1510,2491,3619,292,329,311,449
0.065,649,1453,2491,3692,287,310,301,465
0.075,702,1503,2480,3688,288,283,333,451
0.085,744,1542,2483,3696,270,306,335,447
0.095,816,1526,2459,3642,261,341,299,454
0.105,798,1563,2527,3685,280,305,316,461
0.115,707,1553,2595,3728,279,296,350,443
0.125,592,1570,2532,3779,248,307,337,427
0.135,453,1500,2589,3794,258,326,314,433
0.145,453,1464,2634,3755,261,321,311,371
0.155,412,1477,2518,3794,258,323,318,386
0.165,415,1530,2505,3817,244,326,334,411
0.175,390,1513,2505,3761,241,333,349,443
0.185,339,1543,2461,3681,323,391,282,451
0.195,352,1593,2449,3644,272,339,267,453
0.205,339,1745,2470,3596,276,311,319,454
0.215,352,1771,2480,3527,240,310,305,464
0.225,339,1821,2471,3516,252,286,357,452
0.235,365,1872,2524,3494,261,329,336,414
0.245,390,1910,2529,3451,280,321,345,395
0.255,365,1948,2530,3500,274,360,308,397
0.265,390,1986,2492,3609,275,290,332,411
0.275,352,1999,2480,3646,267,292,345,412
0.285,445,1961,2429,3689,220,283,349,411
0.295,365,1885,2442,3720,215,291,378,405
0.305,390,1897,2429,3733,229,276,382,413
0.315,339,1910,2442,3699,223,251,389,374
0.325,330,1923,2391,3707,226,243,395,371
0.335,377,1948,2378,3713,214,230,396,393
0.345,276,1973,2340,3725,212,234,402,380
0.355,304,1986,2315,3698,206,232,431,371
0.365,276,1986,2214,3655,205,258,400,358
0.375,310,1986,2201,3526,203,251,392,380
0.385,321,1973,2176,3404,199,251,376,370
0.395,343,1973,2189,3466,202,264,348,359
0.405,289,1973,2189,3457,207,261,328,394
0.415,289,1961,2163,3466,206,259,335,414
0.425,314,1910,2151,3525,208,260,336,431
0.435,352,1809,2214,3614,168,256,360,467
0.445,365,1809,2176,3675,193,240,365,472
0.455,365,1771,2138,3759,195,255,357,451
0.465,365,1733,2037,3837,206,282,342,473
0.475,377,1652,2011,3849,213,297,311,484
0.485,377,1619,1979,3937,206,303,304,465
0.495,365,1581,1979,3961,200,296,327,487
0.505,377,1622,1983,3982,190,310,317,471
0.515,365,1586,2008,3941,195,290,307,423
0.525,377,1599,1973,4003,155,274,341,441
0.535,365,1579,1960,4008,164,302,384,434
0.545,377,1511,1965,3937,185,314,343,410
0.555,314,1474,1986,3983,227,320,306,428
0.565,327,1346,2019,4050,230,319,331,424
0.575,276,1212,2061,4091,223,306,316,413
0.585,225,1137,2108,4084,212,304,320,442
0.595,187,1116,2157,3988,210,299,306,419
0.605,213,1190,2206,3912,230,333,349,409
0.615,327,1344,2252,3731,208,321,359,402
0.625,377,1469,2292,3713,164,303,384,393
0.635,327,1535,2324,3723,171,321,360,402
0.645,376,1566,2346,3609,195,356,342,426
0.655,377,1555,2358,3551,196,323,373,427
0.665,352,1483,2364,3600,239,292,352,439
0.675,352,1364,2366,3571,223,280,350,454
0.685,365,1227,2368,3516,280,314,345,395
0.695,365,1109,2373,3570,279,277,324,380
0.705,365,1051,2382,3566,221,288,309,386
0.715,365,1042,2394,3679,227,297,327,385
0.725,352,1036,2405,3666,232,301,349,399
0.735,365,1005,2413,3588,233,328,337,421
0.745,352,969,2414,3496,204,317,350,439
0.755,352,954,2406,3535,200,304,344,445
0.765,352,982,2386,3564,155,340,352,438
0.775,339,1029,2351,3572,186,298,353,434
0.785,352,1030,2298,3579,161,352,361,450
0.795,339,978,2222,3613,180,314,340,434
0.805,352,960,2120,3658,191,314,350,426
0.815,352,1002,1990,3740,230,302,382,415
0.825,390,1070,1849,3834,237,297,357,403
0.835,403,1131,1735,3874,286,269,350,390
0.845,390,1177,1664,3895,311,273,360,411
0.855,352,1213,1629,3862,297,254,368,405
0.865,339,1241,1621,3880,296,260,356,408
0.875,352,1265,1630,3896,264,252,339,386
0.885,339,1284,1648,3941,233,260,330,388
0.895,380,1298,1665,3911,220,236,325,402
0.905,289,1308,1674,3923,222,228,309,408
0.915,314,1313,1676,3903,217,234,320,413
0.925,327,1315,1671,3901,235,236,343,426
0.935,314,1314,1663,3915,238,226,346,418
0.945,314,1313,1653,3956,244,211,338,421
0.955,327,1314,1643,4005,240,208,340,416
0.965,339,1315,1634,4120,223,208,327,425
0.975,339,1311,1628,4145,217,207,314,411
0.985,339,1298,1625,4165,216,225,299,412
0.995,339,1269,1627,4121,226,214,301,411
1.005,339,1224,1634,4051,231,227,284,408
1.015,339,1173,1645,4035,226,281,285,413
1.025,339,1127,1662,4050,235,314,348,437
1.035,301,1100,1684,4068,246,318,349,445
1.045,263,1091,1712,4094,266,308,361,464
1.055,225,1095,1745,4078,239,310,375,475
1.065,225,1108,1783,4021,222,326,386,440
1.075,225,1125,1826,4007,211,321,398,467
1.085,200,1144,1874,3972,216,341,391,462
1.095,238,1173,1926,3977,212,340,375,460
1.105,263,1214,1982,3946,211,329,354,454
1.115,263,1275,2043,3887,213,302,346,428
1.125,314,1350,2110,3768,228,322,327,392
1.135,377,1431,2182,3730,220,340,329,419
1.145,365,1499,2262,3696,207,315,334,415
1.155,403,1502,2349,3645,206,312,329,418
1.165,428,1414,2442,3670,209,324,340,423
1.175,453,1294,2535,3762,203,315,351,424
1.185,453,1196,2620,3884,216,303,324,408
1.195,479,1121,2690,3919,205,316,296,390
1.205,479,1064,2742,3937,227,297,273,386
1.215,466,1024,2778,3962,227,304,284,378
1.225,491,1002,2799,3960,205,302,306,376
1.235,466,998,2805,3887,208,301,323,405
1.245,441,1014,2797,3898,213,282,327,391
1.255,441,1052,2780,3962,238,286,330,377
1.265,377,1108,2758,3879,258,281,358,423
1.275,352,1159,2739,3872,240,317,379,444
1.285,365,1192,2726,3890,290,333,400,438
1.295,339,1227,2727,3914,273,326,367,437
1.305,327,1287,2743,3821,314,282,383,429
1.315,339,1357,2769,3731,346,309,350,424
1.325,339,1411,2804,3696,321,313,316,412
1.335,365,1442,2844,3656,354,327,320,403
1.345,365,1459,2886,3741,329,323,309,410
1.355,390,1524,2926,3776,264,369,292,431
1.365,415,1549,2961,3816,253,365,289,424
1.375,491,1567,2986,3835,223,381,303,403
1.385,479,1580,2999,3903,265,342,305,393
1.395,479,1587,2997,3949,279,338,312,377
1.405,466,1591,2982,3945,214,352,329,386
1.415,415,1590,2958,4043,254,327,324,385
1.425,403,1585,2927,4026,257,330,359,435
1.435,415,1575,2893,4004,261,340,357,468
1.445,390,1552,2861,4024,261,372,341,479
1.455,365,1509,2832,3965,246,382,294,459
1.465,365,1441,2808,4052,230,383,317,476
1.475,390,1115,2789,4011,200,446,327,418
1.485,377,955,2773,3960,219,431,352,445
1.495,352,962,2758,3984,223,451,347,436
1.505,377,942,2743,3971,189,446,312,424
1.515,428,916,2728,3916,166,422,324,398
1.525,428,924,2710,3846,130,450,305,378
1.535,504,1009,2690,3853,127,454,319,383
1.545,529,1099,2670,3831,121,433,290,371
1.555,567,1163,2651,3828,126,408,302,414
1.565,605,1251,2634,3785,178,368,307,382
1.575,643,1277,2619,3759,199,336,309,375
1.585,643,1302,2610,3740,197,321,301,386
1.595,631,1289,2606,3755,206,305,291,369
1.605,643,1277,2609,3776,198,301,273,368
1.615,643,1264,2619,3748,209,307,289,378
1.625,631,1264,2633,3746,206,313,303,386
1.635,605,1239,2650,3755,205,311,295,386
1.645,567,1226,2667,3774,217,300,274,382
1.655,491,1188,2682,3758,217,305,280,390
1.665,428,1125,2692,3761,234,270,316,410
1.675,314,1099,2698,3733,259,270,379,395
1.685,289,1011,2698,3757,241,270,380,417
1.695,276,919,2695,3784,264,279,371,394
1.705,251,909,2688,3845,260,290,345,392
1.715,238,876,2678,3882,257,282,345,382
1.725,251,884,2666,3909,248,318,333,377
1.735,263,863,2652,3904,255,287,332,394
1.745,276,884,2637,3873,243,299,315,379
1.755,301,871,2620,3898,240,294,321,384
1.765,276,897,2600,3903,257,291,347,393
1.775,289,884,2579,3895,291,283,356,411
1.785,276,897,2554,3864,270,278,358,435
1.795,301,947,2527,3822,261,319,367,431
1.805,327,1302,2496,3783,234,347,370,388
1.815,472,1492,2469,3752,233,352,341,390
1.825,441,1606,2452,3715,220,316,322,408
1.835,441,1720,2451,3727,213,322,336,384
1.845,427,1847,2471,3792,209,279,340,375
1.855,406,1885,2512,3774,217,281,320,365
1.865,403,1948,2569,3769,231,291,310,400
1.875,365,1986,2640,3800,222,295,345,416
1.885,352,1999,2713,3827,228,312,353,364
1.895,365,2037,2777,3873,208,286,372,361
1.905,314,2037,2822,3747,228,269,364,385
1.915,352,2062,2842,3699,224,310,326,398
1.925,339,2113,2843,3865,226,316,280,449
1.935,390,2138,2829,3938,276,308,328,444
1.945,504,2151,2804,3992,290,318,328,440
1.955,712,2125,2774,4091,254,318,323,422
1.965,770,2113,2742,4091,248,289,333,439
1.975,816,2113,2714,3935,212,306,344,448
1.985,859,2056,2691,3836,205,291,348,453
1.995,803,2012,2673,3860,195,282,361,476
2.005,815,2011,2660,3869,200,326,311,455
2.015,808,1935,2652,3870,220,303,310,464
2.025,775,1872,2647,3825,193,335,302,475
2.035,757,1872,2645,3807,206,313,324,467
2.045,744,1888,2646,3866,186,329,319,436
2.055,745,1796,2649,3931,220,321,344,440
2.065,719,1821,2653,3937,255,328,343,449
2.075,707,1745,2657,3880,219,319,325,392
2.085,669,1783,2659,3810,197,302,317,365
2.095,517,1745,2659,3790,200,314,290,362
2.105,466,1745,2654,3724,199,318,291,368
2.115,453,1745,2643,3707,211,312,313,371
2.125,377,1758,2627,3697,211,297,343,384
2.135,339,1733,2607,3725,198,305,355,416
2.145,289,1695,2585,3755,182,334,376,424
2.155,288,1657,2564,3863,182,345,386,442
2.165,289,1657,2546,3874,176,381,381,449
2.175,328,1631,2533,3888,198,347,351,466
2.185,302,1619,2527,3982,224,349,348,471
2.195,329,1631,2530,4031,217,341,364,468
2.205,314,1604,2544,4054,238,340,324,463
2.215,314,1634,2567,4054,246,298,337,467
2.225,314,1690,2597,4116,269,346,310,480
2.235,301,1809,2632,4026,271,347,294,462
2.245,301,1928,2672,3736,278,363,298,434
2.255,301,2011,2713,3559,225,311,338,365
2.265,328,2075,2752,3663,211,291,348,339
2.275,301,2075,2785,3694,206,300,346,337
2.285,289,2125,2805,3693,205,270,352,360
2.295,289,2138,2811,3718,211,284,347,367
2.305,301,2138,2807,3733,210,288,333,365
2.315,301,2151,2798,3675,210,281,336,370
2.325,301,2151,2787,3657,207,267,332,379
2.335,296,2207,2774,3677,207,266,349,389
2.345,303,2188,2757,3613,208,226,359,409
2.355,301,2163,2736,3600,208,202,381,420
2.365,285,2151,2710,3778,197,272,392,422
2.375,289,2057,2680,3907,196,305,382,444
2.385,316,1956,2649,3960,211,307,376,462
2.395,347,1945,2620,4070,214,346,367,453
2.405,352,1871,2595,4121,241,339,352,457
2.415,352,1807,2577,4112,272,340,368,449
2.425,377,1735,2568,4117,280,354,351,463
2.435,365,1674,2572,4119,317,360,337,446
2.445,365,1551,2591,4024,319,354,358,449
2.455,365,1428,2627,3887,298,355,382,460
2.465,377,1327,2556,3888,251,357,379,484
2.475,377,1049,2581,3934,234,327,396,495
2.485,377,960,2657,3887,239,350,396,446
2.495,352,935,2725,3778,243,339,404,448
2.505,339,909,2657,3710,270,314,439,422
2.515,377,884,2682,3749,261,316,418,450
2.525,365,884,2682,3742,233,356,412,445
2.535,377,884,2670,3867,204,356,351,479
2.545,365,884,2670,3972,204,339,333,453
2.555,377,884,2670,3977,245,282,345,455
2.565,352,973,2632,3884,245,273,309,405
2.575,365,1023,2594,3872,236,304,282,403
2.585,377,1112,2530,3896,244,335,296,417
2.595,403,1289,2454,3892,242,339,305,416
2.605,365,1340,2391,3856,235,332,320,432
2.615,421,1378,2404,3853,250,334,354,431
2.625,403,1429,2391,3825,248,340,363,465
2.635,410,1479,2378,3887,273,328,355,470
2.645,403,1498,2378,3904,299,333,341,452
2.655,339,1435,2378,4002,312,323,343,461
2.665,339,1416,2378,4063,272,325,290,467
2.675,314,1277,2404,4033,264,323,285,443
2.685,352,1087,2378,4075,266,321,343,387
2.695,352,960,2391,4072,213,332,360,396
2.705,352,909,2391,4045,169,331,361,369
2.715,352,897,2454,4043,192,291,343,397
2.725,327,871,2391,4052,209,296,377,433
2.735,327,897,2378,4020,213,321,372,440
2.745,339,909,2366,3999,182,353,334,427
2.755,352,909,2328,3859,193,384,326,403
2.765,365,922,2328,3810,207,357,323,417
2.775,339,985,2265,3797,235,324,325,436
2.785,365,1011,2227,3728,220,304,322,430
2.795,390,1074,2227,3674,217,289,327,400
2.805,415,1099,2214,3619,210,308,341,402
2.815,415,1188,2201,3565,212,313,358,414
2.825,415,1264,2201,3506,211,321,369,395
2.835,441,1289,2138,3504,197,301,374,391
2.845,428,1340,2125,3522,207,290,357,414
2.855,441,1403,2113,3597,205,289,346,424
2.865,428,1431,2138,3682,213,292,350,433
2.875,213,1517,2151,3735,200,318,334,414
2.885,200,1429,2163,3820,197,313,307,437
2.895,200,1543,2163,3792,195,325,345,448
2.905,213,1619,2239,3711,205,331,337,450
2.915,289,1635,2277,3680,222,307,336,431
2.925,289,1588,2265,3668,220,334,317,444
2.935,365,1644,2277,3598,226,324,325,414
2.945,491,1657,2227,3553,230,342,325,436
2.955,479,1635,2252,3466,229,332,348,456
2.965,491,1581,2214,3448,241,337,330,438
2.975,573,1568,2138,3371,221,321,324,446
2.985,605,1517,2113,3339,194,314,306,440
2.995,598,1530,2100,3360,211,292,287,450
3.005,580,1467,1986,3412,212,302,313,455
3.015,542,1378,1986,3418,247,270,332,460
3.025,593,1394,1910,3344,293,264,358,469
3.035,517,1251,1872,3297,259,263,376,454
3.045,466,1163,1796,3236,268,279,407,439
3.055,428,1074,1707,3205,262,282,452,432
3.065,415,1061,1606,3160,285,296,429,439
3.075,390,1036,1555,3212,276,254,418,419
3.085,365,985,1517,3243,272,240,443,422
3.095,339,973,1505,3297,284,240,430,424
3.105,314,909,1492,3325,288,231,445,428
3.115,301,884,1479,3345,259,241,446,435
3.125,289,859,1441,3371,276,235,461,456
3.135,276,897,1416,3371,283,230,479,464
3.145,251,897,1429,3342,293,214,464,463
3.155,251,897,1416,3321,297,207,493,457
3.165,289,960,1429,3436,290,207,475,455
3.175,314,998,1479,3511,272,237,476,484
3.185,339,1049,1517,3479,242,306,478,490
3.195,377,1112,1758,3481,225,317,414,443
3.205,441,1163,1897,3633,217,340,357,415
3.215,479,1213,2138,3812,220,323,345,420
3.225,517,1201,2227,3893,219,303,325,412
3.235,593,1175,2328,3897,213,305,322,403
3.245,593,1163,2416,4005,198,298,339,423
3.255,593,1137,2429,4107,185,299,316,452
3.265,631,1150,2404,4157,184,275,321,471
3.275,568,1137,2366,4172,265,299,350,475
3.285,542,1163,2409,4163,253,345,324,438
3.295,466,1163,2290,4263,265,356,312,449
3.305,453,1251,2303,4304,317,325,285,467
3.315,441,1387,2290,4330,353,285,287,483
3.325,403,1391,2290,4357,329,310,305,462
3.335,390,1619,2277,4297,315,320,308,444
3.345,403,1631,2290,4240,337,283,304,458
3.355,390,1745,2290,4225,346,294,304,453
3.365,428,1771,2290,4147,383,302,268,434
3.375,415,1847,2315,4117,376,304,302,448
3.385,441,1872,2290,4088,360,259,315,437
3.395,466,1885,2290,4005,344,251,333,453
3.405,453,1859,2315,3880,314,284,347,453
3.415,453,1809,2315,3903,267,270,371,457
3.425,491,1745,2315,3902,297,249,386,470
3.435,491,1771,2328,3916,295,274,364,431
3.445,441,1669,2341,3979,274,250,347,429
3.455,463,1631,2353,3991,276,290,336,444
3.465,441,1631,2404,3959,239,294,305,411
3.475,441,1593,2429,3896,250,327,319,416
3.485,415,1555,2454,3862,232,315,336,418
3.495,428,1568,2543,3893,244,315,318,382
3.505,403,1432,2568,3947,260,306,370,406
3.515,403,1403,2644,4112,275,306,339,424
3.525,403,1289,2632,4235,288,323,310,460
3.535,403,1315,2670,4256,257,304,302,432
3.545,403,1315,2657,4167,226,307,300,465
3.555,415,1353,2682,4088,235,337,314,427
3.565,390,1340,2657,4152,250,320,314,467
3.575,428,1391,2682,4136,248,312,310,434
3.585,415,1378,2670,4145,234,291,337,463
3.595,441,1391,2603,4057,232,305,338,415
3.605,479,1441,2670,4036,215,306,356,485
3.615,555,1441,2757,3982,241,250,365,500
3.625,681,1479,2757,3882,253,308,367,489
3.635,719,1492,2766,3812,223,274,379,494
3.645,787,1530,2751,3783,208,294,371,467
3.655,775,1555,2797,3769,254,264,377,444
3.665,799,1586,2823,3819,234,292,344,436
3.675,814,1657,2877,3837,237,297,362,452
3.685,842,1699,2821,3909,266,274,359,468
3.695,781,1652,2720,3920,231,295,363,467
3.705,799,1637,2737,3858,245,290,383,471
3.715,700,1586,2710,3811,205,303,338,451
