sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,528,1503,2505,3617,242,331,381,459
0.015,559,1449,2400,3652,269,302,336,429
0.025,593,1476,2463,3651,269,303,342,438
0.035,678,1485,2401,3564,298,336,322,456
0.045,700,1552,2426,3534,274,331,342,485
0.055,723,1601,2427,3501,270,319,323,443
0.065,718,1614,2526,3583,283,293,362,452
0.075,800,1597,2501,3571,270,292,360,436
0.085,829,1625,2413,3503,262,287,373,446
0.095,947,1509,2484,3495,294,315,346,442
0.105,873,1606,2552,3642,269,304,329,427
0.115,879,1619,2518,3693,301,321,345,430
0.125,794,1600,2490,3743,277,319,328,407
0.135,743,1564,2511,3742,229,332,336,424
0.145,622,1540,2545,3728,209,346,335,442
0.155,467,1523,2568,3759,255,357,350,453
0.165,391,1492,2680,3869,226,321,351,460
0.175,409,1435,2718,3942,246,304,332,456
0.185,400,1388,2752,4099,250,350,374,484
0.195,419,1388,2702,4167,307,359,378,501
0.205,476,1397,2581,4196,292,346,403,447
0.215,486,1407,2528,4258,310,310,372,420
0.225,495,1407,2385,4246,285,297,332,428
0.235,524,1407,2357,4219,257,342,347,402
0.245,533,1416,2385,4225,252,342,355,400
0.255,571,1426,2404,4303,250,335,357,410
0.265,609,1445,2490,4393,226,351,330,417
0.275,581,1464,2547,4349,222,374,347,421
0.285,505,1473,2585,4270,255,349,333,424
0.295,419,1464,2613,4178,244,355,343,411
0.305,391,1502,2613,3963,256,334,329,433
0.315,391,1549,2613,3805,274,337,355,388
0.325,372,1587,2594,3739,261,313,320,371
0.335,391,1654,2547,3761,225,290,329,369
0.345,372,1720,2499,3801,224,290,347,381
0.355,362,1853,2452,3745,228,262,373,383
0.365,334,2005,2376,3609,235,220,388,385
0.375,286,2062,2300,3611,239,218,390,413
0.385,286,2043,2290,3638,212,232,366,427
0.395,267,1958,2262,3730,230,261,338,446
0.405,239,1834,2214,3811,227,295,329,459
0.415,277,1749,2176,3800,225,319,282,476
0.425,286,1673,2157,3753,215,273,307,490
0.435,315,1540,2148,3766,193,251,308,487
0.445,381,1502,2024,3811,202,214,340,512
0.455,381,1473,1967,3886,180,201,343,504
0.465,381,1435,1929,3972,199,162,335,496
0.475,391,1416,1920,4040,199,155,299,464
0.485,391,1397,1882,4075,196,167,323,467
0.495,400,1397,1834,4044,199,163,305,473
0.505,391,1388,1844,4067,204,167,301,469
0.515,410,1378,1863,4088,195,180,304,476
0.525,429,1388,1863,4097,206,191,312,462
0.535,419,1407,1939,4144,198,211,301,438
0.545,438,1445,2043,4191,213,248,294,423
0.555,438,1473,2081,4181,200,310,314,400
0.565,438,1502,2157,4125,205,329,319,378
0.575,448,1549,2252,4046,209,316,338,375
0.585,429,1587,2319,4045,215,301,337,364
0.595,410,1625,2433,4069,209,302,339,347
0.605,400,1663,2499,4041,242,321,307,377
0.615,381,1720,2509,4070,200,316,306,396
0.625,353,1720,2509,4152,238,341,330,411
0.635,286,1663,2467,4148,248,327,316,438
0.645,286,1654,2480,4160,256,335,308,463
0.655,286,1625,2509,4184,287,357,299,437
0.665,353,1578,2528,4177,263,301,323,454
0.675,381,1549,2547,4194,248,315,328,452
0.685,410,1530,2566,4220,295,325,325,448
0.695,419,1511,2585,4176,321,316,317,448
0.705,410,1491,2604,4120,306,327,306,429
0.715,400,1511,2632,4254,323,315,303,477
0.725,410,1511,2596,4278,291,331,302,474
0.735,391,1521,2632,4336,264,357,322,480
0.745,391,1529,2623,4381,282,335,340,472
0.755,391,1500,2632,4312,257,296,364,447
0.765,362,1509,2642,3996,211,293,310,459
0.775,362,1545,2632,3798,216,312,330,360
0.785,305,1595,2642,3825,245,321,340,341
0.795,286,1650,2661,3944,273,332,307,356
0.805,305,1698,2632,3966,282,308,266,348
0.815,286,1729,2623,3969,284,311,265,376
0.825,305,1744,2604,3997,281,291,286,388
0.835,305,1746,2604,3920,272,300,285,390
0.845,305,1740,2604,3920,265,309,274,377
0.855,315,1721,2566,3895,263,310,289,371
0.865,343,1678,2509,3685,223,327,333,386
0.875,372,1598,2509,3721,235,333,346,358
0.885,372,1516,2518,3712,212,297,369,370
0.895,429,1542,2509,3653,196,279,372,393
0.905,429,1778,2490,3605,210,285,337,427
0.915,371,2031,2471,3628,259,329,297,440
0.925,410,2127,2480,3581,278,303,333,412
0.935,381,2134,2490,3580,290,287,344,420
0.945,391,2105,2528,3682,301,277,340,435
0.955,381,2061,2547,3750,286,317,345,470
0.965,391,2011,2556,3779,310,318,319,464
0.975,381,1945,2585,3745,290,276,327,449
0.985,400,1843,2651,3817,336,298,336,452
0.995,429,1700,2699,4020,330,321,368,483
1.005,448,1537,2737,4251,251,311,397,497
1.015,457,1375,2737,4431,228,330,332,437
1.025,448,1186,2745,4416,191,331,315,410
1.035,467,993,2680,4375,163,327,315,412
1.045,448,880,2654,4157,185,293,277,383
1.055,457,853,2594,4148,224,287,284,404
1.065,467,900,2585,4098,226,280,307,391
1.075,495,1002,2566,4054,233,305,318,387
1.085,495,1129,2594,4052,231,319,331,393
1.095,495,1257,2594,3998,220,347,368,415
1.105,505,1374,2566,3979,194,318,336,379
1.115,495,1477,2585,4005,202,330,353,373
1.125,523,1567,2594,4001,202,336,342,368
1.135,467,1645,2613,3994,211,314,343,376
1.145,438,1711,2613,3925,198,294,339,407
1.155,419,1763,2643,3986,197,316,340,419
1.165,381,1802,2613,4000,183,274,332,414
1.175,372,1825,2604,4012,196,308,324,415
1.185,391,1832,2613,4009,197,282,315,414
1.195,410,1826,2642,3940,191,295,322,397
1.205,457,1813,2659,3867,196,308,326,386
1.215,486,1794,2623,3820,189,286,305,384
1.225,495,1775,2594,3875,185,313,346,395
