sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,523,1544,2396,3583,231,309,370,395
0.015,554,1465,2390,3674,290,312,308,406
0.025,577,1503,2382,3623,306,310,333,414
0.035,574,1480,2457,3626,287,313,318,427
0.045,598,1494,2573,3650,278,301,337,429
0.055,694,1489,2519,3714,256,311,316,440
0.065,784,1481,2548,3725,276,323,311,446
0.075,783,1620,2551,3700,274,322,349,450
0.085,856,1553,2494,3712,270,353,347,449
0.095,911,1594,2492,3763,267,352,324,474
0.105,919,1683,2485,3781,249,337,338,488
0.115,928,1730,2468,3783,247,322,341,481
0.125,831,1768,2502,3891,249,306,369,449
0.135,871,1782,2499,3934,246,323,334,448
0.145,859,1770,2550,3879,290,292,375,454
0.155,875,1849,2506,3904,249,328,351,444
0.165,953,1823,2522,3986,263,310,357,444
0.175,914,1883,2514,4019,214,345,376,447
0.185,887,1786,2556,4007,282,308,399,445
0.195,885,1826,2539,4075,260,329,365,443
0.205,925,1788,2571,4122,285,317,374,448
0.215,920,1848,2577,4131,256,327,351,433
0.225,954,1878,2643,4173,264,318,356,438
0.235,910,1907,2751,4155,246,321,369,453
0.245,914,1968,2813,4120,241,320,361,448
0.255,914,2057,2838,4119,269,302,409,455
0.265,806,2046,2868,4128,270,289,419,456
0.275,902,1980,2920,4058,321,302,373,440
0.285,926,2003,3001,4008,307,293,395,459
0.295,805,1917,3089,3976,303,296,391,458
0.305,873,1861,3108,3852,314,305,385,452
0.315,850,1882,3049,3800,283,291,375,422
0.325,853,1883,3005,3770,280,296,368,376
0.335,860,1872,2948,3818,267,295,348,380
0.345,915,1887,2905,3786,293,273,364,369
0.355,960,1842,2860,3821,293,285,361,384
0.365,973,1891,2856,3877,273,299,361,386
0.375,942,1965,2842,3845,261,294,365,391
0.385,924,1969,2814,3805,277,306,391,388
0.395,916,1967,2820,3767,257,290,409,388
0.405,887,1863,2695,3760,267,288,379,351
0.415,900,1832,2629,3811,263,286,347,388
0.425,882,1887,2513,3722,265,270,358,385
0.435,828,1822,2500,3661,272,259,382,414
0.445,762,1803,2436,3607,261,276,361,383
0.455,787,1793,2406,3606,262,294,343,396
0.465,794,1835,2394,3573,232,304,334,394
0.475,767,1833,2466,3621,221,308,355,408
0.485,800,1822,2445,3599,243,307,345,408
0.495,757,1780,2511,3595,220,316,349,407
0.505,777,1749,2597,3526,239,300,357,399
0.515,844,1840,2616,3578,230,315,366,427
0.525,818,1876,2681,3580,216,294,399,430
0.535,817,1895,2693,3711,214,319,360,432
0.545,818,1899,2735,3786,210,321,380,437
0.555,866,1877,2763,3868,273,307,372,432
0.565,939,1843,2775,3860,285,332,343,436
0.575,883,1792,2773,3963,260,328,305,435
0.585,856,1887,2756,4007,213,330,318,474
0.595,823,1966,2708,3892,189,338,299,460
0.605,793,1980,2742,3826,200,338,290,437
0.615,707,1934,2704,3709,226,341,287,418
0.625,632,1868,2778,3710,178,336,290,357
0.635,642,1826,2749,3728,175,354,284,356
0.645,625,1762,2721,3775,196,323,306,379
0.655,667,1665,2721,3861,229,295,332,416
0.665,601,1632,2702,3915,289,284,319,430
0.675,518,1641,2673,3863,296,292,365,455
0.685,465,1650,2673,3844,313,294,330,440
0.695,460,1588,2664,3854,271,334,310,452
0.705,451,1654,2664,3830,238,337,320,476
0.715,441,1762,2664,3827,203,330,320,440
0.725,432,1933,2683,3741,239,333,303,406
0.735,433,1942,2721,3752,248,354,304,379
0.745,423,2008,2787,3757,265,372,293,394
0.755,356,2075,2816,3779,240,344,292,393
0.765,346,2113,2825,3791,209,297,303,364
0.775,327,2160,2871,3808,198,325,276,386
0.785,308,2170,2844,3805,197,287,313,375
0.795,318,2170,2835,3822,194,297,334,387
0.805,346,2170,2825,3815,220,294,341,384
0.815,346,2170,2816,3826,239,291,342,378
0.825,394,2141,2768,3824,224,293,357,379
0.835,441,2122,2768,3858,198,291,354,406
0.845,441,2117,2721,3867,194,289,363,408
0.855,479,1980,2673,3874,180,271,360,412
0.865,498,1944,2626,3867,188,281,365,421
0.875,546,1828,2502,3814,211,303,346,430
0.885,593,1667,2493,3740,211,353,355,437
0.895,641,1600,2417,3703,209,341,371,423
0.905,660,1524,2331,3583,209,342,361,420
0.915,688,1505,2274,3471,213,339,376,430
0.925,717,1477,2227,3447,212,313,345,443
0.935,717,1448,2217,3409,205,276,353,426
0.945,726,1439,2217,3452,216,298,342,410
0.955,755,1448,2227,3456,223,299,344,405
0.965,736,1491,2236,3393,217,279,355,406
0.975,717,1429,2236,3454,210,301,341,371
0.985,726,1467,2265,3449,220,298,343,392
0.995,698,1477,2337,3486,222,314,331,368
1.005,660,1505,2426,3463,225,305,359,374
1.015,660,1591,2436,3417,206,329,360,380
1.025,669,1657,2464,3417,209,316,377,398
1.035,622,1743,2474,3373,190,290,359,425
1.045,593,1800,2400,3336,192,294,354,417
