sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,648,1451,2348,3591,284,319,328,411
0.015,766,1475,2389,3616,290,280,352,428
0.025,862,1495,2464,3704,300,282,356,443
0.035,895,1686,2514,3712,258,324,336,434
0.045,956,1770,2543,3688,262,337,326,437
0.055,966,1822,2634,3718,236,345,329,459
0.065,1049,1840,2670,3729,251,320,365,440
0.075,1027,1852,2747,3804,198,323,382,448
0.085,1064,1854,2810,3778,237,317,358,453
0.095,1047,1854,2808,3869,183,340,372,431
0.105,1024,1741,2788,3983,195,334,353,439
0.115,861,1778,2785,3995,228,363,348,441
0.125,954,1850,2738,4026,261,343,395,446
0.135,979,1888,2751,4061,269,341,372,435
0.145,953,1856,2781,4095,278,307,393,435
0.155,940,1841,2819,4097,276,310,386,458
0.165,1001,1875,2824,4033,298,279,378,451
0.175,1059,1885,2811,3994,253,318,382,430
0.185,1036,1881,2919,3986,287,295,357,448
0.195,943,1955,2797,4105,280,283,344,420
0.205,992,2109,2854,4160,236,320,342,418
0.215,1005,2078,2973,4178,248,323,339,434
0.225,981,2089,2950,4170,276,273,345,457
0.235,961,2042,3022,4169,251,280,351,458
0.245,879,1986,3031,4091,258,281,340,449
0.255,874,1927,3056,4026,267,298,331,447
0.265,871,1961,3046,3928,267,313,339,444
0.275,810,2011,3116,3929,221,282,340,474
0.285,817,1938,3092,3872,245,283,324,478
0.295,842,1854,3065,3980,259,312,308,461
0.305,822,1760,2951,4022,252,299,334,428
0.315,824,1713,2822,4098,257,311,336,426
0.325,884,1771,2746,4155,243,349,355,433
0.335,839,1765,2707,4262,239,336,359,444
0.345,924,1768,2678,4309,239,331,324,440
0.355,1010,1762,2718,4287,242,324,341,426
0.365,1009,1716,2791,4239,212,329,324,415
0.375,980,1740,2744,4198,223,340,336,422
0.385,993,1748,2766,4073,249,323,345,420
0.395,969,1799,2728,4020,245,358,365,421
0.405,851,1807,2681,4005,240,387,324,445
0.415,650,1682,2641,4066,240,341,318,432
0.425,601,1587,2490,3982,240,308,275,425
0.435,618,1559,2501,3937,228,280,287,440
0.445,563,1472,2435,4007,263,288,313,479
0.455,545,1493,2391,4084,222,298,332,477
0.465,575,1501,2402,4230,213,305,363,491
0.475,508,1482,2372,4324,206,283,353,476
0.485,497,1471,2347,4342,215,312,329,446
0.495,452,1439,2336,4266,237,298,359,445
0.505,413,1417,2347,4219,249,311,329,430
0.515,388,1384,2284,4217,238,337,323,441
0.525,409,1406,2282,4195,181,332,339,452
0.535,388,1373,2271,4158,227,348,299,445
0.545,409,1351,2282,4120,243,331,300,450
0.555,466,1329,2282,4143,247,313,324,453
0.565,486,1306,2282,4207,251,329,322,483
0.575,563,1294,2293,4261,272,361,338,502
0.585,607,1307,2307,4241,203,357,315,536
0.595,628,1296,2282,4129,234,365,318,495
0.605,639,1296,2293,3943,213,361,306,478
0.615,661,1296,2315,3699,218,342,295,437
0.625,650,1285,2271,3597,227,337,293,398
0.635,639,1263,2293,3579,231,327,278,382
0.645,650,1285,2273,3586,230,329,290,332
0.655,639,1285,2293,3642,231,331,287,336
0.665,639,1296,2260,3617,226,327,293,352
0.675,650,1318,2271,3586,214,328,301,358
0.685,639,1329,2260,3523,228,330,298,372
0.695,639,1351,2249,3464,223,329,307,392
0.705,596,1384,2205,3381,220,314,308,408
