sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,675,1601,2506,3530,229,305,358,444
0.015,779,1590,2520,3522,227,294,327,431
0.025,797,1613,2540,3586,205,287,322,436
0.035,809,1659,2505,3638,191,301,332,443
0.045,797,1710,2560,3719,178,302,351,466
0.055,820,1725,2633,3786,173,336,355,461
0.065,908,1658,2690,3842,246,351,358,467
0.075,959,1676,2744,3928,263,338,336,464
0.085,941,1743,2798,4053,255,349,346,480
0.095,933,1780,2741,3981,258,344,337,454
0.105,959,1806,2740,4012,242,332,348,461
0.115,1030,1800,2721,4036,236,335,364,440
0.125,948,1814,2634,3966,203,349,372,444
0.135,852,1679,2504,3857,211,328,351,451
0.145,785,1640,2402,3740,236,263,347,449
0.155,805,1577,2396,3745,222,312,335,453
0.165,800,1590,2375,3640,213,299,306,428
0.175,767,1589,2380,3623,222,309,309,414
0.185,804,1590,2375,3632,222,298,314,388
0.195,787,1603,2410,3638,224,305,316,364
0.205,754,1590,2390,3640,229,301,317,353
0.215,771,1590,2375,3646,234,327,328,356
0.225,741,1577,2371,3623,237,310,341,360
0.235,754,1501,2388,3632,232,329,325,351
0.245,741,1501,2371,3670,230,319,335,349
0.255,703,1451,2409,3709,203,318,328,373
0.265,691,1425,2388,3734,221,321,330,383
0.275,665,1375,2426,3720,227,324,327,414
0.285,665,1324,2388,3653,228,319,334,427
0.295,640,1299,2447,3573,227,331,326,433
0.305,665,1248,2388,3482,233,324,324,439
0.315,640,1223,2445,3383,230,285,323,435
0.325,640,1185,2410,3326,227,296,322,427
0.335,627,1134,2361,3294,207,290,348,394
0.345,640,1058,2350,3260,203,325,357,398
0.355,627,1007,2310,3241,201,288,356,388
0.365,577,982,2288,3223,195,310,342,395
0.375,589,969,2312,3249,192,300,327,400
0.385,577,957,2274,3303,190,317,306,402
0.395,539,969,2296,3407,205,313,294,408
0.405,539,982,2248,3511,211,324,276,400
0.415,488,1058,2248,3569,224,326,253,384
0.425,450,1083,2252,3695,232,296,275,377
0.435,437,1134,2236,3777,226,291,282,394
0.445,425,1187,2223,3885,247,295,274,376
0.455,374,1197,2236,3905,235,293,280,358
0.465,361,1248,2261,3960,206,299,269,357
0.475,349,1349,2299,4009,219,333,279,378
0.485,387,1476,2286,4105,237,357,262,376
0.495,372,1653,2350,4228,218,336,280,352
0.505,389,1793,2388,4233,186,305,284,390
0.515,349,1907,2464,4254,198,295,298,438
0.525,323,1986,2489,4268,215,356,293,422
0.535,349,1932,2565,4252,272,348,286,421
0.545,349,1945,2568,4195,299,364,290,409
0.555,349,1907,2590,4120,304,414,311,397
0.565,374,1894,2628,4146,345,397,318,421
0.575,387,1907,2666,4194,323,359,344,433
0.585,412,1894,2704,4244,314,361,340,445
0.595,412,1894,2704,4221,300,362,311,443
0.605,387,1907,2717,4231,296,363,292,413
0.615,387,1945,2704,4228,299,348,288,413
0.625,399,1945,2717,4349,312,357,332,422
0.635,387,2021,2696,4304,301,348,304,432
0.645,387,2046,2704,4216,265,333,314,445
0.655,386,2046,2831,4102,198,321,285,347
0.665,349,2117,2856,4137,203,300,314,334
0.675,285,2122,2945,4045,215,304,352,335
0.685,260,2165,2945,4016,206,333,327,344
0.695,285,2154,2856,3939,202,340,353,377
0.705,285,2157,2831,3756,194,362,350,431
0.715,303,2198,2831,3673,170,368,342,406
0.725,277,2160,2806,3633,171,371,338,386
0.735,285,2190,2768,3741,180,360,291,361
0.745,298,2171,2704,3775,177,373,267,364
0.755,303,2162,2692,3722,183,358,281,364
0.765,298,2192,2666,3684,181,347,299,363
0.775,303,2186,2654,3640,170,354,264,378
