sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,634,1637,2359,3411,267,371,354,442
0.015,716,1730,2348,3412,260,349,302,418
0.025,743,1810,2398,3325,242,322,311,402
0.035,706,1879,2398,3317,206,316,347,403
0.045,689,1835,2407,3276,224,292,363,385
0.055,738,1821,2408,3381,234,285,353,402
0.065,735,1758,2398,3422,222,291,353,405
0.075,731,1654,2511,3490,208,333,359,414
0.085,727,1683,2517,3500,189,334,358,411
0.095,683,1598,2625,3573,176,305,336,441
0.105,721,1624,2631,3575,252,352,362,446
0.115,752,1684,2652,3638,237,348,357,435
0.125,807,1769,2647,3603,251,334,405,433
0.135,863,1734,2728,3582,239,355,355,440
0.145,831,1728,2752,3639,217,353,371,413
0.155,854,1798,2674,3728,195,383,371,432
0.165,879,1895,2577,3748,181,424,354,441
0.175,909,1891,2571,3689,223,380,362,449
0.185,719,1770,2585,3725,307,343,341,440
0.195,578,1778,2490,3655,289,375,318,439
0.205,525,1863,2623,3592,298,371,318,402
0.215,320,2015,2689,3528,291,406,292,408
0.225,258,2081,2955,3564,257,407,303,383
0.235,290,2186,2927,3600,207,369,316,397
0.245,267,2138,2917,3620,191,364,273,452
0.255,353,2100,2803,3590,198,330,258,439
0.265,400,1977,2765,3687,200,327,267,466
0.275,457,1939,2727,3910,190,295,270,469
0.285,448,1834,2699,4070,151,295,283,414
0.295,467,1797,2642,4136,141,273,283,377
0.305,495,1759,2613,4162,142,276,301,390
0.315,533,1692,2585,4157,148,280,303,398
0.325,524,1654,2547,4075,179,281,303,408
0.335,516,1626,2547,4048,227,291,278,441
0.345,438,1597,2537,3995,224,267,305,447
0.355,438,1588,2509,4064,277,299,335,459
0.365,381,1502,2480,4067,239,346,378,446
0.375,286,1445,2452,4034,194,321,395,471
0.385,258,1398,2442,4072,216,322,365,471
0.395,220,1341,2423,4086,169,365,337,460
0.405,220,1312,2376,4180,203,347,335,449
0.415,220,1160,2376,4145,206,336,317,451
0.425,248,1084,2338,4031,204,344,339,445
0.435,286,989,2290,3940,191,400,317,471
0.445,343,904,2236,3870,154,414,380,456
0.455,353,837,2262,3709,127,393,414,469
0.465,391,847,2233,3549,170,326,427,497
0.475,448,904,2205,3360,181,298,427,448
0.485,457,942,2205,3316,177,318,407,388
0.495,505,961,2195,3368,163,283,408,393
0.505,543,989,2195,3481,187,302,381,414
0.515,581,1046,2195,3559,180,307,363,394
0.525,590,1103,2176,3723,207,306,348,397
0.535,600,1170,2167,3860,223,297,340,394
0.545,619,1179,2167,4104,234,284,362,325
0.555,628,1246,2167,4106,245,283,386,394
0.565,600,1284,2176,4177,246,290,389,410
0.575,429,1312,2176,4234,250,339,340,452
0.585,419,1350,2195,4209,273,301,298,440
0.595,495,1398,2233,4054,268,298,303,431
0.605,514,1436,2328,3955,245,302,345,458
0.615,590,1483,2547,3858,291,278,368,473
0.625,619,1569,2575,3767,220,311,388,498
