sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,566,1468,2544,3653,266,294,340,438
0.015,578,1559,2511,3683,263,318,342,429
0.025,703,1567,2445,3669,275,359,325,437
0.035,694,1607,2503,3731,297,322,316,437
0.045,715,1617,2503,3670,300,298,347,439
0.055,782,1600,2508,3675,279,332,316,441
0.065,804,1609,2476,3692,280,324,310,435
0.075,745,1676,2426,3637,270,334,345,427
0.085,701,1617,2480,3622,253,327,341,423
0.095,787,1566,2505,3613,290,335,348,445
0.105,824,1673,2477,3672,257,346,319,453
0.115,784,1761,2516,3674,253,321,346,440
0.125,790,1771,2575,3730,279,291,347,434
0.135,857,1805,2659,3880,308,325,291,450
0.145,769,1851,2719,3988,287,288,325,464
0.155,776,1846,2720,3962,269,320,321,432
0.165,861,1853,2760,3974,284,327,339,446
0.175,933,1866,2822,3955,258,335,354,475
0.185,914,1861,2901,3936,266,311,367,466
0.195,942,1787,2873,3964,250,333,315,452
0.205,994,1772,2776,3939,229,325,312,423
0.215,1002,1829,2793,3953,246,330,319,439
0.225,932,1858,2818,3941,242,321,337,455
0.235,941,1857,2780,3961,250,308,361,429
0.245,935,1839,2791,3974,261,303,380,443
0.255,816,1890,2705,4043,238,271,368,443
0.265,672,1829,2525,4035,246,235,376,428
0.275,615,1527,2221,4069,263,214,401,427
0.285,577,1404,2164,4090,266,207,380,425
0.295,539,1385,2097,4169,258,206,331,440
0.305,511,1328,1993,4284,259,225,327,454
0.315,473,1261,1917,4303,269,259,332,466
0.325,425,1233,1869,4334,264,271,324,464
0.335,416,1204,1831,4284,276,269,307,428
0.345,416,1166,1803,4171,273,271,304,417
0.355,378,1128,1850,4165,274,258,314,404
0.365,378,1071,1869,4128,269,256,283,391
0.375,359,1185,1936,4029,228,221,272,368
0.385,378,1347,1983,3919,194,207,291,369
0.395,349,1432,2097,3811,207,235,309,385
0.405,359,1546,2154,3836,203,264,328,355
0.415,368,1765,2240,3790,224,331,310,342
0.425,387,1869,2354,3837,208,325,327,336
0.435,387,1907,2487,3882,188,335,328,361
0.445,378,1869,2591,3951,222,342,338,379
0.455,387,1812,2800,3952,263,318,379,441
0.465,406,1812,2838,3908,323,370,374,477
0.475,406,1746,2810,3859,336,381,329,475
0.485,425,1679,2800,3800,317,373,328,489
0.495,406,1587,2800,3719,263,345,330,487
0.505,416,1508,2800,3757,213,309,332,437
0.515,406,1432,2810,3812,241,304,359,434
0.525,425,1432,2810,3893,226,349,347,419
0.535,425,1480,2810,3851,246,316,345,408
0.545,416,1518,2686,3863,227,308,316,388
0.555,416,1537,2689,3954,210,312,316,361
0.565,425,1565,2582,3977,201,306,307,339
0.575,473,1613,2620,4005,211,309,303,336
0.585,473,1641,2667,4055,204,304,304,316
0.595,482,1679,2696,4072,206,312,322,327
0.605,482,1708,2705,4098,202,315,327,321
0.615,473,1717,2715,4108,194,299,328,317
0.625,482,1784,2724,4075,214,319,331,319
0.635,473,1803,2734,4126,196,306,334,318
0.645,463,1822,2715,4112,203,314,330,313
0.655,473,1860,2705,4144,206,312,339,325
0.665,444,1879,2705,4112,194,308,333,320
0.675,454,1898,2648,4121,204,305,329,330
0.685,463,1936,2639,4119,208,282,336,327
0.695,444,1945,2629,4159,192,284,358,350
0.705,463,1974,2620,4137,214,280,368,354
0.715,454,2021,2582,4070,209,273,363,347
0.725,444,2017,2610,4078,228,264,375,361
0.735,444,2035,2582,3992,237,289,371,394
0.745,425,2068,2591,3910,264,305,371,414
0.755,425,2108,2601,3969,261,330,347,421
0.765,387,2148,2610,4068,248,338,313,496
0.775,359,2180,2639,4011,227,351,292,480
0.785,378,2199,2639,3861,228,388,309,431
0.795,387,2196,2639,3873,221,366,315,401
0.805,378,2165,2639,3899,201,333,336,408
0.815,387,2098,2639,3905,210,330,327,416
0.825,359,1987,2667,3936,212,288,321,469
0.835,330,1833,2686,3991,236,307,286,485
0.845,311,1672,2705,4084,263,320,266,484
0.855,292,1540,2705,4153,269,351,267,468
0.865,264,1441,2677,4127,266,344,262,445
0.875,292,1377,2667,4009,255,307,272,428
0.885,340,1350,2611,3868,256,257,264,411
0.895,368,1359,2648,3861,241,291,276,380
0.905,397,1391,2601,3836,190,292,311,340
0.915,406,1434,2582,3780,159,288,359,359
0.925,416,1476,2563,3779,160,298,348,388
0.935,454,1509,2553,3640,205,297,352,399
0.945,463,1534,2544,3649,240,302,348,430
0.955,482,1554,2550,3669,272,267,333,452
0.965,482,1573,2563,3626,295,320,343,439
0.975,511,1593,2561,3623,297,300,346,446
0.985,530,1619,2582,3775,260,316,332,453
0.995,530,1653,2582,3831,292,302,354,446
1.005,530,1727,2591,3897,259,308,361,454
1.015,530,1708,2572,3887,248,305,376,478
1.025,530,1727,2591,3985,226,311,375,455
1.035,530,1736,2591,4024,251,300,338,438
1.045,587,1736,2591,4112,231,301,343,443
1.055,606,1727,2591,4129,227,332,378,458
1.065,634,1584,2591,4002,205,341,363,447
1.075,615,1432,2641,3796,135,421,388,417
1.085,615,1252,2591,3701,79,433,375,389
1.095,625,1261,2582,3705,135,393,347,372
1.105,625,1195,2582,3713,181,301,348,364
1.115,625,1195,2582,3749,222,286,345,365
1.125,634,1233,2601,3797,211,278,345,359
1.135,625,1328,2620,3838,207,288,349,348
1.145,634,1356,2620,3880,215,287,353,357
1.155,615,1394,2620,3898,231,295,378,392
1.165,634,1480,2629,3958,229,295,375,413
1.175,625,1565,2639,4034,232,280,370,419
1.185,606,1603,2677,4090,239,286,360,425
1.195,568,1613,2686,4175,237,269,357,413
1.205,568,1584,2715,4359,234,277,361,400
1.215,549,1499,2781,4390,235,311,337,370
1.225,463,1440,2876,4376,239,347,326,335
1.235,416,1366,2933,4303,229,341,339,343
1.245,387,1190,2952,4232,213,348,332,373
1.255,378,1147,2971,4261,201,330,327,389
1.265,378,1037,3094,4267,191,306,350,378
1.275,349,1033,3113,4263,221,292,350,381
1.285,378,957,3142,4261,197,310,345,382
1.295,359,976,3180,4291,197,298,343,391
1.305,359,881,3208,4305,201,340,334,410
1.315,368,834,3208,4246,184,324,327,402
1.325,359,862,3227,4245,192,322,326,383
1.335,359,881,3218,4250,200,313,326,380
1.345,387,910,3199,4256,216,285,333,378
1.355,425,948,3189,4258,218,294,337,385
1.365,463,986,3161,4270,222,289,352,389
1.375,473,1014,3132,4282,209,282,330,377
1.385,501,1090,3123,4305,213,274,320,364
1.395,511,1128,3094,4273,240,276,309,349
1.405,520,1166,3066,4241,258,280,305,353
1.415,539,1242,3009,4334,236,333,281,417
1.425,549,1290,2961,4272,251,335,260,392
1.435,330,1366,2905,4244,267,327,248,383
1.445,311,1375,2838,4276,287,352,267,379
1.455,330,1385,2791,4160,251,327,325,335
1.465,340,1404,2753,4202,243,309,350,326
1.475,625,1413,2734,4213,227,309,355,324
1.485,644,1404,2734,4226,222,293,355,339
1.495,691,1404,2715,4237,224,286,341,342
1.505,701,1442,2715,4269,217,283,340,338
1.515,701,1432,2724,4293,238,273,356,356
1.525,729,1413,2743,4182,241,293,364,349
1.535,729,1347,2762,4241,232,294,369,340
1.545,739,1318,2781,4249,235,280,351,308
1.555,739,1299,2800,4288,228,291,342,307
1.565,739,1280,2819,4269,230,312,342,304
1.575,729,1261,2848,4251,236,289,342,308
1.585,748,1223,2886,4208,234,307,352,313
1.595,748,1195,2905,4248,224,298,338,328
1.605,739,1176,2905,4272,224,314,344,315
1.615,729,1166,2971,4267,221,288,323,305
1.625,691,1157,2971,4262,208,314,329,295
1.635,663,1138,2971,4335,195,296,331,315
1.645,634,1119,2952,4424,216,317,328,356
1.655,615,1128,2961,4482,206,294,333,376
1.665,615,1157,2895,4486,230,328,350,428
1.675,533,1176,2867,4533,201,376,383,501
1.685,530,1223,2838,4607,299,325,360,505
1.695,454,1252,2819,4554,314,325,315,459
1.705,435,1242,2810,4515,316,327,338,475
1.715,454,1309,2800,4459,295,350,344,458
1.725,435,1328,2753,4425,333,352,369,479
1.735,416,1356,2772,4381,289,347,346,478
1.745,406,1366,2743,4356,301,337,331,484
1.755,387,1385,2715,4248,252,324,350,450
1.765,397,1413,2705,4233,301,293,366,431
1.775,387,1423,2705,4229,270,305,339,451
1.785,378,1450,2741,4136,217,246,350,458
1.795,368,1432,2696,4008,170,270,342,413
1.805,387,1432,2707,4029,173,256,333,402
1.815,378,1451,2721,4055,173,277,342,403
1.825,368,1442,2696,3991,172,256,313,395
1.835,368,1432,2696,4001,165,257,302,402
1.845,378,1451,2705,4010,163,280,310,405
1.855,378,1432,2700,4005,180,319,326,426
1.865,387,1461,2753,4076,200,287,341,457
1.875,387,1432,2762,4072,237,356,358,454
1.885,368,1432,2753,4141,321,342,397,474
1.895,368,1404,2762,4202,310,319,335,467
1.905,349,1446,2753,4172,272,335,310,449
1.915,397,1413,2753,4164,254,327,312,446
1.925,425,1404,2762,4136,240,317,342,439
1.935,435,1413,2753,4057,226,309,338,445
1.945,435,1412,2753,4024,265,341,322,447
1.955,463,1384,2753,3999,275,342,333,453
1.965,444,1442,2753,3992,312,306,364,471
1.975,454,1477,2772,3845,299,312,357,464
1.985,463,1518,2781,3701,283,329,331,461
1.995,435,1546,2791,3715,240,364,294,453
2.005,444,1527,2800,3704,269,310,309,434
2.015,425,1518,2838,3701,295,309,315,440
2.025,425,1442,2867,3823,284,313,303,461
2.035,406,1375,2857,3855,222,315,334,465
2.045,387,1356,2905,3968,189,328,332,472
