sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,682,1340,2561,3704,230,292,391,451
0.015,787,1364,2569,3763,238,329,396,461
0.025,804,1427,2591,3797,232,304,390,460
0.035,847,1418,2518,3842,253,299,376,465
0.045,812,1508,2555,3868,268,318,368,469
0.055,803,1530,2537,3774,228,347,370,481
0.065,752,1546,2506,3723,231,326,373,453
0.075,799,1471,2558,3769,287,291,352,460
0.085,762,1445,2528,3678,258,332,370,467
0.095,677,1472,2528,3649,244,319,371,459
0.105,667,1444,2534,3725,259,273,342,470
0.115,560,1387,2522,3715,273,320,365,462
0.125,418,1333,2597,3785,263,292,378,486
0.135,364,1343,2584,3906,175,350,349,469
0.145,317,1343,2490,3973,197,294,331,475
0.155,330,1343,2534,3930,214,303,308,448
0.165,317,1356,2508,3943,240,311,318,444
0.175,317,1331,2458,4000,251,320,335,450
0.185,317,1267,2382,4073,260,311,323,452
0.195,229,1242,2293,4061,252,300,298,450
0.205,216,1204,2293,4037,214,305,303,444
0.215,231,1191,2256,4054,210,310,319,453
0.225,216,1217,2306,4029,213,313,318,462
0.235,178,1179,2300,4021,207,306,350,471
0.245,191,1191,2378,3991,202,314,357,482
0.255,216,1179,2367,4052,201,309,347,475
0.265,241,1217,2369,4103,203,309,327,460
0.275,279,1242,2369,4149,219,313,306,449
0.285,419,1280,2354,4143,200,326,337,445
0.295,520,1343,2379,4144,184,311,323,450
0.305,571,1381,2369,4097,181,303,342,444
0.315,621,1444,2369,4066,174,324,350,432
0.325,658,1482,2394,4022,170,297,354,433
0.335,659,1457,2407,4016,184,322,350,431
0.345,672,1457,2394,4040,183,288,346,431
0.355,705,1470,2449,4072,179,302,359,432
0.365,672,1470,2436,4105,194,293,351,432
0.375,685,1571,2413,4168,198,311,349,422
0.385,672,1556,2373,4144,206,318,327,391
0.395,659,1659,2314,4104,222,308,303,358
0.405,684,1783,2219,4076,276,299,299,373
0.415,621,1857,2089,4049,271,315,279,398
0.425,596,1856,2026,4049,286,336,307,470
0.435,583,1807,2065,4121,232,345,294,473
0.445,583,1739,2152,4134,238,319,301,461
0.455,583,1680,2230,4009,248,321,361,428
0.465,558,1644,2287,3865,217,320,369,430
0.475,545,1601,2345,3944,222,315,330,424
0.485,545,1543,2398,3945,256,309,329,456
0.495,533,1516,2444,3843,290,307,309,444
0.505,520,1555,2490,3817,303,331,314,414
0.515,533,1654,2539,3875,279,338,361,413
0.525,507,1792,2578,4017,269,355,323,434
0.535,495,1897,2592,4136,294,340,330,445
