sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,693,1104,2475,3606,243,312,357,440
0.015,693,1093,2438,3728,294,323,295,439
0.025,693,1093,2424,3723,301,315,316,431
0.035,693,1104,2385,3754,291,324,317,460
0.045,693,1093,2399,3806,248,348,307,469
0.055,682,1104,2388,3821,293,309,299,458
0.065,671,1104,2364,3820,288,295,326,484
0.075,682,1104,2434,3821,268,349,297,476
0.085,714,1093,2459,3847,278,307,307,476
0.095,725,1104,2506,3778,247,328,305,460
0.105,747,1104,2612,3711,248,320,308,446
0.115,747,1104,2595,3699,270,312,366,429
0.125,817,1104,2547,3740,263,346,372,436
0.135,758,1115,2543,3837,207,349,413,465
0.145,680,1104,2580,3888,152,321,409,508
0.155,728,1090,2541,4008,169,296,378,487
0.165,759,1126,2430,4004,215,283,339,489
0.175,847,1148,2412,4015,276,260,326,486
0.185,887,1158,2388,4035,234,319,317,445
0.195,862,1148,2365,4019,226,301,296,429
0.205,733,1148,2355,3951,216,297,293,449
0.215,782,1097,2271,3894,222,280,284,447
0.225,831,1102,2167,3857,201,304,288,435
0.235,784,1148,2096,3894,198,281,284,408
0.245,814,1232,2109,3886,235,284,286,397
0.255,768,1335,2236,3925,211,291,301,397
0.265,781,1436,2382,4011,223,310,281,401
0.275,739,1517,2465,4089,215,288,287,400
0.285,712,1574,2499,4088,198,286,309,384
0.295,655,1609,2511,4150,177,278,315,404
0.305,635,1630,2526,4194,158,281,336,450
0.315,583,1648,2550,4207,170,276,335,456
0.325,479,1669,2575,4148,220,298,274,447
0.335,405,1682,2594,4114,213,310,307,465
0.345,416,1675,2597,4174,203,298,309,469
0.355,460,1650,2576,4273,221,299,284,436
0.365,644,1617,2653,4276,189,289,269,442
0.375,731,1584,2625,4219,200,276,288,469
0.385,796,1554,2614,4130,193,310,275,451
0.395,806,1528,2620,4081,198,297,277,409
0.405,827,1506,2606,4054,202,319,278,398
0.415,843,1490,2601,4027,191,300,295,399
