sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,557,1911,2439,3499,272,295,369,436
0.015,579,1911,2521,3489,290,290,339,425
0.025,609,1911,2461,3550,291,315,320,411
0.035,611,1900,2408,3570,277,325,305,420
0.045,611,1922,2433,3536,273,304,336,433
0.055,633,1911,2494,3547,245,304,343,407
0.065,644,1922,2503,3621,249,331,321,412
0.075,652,1927,2620,3686,249,329,345,435
0.085,655,1922,2637,3776,265,321,375,451
0.095,655,1933,2561,3913,251,315,349,448
0.105,655,1922,2507,3975,226,348,356,475
0.115,655,1922,2430,3953,226,351,347,476
0.125,652,1900,2495,3988,203,335,337,485
0.135,655,1911,2443,4055,245,336,338,441
0.145,655,1911,2535,4237,235,336,351,465
0.155,655,1922,2510,4361,261,350,361,464
0.165,617,1922,2555,4383,264,320,344,465
0.175,644,1911,2471,4371,261,358,366,485
0.185,694,1922,2528,4307,269,338,323,503
0.195,648,1922,2492,4366,259,353,322,479
0.205,658,1933,2509,4433,237,397,311,449
0.215,637,1944,2536,4477,247,377,307,424
0.225,616,1960,2522,4458,264,357,323,456
0.235,564,1965,2576,4498,284,336,356,476
0.245,563,1965,2496,4507,276,351,379,458
0.255,515,1981,2489,4490,241,345,330,462
0.265,502,1987,2500,4562,243,319,308,458
0.275,544,1976,2458,4643,219,320,332,462
0.285,600,1981,2460,4585,239,364,338,445
0.295,611,1976,2480,4543,245,364,366,448
0.305,647,1976,2461,4502,235,340,350,455
0.315,575,1999,2552,4382,208,371,367,459
0.325,631,2008,2594,4393,179,342,404,437
0.335,662,1983,2588,4400,197,340,378,463
0.345,713,1936,2565,4471,191,340,369,466
0.355,719,1878,2557,4377,184,342,365,430
0.365,699,1817,2534,4315,146,321,377,408
0.375,679,1765,2490,4301,145,300,345,424
0.385,644,1725,2436,4078,143,281,334,456
0.395,633,1698,2371,3956,153,296,335,424
0.405,590,1680,2317,3939,181,297,348,434
0.415,568,1661,2331,3959,219,338,342,477
0.425,565,1632,2220,3979,210,357,319,468
0.435,546,1593,2187,3976,226,305,328,469
0.445,546,1549,2057,3915,254,294,321,477
0.455,538,1504,2030,3924,284,339,278,466
0.465,556,1466,2003,3952,311,311,292,484
0.475,569,1435,1987,3929,318,305,301,468
0.485,557,1408,1960,4004,286,270,318,426
0.495,557,1381,1960,4087,245,283,366,425
0.505,590,1352,1938,4196,208,276,374,415
0.515,576,1315,1916,4210,205,261,407,393
0.525,606,1270,1830,4164,206,262,404,382
0.535,638,1218,1765,4121,211,271,394,366
0.545,633,1164,1764,4069,216,290,370,364
0.555,601,1112,1711,4025,221,299,334,369
0.565,579,1066,1650,3978,195,318,311,381
0.575,571,1029,1667,3913,203,286,312,386
0.585,546,1002,1673,3863,202,298,314,403
0.595,536,984,1678,3855,194,292,303,395
0.605,503,972,1841,3806,191,311,314,386
0.615,500,964,1949,3813,193,305,324,371
0.625,481,960,2046,3781,180,291,361,384
0.635,492,957,2133,3781,180,298,348,381
