sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,573,1522,2539,3674,250,286,333,424
0.015,622,1509,2461,3569,317,313,358,414
0.025,636,1556,2459,3609,290,285,340,438
0.035,633,1650,2396,3593,264,331,333,448
0.045,622,1603,2473,3605,298,318,326,439
0.055,622,1583,2470,3637,295,329,309,452
0.065,601,1639,2523,3671,242,346,338,455
0.075,601,1641,2533,3755,279,323,313,449
0.085,590,1617,2483,3706,307,330,310,446
0.095,590,1662,2519,3638,262,352,311,442
0.105,579,1635,2621,3612,249,330,338,443
0.115,590,1646,2599,3654,268,323,365,461
0.125,590,1646,2599,3758,252,309,375,456
0.135,590,1635,2599,3881,262,331,325,474
0.145,601,1646,2599,3974,268,318,331,458
0.155,590,1646,2599,3977,273,341,333,451
0.165,590,1646,2620,3981,272,345,376,465
0.175,590,1646,2620,4091,265,315,382,456
0.185,590,1635,2610,4103,235,302,362,450
0.195,590,1646,2610,4120,277,326,387,457
0.205,590,1635,2610,4177,283,348,341,427
0.215,579,1635,2620,4121,289,343,358,437
0.225,590,1635,2610,4113,283,353,338,454
0.235,579,1635,2620,4194,250,336,358,440
0.245,579,1624,2610,4224,194,329,335,429
0.255,579,1624,2610,4145,247,329,331,441
0.265,579,1624,2610,4069,206,295,310,444
0.275,568,1624,2631,4069,219,306,318,482
0.285,590,1613,2620,4111,208,300,307,481
0.295,590,1592,2620,4185,245,317,310,492
0.305,592,1581,2642,4259,278,340,246,458
0.315,590,1570,2664,4319,306,326,247,477
0.325,590,1559,2696,4451,230,298,345,502
0.335,590,1520,2696,4475,248,272,339,446
0.345,590,1518,2696,4459,225,265,331,455
0.355,590,1496,2696,4458,220,270,326,466
0.365,590,1398,2696,4450,215,290,305,498
0.375,590,1350,2707,4422,214,298,303,473
0.385,590,1269,2718,4388,214,316,314,479
0.395,601,1191,2723,4419,202,316,320,486
0.405,601,1104,2718,4425,192,309,325,468
0.415,611,1034,2772,4297,186,299,346,482
0.425,601,1003,2772,4177,181,295,402,489
0.435,568,985,2837,4043,188,309,402,475
0.445,557,953,2864,3973,187,276,395,495
0.455,560,920,2891,3915,208,257,395,476
0.465,557,920,2918,3896,224,250,401,479
0.475,546,953,2935,3915,226,245,369,489
0.485,536,974,2940,3882,220,247,330,481
0.495,525,1223,2945,3858,244,276,303,501
0.505,525,1418,2935,3847,227,293,288,520
0.515,506,1754,2956,3840,233,301,291,526
0.525,503,1895,2989,3840,224,316,285,506
0.535,498,2176,3010,3822,220,354,255,499
0.545,485,2339,3021,3829,217,404,235,491
0.555,461,2447,3021,3838,217,430,217,488
0.565,481,2588,3043,3951,232,457,203,483
0.575,460,2653,3032,3972,292,463,211,454
0.585,460,2675,3032,4076,284,478,224,470
0.595,462,2664,3021,4033,253,470,286,474
0.605,449,2610,3021,4039,237,448,306,489
0.615,449,2469,3010,3973,240,440,313,510
0.625,403,2404,2989,3899,258,393,349,435
0.635,381,2231,2978,3965,306,375,317,417
0.645,417,2198,2954,4006,303,348,312,422
0.655,439,2187,2877,3988,319,386,305,416
0.665,459,2198,2904,4032,312,327,326,414
0.675,449,2198,2891,4082,312,329,328,421
0.685,449,2263,2886,4149,314,329,336,414
0.695,449,2306,2880,4150,312,331,316,416
0.705,438,2344,2859,4183,305,301,311,423
0.715,459,2328,2848,4243,230,317,314,427
0.725,438,2306,2822,4193,206,293,316,462
0.735,427,2306,2859,4067,199,316,323,458
0.745,427,2252,2902,3993,218,283,335,448
0.755,427,2198,2945,3931,207,320,368,466
0.765,427,2133,2989,3950,193,310,373,487
0.775,416,2046,3021,3918,202,312,399,544
0.785,425,1960,3032,3965,208,305,392,544
0.795,427,1919,3037,4014,192,321,346,552
0.805,427,1915,3043,4062,175,307,335,521
0.815,416,1913,3054,4153,217,341,336,478
0.825,416,1927,3043,4257,250,351,326,476
0.835,427,1949,3000,4279,305,364,356,489
0.845,427,1960,3010,4343,300,342,346,471
0.855,427,1971,3010,4308,331,355,334,485
0.865,427,1971,3043,4278,325,321,339,458
0.875,427,1971,3075,4257,279,329,338,481
0.885,438,2101,3097,4336,187,361,280,499
0.895,438,2296,3129,4421,228,399,248,502
0.905,438,2447,3162,4457,224,428,251,519
0.915,413,2501,3184,4351,220,396,275,476
0.925,420,2534,3184,4275,224,385,264,509
0.935,423,2534,3178,4200,242,373,271,530
0.945,421,2534,3173,4112,243,362,279,534
0.955,430,2458,3173,4007,230,350,306,550
0.965,441,2425,3184,3915,233,327,351,518
0.975,455,2382,3194,3770,195,324,353,549
0.985,464,2274,3194,3667,209,321,381,525
0.995,460,2258,3184,3546,219,329,425,502
1.005,437,2241,3173,3470,207,327,407,475
1.015,423,2198,3173,3530,223,310,383,468
1.025,410,2176,3151,3546,226,313,395,478
1.035,402,2133,3140,3521,249,310,421,480
1.045,397,2101,3129,3531,218,291,425,480
1.055,380,2090,3119,3609,253,349,422,472
1.065,390,2079,3097,3599,278,333,395,470
1.075,374,2046,3075,3654,253,326,348,463
1.085,373,2025,3075,3756,285,331,332,446
1.095,373,1981,3032,3719,307,353,312,442
1.105,373,1981,2967,3652,288,333,320,476
1.115,373,1916,2902,3590,281,350,299,464
1.125,373,1895,2837,3517,298,309,306,450
1.135,362,1862,2740,3550,295,333,346,412
1.145,373,1851,2729,3579,285,315,359,445
1.155,365,1819,2718,3517,236,343,330,455
1.165,373,1819,2712,3498,241,346,322,437
1.175,373,1797,2729,3393,213,339,316,433
1.185,384,1808,2740,3366,220,350,325,431
1.195,384,1796,2783,3351,195,306,328,451
1.205,384,1789,2805,3365,183,298,324,482
1.215,395,1817,2826,3331,179,297,332,499
1.225,395,1825,2837,3332,178,305,335,503
1.235,416,1831,2837,3412,181,294,346,469
1.245,427,1823,2826,3459,194,312,345,480
1.255,438,1831,2805,3575,203,294,361,486
1.265,449,1762,2729,3600,233,331,366,497
1.275,492,1789,2685,3609,269,343,359,455
1.285,492,1812,2653,3609,260,338,387,471
1.295,503,1828,2653,3674,244,338,410,464
1.305,514,1870,2620,3732,228,306,429,482
1.315,536,1847,2586,3786,233,328,340,473
1.325,568,1893,2580,3837,206,321,352,506
1.335,590,1912,2609,3868,241,303,385,503
1.345,601,1893,2621,3901,229,316,371,474
1.355,601,1889,2596,3856,252,288,419,477
1.365,603,1867,2613,3860,253,303,394,474
1.375,601,1871,2614,3851,221,323,352,467
1.385,601,1941,2639,3816,202,317,390,467
1.395,633,1853,2730,3850,199,323,394,447
1.405,676,1852,2718,3926,211,335,361,452
1.415,687,1918,2718,4042,217,320,357,449
1.425,676,1917,2781,4164,255,304,400,479
1.435,687,1801,2808,4152,265,292,382,460
1.445,691,1612,2711,4152,195,341,303,449
1.455,692,1567,2687,4168,186,290,315,436
1.465,695,1550,2694,4063,177,287,307,435
1.475,732,1563,2683,3986,199,283,313,445
1.485,729,1559,2693,3899,216,273,314,454
1.495,686,1559,2710,3831,213,275,302,445
1.505,681,1559,2731,3764,203,271,287,423
1.515,680,1537,2729,3734,208,294,287,430
1.525,666,1386,2718,3747,223,300,322,445
1.535,611,1299,2685,3770,246,312,348,452
1.545,536,1104,2610,3793,210,317,345,451
1.555,471,1039,2509,3794,214,329,341,439
1.565,366,909,2483,3773,241,341,379,469
1.575,352,833,2543,3793,203,351,364,461
1.585,339,806,2552,3851,218,374,354,457
1.595,328,801,2548,3904,219,373,371,471
1.605,338,790,2531,3923,217,379,391,458
1.615,334,779,2498,3887,215,372,393,468
1.625,360,779,2542,3928,219,401,382,466
1.635,372,768,2481,3924,206,403,402,453
1.645,362,779,2422,3976,226,314,367,458
1.655,384,768,2458,3995,177,339,342,467
1.665,384,779,2494,3955,100,378,334,465
1.675,384,768,2647,3925,75,387,338,444
1.685,427,779,2729,3999,152,322,323,426
1.695,481,855,2700,4012,192,281,284,399
1.705,536,942,2645,3946,217,265,277,401
1.715,579,1039,2653,3878,221,278,284,417
1.725,611,1148,2653,3874,188,300,288,412
1.735,655,1375,2664,3908,183,316,299,412
1.745,644,1581,2664,3980,179,337,290,405
1.755,633,1797,2690,4061,216,343,269,420
1.765,633,1971,2707,4144,222,350,243,424
1.775,657,2057,2718,4252,224,351,245,450
1.785,601,2122,2740,4377,208,365,242,441
1.795,536,2187,2748,4513,192,333,247,446
1.805,568,2220,2782,4544,199,291,284,411
1.815,568,2231,2768,4543,204,290,279,395
1.825,568,2231,2756,4539,206,308,278,386
1.835,568,2198,2770,4548,189,290,309,379
1.845,568,2222,2769,4531,188,292,292,368
1.855,590,2138,2774,4498,188,313,284,365
1.865,601,2101,2794,4434,199,302,289,372
1.875,601,2014,2804,4472,191,312,297,373
1.885,609,1981,2783,4468,199,317,288,413
1.895,622,1971,2806,4460,204,307,304,415
1.905,622,1967,2843,4404,265,314,327,449
1.915,590,1959,2885,4356,300,312,373,470
1.925,571,1920,2860,4405,257,312,347,473
1.935,546,1859,2857,4423,230,300,351,501
1.945,517,1840,2798,4422,242,301,352,476
1.955,514,1863,2823,4420,201,322,320,482
1.965,471,1905,2788,4348,259,309,278,463
1.975,416,2011,2748,4281,252,318,264,478
1.985,416,2108,2792,4229,270,316,266,478
1.995,362,2296,2847,4151,272,345,307,497
2.005,330,2350,2873,4088,307,329,308,467
2.015,338,2404,2909,3983,295,308,350,462
2.025,330,2480,2945,3919,306,345,237,442
2.035,330,2501,3018,3833,324,339,248,460
2.045,341,2512,3044,3858,267,370,235,460
2.055,330,2512,3082,3863,252,394,284,446
2.065,330,2512,3101,3919,249,398,278,458
2.075,330,2507,3107,4024,262,369,270,463
2.085,341,2512,2989,4104,226,351,269,465
2.095,362,2490,2902,4167,221,344,293,455
2.105,395,2425,2863,4289,211,335,274,464
2.115,438,2350,2775,4382,198,344,283,431
2.125,449,2241,2772,4317,195,323,300,427
2.135,503,2133,2770,4173,221,299,329,425
2.145,514,1971,2776,4149,223,315,323,425
2.155,514,1873,2794,4146,225,316,329,476
2.165,503,1754,2826,3998,214,306,305,446
2.175,471,1667,2826,3863,213,299,281,448
2.185,471,1602,2837,3817,201,316,257,484
2.195,479,1548,2859,3813,192,284,270,488
2.205,471,1537,2870,3806,191,309,304,483
2.215,492,1592,2903,3791,190,315,294,475
2.225,568,1700,2879,3756,197,329,301,478
2.235,622,1787,2891,3812,176,346,302,485
2.245,655,1830,2871,3892,168,332,296,474
2.255,676,1971,2856,3953,206,325,287,454
2.265,666,2068,2859,4054,205,330,292,438
2.275,654,2122,2831,4161,200,323,257,439
2.285,609,2166,2819,4251,184,311,269,431
2.295,577,2171,2801,4301,177,310,285,431
2.305,547,2166,2775,4322,178,294,287,445
2.315,504,2176,2729,4297,200,310,279,451
2.325,431,2144,2702,4255,226,315,325,457
2.335,411,2025,2631,4179,255,285,370,436
2.345,516,1982,2566,4170,246,306,372,434
2.355,584,1909,2373,4127,190,306,340,429
2.365,586,1822,2268,4113,174,299,327,437
2.375,573,1737,2182,4013,154,261,315,455
2.385,546,1666,2101,3877,149,257,330,458
2.395,546,1619,2023,3828,168,274,340,460
2.405,525,1601,1964,3803,183,298,346,479
2.415,525,1604,1926,3794,192,307,324,471
2.425,495,1616,1903,3774,186,290,310,486
2.435,461,1623,1891,3895,202,305,320,508
2.445,515,1605,1886,4058,215,302,348,478
2.455,429,1567,1882,3981,189,331,375,477
2.465,433,1543,1895,4054,220,287,351,459
2.475,399,1572,1906,4174,235,327,338,468
2.485,427,1566,1906,4142,238,279,328,455
2.495,427,1569,1911,4118,251,306,326,457
2.505,427,1551,1916,4154,281,310,315,456
2.515,427,1584,1906,4137,268,313,337,445
2.525,427,1614,1916,4192,296,304,354,457
2.535,416,1534,1916,4202,323,365,320,460
