sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,505,1539,2675,3760,253,292,362,444
0.015,522,1578,2675,3792,285,298,365,439
0.025,492,1595,2685,3834,300,299,380,442
0.035,492,1621,2675,3870,283,325,366,466
0.045,492,1529,2685,3899,279,341,332,493
0.055,481,1503,2685,3879,297,291,346,485
0.065,492,1539,2680,3941,251,299,387,505
0.075,492,1509,2685,3970,271,270,365,487
0.085,481,1593,2685,3955,270,288,366,461
0.095,492,1596,2685,3944,265,328,348,474
0.105,492,1586,2675,3938,278,261,354,455
0.115,481,1604,2685,3963,274,314,360,469
0.125,481,1538,2685,3951,229,308,326,447
0.135,460,1499,2675,4038,246,292,306,451
0.145,449,1494,2653,4090,208,314,329,429
0.155,460,1483,2653,4074,179,307,315,412
0.165,490,1527,2653,3974,163,299,284,403
0.175,525,1559,2664,3890,165,270,293,407
0.185,557,1667,2664,3937,180,299,299,405
0.195,592,1765,2642,3896,182,296,314,408
0.205,601,1824,2620,3848,174,319,315,407
0.215,622,1851,2577,3854,174,315,310,380
0.225,687,1916,2566,3828,165,296,313,383
0.235,690,1911,2555,3836,171,306,317,382
0.245,698,1881,2555,3854,167,278,323,385
0.255,712,1841,2555,3842,163,305,338,399
0.265,722,1787,2566,3849,184,316,343,402
0.275,709,1700,2599,3881,191,300,331,397
0.285,709,1635,2642,3930,197,320,311,399
0.295,709,1592,2675,3967,213,299,323,397
0.305,712,1505,2707,4042,221,301,327,401
0.315,709,1462,2761,4068,201,294,336,397
0.325,717,1353,2805,4052,203,289,313,383
0.335,709,1277,2826,4084,207,294,326,380
0.345,720,1256,2891,4178,207,287,319,375
0.355,722,1245,2945,4265,201,312,312,353
0.365,709,1223,2994,4309,200,305,327,334
0.375,712,1191,3021,4290,202,328,327,326
0.385,698,1169,3140,4335,211,318,310,324
0.395,698,1180,3189,4330,212,315,306,315
0.405,695,1202,3216,4299,213,313,309,314
0.415,676,1212,3259,4312,208,312,311,314
0.425,676,1223,3270,4236,204,310,323,331
0.435,644,1260,3259,4194,222,298,302,337
0.445,641,1267,3227,4165,224,305,301,383
0.455,633,1364,3194,4111,200,318,287,426
0.465,636,1429,3054,3980,206,282,311,408
0.475,611,1505,2935,3817,221,303,345,365
0.485,579,1527,2675,3958,223,336,343,417
