sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,731,2133,3021,3556,223,330,383,433
0.015,731,2133,3010,3599,252,347,325,431
0.025,720,2133,3010,3643,184,367,346,452
0.035,731,2133,2989,3629,169,339,360,470
0.045,720,2144,2978,3710,187,324,350,441
0.055,720,2144,2967,3821,178,327,343,446
0.065,709,2166,2978,3889,173,341,347,457
0.075,720,2187,2967,3873,199,318,371,466
0.085,720,2187,2978,3976,227,318,371,462
0.095,720,2187,2978,4016,216,328,390,451
0.105,720,2198,2978,4131,211,323,378,482
0.115,725,2187,2967,4199,224,323,366,462
0.125,731,2176,2978,4283,253,325,325,461
0.135,720,2187,2978,4235,257,321,312,471
0.145,709,2198,2983,4137,286,343,304,478
0.155,720,2209,3000,4076,284,374,302,435
0.165,709,2198,3021,4109,300,325,340,426
0.175,709,2198,3021,4148,275,354,272,444
0.185,720,2198,3021,4147,231,365,313,453
0.195,720,2209,3021,4135,227,364,316,457
0.205,725,2209,3032,4120,208,369,304,461
0.215,720,2198,3043,4113,232,346,335,477
0.225,720,2209,3046,4008,259,360,338,466
0.235,725,2220,3098,3995,226,394,327,460
0.245,720,2225,3031,4007,198,393,314,456
0.255,725,2220,2980,4027,211,395,286,437
0.265,720,2220,3037,4098,190,397,257,411
0.275,720,2220,3032,4057,221,377,269,408
0.285,714,2220,2918,4025,212,395,279,412
0.295,709,2239,2906,3976,188,384,299,422
0.305,691,2216,2991,4065,178,356,318,461
0.315,740,2208,2961,4102,191,332,322,464
0.325,711,2240,2943,4091,197,329,313,427
0.335,726,2287,2974,4124,189,324,312,416
0.345,721,2315,2995,4161,190,325,321,414
0.355,700,2339,2988,4234,205,334,328,408
0.365,691,2360,2966,4305,206,331,324,408
0.375,699,2341,2962,4374,199,322,329,414
0.385,701,2306,2989,4470,190,310,329,414
0.395,649,2263,2982,4534,166,311,333,425
0.405,604,2155,3024,4584,154,280,341,419
0.415,598,2014,3090,4574,176,258,321,399
0.425,594,1787,3085,4492,207,283,327,398
0.435,545,1689,3086,4506,208,304,330,413
0.445,472,1592,3075,4441,211,295,359,435
0.455,384,1564,3066,4415,227,325,354,473
0.465,407,1556,3075,4365,240,342,396,474
0.475,406,1517,3054,4325,290,373,405,442
0.485,406,1497,3054,4380,291,352,397,443
0.495,406,1500,3054,4340,293,321,364,458
0.505,406,1532,3032,4305,313,338,360,464
0.515,406,1555,3021,4267,328,317,357,460
0.525,427,1610,3010,4252,322,329,361,447
0.535,427,1604,3021,4252,266,329,349,413
0.545,438,1681,3010,4243,275,316,347,402
0.555,460,1689,3000,4301,236,318,380,415
0.565,514,1754,3010,4369,234,309,397,409
0.575,525,1884,3010,4349,218,311,344,414
0.585,573,2014,3010,4257,237,345,312,408
0.595,563,2241,2980,4197,213,382,267,416
0.605,568,2371,3010,4239,186,414,205,404
0.615,544,2468,3037,4368,189,403,198,412
0.625,570,2599,3036,4464,210,371,245,439
0.635,616,2642,3043,4558,254,354,268,424
0.645,615,2545,3034,4536,270,341,300,413
0.655,608,2371,2989,4576,259,347,318,371
0.665,598,2241,2978,4697,258,347,338,374
0.675,600,2068,2935,4785,288,373,332,356
0.685,578,1906,2902,4717,288,431,316,344
0.695,503,1667,2891,4577,222,424,292,368
0.705,395,1613,2848,4533,208,374,319,387
0.715,373,1602,2837,4401,243,347,335,437
0.725,354,1678,2832,4347,235,362,297,449
0.735,341,1981,2837,4340,223,320,320,439
0.745,341,2014,2837,4342,219,297,357,428
0.755,351,1938,2859,4316,205,318,341,428
0.765,438,1862,2832,4218,194,323,343,450
0.775,473,1787,2939,4144,194,308,374,448
0.785,514,1678,3047,4060,194,308,358,460
0.795,536,1581,3129,3840,230,309,370,457
0.805,536,1310,3249,3807,231,333,349,456
0.815,471,1137,3276,3785,206,335,335,439
0.825,430,985,3303,3751,202,329,301,444
0.835,384,931,3319,3799,211,335,300,420
0.845,387,931,3324,3868,200,320,326,372
0.855,395,958,3368,3924,192,296,382,319
0.865,460,995,3368,3976,191,321,366,359
0.875,536,1028,3373,3995,198,302,324,410
0.885,633,1104,3379,3941,200,294,313,440
0.895,676,1148,3368,3888,217,278,306,468
0.905,698,1180,3357,3806,223,303,280,478
0.915,644,1267,3292,3711,206,291,294,454
0.925,660,1375,3184,3718,223,306,285,406
0.935,608,1451,3075,3806,190,272,270,386
0.945,588,1516,2945,3871,173,266,275,386
0.955,533,1581,2880,3948,165,280,294,390
0.965,467,1624,2805,4063,172,284,290,379
0.975,461,1700,2767,4241,201,292,280,354
0.985,436,1722,2718,4203,211,296,298,380
0.995,427,1833,2729,4263,264,279,354,410
1.005,384,1872,2718,4206,253,322,344,413
1.015,384,1838,2740,4171,274,345,344,430
1.025,373,1876,2761,4307,347,354,293,437
1.035,373,1878,2761,4345,285,354,300,427
1.045,373,1949,2806,4382,207,367,319,451
1.055,365,2091,2793,4363,220,375,307,460
1.065,373,2207,2760,4290,221,372,306,475
1.075,365,2208,2773,4268,211,352,327,476
1.085,373,2210,2713,4264,215,355,315,486
1.095,427,2155,2660,4218,174,347,311,468
1.105,525,2111,2674,4106,162,313,323,447
1.115,601,2036,2702,3993,163,309,305,421
1.125,633,2014,2723,3935,176,308,283,407
1.135,635,2079,2763,3967,194,311,281,399
1.145,606,2155,2794,3991,202,320,278,398
1.155,577,2220,2795,4025,201,329,285,403
1.165,564,2285,2838,4110,192,332,297,406
1.175,552,2328,2867,4177,195,332,292,403
1.185,536,2371,2875,4243,199,303,314,409
1.195,539,2404,2951,4271,213,294,330,433
1.205,509,2393,2966,4236,196,323,312,476
1.215,468,2133,3071,4166,239,328,301,459
1.225,384,1581,3129,4141,272,303,339,457
1.235,319,1480,3162,3975,248,367,352,456
1.245,297,1344,3216,3759,243,390,338,415
1.255,297,1083,3292,3770,224,383,338,348
1.265,308,996,3341,3871,227,342,326,323
1.275,341,1018,3389,3886,245,283,340,334
1.285,449,1115,3389,3971,216,297,329,382
1.295,514,1212,3357,3990,218,312,331,424
1.305,709,1440,3270,4014,215,299,324,448
1.315,752,1494,3205,4040,220,278,315,473
1.325,758,1537,3119,4081,205,279,309,471
1.335,777,1570,3086,4084,213,283,302,464
1.345,770,1624,3083,4103,204,272,300,463
1.355,745,1678,3060,4079,214,264,301,429
1.365,725,1722,3052,4092,211,265,302,424
1.375,676,1768,3075,4198,206,283,341,427
1.385,687,1754,3086,4341,214,252,361,417
1.395,676,1754,3108,4498,231,331,384,437
1.405,676,1657,3108,4674,225,363,340,430
1.415,678,1502,3108,4761,226,380,337,401
1.425,632,1423,3108,4740,222,377,321,374
1.435,586,1315,3010,4684,237,347,305,346
1.445,535,1219,2967,4563,276,309,291,374
1.455,519,1145,2880,4567,291,303,298,373
1.465,531,1069,2805,4521,292,289,274,369
1.475,525,1078,2750,4516,272,266,306,379
1.485,546,975,2718,4522,200,318,287,430
1.495,568,914,2653,4395,179,298,287,473
1.505,590,909,2620,4220,206,309,302,431
1.515,622,892,2523,4114,189,296,285,402
1.525,633,929,2447,4035,177,304,285,412
1.535,633,973,2306,3941,181,284,290,428
1.545,633,1025,2176,3844,190,298,303,426
1.555,644,1049,2057,3813,186,303,292,415
1.565,644,1087,1981,3796,184,293,305,403
1.575,633,1171,1862,3765,182,301,306,388
1.585,601,1212,1808,3699,204,300,322,389
1.595,579,1234,1808,3647,216,295,304,396
1.605,568,1256,1819,3606,253,303,299,454
1.615,417,1277,1841,3663,275,273,362,461
1.625,372,1321,1841,3646,207,337,358,450
1.635,386,1448,1884,3604,219,338,355,443
1.645,368,1473,1916,3614,242,286,332,446
1.655,395,1524,1981,3618,255,263,328,414
1.665,395,1629,2144,3605,246,280,363,408
1.675,395,1712,2263,3597,251,279,376,398
1.685,395,1700,2566,3669,262,295,373,411
1.695,403,1722,2664,3638,255,284,378,447
1.705,395,1722,2761,3612,297,319,347,452
1.715,395,1722,2805,3673,303,302,333,469
1.725,384,1722,2848,3682,302,289,348,477
1.735,395,1687,2870,3742,295,289,391,491
1.745,416,1710,2880,3897,238,288,392,507
1.755,514,1700,2891,4065,226,313,395,520
1.765,590,1709,2902,4227,227,286,404,462
1.775,637,1676,2924,4326,209,276,374,437
1.785,632,1634,2929,4332,207,279,348,442
1.795,620,1587,2945,4390,220,298,342,454
1.805,578,1537,3000,4437,245,360,352,465
1.815,511,1559,2989,4515,227,324,330,487
1.825,461,1527,2956,4528,241,318,336,435
1.835,480,1516,2945,4509,221,316,328,409
1.845,477,1505,2935,4530,210,299,305,427
1.855,465,1516,2935,4489,223,309,297,412
1.865,444,1527,2935,4472,239,308,286,439
1.875,438,1527,2929,4364,237,298,296,428
1.885,438,1532,2935,4326,244,288,346,415
1.895,449,1559,2935,4307,220,284,339,426
1.905,460,1575,2951,4326,195,272,313,437
1.915,514,1602,2945,4338,167,255,287,437
1.925,525,1645,2956,4351,142,260,297,444
1.935,554,1618,2956,4369,140,282,276,443
1.945,603,1605,2978,4360,195,319,308,426
1.955,644,1571,2978,4357,270,349,370,452
1.965,644,1644,2989,4348,279,335,387,485
1.975,536,1691,2967,4377,301,313,407,496
1.985,449,1689,2945,4335,255,322,398,496
1.995,406,1711,2945,4319,240,325,379,485
2.005,406,1732,2945,4300,246,295,357,467
2.015,384,1743,2945,4197,250,305,371,496
2.025,395,1754,2945,4171,274,319,368,488
2.035,395,1754,2967,4228,259,311,372,466
2.045,395,1754,2967,4222,259,342,354,480
2.055,406,1776,2967,4298,243,318,389,466
2.065,406,1776,2967,4350,235,319,371,493
2.075,406,1787,2956,4355,274,303,340,463
2.085,406,1787,2967,4299,265,323,365,486
2.095,406,1787,2967,4266,275,327,333,486
2.105,403,1798,2967,4329,249,370,355,469
2.115,395,1703,2956,4441,307,336,380,452
2.125,406,1672,2978,4503,261,326,358,470
2.135,406,1646,2978,4540,263,341,358,505
2.145,414,1635,3000,4630,242,336,351,464
2.155,416,1602,3021,4419,255,312,386,465
2.165,460,1602,3086,4278,257,315,390,420
2.175,655,1602,3047,4206,226,323,360,431
2.185,698,1635,3071,4089,201,290,358,439
2.195,737,1657,3083,4014,196,267,327,435
2.205,773,1646,3080,3913,193,263,325,434
2.215,785,1667,3056,3820,195,264,339,433
2.225,776,1667,3008,3712,188,265,324,413
2.235,751,1667,2942,3700,167,260,314,382
2.245,715,1624,2870,3739,165,278,277,405
2.255,681,1613,2799,3727,158,286,282,398
2.265,662,1592,2736,3704,180,278,300,401
2.275,654,1554,2686,3687,197,269,299,414
2.285,648,1570,2655,3715,195,286,308,399
2.295,638,1537,2606,3783,205,312,297,392
2.305,615,1537,2598,3813,200,293,290,388
2.315,599,1505,2584,3854,208,318,321,411
2.325,582,1429,2657,3926,208,310,308,388
2.335,594,1367,2635,3993,211,307,283,369
2.345,603,1386,2698,4093,206,321,297,388
2.355,597,1364,2736,4178,208,299,292,370
2.365,595,1364,2738,4105,170,318,289,378
2.375,590,1392,2759,4041,178,301,281,393
2.385,611,1356,2754,4093,189,314,276,387
2.395,633,1363,2743,4109,206,293,339,405
2.405,655,1412,2800,4038,219,285,296,394
2.415,674,1455,2861,4103,218,313,310,425
2.425,687,1473,2942,4130,256,308,337,459
2.435,698,1497,2856,4146,216,338,341,430
2.445,698,1527,2883,4155,219,304,351,450
2.455,731,1544,2881,4116,225,330,361,449
2.465,741,1564,2912,4068,223,316,377,457
2.475,795,1620,2885,3985,206,357,381,434
