sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,682,1407,2449,3627,246,312,353,410
0.015,744,1433,2434,3693,234,310,328,429
0.025,728,1489,2441,3691,274,305,329,437
0.035,768,1460,2449,3652,260,348,301,419
0.045,797,1480,2430,3577,262,321,305,449
0.055,690,1549,2474,3655,261,357,323,456
0.065,762,1547,2507,3668,279,331,304,435
0.075,806,1586,2506,3715,275,326,317,460
0.085,818,1564,2523,3725,274,327,309,447
0.095,791,1582,2512,3662,285,330,323,464
0.105,714,1450,2437,3612,321,335,324,449
0.115,476,1299,2419,3632,337,342,296,451
0.125,352,1083,2435,3664,248,292,330,475
0.135,304,1161,2493,3668,218,298,301,438
0.145,441,1184,2544,3656,221,305,337,457
0.155,613,1209,2664,3547,271,268,369,470
0.165,787,1235,2770,3484,294,253,401,447
0.175,926,1265,2924,3537,242,267,403,425
0.185,994,1301,3035,3634,221,293,364,464
0.195,1020,1341,3082,3739,209,305,336,499
0.205,1001,1383,3016,3767,163,321,332,499
0.215,961,1422,2981,3836,183,311,328,480
0.225,998,1457,2953,3909,190,276,331,467
0.235,1022,1490,2956,3846,182,288,325,449
0.245,1024,1520,2948,3751,177,297,339,446
0.255,1025,1541,2871,3816,177,306,324,440
0.265,1051,1550,2872,3908,183,298,320,445
0.275,1052,1547,2846,3987,174,297,292,445
0.285,1047,1543,2798,3942,187,299,286,426
0.295,1042,1548,2777,3866,205,299,289,427
0.305,1040,1571,2783,3817,196,304,281,412
0.315,1037,1605,2789,3758,196,304,285,412
0.325,1012,1638,2753,3785,196,298,297,403
0.335,967,1671,2738,3781,193,307,293,410
0.345,879,1713,2739,3719,185,303,325,405
0.355,838,1775,2789,3808,175,292,324,400
0.365,804,1849,2812,3984,172,302,329,430
0.375,730,1902,2814,4130,187,305,327,438
0.385,611,1927,2851,4258,206,305,320,431
0.395,407,1943,2925,4319,281,338,290,399
0.405,352,1969,2987,4410,195,320,303,434
0.415,366,2006,2976,4400,189,335,298,427
0.425,285,2047,2945,4450,201,331,344,422
0.435,275,2088,2942,4468,198,366,339,472
0.445,450,2126,2949,4318,272,407,350,462
0.455,451,2165,2945,4248,202,335,366,476
0.465,490,2214,2922,4305,206,334,352,462
0.475,545,2256,2892,4270,203,316,325,442
0.485,538,2255,2866,4189,172,322,283,435
0.495,546,2190,2849,4125,166,311,291,411
0.505,566,2118,2832,4098,160,317,304,412
0.515,583,1977,2774,4068,166,305,291,419
0.525,611,1770,2672,4009,186,289,293,424
0.535,648,1657,2629,3986,199,305,296,443
0.545,690,1531,2658,3926,203,306,313,447
0.555,720,1356,2709,3867,204,311,317,448
0.565,711,1233,2774,3813,203,292,361,449
0.575,709,1147,2887,3802,203,302,356,414
0.585,701,1064,3057,3792,189,295,324,409
0.595,685,993,3204,3788,198,296,319,394
0.605,586,953,3282,3784,211,306,310,433
0.615,542,941,3297,3877,237,313,315,457
0.625,488,945,3272,4023,250,334,322,470
0.635,461,950,3224,4182,242,311,352,468
0.645,479,950,3149,4302,241,302,378,439
0.655,496,948,3055,4377,235,324,397,440
0.665,520,947,2967,4459,219,299,408,456
0.675,559,948,2904,4429,230,321,398,452
0.685,550,952,2859,4371,185,363,376,451
0.695,505,951,2827,4455,192,421,406,452
0.705,478,930,2800,4422,208,405,372,424
0.715,500,899,2773,4420,198,358,320,407
0.725,566,876,2746,4475,198,345,358,389
0.735,622,874,2715,4396,181,297,359,388
0.745,694,897,2673,4359,186,298,327,402
0.755,724,935,2615,4296,184,298,315,433
0.765,722,962,2551,4221,193,305,314,447
0.775,777,986,2491,4237,210,272,304,442
0.785,797,1039,2431,4310,198,279,295,452
0.795,740,1128,2354,4416,192,262,288,453
0.805,728,1215,2242,4507,206,277,299,452
0.815,669,1283,2095,4572,208,302,301,443
0.825,629,1347,1958,4621,240,299,367,420
0.835,630,1411,1893,4606,247,338,357,423
0.845,613,1461,1890,4424,240,334,329,411
0.855,669,1531,2189,4266,233,389,300,374
0.865,668,1743,2744,4254,223,362,296,412
0.875,696,2101,2807,4242,239,395,280,415
0.885,693,2302,3048,4189,230,404,236,398
0.895,757,2363,3013,4292,235,411,201,414
0.905,840,2411,2868,4293,216,431,255,420
0.915,850,2464,2822,4316,177,422,281,449
0.925,808,2381,2578,4307,193,375,294,463
0.935,768,2281,2515,4231,218,379,280,475
0.945,743,2285,2457,4232,194,421,268,503
0.955,649,1997,2419,4278,208,425,244,478
0.965,511,1838,2435,4314,236,352,256,474
0.975,397,1757,2445,4290,246,315,269,444
