sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,365,2431,2864,3450,269,341,338,400
0.015,362,2436,2880,3419,261,372,280,403
0.025,362,2436,2880,3438,231,366,288,399
0.035,362,2436,2880,3520,217,375,338,436
0.045,362,2436,2875,3521,228,365,315,406
0.055,362,2436,2880,3588,235,347,319,411
0.065,362,2436,2886,3624,222,345,347,409
0.075,362,2436,2880,3634,282,287,383,415
0.085,360,2436,2875,3698,260,330,383,456
0.095,341,2436,2870,3697,269,335,341,470
0.105,343,2436,2859,3738,251,366,303,461
0.115,341,2436,2859,3745,240,374,285,421
0.125,341,2436,2859,3745,222,367,289,417
0.135,341,2436,2848,3760,248,362,307,406
0.145,341,2436,2848,3741,230,370,295,398
0.155,341,2447,2848,3692,218,405,279,404
0.165,343,2458,2848,3684,224,404,250,399
0.175,362,2447,2837,3731,222,387,269,396
0.185,384,2339,2837,3758,216,371,247,388
0.195,406,2252,2826,3798,176,328,280,373
0.205,427,2111,2826,3825,149,310,295,363
0.215,471,1949,2792,3847,145,292,298,361
0.225,503,1787,2808,3834,184,301,311,355
0.235,503,1673,2826,3815,191,332,316,361
0.245,546,1592,2815,3776,167,338,308,380
0.255,557,1440,2832,3680,185,319,299,390
0.265,571,1288,2848,3625,198,315,290,370
0.275,579,1245,2902,3648,206,295,281,401
0.285,622,1212,2935,3718,212,300,300,403
0.295,644,1180,2912,3808,206,306,277,390
0.305,633,1175,2908,3888,215,286,281,382
0.315,633,1180,2856,3975,186,298,278,369
0.325,673,1321,2850,4058,198,301,271,365
0.335,641,1397,2832,4142,194,288,267,401
0.345,612,1613,2830,4186,201,277,274,416
0.355,604,1722,2850,4271,212,305,268,428
0.365,583,2003,2875,4388,204,306,319,443
0.375,566,2133,2945,4543,185,283,381,475
0.385,553,2209,2967,4600,231,358,395,457
0.395,503,2220,2972,4498,265,369,401,465
0.405,481,2209,2967,4425,265,369,402,490
0.415,427,2198,2967,4387,282,346,401,523
0.425,395,2198,2967,4269,236,333,387,506
0.435,384,2166,2956,4315,262,296,378,509
0.445,373,2122,2945,4319,240,294,373,489
0.455,395,1916,2945,4318,246,309,347,481
0.465,405,1808,2935,4370,293,317,334,462
0.475,384,1776,2935,4391,317,344,287,453
0.485,376,1765,2935,4450,331,298,284,465
0.495,395,1776,2935,4510,333,362,303,450
0.505,471,1754,2967,4490,326,328,329,441
0.515,490,1754,2989,4394,242,381,358,421
0.525,568,1754,3010,4312,254,310,377,424
0.535,622,1754,3021,4259,291,261,397,410
0.545,655,1759,3032,4168,259,282,403,412
0.555,720,1722,3054,3942,230,327,441,409
0.565,741,1711,3167,3750,228,296,458,428
0.575,744,1678,3137,3595,206,308,447,394
0.585,731,1592,3136,3592,187,329,441,355
0.595,698,1397,3150,3616,172,334,420,405
0.605,698,1310,3167,3705,201,318,428,402
0.615,655,1126,3173,3758,234,288,392,402
0.625,384,1115,3156,3808,256,309,330,387
0.635,341,1115,3104,3810,258,280,300,372
0.645,341,1115,3030,3797,259,311,314,366
0.655,351,1115,2962,3711,246,300,350,390
0.665,427,1115,2950,3583,244,284,367,362
0.675,525,1137,3024,3587,226,282,400,388
0.685,655,1223,3126,3641,226,280,412,392
0.695,731,1386,3206,3675,235,267,433,379
0.705,731,1429,3251,3696,226,268,450,403
0.715,741,1440,3257,3691,213,294,451,395
0.725,752,1440,3228,3736,192,326,406,406
0.735,763,1445,3171,3819,168,329,354,396
0.745,752,1429,3093,3865,167,320,327,420
0.755,741,1397,3005,3946,227,341,351,459
0.765,666,1310,2915,3995,258,335,388,470
0.775,536,1302,2834,4026,273,322,374,450
0.785,481,1288,2769,3994,256,343,394,470
0.795,395,1267,2731,3874,278,321,383,479
0.805,365,1256,2729,3812,289,323,379,469
0.815,351,1256,2773,3897,277,359,355,446
0.825,351,1256,2729,3980,247,381,326,464
