sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,525,1164,2443,3630,225,295,359,420
0.015,514,1164,2418,3656,265,326,319,444
0.025,503,1164,2447,3649,281,323,355,462
0.035,503,1164,2447,3637,305,332,332,472
0.045,503,1164,2447,3684,258,332,325,455
0.055,503,1164,2436,3753,305,320,313,435
0.065,503,1153,2436,3775,330,266,361,462
0.075,471,1164,2425,3823,311,328,368,461
0.085,471,1164,2422,3835,315,328,366,461
0.095,471,1164,2459,3797,279,312,334,461
0.105,471,1164,2488,3732,292,302,355,440
0.115,471,1153,2542,3641,280,308,358,440
0.125,460,1153,2554,3632,287,313,356,438
0.135,460,1164,2563,3621,249,324,359,456
0.145,460,1153,2571,3681,233,324,352,463
0.155,460,1164,2555,3731,198,328,355,460
0.165,460,1164,2538,3860,199,331,314,411
0.175,462,1164,2563,3781,241,330,333,409
0.185,460,1164,2590,3912,230,306,345,419
0.195,460,1164,2578,3951,251,325,331,403
0.205,460,1164,2571,3965,196,350,327,414
0.215,479,1164,2567,3984,200,321,320,421
0.225,536,1175,2613,3933,231,285,304,448
0.235,568,1164,2574,3921,216,295,279,431
0.245,622,1175,2584,3878,197,293,272,403
0.255,655,1163,2591,3881,197,285,268,391
0.265,655,1146,2589,3887,186,291,266,370
0.275,655,1157,2602,3925,181,293,258,345
0.285,644,1137,2585,3968,190,294,269,356
0.295,633,1158,2596,3907,186,298,261,396
0.305,611,1161,2587,3945,182,296,274,370
0.315,633,1177,2566,3938,189,296,273,372
0.325,633,1170,2555,3978,194,298,263,370
0.335,622,1204,2555,3965,187,290,258,388
0.345,622,1216,2555,3995,188,300,263,388
0.355,622,1251,2555,3967,184,311,264,410
0.365,622,1261,2555,3990,188,294,283,406
0.375,622,1315,2555,3953,198,309,282,413
0.385,633,1348,2566,3947,203,299,279,423
0.395,644,1402,2566,3941,209,289,268,445
0.405,633,1521,2577,4034,209,277,297,450
0.415,622,1619,2599,4110,235,334,344,446
0.425,568,1640,2620,4197,213,332,349,444
0.435,362,1684,2562,4229,206,352,388,421
0.445,293,1716,2564,4196,201,309,363,421
0.455,290,1738,2477,4190,193,345,378,437
0.465,335,1738,2460,4226,195,332,343,460
0.475,373,1738,2465,4295,208,328,314,467
0.485,384,1705,2589,4229,182,299,319,443
0.495,416,1684,2645,4207,155,292,289,421
0.505,481,1613,2643,4113,159,265,275,424
0.515,514,1603,2646,4082,179,269,304,439
0.525,546,1546,2635,4029,199,269,309,448
0.535,622,1481,2627,3900,207,279,326,439
0.545,633,1451,2610,3849,223,297,346,420
0.555,666,1400,2610,3872,222,295,371,402
0.565,666,1331,2615,3971,211,317,329,402
0.575,633,1305,2620,4055,218,293,298,419
0.585,601,1261,2618,3993,239,313,280,421
0.595,446,1240,2610,3920,269,305,261,431
0.605,437,1283,2653,3868,226,368,278,469
0.615,372,1418,2685,3847,255,360,263,448
0.625,384,1489,2729,3918,266,338,285,439
0.635,373,1503,2783,3918,241,326,304,461
0.645,362,1449,2794,3923,267,328,327,441
0.655,362,1483,2794,3954,240,356,309,470
0.665,362,1743,2783,4100,230,354,270,465
0.675,384,2252,2761,4155,194,373,230,437
0.685,395,2328,2745,4122,223,368,236,422
0.695,395,2339,2729,4057,210,384,295,436
0.705,395,2306,2631,4037,254,352,285,462
0.715,395,2176,2566,4015,221,371,292,454
0.725,395,2101,2574,4067,213,373,273,464
0.735,395,2068,2480,4028,238,377,281,424
0.745,403,1992,2469,4099,228,328,303,425
0.755,416,1949,2415,4112,217,315,310,413
0.765,416,1884,2371,3990,197,310,316,398
0.775,416,1819,2274,3909,206,320,311,389
0.785,427,1722,2241,3871,202,310,307,379
0.795,427,1700,2209,3824,197,315,334,395
0.805,427,1689,2166,3784,208,331,310,394
0.815,449,1700,2133,3746,207,329,316,407
0.825,449,1711,2036,3700,207,325,305,393
0.835,471,1705,2025,3632,225,336,300,411
0.845,481,1671,1981,3537,240,329,304,405
0.855,481,1642,1916,3443,211,327,314,410
0.865,481,1631,1916,3316,226,329,298,409
0.875,503,1600,1916,3308,225,333,308,408
0.885,514,1568,1916,3255,219,332,312,414
0.895,525,1524,1916,3190,213,331,311,406
0.905,546,1480,1916,3201,208,330,312,392
0.915,546,1390,1916,3187,196,330,304,384
0.925,557,1321,1938,3183,208,316,307,367
0.935,514,1299,1949,3191,251,281,357,390
0.945,427,1267,1971,3335,213,327,336,397
0.955,362,1220,1981,3437,213,315,325,430
0.965,320,1247,2025,3564,208,319,320,412
0.975,330,1267,2090,3608,208,316,360,409
0.985,341,1277,2122,3615,225,320,356,421
0.995,373,1310,2166,3707,227,312,317,375
1.005,471,1310,2198,3712,194,322,285,362
1.015,525,1353,2306,3758,191,329,279,363
1.025,601,1364,2350,3815,200,338,281,368
1.035,666,1364,2415,3837,200,336,283,377
1.045,752,1386,2447,3866,200,330,290,369
1.055,760,1386,2480,3884,200,316,300,376
1.065,763,1386,2490,3881,204,317,293,387
1.075,808,1386,2534,3914,208,300,299,388
1.085,791,1353,2555,3969,208,308,303,392
1.095,761,1342,2577,4046,208,300,298,394
1.105,714,1342,2566,4104,198,294,283,379
1.115,634,1321,2588,4113,207,288,281,376
1.125,566,1310,2545,4119,206,309,275,369
1.135,408,1322,2534,4135,245,319,361,416
1.145,352,1327,2501,4071,242,358,367,442
1.155,379,1416,2501,4006,261,342,339,471
1.165,455,1497,2501,4033,267,316,335,463
1.175,456,1518,2490,4005,268,320,311,466
1.185,467,1516,2490,3966,276,343,307,460
1.195,414,1517,2501,3971,267,314,324,471
1.205,406,1512,2490,3918,250,302,322,480
1.215,404,1493,2470,3896,282,343,324,471
1.225,416,1455,2440,3867,274,350,313,450
1.235,427,1420,2434,3863,263,344,326,467
1.245,427,1422,2405,3873,258,297,345,466
1.255,427,1460,2346,4052,235,313,344,479
1.265,416,1515,2282,4153,191,273,313,423
1.275,380,1566,2238,4167,197,277,331,413
1.285,343,1635,2277,4112,204,291,336,426
1.295,349,1851,2397,4142,222,312,329,446
1.305,331,1884,2402,4130,225,321,303,425
1.315,308,1927,2470,4207,252,305,309,452
1.325,319,1992,2522,4225,280,307,311,477
1.335,319,2014,2525,4180,285,349,272,451
1.345,319,2025,2621,4115,224,343,280,425
1.355,330,2068,2696,4116,230,326,289,431
1.365,330,2382,2805,4095,233,371,303,437
1.375,330,2469,2870,4121,237,369,330,462
1.385,330,2620,2967,4162,229,370,334,462
1.395,330,2675,3043,4156,273,386,335,455
1.405,333,2696,3108,4159,284,373,328,448
1.415,330,2718,3162,4201,268,361,302,434
1.425,330,2712,3173,4178,219,360,281,411
1.435,330,2696,3119,4240,223,392,310,411
1.445,330,2577,3032,4196,265,377,269,411
1.455,330,2534,2978,4245,269,391,256,443
1.465,330,2361,2880,4237,235,347,283,407
1.475,319,2306,2826,4231,198,315,271,385
1.485,351,2122,2783,4203,187,319,266,358
1.495,449,2068,2729,4128,164,310,256,345
1.505,481,2036,2688,4107,155,302,286,344
1.515,492,1981,2642,4074,170,295,269,351
1.525,532,1960,2588,4102,154,294,269,361
1.535,537,1927,2566,4071,156,279,262,359
1.545,541,1869,2545,4088,154,282,294,363
1.555,546,1841,2534,4067,157,286,272,368
1.565,558,1812,2534,4059,163,298,280,383
1.575,588,1780,2534,4100,166,292,270,377
1.585,611,1755,2512,4104,173,294,281,368
1.595,599,1732,2512,4077,171,292,272,369
1.605,599,1709,2512,4095,165,288,277,363
1.615,608,1713,2512,4103,159,290,277,370
1.625,590,1708,2512,4080,158,294,283,358
1.635,603,1698,2512,4118,164,293,287,374
1.645,538,1643,2512,4151,161,291,279,378
1.655,511,1624,2523,4139,181,313,303,382
1.665,463,1624,2558,4165,207,326,331,397
1.675,432,1580,2617,4291,199,307,376,420
1.685,374,1598,2665,4509,215,295,369,407
1.695,344,1647,2673,4518,216,327,361,430
1.705,375,1599,2672,4512,205,287,304,452
1.715,362,1597,2686,4442,203,298,308,434
1.725,341,1565,2586,4355,208,313,284,424
1.735,384,1644,2654,4251,225,288,281,428
1.745,601,1622,2713,4217,247,278,309,425
1.755,741,1697,2729,4201,251,286,350,415
1.765,774,1756,2797,4184,243,271,356,415
1.775,809,1692,2772,4102,271,274,354,412
1.785,855,1695,2815,4167,247,287,365,417
1.795,905,1624,2837,4125,243,279,368,412
1.805,920,1652,2856,4108,231,303,367,398
1.815,885,1682,2848,4165,227,267,355,390
1.825,897,1710,2856,4208,220,295,376,390
1.835,936,1659,2851,4194,226,282,378,427
1.845,845,1628,2908,4171,235,269,382,433
1.855,843,1657,2908,4116,235,284,386,418
1.865,883,1608,2875,4095,230,296,354,413
1.875,887,1626,2787,4032,234,292,377,391
1.885,914,1625,2717,4072,204,340,378,405
1.895,898,1639,2706,4058,237,278,361,417
1.905,931,1621,2696,4028,231,287,378,453
