sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,360,1464,2398,3559,239,320,363,408
0.015,351,1475,2385,3535,260,333,306,404
0.025,354,1466,2470,3545,265,314,311,419
0.035,351,1502,2498,3584,269,303,323,453
0.045,351,1512,2455,3586,264,345,324,457
0.055,360,1568,2480,3652,270,333,320,469
0.065,351,1567,2396,3733,269,330,320,440
0.075,354,1533,2418,3760,264,325,329,455
0.085,351,1537,2485,3880,245,308,335,472
0.095,341,1507,2504,3933,222,332,324,457
0.105,341,1531,2506,3976,223,333,320,466
0.115,341,1580,2530,4068,251,305,322,468
0.125,343,1640,2581,4124,233,319,342,438
0.135,351,1601,2567,4220,214,300,341,436
0.145,362,1563,2589,4238,191,296,306,407
0.155,351,1558,2592,4268,184,322,273,422
0.165,349,1613,2617,4273,210,317,280,415
0.175,351,1624,2604,4298,244,326,319,418
0.185,330,1678,2620,4284,280,364,344,423
0.195,343,1711,2642,4364,284,326,351,420
0.205,351,1732,2653,4329,284,331,341,445
0.215,362,1754,2664,4269,305,319,307,471
0.225,365,1743,2675,4245,281,325,293,458
0.235,373,1754,2685,4160,302,321,334,424
0.245,370,1754,2707,4156,319,329,325,451
0.255,373,1754,2710,4155,292,308,323,460
0.265,384,1765,2714,4078,268,340,315,440
0.275,387,1765,2728,3997,263,307,308,451
0.285,384,1743,2726,4023,234,355,341,484
0.295,384,1732,2727,4005,240,356,339,494
0.305,387,1722,2777,3984,254,329,336,455
0.315,395,1711,2743,3991,251,310,341,458
0.325,408,1624,2672,4028,243,313,331,445
0.335,438,1548,2625,4119,219,308,297,415
0.345,481,1500,2620,4080,194,300,280,386
0.355,525,1429,2610,4058,195,299,269,383
0.365,568,1397,2620,4091,201,293,296,379
0.375,622,1380,2653,4101,218,278,303,357
0.385,676,1342,2658,4084,214,277,299,337
0.395,701,1299,2653,4072,222,280,301,334
0.405,709,1294,2653,4005,220,299,308,327
0.415,720,1277,2675,4016,214,281,308,344
0.425,720,1256,2696,3950,207,296,304,354
0.435,720,1250,2718,3953,193,290,288,349
0.445,709,1234,2740,3941,193,291,288,354
0.455,717,1223,2745,3969,191,293,293,356
0.465,720,1223,2750,3990,195,298,284,359
0.475,720,1212,2740,3976,191,289,296,367
0.485,733,1212,2750,3937,193,294,303,385
0.495,720,1212,2758,3909,217,296,299,382
