sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,503,2122,2478,3587,231,334,334,443
0.015,495,2133,2489,3544,204,337,324,445
0.025,503,2133,2409,3569,191,377,294,430
0.035,503,2133,2403,3554,178,374,316,456
0.045,503,2133,2516,3512,199,369,337,485
0.055,492,2133,2653,3495,158,356,348,482
0.065,495,2133,2666,3542,132,373,347,480
0.075,492,2128,2685,3633,179,384,356,458
0.085,503,2133,2714,3673,252,345,385,463
0.095,503,2133,2684,3821,265,336,350,447
0.105,492,2133,2718,3917,218,378,310,458
0.115,492,2133,2744,3964,214,362,291,504
0.125,503,2155,2742,3969,228,385,257,515
0.135,503,2187,2707,4000,255,367,251,504
0.145,472,2209,2709,4022,202,352,275,461
0.155,477,2273,2667,4002,197,327,267,449
0.165,417,2252,2640,4070,194,319,307,471
0.175,350,2241,2653,4117,201,308,305,472
0.185,334,2111,2675,4160,208,310,370,443
0.195,372,1884,2571,4147,228,352,354,430
0.205,380,1586,2545,4209,239,334,340,441
0.215,460,1537,2501,4216,267,304,360,454
0.225,505,1483,2469,4170,235,233,388,439
0.235,514,1462,2425,4226,253,275,351,453
0.245,489,1451,2425,4297,244,256,359,445
0.255,478,1440,2425,4383,259,289,324,437
0.265,498,1407,2464,4429,264,332,323,441
0.275,515,1375,2438,4355,276,331,325,438
0.285,548,1364,2421,4374,253,332,320,452
0.295,547,1342,2371,4470,231,333,314,498
0.305,517,1342,2371,4393,204,343,315,484
0.315,540,1332,2317,4335,255,315,308,465
0.325,542,1342,2252,4221,263,342,324,449
0.335,512,1332,2231,4154,250,304,343,433
0.345,530,1342,2166,4109,257,306,336,434
0.355,536,1342,2133,4133,255,312,333,465
0.365,536,1332,2090,4128,271,332,345,456
0.375,536,1332,2068,4200,303,319,334,481
0.385,544,1332,2052,4147,273,285,342,464
0.395,546,1342,2046,4115,235,289,384,436
0.405,562,1353,1971,4094,202,217,397,392
0.415,567,1364,1906,4195,131,175,428,403
0.425,540,1407,1873,4211,126,167,427,388
0.435,573,1429,1884,4174,128,168,428,362
0.445,571,1451,1916,4152,135,201,409,358
0.455,602,1483,1938,4093,149,234,374,369
0.465,624,1505,1955,3974,139,270,325,392
0.475,651,1527,2028,3886,143,298,310,384
0.485,667,1537,2036,3762,147,317,312,396
0.495,647,1602,2079,3835,154,305,318,356
0.505,687,1624,2187,3908,160,303,335,345
0.515,706,1635,2393,3930,165,298,322,355
0.525,720,1657,2480,3950,171,317,324,368
0.535,731,1673,2631,4070,184,306,319,381
0.545,741,1711,2696,4133,191,283,330,388
0.555,752,1722,2750,4172,204,305,370,391
0.565,741,1722,2794,4293,248,286,357,410
0.575,601,1570,2891,4340,222,307,328,393
0.585,546,1505,2924,4410,223,319,310,398
0.595,481,1516,2945,4395,222,329,309,398
0.605,395,1509,2956,4372,237,363,332,378
0.615,384,1466,2945,4344,225,356,352,376
0.625,376,1499,2967,4223,197,305,323,400
0.635,384,1515,3000,4190,207,295,315,394
0.645,398,1470,3010,4278,211,264,388,415
0.655,406,1479,3021,4440,207,248,442,430
0.665,460,1669,3075,4472,213,256,449,396
0.675,503,1899,3119,4451,203,264,391,364
0.685,536,2010,3144,4383,196,285,336,359
0.695,536,2016,3111,4331,190,287,334,381
0.705,525,1970,3059,4339,192,293,324,385
0.715,503,1885,3010,4361,204,323,318,412
0.725,492,1780,2945,4549,235,336,313,425
0.735,481,1695,2891,4631,224,354,332,433
0.745,471,1649,2848,4653,230,338,288,425
0.755,449,1618,2816,4506,267,347,285,398
0.765,430,1577,2803,4403,188,377,385,428
0.775,416,1515,2800,4401,243,364,399,444
0.785,416,1421,2655,4333,256,327,320,448
0.795,416,1302,2542,4374,163,379,340,469
0.805,360,1190,2459,4344,169,387,352,474
0.815,381,1116,2431,4296,156,384,373,486
0.825,416,1065,2466,4208,200,344,355,493
0.835,430,1013,2566,4098,177,335,372,487
0.845,438,940,2631,3955,187,313,372,438
0.855,449,941,2729,4039,175,292,337,420
0.865,449,1178,2805,4170,149,302,311,421
0.875,468,1420,2913,4346,165,327,294,441
0.885,471,1527,2882,4423,153,319,278,427
0.895,462,1551,2864,4375,200,328,290,414
0.905,446,1546,2818,4288,254,339,355,441
0.915,475,1543,2773,4261,242,365,368,445
0.925,548,1551,2765,4279,277,329,349,419
0.935,546,1576,2792,4387,266,345,374,434
0.945,611,1626,2828,4427,252,358,361,425
0.955,608,1697,2849,4414,202,330,344,411
0.965,665,1755,2885,4406,186,331,316,382
0.975,673,1775,2903,4331,171,312,285,389
0.985,711,1759,2879,4273,170,306,296,394
0.995,756,1716,2899,4211,192,322,321,393
1.005,796,1653,2914,4154,169,322,346,413
1.015,802,1584,2977,4112,170,314,376,399
1.025,814,1526,3059,4049,189,314,377,411
1.035,807,1495,3121,4052,194,313,347,428
1.045,791,1486,3129,4018,193,312,325,430
1.055,806,1482,3102,3989,217,307,318,439
1.065,796,1474,3091,4005,226,300,328,443
1.075,796,1463,3063,3957,210,289,321,417
1.085,752,1452,3074,3921,217,308,287,474
1.095,709,1446,3094,3874,259,317,278,461
1.105,655,1446,3023,3776,213,336,320,456
1.115,609,1452,2906,3818,182,331,326,414
1.125,595,1463,2755,3793,163,327,326,388
1.135,574,1474,2628,3785,136,310,315,357
1.145,565,1483,2572,3760,158,294,295,376
1.155,525,1487,2501,3709,169,325,291,372
1.165,525,1493,2513,3790,222,303,303,394
1.175,514,1508,2495,3825,259,320,343,424
1.185,471,1537,2496,3841,250,304,334,443
1.195,438,1578,2477,3783,254,322,366,464
1.205,416,1619,2477,3774,285,288,377,482
1.215,406,1649,2504,3804,270,289,392,491
1.225,384,1658,2561,3740,297,323,393,488
1.235,395,1652,2598,3783,271,326,351,450
