sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,842,1992,3097,3584,235,297,365,440
0.015,852,1987,3097,3565,242,314,366,471
0.025,847,1987,3097,3619,260,323,318,475
0.035,852,1987,3097,3615,280,321,312,443
0.045,858,1987,3097,3594,273,307,322,430
0.055,852,1992,3097,3571,267,312,326,453
0.065,852,1987,3097,3587,266,306,324,440
0.075,852,1987,3086,3622,260,303,330,433
0.085,852,1981,3086,3513,277,332,316,426
0.095,847,1987,3081,3454,269,321,321,423
0.105,840,1987,3086,3509,259,313,353,404
0.115,840,1992,3097,3544,269,326,325,390
0.125,847,2000,3086,3593,270,303,316,396
0.135,852,1998,3086,3613,261,341,319,427
0.145,840,1992,3086,3731,242,343,339,442
0.155,852,2000,3108,3819,296,319,310,456
0.165,858,2000,3108,3837,320,292,325,463
0.175,852,2037,3108,3833,267,330,331,489
0.185,852,2050,3108,3775,262,355,322,484
0.195,852,2057,3108,3612,218,359,343,490
0.205,858,2062,3102,3585,284,324,361,475
0.215,853,2112,3108,3559,241,329,352,460
0.225,850,2138,3097,3581,251,322,368,486
0.235,845,2161,3102,3679,280,304,381,479
0.245,884,2161,3108,3935,267,298,338,483
0.255,918,2161,3119,4134,259,294,338,472
0.265,928,2161,3129,4298,271,287,343,458
0.275,937,2161,3151,4371,263,296,362,430
0.285,906,2161,3157,4371,247,295,374,423
0.295,933,2160,3151,4396,258,301,392,438
0.305,933,2149,3157,4382,269,287,384,415
0.315,880,2138,3151,4375,249,291,363,416
0.325,927,2124,3151,4360,242,297,342,404
0.335,924,2099,3157,4363,269,281,386,380
0.345,890,2084,3151,4399,277,272,394,381
0.355,935,2062,3157,4361,243,295,397,372
0.365,928,2068,3151,4309,240,293,382,403
0.375,918,2063,3146,4370,235,264,398,394
0.385,866,2062,3151,4290,229,284,357,410
0.395,910,1999,3151,4290,255,279,369,401
0.405,918,2000,3146,4219,237,259,390,380
0.415,867,1975,3140,4184,245,282,378,427
0.425,895,2005,3129,4246,250,275,380,433
0.435,898,1975,3108,4223,257,285,366,403
0.445,933,1976,3086,4148,237,289,366,416
0.455,969,1975,3075,4072,249,280,357,403
0.465,991,1935,3054,4011,256,298,347,426
0.475,939,1954,3048,4104,245,270,351,420
0.485,906,1933,3037,4038,238,256,358,391
0.495,885,1925,3043,4068,242,270,358,395
0.505,897,1898,3032,4059,251,263,385,418
0.515,925,1900,2989,4094,263,271,370,413
0.525,956,1898,2989,4134,270,277,357,416
0.535,919,1913,3000,4117,268,249,359,397
0.545,961,1882,3016,4111,250,266,363,390
0.555,943,1906,3037,4114,231,283,359,383
0.565,963,1917,3072,4123,258,266,358,396
0.575,933,1889,3049,4116,261,257,343,397
0.585,883,1863,3006,4148,255,272,316,392
0.595,893,1857,3023,4140,289,277,336,404
0.605,899,1851,3042,4169,272,300,351,393
0.615,901,1801,3064,4175,233,272,350,425
0.625,870,1797,3049,4147,226,295,354,412
0.635,885,1801,3064,4184,251,306,324,421
0.645,931,1779,3059,4217,255,313,348,440
0.655,893,1783,3064,4162,266,269,351,452
0.665,897,1791,3054,4127,283,262,351,431
0.675,854,1759,3037,4044,262,259,380,411
0.685,880,1770,3032,4060,274,269,378,436
0.695,879,1731,3021,4159,264,296,295,390
0.705,933,1720,3010,4195,246,300,325,424
0.715,971,1726,3000,4207,241,321,345,424
0.725,925,1714,3000,4247,224,328,379,426
0.735,901,1714,3000,4215,237,329,359,454
0.745,892,1714,2989,4186,236,329,352,434
0.755,859,1711,2989,4122,253,321,344,453
0.765,901,1714,2978,4135,265,341,341,449
0.775,933,1722,2967,4019,291,291,352,437
0.785,875,1710,2945,3913,258,340,359,452
0.795,874,1745,2924,3851,245,334,367,470
0.805,875,1717,2924,3839,241,331,367,476
0.815,875,1695,2924,3810,208,323,352,448
0.825,879,1658,2924,3812,229,341,337,427
0.835,875,1601,2924,3830,252,315,335,438
0.845,858,1541,2897,3774,220,307,349,448
0.855,864,1457,2891,3759,215,305,356,439
0.865,864,1475,2891,3801,206,328,357,425
0.875,863,1378,2886,3871,218,309,356,432
0.885,864,1386,2884,3920,215,354,343,446
0.895,852,1364,2869,4021,211,332,329,425
0.905,831,1353,2806,4060,234,307,334,436
0.915,816,1304,2745,4039,247,296,316,415
0.925,809,1272,2761,4024,237,304,316,418
0.935,809,1241,2696,4005,242,297,304,415
0.945,816,1223,2549,4023,237,299,287,403
0.955,804,1217,2512,4074,269,317,296,417
0.965,798,1218,2425,4135,254,300,314,406
0.975,780,1217,2317,4270,221,323,318,440
0.985,782,1218,2258,4354,233,302,306,426
0.995,780,1217,2209,4386,220,309,313,432
1.005,764,1223,2111,4472,220,296,322,443
1.015,774,1229,2052,4537,216,302,325,453
1.025,761,1254,2003,4550,210,290,327,393
1.035,740,1283,1949,4546,195,305,306,399
1.045,726,1316,1895,4535,186,307,285,387
1.055,717,1341,1889,4509,180,335,276,430
1.065,708,1370,1873,4498,173,304,279,403
1.075,672,1378,1873,4452,173,300,294,433
1.085,612,1328,1862,4405,186,320,322,415
1.095,538,1272,1873,4348,222,305,338,456
1.105,397,1217,2036,4301,233,312,310,472
1.115,360,1154,2166,4235,201,308,343,465
1.125,325,1130,2523,4197,188,343,332,442
1.135,301,1154,2599,4135,179,362,331,439
1.145,322,1212,2685,4142,226,334,329,424
1.155,337,1266,2794,4164,241,345,350,395
