sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,649,1548,2815,3638,258,267,373,438
0.015,761,1548,2810,3709,272,261,372,428
0.025,818,1559,2810,3837,224,274,369,455
0.035,840,1548,2807,3926,226,287,366,468
0.045,852,1565,2807,3921,243,276,378,479
0.055,852,1536,2807,3839,251,299,371,473
0.065,852,1548,2807,3811,291,328,358,484
0.075,829,1525,2810,3766,310,316,328,456
0.085,852,1490,2807,3720,305,330,352,453
0.095,852,1479,2807,3703,290,321,332,423
0.105,847,1462,2807,3738,272,331,326,438
0.115,852,1444,2807,3743,302,296,325,409
0.125,852,1433,2807,3882,288,312,337,429
0.135,852,1444,2820,3990,282,310,333,450
0.145,868,1444,2833,3966,220,302,317,430
0.155,852,1440,2858,3981,188,309,303,413
0.165,875,1433,2871,3939,194,290,296,405
0.175,829,1387,2875,3886,182,308,314,428
0.185,795,1352,2883,3858,179,298,323,416
0.195,703,1306,2891,3829,215,298,329,419
0.205,658,1226,2883,3908,219,303,329,447
0.215,601,1191,2883,3963,225,308,335,469
0.225,544,1168,2949,3924,207,306,352,421
0.235,538,1164,2947,3878,205,321,364,410
0.245,532,1145,2997,3840,225,278,383,421
0.255,533,1164,3023,3922,229,269,348,439
0.265,532,1168,3073,3928,235,266,346,449
0.275,532,1237,3073,3933,223,269,328,408
0.285,578,1295,3073,3943,220,285,350,406
0.295,612,1387,3081,4009,221,270,319,418
0.305,641,1548,3073,3990,211,275,324,406
0.315,669,1640,3073,3943,214,285,317,400
0.325,726,1731,3081,3934,211,303,305,407
0.335,783,1800,3073,3888,203,317,329,401
0.345,795,1812,3073,3824,204,302,346,426
0.355,798,1830,3086,3892,216,306,349,435
0.365,795,1812,3073,3896,211,292,341,418
0.375,798,1766,3048,3847,216,295,337,411
0.385,795,1720,2997,3778,205,263,312,412
0.395,783,1628,2934,3740,209,301,327,407
0.405,771,1559,2897,3744,197,323,284,400
0.415,772,1525,2848,3628,185,317,313,383
0.425,783,1421,2820,3576,187,291,315,390
0.435,783,1341,2795,3653,185,292,301,382
0.445,772,1260,2783,3623,207,286,310,364
0.455,755,1180,2783,3599,212,295,324,381
0.465,749,1145,2795,3628,217,286,332,370
0.475,703,1137,2833,3624,209,312,328,386
0.485,692,1131,2829,3660,195,299,313,386
0.495,658,1122,2807,3659,210,268,342,392
0.505,599,1122,2743,3719,202,285,301,382
0.515,589,1180,2757,3767,182,302,288,371
0.525,555,1341,2745,3814,187,296,302,382
0.535,541,1605,2757,3939,216,296,253,379
0.545,475,1754,2750,3998,222,332,261,366
0.555,475,2019,2757,4033,234,355,262,389
0.565,441,2122,2744,4095,215,350,248,427
0.575,429,2157,2795,4212,196,360,253,437
0.585,384,2249,2820,4327,193,341,235,428
0.595,349,2329,2858,4404,201,332,269,432
0.605,315,2344,2934,4457,225,317,284,404
0.615,322,2329,2967,4505,236,304,310,407
