sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,338,1229,2555,3628,269,324,343,439
0.015,338,1229,2555,3617,303,306,319,438
0.025,344,1218,2561,3619,285,296,300,418
0.035,344,1207,2552,3732,287,331,295,429
0.045,355,1207,2552,3776,315,329,320,442
0.055,343,1207,2564,3832,313,335,317,456
0.065,334,1196,2547,3843,294,320,331,483
0.075,334,1202,2575,3850,292,327,362,487
0.085,334,1207,2564,3862,263,351,366,490
0.095,338,1207,2573,3800,266,364,333,465
0.105,344,1196,2552,3915,247,362,327,437
0.115,354,1207,2530,4039,273,353,312,444
0.125,344,1185,2530,4174,256,362,323,434
0.135,334,1207,2530,4174,227,343,355,431
0.145,311,1207,2507,3980,269,323,405,393
0.155,301,1207,2496,3968,212,357,364,406
0.165,279,1185,2468,3936,218,342,376,432
0.175,301,1185,2496,3970,208,321,346,461
0.185,305,1185,2496,3951,202,340,326,445
0.195,312,1196,2496,4068,221,297,301,467
0.205,334,1196,2507,4135,253,283,284,467
0.215,366,1202,2496,4153,259,280,257,457
0.225,421,1207,2440,4008,237,277,304,435
0.235,457,1251,2440,3851,212,297,309,484
0.245,487,1328,2405,3756,195,326,304,468
0.255,506,1361,2406,3653,170,318,309,430
0.265,509,1438,2404,3620,157,300,314,396
0.275,511,1482,2395,3605,161,304,305,387
0.285,520,1504,2383,3622,165,302,337,416
0.295,552,1570,2406,3666,150,294,325,390
0.305,552,1604,2440,3701,154,289,323,393
0.315,563,1640,2467,3736,159,271,313,388
0.325,571,1670,2462,3775,154,256,313,370
0.335,563,1692,2474,3825,153,262,300,370
0.345,563,1725,2485,3830,148,261,306,366
0.355,585,1759,2490,3857,147,254,314,373
0.365,585,1758,2485,3883,143,253,328,371
0.375,606,1787,2485,3870,142,260,330,368
0.385,585,1791,2496,3847,142,278,327,362
0.395,611,1791,2485,3897,154,267,325,371
0.405,596,1776,2462,3875,145,256,330,365
0.415,596,1747,2462,3897,149,269,325,374
0.425,576,1703,2469,3918,154,288,310,378
0.435,563,1593,2451,3964,172,304,301,375
0.445,563,1567,2458,4042,206,322,315,431
0.455,552,1493,2429,4154,194,353,256,530
0.465,552,1429,2429,4320,181,346,244,542
0.475,527,1397,2429,4587,191,329,225,513
0.485,531,1339,2425,4807,195,334,245,452
0.495,520,1326,2406,4920,208,334,268,375
0.505,498,1306,2361,4825,220,301,297,340
0.515,432,1306,2312,4778,203,336,315,376
0.525,392,1305,2305,4592,192,368,292,402
0.535,377,1306,2237,4508,180,372,269,436
0.545,364,1306,2203,4431,187,349,309,475
0.555,366,1315,2203,4364,196,340,330,470
0.565,421,1328,2203,4403,210,320,333,443
0.575,476,1342,2260,4442,194,309,336,416
0.585,495,1372,2327,4450,195,289,293,436
0.595,509,1427,2383,4446,191,304,296,451
0.605,509,1456,2404,4430,195,316,289,464
0.615,511,1471,2417,4385,183,295,295,467
0.625,498,1537,2417,4371,184,276,293,461
0.635,498,1570,2417,4412,196,286,306,456
0.645,487,1637,2417,4515,193,284,333,468
0.655,476,1692,2417,4621,183,299,323,482
0.665,465,1714,2417,4693,175,294,314,472
0.675,454,1725,2417,4703,180,287,309,432
0.685,443,1727,2417,4535,181,278,298,447
0.695,425,1725,2440,4479,174,273,275,488
0.705,410,1725,2431,4403,169,241,268,525
0.715,377,1725,2417,4256,184,269,302,524
0.725,354,1738,2417,4046,191,246,320,505
0.735,344,1714,2440,3881,201,313,322,436
0.745,338,1716,2420,3871,212,280,340,460
0.755,323,1703,2406,3897,263,322,337,481
0.765,301,1684,2395,3862,319,316,383,489
0.775,301,1692,2395,3877,307,307,391,485
0.785,279,1670,2371,3942,317,298,384,458
0.795,278,1626,2350,3996,332,324,358,458
0.805,289,1619,2305,4018,343,304,345,431
0.815,301,1615,2260,4052,307,385,332,425
0.825,301,1570,2226,4077,302,381,301,450
0.835,295,1532,2192,4086,245,387,273,454
0.845,301,1482,2182,4061,258,330,306,457
0.855,289,1467,2158,4062,269,295,309,456
0.865,301,1438,2102,3997,253,285,340,455
0.875,312,1424,2074,3941,247,280,333,455
0.885,312,1394,2046,3890,286,262,311,422
0.895,311,1375,2034,3916,313,269,307,428
0.905,312,1372,1989,3966,290,274,343,456
0.915,312,1372,1976,3915,265,290,310,420
0.925,355,1375,1967,3918,249,303,308,420
0.935,370,1383,1989,3917,227,290,296,413
0.945,410,1383,2034,3954,214,298,316,430
0.955,443,1380,2091,4020,217,310,332,439
0.965,487,1394,2147,4093,216,330,306,433
0.975,509,1460,2192,4189,204,334,300,452
0.985,522,1548,2203,4304,200,316,323,444
0.995,520,1593,2260,4426,214,316,323,449
1.005,516,1626,2279,4505,197,315,313,455
1.015,520,1640,2338,4561,192,318,314,449
1.025,520,1648,2371,4574,190,301,322,435
1.035,498,1703,2383,4516,189,278,334,449
1.045,491,1722,2440,4317,199,270,330,459
1.055,476,1714,2447,4112,180,279,334,478
1.065,454,1692,2440,3865,193,276,326,465
1.075,410,1692,2440,3669,190,281,322,417
1.085,381,1664,2442,3638,187,291,320,342
1.095,366,1681,2432,3641,200,284,320,375
1.105,334,1659,2440,3629,196,267,334,380
1.115,334,1640,2406,3655,212,270,285,396
1.125,344,1626,2406,3673,207,258,286,399
1.135,432,1582,2382,3620,185,264,300,449
1.145,509,1559,2350,3573,170,253,308,456
1.155,538,1526,2305,3473,179,315,311,478
1.165,574,1438,2282,3379,161,289,314,495
1.175,609,1361,2258,3335,132,317,280,487
1.185,618,1315,2226,3362,141,306,290,469
1.195,629,1273,2215,3344,133,325,284,472
1.205,620,1229,2193,3339,147,331,285,470
1.215,618,1185,2158,3328,125,326,297,480
1.225,629,1185,2128,3295,139,334,294,485
1.235,630,1175,2113,3326,116,337,300,487
1.245,618,1163,2079,3311,110,298,297,494
1.255,614,1169,2023,3292,113,282,332,506
1.265,618,1163,1989,3287,137,313,358,505
1.275,607,1158,1960,3272,105,275,347,509
1.285,607,1152,1933,3238,128,266,373,506
1.295,592,1158,1877,3159,101,259,362,516
1.305,585,1152,1857,3088,95,266,367,490
1.315,563,1152,1832,3027,116,244,370,480
1.325,565,1152,1809,2981,127,273,362,449
1.335,563,1118,1809,2995,90,280,347,439
1.345,552,1083,1824,2990,89,327,337,442
1.355,509,1041,1843,2959,92,354,325,436
1.365,500,1023,1922,2973,112,367,304,429
1.375,487,997,2001,2977,137,347,295,428
1.385,443,990,2046,3044,182,332,304,441
1.395,419,986,2079,3098,195,324,311,422
1.405,399,975,2138,3190,197,314,308,430
1.415,399,975,2170,3234,209,311,313,437
1.425,399,975,2203,3286,203,324,334,457
1.435,398,1019,2215,3298,200,324,338,448
1.445,421,1085,2220,3248,188,307,347,438
1.455,443,1120,2215,3243,187,300,354,444
1.465,454,1185,2214,3252,201,290,341,430
1.475,473,1223,2215,3338,199,302,338,439
1.485,476,1262,2215,3477,193,275,311,450
1.495,487,1361,2263,3502,187,300,310,483
1.505,495,1427,2271,3496,208,276,277,473
1.515,492,1460,2327,3489,218,326,296,429
1.525,511,1472,2350,3548,206,309,274,400
1.535,525,1482,2395,3604,210,316,301,377
1.545,557,1482,2420,3594,216,292,296,394
1.555,568,1494,2436,3582,209,297,312,366
1.565,579,1526,2469,3613,231,311,304,380
1.575,585,1554,2534,3676,201,278,309,409
1.585,579,1570,2577,3706,197,269,303,411
1.595,586,1659,2610,3630,204,270,300,369
1.605,579,1684,2620,3634,231,295,312,411
